Region           Strand              Start               End

P1plus             positivo           6705           6780
P2plus             positivo           9386           9461
P3plus             positivo           18387           18462
P4plus             positivo           33601           33676
P5plus             positivo           33971           34046
P6plus             positivo           34349           34424
P7plus             positivo           37846           37921
P8plus             positivo           40517           40592
P9plus             positivo           41520           41595
P10plus             positivo           41761           41836
P11plus             positivo           42657           42732
P12plus             positivo           43205           43280
P13plus             positivo           48133           48208
P14plus             positivo           55688           55763
P15plus             positivo           59086           59161
P16plus             positivo           60239           60314
P17plus             positivo           60331           60406
P18plus             positivo           61396           61471
P19plus             positivo           64005           64080
P20plus             positivo           64265           64340
P21plus             positivo           67908           67983
P22plus             positivo           71584           71659
P23plus             positivo           77411           77486
P24plus             positivo           81284           81359
P25plus             positivo           81461           81536
P26plus             positivo           97795           97870
P27plus             positivo           99748           99823
P28plus             positivo           102619           102694
P29plus             positivo           103214           103289
P30plus             positivo           106749           106824
P31plus             positivo           108638           108713
P32plus             positivo           111198           111273
P33plus             positivo           112125           112200
P34plus             positivo           112380           112455
P35plus             positivo           113494           113569
P36plus             positivo           114441           114516
P37plus             positivo           116742           116817
P38plus             positivo           117213           117288
P39plus             positivo           117575           117650
P40plus             positivo           118345           118420
P41plus             positivo           118447           118522
P42plus             positivo           118955           119030
P43plus             positivo           119637           119712
P44plus             positivo           121248           121323
P45plus             positivo           123251           123326
P46plus             positivo           123918           123993
P47plus             positivo           124215           124290
P48plus             positivo           128003           128078
P49plus             positivo           128678           128753
P50plus             positivo           128865           128940
P51plus             positivo           130028           130103
P52plus             positivo           135663           135738
P53plus             positivo           141043           141118
P54plus             positivo           141858           141933
P55plus             positivo           143544           143619
P56plus             positivo           145193           145268
P57plus             positivo           145371           145446
P58plus             positivo           146498           146573
P59plus             positivo           147050           147125
P60plus             positivo           147421           147496
P61plus             positivo           151123           151198
P62plus             positivo           153908           153983
P63plus             positivo           155753           155828
P64plus             positivo           156840           156915
P65plus             positivo           157089           157164
P66plus             positivo           158019           158094
P67plus             positivo           158734           158809
P68plus             positivo           161187           161262
P69plus             positivo           173976           174051
P70plus             positivo           175071           175146
P71plus             positivo           179074           179149
