Region           Strand              Start               End

P1plus             positivo           23814           23889
P2plus             positivo           33879           33954
P3plus             positivo           39404           39479
P4plus             positivo           42180           42255
P5plus             positivo           43590           43665
P6plus             positivo           51353           51428
P7plus             positivo           59057           59132
P8plus             positivo           64666           64741
P9plus             positivo           67429           67504
P10plus             positivo           90655           90730
P11plus             positivo           93543           93618
P12plus             positivo           101069           101144
P13plus             positivo           106728           106803
P14plus             positivo           122101           122176
P15plus             positivo           124148           124223
P16plus             positivo           125631           125706
P17plus             positivo           131092           131167
P18plus             positivo           133810           133885
P19plus             positivo           134541           134616
P20plus             positivo           142161           142236
P21plus             positivo           158021           158096
P22plus             positivo           161103           161178
P23plus             positivo           162309           162384
P24plus             positivo           169379           169454
P25plus             positivo           173039           173114
P26plus             positivo           173633           173708
P27plus             positivo           186804           186879
P28plus             positivo           188307           188382
P29plus             positivo           190994           191069
P30plus             positivo           195285           195360
P31plus             positivo           196076           196151
P32plus             positivo           201171           201246
P33plus             positivo           202500           202575
P34plus             positivo           209108           209183
P35plus             positivo           209826           209901
P36plus             positivo           215096           215171
P37plus             positivo           221354           221429
P38plus             positivo           226114           226189
P39plus             positivo           226691           226766
P40plus             positivo           228141           228216
P41plus             positivo           228436           228511
P42plus             positivo           238620           238695
P43plus             positivo           244752           244827
P44plus             positivo           245421           245496
P45plus             positivo           250267           250342
P46plus             positivo           254571           254646
P47plus             positivo           255848           255923
P48plus             positivo           258828           258903
P49plus             positivo           260086           260161
P50plus             positivo           263874           263949
P51plus             positivo           265818           265893
P52plus             positivo           272599           272674
P53plus             positivo           278283           278358
P54plus             positivo           297422           297497
P55plus             positivo           298682           298757
P56plus             positivo           302031           302106
P57plus             positivo           306473           306548
P58plus             positivo           309925           310000
P59plus             positivo           317339           317414
P60plus             positivo           319211           319286
P61plus             positivo           320187           320262
P62plus             positivo           321553           321628
P63plus             positivo           324916           324991
P64plus             positivo           327479           327554
P1minus             negativo           23781           23856
P2minus             negativo           33861           33936
P3minus             negativo           39398           39473
P4minus             negativo           42143           42218
P5minus             negativo           43577           43652
P6minus             negativo           51336           51411
P7minus             negativo           59052           59127
P8minus             negativo           64638           64713
P9minus             negativo           67408           67483
P10minus             negativo           90614           90689
P11minus             negativo           93523           93598
P12minus             negativo           101040           101115
P13minus             negativo           106690           106765
P14minus             negativo           122090           122165
P15minus             negativo           124119           124194
P16minus             negativo           125601           125676
P17minus             negativo           131058           131133
P18minus             negativo           133812           133887
P19minus             negativo           134535           134610
P20minus             negativo           142170           142245
P21minus             negativo           158009           158084
P22minus             negativo           161093           161168
P23minus             negativo           162316           162391
P24minus             negativo           169337           169412
P25minus             negativo           173058           173133
P26minus             negativo           173635           173710
P27minus             negativo           186790           186865
P28minus             negativo           188288           188363
P29minus             negativo           190972           191047
P30minus             negativo           195283           195358
P31minus             negativo           196067           196142
P32minus             negativo           201130           201205
P33minus             negativo           202478           202553
P34minus             negativo           209091           209166
P35minus             negativo           209801           209876
P36minus             negativo           215058           215133
P37minus             negativo           221343           221418
P38minus             negativo           226072           226147
P39minus             negativo           226672           226747
P40minus             negativo           228122           228197
P41minus             negativo           228395           228470
P42minus             negativo           238617           238692
P43minus             negativo           244741           244816
P44minus             negativo           245414           245489
P45minus             negativo           250251           250326
P46minus             negativo           254527           254602
P47minus             negativo           255806           255881
P48minus             negativo           258794           258869
P49minus             negativo           260069           260144
P50minus             negativo           263857           263932
P51minus             negativo           265786           265861
P52minus             negativo           272574           272649
P53minus             negativo           278267           278342
P54minus             negativo           297410           297485
P55minus             negativo           298660           298735
P56minus             negativo           302021           302096
P57minus             negativo           306468           306543
P58minus             negativo           309885           309960
P59minus             negativo           317341           317416
P60minus             negativo           319173           319248
P61minus             negativo           320153           320228
P62minus             negativo           321521           321596
P63minus             negativo           324877           324952
P64minus             negativo           327464           327539
