Region           Strand              Start               End

P1plus             positivo           1915           1990
P2plus             positivo           3904           3979
P3plus             positivo           5981           6056
P4plus             positivo           19039           19114
P5plus             positivo           23456           23531
P6plus             positivo           24649           24724
P7plus             positivo           37267           37342
P8plus             positivo           37826           37901
P9plus             positivo           38188           38263
P10plus             positivo           42863           42938
P11plus             positivo           43520           43595
P12plus             positivo           47973           48048
P13plus             positivo           50210           50285
P14plus             positivo           54567           54642
P15plus             positivo           64102           64177
P16plus             positivo           72843           72918
P17plus             positivo           73546           73621
P18plus             positivo           74790           74865
P19plus             positivo           85476           85551
P20plus             positivo           86449           86524
P21plus             positivo           91354           91429
P22plus             positivo           94475           94550
P23plus             positivo           101854           101929
P24plus             positivo           108674           108749
P25plus             positivo           110543           110618
P26plus             positivo           116310           116385
P27plus             positivo           119353           119428
P28plus             positivo           128702           128777
P29plus             positivo           134386           134461
P30plus             positivo           142591           142666
P31plus             positivo           145729           145804
P32plus             positivo           149337           149412
P33plus             positivo           152874           152949
P34plus             positivo           155056           155131
P35plus             positivo           158020           158095
P36plus             positivo           177543           177618
P37plus             positivo           178716           178791
P38plus             positivo           178791           178866
P39plus             positivo           181877           181952
P40plus             positivo           182160           182235
P41plus             positivo           185120           185195
P42plus             positivo           191644           191719
P43plus             positivo           193613           193688
P44plus             positivo           195087           195162
P45plus             positivo           197514           197589
P46plus             positivo           201754           201829
P47plus             positivo           211004           211079
P48plus             positivo           215326           215401
P49plus             positivo           218128           218203
P50plus             positivo           225583           225658
P51plus             positivo           229735           229810
P52plus             positivo           234074           234149
P53plus             positivo           234155           234230
P54plus             positivo           234659           234734
P55plus             positivo           235179           235254
P56plus             positivo           236631           236706
P57plus             positivo           240364           240439
P58plus             positivo           240440           240515
P59plus             positivo           242796           242871
P60plus             positivo           245308           245383
P61plus             positivo           246206           246281
P62plus             positivo           263990           264065
P63plus             positivo           264234           264309
P64plus             positivo           271012           271087
P65plus             positivo           276601           276676
P66plus             positivo           279547           279622
P67plus             positivo           281538           281613
P68plus             positivo           283201           283276
P69plus             positivo           285017           285092
P70plus             positivo           285868           285943
P71plus             positivo           288045           288120
P72plus             positivo           288458           288533
P73plus             positivo           291386           291461
P74plus             positivo           293893           293968
P75plus             positivo           294392           294467
