Region           Strand              Start               End

P1plus             positivo           964           1039
P2plus             positivo           2211           2286
P3plus             positivo           2821           2896
P4plus             positivo           4745           4820
P5plus             positivo           9707           9782
P6plus             positivo           11215           11290
P7plus             positivo           26839           26914
P8plus             positivo           26936           27011
P9plus             positivo           27942           28017
P10plus             positivo           29421           29496
P11plus             positivo           32933           33008
P12plus             positivo           37752           37827
P13plus             positivo           41509           41584
P14plus             positivo           51801           51876
P15plus             positivo           52378           52453
P16plus             positivo           66729           66804
P17plus             positivo           67236           67311
P18plus             positivo           71592           71667
P19plus             positivo           75032           75107
P20plus             positivo           75726           75801
P21plus             positivo           77381           77456
P22plus             positivo           78971           79046
P23plus             positivo           80732           80807
P24plus             positivo           88838           88913
P25plus             positivo           110724           110799
P26plus             positivo           112849           112924
P27plus             positivo           119479           119554
P28plus             positivo           129251           129326
P29plus             positivo           130416           130491
P30plus             positivo           133613           133688
P31plus             positivo           135411           135486
P32plus             positivo           152934           153009
P33plus             positivo           156788           156863
P34plus             positivo           162109           162184
P35plus             positivo           167644           167719
P36plus             positivo           172065           172140
P37plus             positivo           175767           175842
P38plus             positivo           179358           179433
P39plus             positivo           195417           195492
P40plus             positivo           201242           201317
P41plus             positivo           213216           213291
P42plus             positivo           215984           216059
P43plus             positivo           229115           229190
P44plus             positivo           231353           231428
P45plus             positivo           232426           232501
P46plus             positivo           233070           233145
P47plus             positivo           233289           233364
P48plus             positivo           234644           234719
P49plus             positivo           247227           247302
P50plus             positivo           251472           251547
P51plus             positivo           256839           256914
P52plus             positivo           257469           257544
P53plus             positivo           259204           259279
P54plus             positivo           263022           263097
P55plus             positivo           277499           277574
P56plus             positivo           278408           278483
P57plus             positivo           280259           280334
P58plus             positivo           296647           296722
P59plus             positivo           298067           298142
P60plus             positivo           301121           301196
P61plus             positivo           305703           305778
P62plus             positivo           308216           308291
P63plus             positivo           319998           320073
P64plus             positivo           339377           339452
P65plus             positivo           341658           341733
P66plus             positivo           347925           348000
P67plus             positivo           362092           362167
P68plus             positivo           364316           364391
P69plus             positivo           364576           364651
P70plus             positivo           377105           377180
P71plus             positivo           387003           387078
P72plus             positivo           388520           388595
P73plus             positivo           401414           401489
P74plus             positivo           415545           415620
P75plus             positivo           418665           418740
P76plus             positivo           434778           434853
P77plus             positivo           439541           439616
P78plus             positivo           439688           439763
P79plus             positivo           452957           453032
P80plus             positivo           455993           456068
P81plus             positivo           459901           459976
P82plus             positivo           460642           460717
P83plus             positivo           474889           474964
P84plus             positivo           485124           485199
P85plus             positivo           489360           489435
P86plus             positivo           500234           500309
P87plus             positivo           508684           508759
P88plus             positivo           521606           521681
P89plus             positivo           529480           529555
P90plus             positivo           529566           529641
P91plus             positivo           532336           532411
P92plus             positivo           542181           542256
P93plus             positivo           547940           548015
P94plus             positivo           552690           552765
P95plus             positivo           557699           557774
P96plus             positivo           560182           560257
P97plus             positivo           563752           563827
P98plus             positivo           565043           565118
P99plus             positivo           569664           569739
P100plus             positivo           584920           584995
P101plus             positivo           597594           597669
P102plus             positivo           602884           602959
P103plus             positivo           604784           604859
P104plus             positivo           605837           605912
P105plus             positivo           606473           606548
P106plus             positivo           612166           612241
P107plus             positivo           616846           616921
P108plus             positivo           617077           617152
P109plus             positivo           624295           624370
P110plus             positivo           627313           627388
P111plus             positivo           631094           631169
P112plus             positivo           631233           631308
P113plus             positivo           634060           634135
P114plus             positivo           669628           669703
P115plus             positivo           678608           678683
P116plus             positivo           697282           697357
P117plus             positivo           697357           697432
P118plus             positivo           709030           709105
P119plus             positivo           712759           712834
P120plus             positivo           721062           721137
P121plus             positivo           727976           728051
P122plus             positivo           729338           729413
P123plus             positivo           730209           730284
P124plus             positivo           734044           734119
P125plus             positivo           736935           737010
P126plus             positivo           746910           746985
P127plus             positivo           748107           748182
P128plus             positivo           750953           751028
P129plus             positivo           756978           757053
P130plus             positivo           758989           759064
P131plus             positivo           770531           770606
P132plus             positivo           776959           777034
P133plus             positivo           781689           781764
P134plus             positivo           788464           788539
P135plus             positivo           807703           807778
P136plus             positivo           812356           812431
P137plus             positivo           815878           815953
P138plus             positivo           826005           826080
P139plus             positivo           838212           838287
P140plus             positivo           838473           838548
P141plus             positivo           847823           847898
P142plus             positivo           849318           849393
P143plus             positivo           849503           849578
P144plus             positivo           855281           855356
P145plus             positivo           859900           859975
P146plus             positivo           861247           861322
P147plus             positivo           861438           861513
P148plus             positivo           862017           862092
P149plus             positivo           864690           864765
P150plus             positivo           866559           866634
P151plus             positivo           871217           871292
P152plus             positivo           871691           871766
P153plus             positivo           873992           874067
P154plus             positivo           874683           874758
P155plus             positivo           875721           875796
P156plus             positivo           889647           889722
P157plus             positivo           891765           891840
P158plus             positivo           892032           892107
P159plus             positivo           893599           893674
P160plus             positivo           899024           899099
P161plus             positivo           899701           899776
P162plus             positivo           913088           913163
P163plus             positivo           921387           921462
P164plus             positivo           931988           932063
P165plus             positivo           932320           932395
P166plus             positivo           932895           932970
P167plus             positivo           933054           933129
P168plus             positivo           933850           933925
P169plus             positivo           938325           938400
P170plus             positivo           938419           938494
P171plus             positivo           938941           939016
P172plus             positivo           945301           945376
P173plus             positivo           950212           950287
P174plus             positivo           956583           956658
P175plus             positivo           972769           972844
