Region           Strand              Start               End

P1plus             positivo           4907           4982
P2plus             positivo           11561           11636
P3plus             positivo           14224           14299
P4plus             positivo           14846           14921
P5plus             positivo           15724           15799
P6plus             positivo           16203           16278
P7plus             positivo           17853           17928
P8plus             positivo           18721           18796
P9plus             positivo           21607           21682
P10plus             positivo           34990           35065
P11plus             positivo           35221           35296
P12plus             positivo           35296           35371
P13plus             positivo           36647           36722
P14plus             positivo           39198           39273
P15plus             positivo           42170           42245
P16plus             positivo           43688           43763
P17plus             positivo           48750           48825
P18plus             positivo           50785           50860
P19plus             positivo           51226           51301
P20plus             positivo           54415           54490
P21plus             positivo           58213           58288
P22plus             positivo           60079           60154
P23plus             positivo           62651           62726
P24plus             positivo           62936           63011
P25plus             positivo           69787           69862
P26plus             positivo           71077           71152
P27plus             positivo           76427           76502
P28plus             positivo           76626           76701
P29plus             positivo           78689           78764
P30plus             positivo           79068           79143
P31plus             positivo           80171           80246
P32plus             positivo           92309           92384
P33plus             positivo           97390           97465
P34plus             positivo           97744           97819
P35plus             positivo           98152           98227
P36plus             positivo           98312           98387
P37plus             positivo           100609           100684
P38plus             positivo           112946           113021
P39plus             positivo           113487           113562
P40plus             positivo           120886           120961
P41plus             positivo           122046           122121
P42plus             positivo           129144           129219
P43plus             positivo           140527           140602
P44plus             positivo           147996           148071
P45plus             positivo           150766           150841
P46plus             positivo           152648           152723
P47plus             positivo           153280           153355
P48plus             positivo           157017           157092
P49plus             positivo           159929           160004
P50plus             positivo           175758           175833
P51plus             positivo           176742           176817
P52plus             positivo           177942           178017
P53plus             positivo           178665           178740
P54plus             positivo           184059           184134
P55plus             positivo           189032           189107
P56plus             positivo           192797           192872
P57plus             positivo           193587           193662
P58plus             positivo           193699           193774
P59plus             positivo           194472           194547
P60plus             positivo           195134           195209
P61plus             positivo           198384           198459
P62plus             positivo           199226           199301
P63plus             positivo           204353           204428
P64plus             positivo           207835           207910
P65plus             positivo           209485           209560
P66plus             positivo           211580           211655
P67plus             positivo           212516           212591
P68plus             positivo           212665           212740
P69plus             positivo           217404           217479
P70plus             positivo           225758           225833
P71plus             positivo           229346           229421
P72plus             positivo           240444           240519
P73plus             positivo           242308           242383
P74plus             positivo           245910           245985
P75plus             positivo           249396           249471
P76plus             positivo           250343           250418
P77plus             positivo           250549           250624
P78plus             positivo           252842           252917
P79plus             positivo           253658           253733
P80plus             positivo           259482           259557
P81plus             positivo           263891           263966
P82plus             positivo           264891           264966
P83plus             positivo           265708           265783
P84plus             positivo           269763           269838
P85plus             positivo           272973           273048
P86plus             positivo           282084           282159
P87plus             positivo           284418           284493
P88plus             positivo           285768           285843
P89plus             positivo           288090           288165
P90plus             positivo           288369           288444
P91plus             positivo           292266           292341
P92plus             positivo           292498           292573
P93plus             positivo           293825           293900
P94plus             positivo           294284           294359
P95plus             positivo           294587           294662
P96plus             positivo           295014           295089
P97plus             positivo           295364           295439
P98plus             positivo           295984           296059
P99plus             positivo           297328           297403
P100plus             positivo           298988           299063
P101plus             positivo           303459           303534
P102plus             positivo           307534           307609
P103plus             positivo           311986           312061
P104plus             positivo           314396           314471
P105plus             positivo           316674           316749
P106plus             positivo           319544           319619
P107plus             positivo           320962           321037
P108plus             positivo           322183           322258
P109plus             positivo           322768           322843
P110plus             positivo           329278           329353
P111plus             positivo           340330           340405
P112plus             positivo           344808           344883
P113plus             positivo           346027           346102
P114plus             positivo           348701           348776
P115plus             positivo           348931           349006
P116plus             positivo           349870           349945
P117plus             positivo           357493           357568
P118plus             positivo           359183           359258
P119plus             positivo           359577           359652
P120plus             positivo           360256           360331
P121plus             positivo           361438           361513
P122plus             positivo           365699           365774
P123plus             positivo           365776           365851
P124plus             positivo           367686           367761
P125plus             positivo           367834           367909
P126plus             positivo           368472           368547
P127plus             positivo           380284           380359
P128plus             positivo           380721           380796
P129plus             positivo           383298           383373
P130plus             positivo           383759           383834
P131plus             positivo           388675           388750
P132plus             positivo           393227           393302
P133plus             positivo           393410           393485
P134plus             positivo           394120           394195
P135plus             positivo           402058           402133
P136plus             positivo           403525           403600
P137plus             positivo           405462           405537
P138plus             positivo           408552           408627
P139plus             positivo           416467           416542
P140plus             positivo           420418           420493
P141plus             positivo           420696           420771
P142plus             positivo           421469           421544
P143plus             positivo           423244           423319
P144plus             positivo           426947           427022
P145plus             positivo           428014           428089
P146plus             positivo           429068           429143
P147plus             positivo           433387           433462
P148plus             positivo           436105           436180
P149plus             positivo           440544           440619
P150plus             positivo           445948           446023
P151plus             positivo           447838           447913
P152plus             positivo           448030           448105
P153plus             positivo           448635           448710
P154plus             positivo           454488           454563
P155plus             positivo           455240           455315
P156plus             positivo           462741           462816
P157plus             positivo           467518           467593
P158plus             positivo           470139           470214
P159plus             positivo           474903           474978
P160plus             positivo           475218           475293
P161plus             positivo           475778           475853
P162plus             positivo           477207           477282
P163plus             positivo           479505           479580
P164plus             positivo           479598           479673
P165plus             positivo           480423           480498
P166plus             positivo           484679           484754
P167plus             positivo           488642           488717
P168plus             positivo           488833           488908
P169plus             positivo           490828           490903
P170plus             positivo           493524           493599
P171plus             positivo           496145           496220
P172plus             positivo           498222           498297
P173plus             positivo           499062           499137
P174plus             positivo           500304           500379
P175plus             positivo           501245           501320
P176plus             positivo           504681           504756
P177plus             positivo           506909           506984
P178plus             positivo           514673           514748
P179plus             positivo           514874           514949
P180plus             positivo           514985           515060
P181plus             positivo           517235           517310
P182plus             positivo           517894           517969
P183plus             positivo           521345           521420
P184plus             positivo           521978           522053
P185plus             positivo           523215           523290
P186plus             positivo           527323           527398
P187plus             positivo           530568           530643
P188plus             positivo           532867           532942
P189plus             positivo           533725           533800
P190plus             positivo           540161           540236
P191plus             positivo           541580           541655
P192plus             positivo           542075           542150
P193plus             positivo           542613           542688
P194plus             positivo           544005           544080
P195plus             positivo           544436           544511
P196plus             positivo           545772           545847
P197plus             positivo           551488           551563
P198plus             positivo           551644           551719
P199plus             positivo           552185           552260
P200plus             positivo           554229           554304
P201plus             positivo           554707           554782
P202plus             positivo           559304           559379
P203plus             positivo           567385           567460
P204plus             positivo           569136           569211
P205plus             positivo           570197           570272
P206plus             positivo           570631           570706
P207plus             positivo           571806           571881
P208plus             positivo           572442           572517
P209plus             positivo           572628           572703
P210plus             positivo           573442           573517
P211plus             positivo           573885           573960
P212plus             positivo           576825           576900
P213plus             positivo           578458           578533
P214plus             positivo           582546           582621
P215plus             positivo           585869           585944
P216plus             positivo           586429           586504
P217plus             positivo           587120           587195
P218plus             positivo           588485           588560
P219plus             positivo           595405           595480
P220plus             positivo           596327           596402
P221plus             positivo           599178           599253
P222plus             positivo           599886           599961
P223plus             positivo           603632           603707
P224plus             positivo           605736           605811
P225plus             positivo           611785           611860
P226plus             positivo           612762           612837
P227plus             positivo           613358           613433
P228plus             positivo           614554           614629
P229plus             positivo           624520           624595
P230plus             positivo           625749           625824
P231plus             positivo           630080           630155
P232plus             positivo           630960           631035
P233plus             positivo           634399           634474
P234plus             positivo           637588           637663
P235plus             positivo           638764           638839
P236plus             positivo           644502           644577
P237plus             positivo           647679           647754
P238plus             positivo           648572           648647
P239plus             positivo           650440           650515
P240plus             positivo           651488           651563
P241plus             positivo           654751           654826
P242plus             positivo           656078           656153
P243plus             positivo           656649           656724
P244plus             positivo           657065           657140
P245plus             positivo           660899           660974
P246plus             positivo           661550           661625
P247plus             positivo           661658           661733
P248plus             positivo           667329           667404
P249plus             positivo           672496           672571
P250plus             positivo           675070           675145
P251plus             positivo           676181           676256
P252plus             positivo           686320           686395
P253plus             positivo           686895           686970
P254plus             positivo           692611           692686
P255plus             positivo           697979           698054
P256plus             positivo           701664           701739
P257plus             positivo           701773           701848
P258plus             positivo           703194           703269
P259plus             positivo           704272           704347
P260plus             positivo           705781           705856
P261plus             positivo           706965           707040
P262plus             positivo           710317           710392
P263plus             positivo           710972           711047
P264plus             positivo           714691           714766
P265plus             positivo           716538           716613
P266plus             positivo           717179           717254
P267plus             positivo           718488           718563
P268plus             positivo           726053           726128
P269plus             positivo           732719           732794
P270plus             positivo           732850           732925
P271plus             positivo           735839           735914
P272plus             positivo           741938           742013
P273plus             positivo           742819           742894
P274plus             positivo           744843           744918
P275plus             positivo           748875           748950
P276plus             positivo           751774           751849
P277plus             positivo           765465           765540
P278plus             positivo           766236           766311
P279plus             positivo           770935           771010
P280plus             positivo           773523           773598
P281plus             positivo           774723           774798
P282plus             positivo           774811           774886
P283plus             positivo           775644           775719
P284plus             positivo           776652           776727
P1minus             negativo           4876           4951
P2minus             negativo           11535           11610
P3minus             negativo           14185           14260
P4minus             negativo           14816           14891
P5minus             negativo           15701           15776
P6minus             negativo           16168           16243
P7minus             negativo           17837           17912
P8minus             negativo           18704           18779
P9minus             negativo           21601           21676
P10minus             negativo           34967           35042
P11minus             negativo           35200           35275
P12minus             negativo           35275           35350
P13minus             negativo           36650           36725
P14minus             negativo           39184           39259
P15minus             negativo           42142           42217
P16minus             negativo           43644           43719
P17minus             negativo           48737           48812
P18minus             negativo           50744           50819
P19minus             negativo           51216           51291
P20minus             negativo           54366           54441
P21minus             negativo           58189           58264
P22minus             negativo           60064           60139
P23minus             negativo           62646           62721
P24minus             negativo           62890           62965
P25minus             negativo           69773           69848
P26minus             negativo           71059           71134
P27minus             negativo           76436           76511
P28minus             negativo           76606           76681
P29minus             negativo           78664           78739
P30minus             negativo           79044           79119
P31minus             negativo           80132           80207
P32minus             negativo           92316           92391
P33minus             negativo           97388           97463
P34minus             negativo           97745           97820
P35minus             negativo           98145           98220
P36minus             negativo           98294           98369
P37minus             negativo           100599           100674
P38minus             negativo           112914           112989
P39minus             negativo           113480           113555
P40minus             negativo           120860           120935
P41minus             negativo           121999           122074
P42minus             negativo           129095           129170
P43minus             negativo           140513           140588
P44minus             negativo           147975           148050
P45minus             negativo           150735           150810
P46minus             negativo           152637           152712
P47minus             negativo           153289           153364
P48minus             negativo           157026           157101
P49minus             negativo           159934           160009
P50minus             negativo           175717           175792
P51minus             negativo           176744           176819
P52minus             negativo           177916           177991
P53minus             negativo           178639           178714
P54minus             negativo           184042           184117
P55minus             negativo           189036           189111
P56minus             negativo           192772           192847
P57minus             negativo           193560           193635
P58minus             negativo           193711           193786
P59minus             negativo           194462           194537
P60minus             negativo           195125           195200
P61minus             negativo           198376           198451
P62minus             negativo           199179           199254
P63minus             negativo           204352           204427
P64minus             negativo           207811           207886
P65minus             negativo           209467           209542
P66minus             negativo           211559           211634
P67minus             negativo           212530           212605
P68minus             negativo           212644           212719
P69minus             negativo           217367           217442
P70minus             negativo           225738           225813
P71minus             negativo           229342           229417
P72minus             negativo           240433           240508
P73minus             negativo           240508           240583
P74minus             negativo           242296           242371
P75minus             negativo           245906           245981
P76minus             negativo           249361           249436
P77minus             negativo           250323           250398
P78minus             negativo           250557           250632
P79minus             negativo           252804           252879
P80minus             negativo           253626           253701
P81minus             negativo           259448           259523
P82minus             negativo           263889           263964
P83minus             negativo           264901           264976
P84minus             negativo           265684           265759
P85minus             negativo           269725           269800
P86minus             negativo           272947           273022
P87minus             negativo           282042           282117
P88minus             negativo           284429           284504
P89minus             negativo           285746           285821
P90minus             negativo           288058           288133
P91minus             negativo           288344           288419
P92minus             negativo           292232           292307
P93minus             negativo           292453           292528
P94minus             negativo           293794           293869
P95minus             negativo           294264           294339
P96minus             negativo           294552           294627
P97minus             negativo           294995           295070
P98minus             negativo           295364           295439
P99minus             negativo           295954           296029
P100minus             negativo           297309           297384
P101minus             negativo           298960           299035
P102minus             negativo           303461           303536
P103minus             negativo           307498           307573
P104minus             negativo           311937           312012
P105minus             negativo           314351           314426
P106minus             negativo           316664           316739
P107minus             negativo           319510           319585
P108minus             negativo           320935           321010
P109minus             negativo           322184           322259
P110minus             negativo           322745           322820
P111minus             negativo           329279           329354
P112minus             negativo           340324           340399
P113minus             negativo           344822           344897
P114minus             negativo           346024           346099
P115minus             negativo           348676           348751
P116minus             negativo           348944           349019
P117minus             negativo           349891           349966
P118minus             negativo           357471           357546
P119minus             negativo           359182           359257
P120minus             negativo           359546           359621
P121minus             negativo           360236           360311
P122minus             negativo           361430           361505
P123minus             negativo           365683           365758
P124minus             negativo           365758           365833
P125minus             negativo           367685           367760
P126minus             negativo           367811           367886
P127minus             negativo           368447           368522
P128minus             negativo           380262           380337
P129minus             negativo           380698           380773
P130minus             negativo           383293           383368
P131minus             negativo           383756           383831
P132minus             negativo           388659           388734
P133minus             negativo           393217           393292
P134minus             negativo           393379           393454
P135minus             negativo           393460           393535
P136minus             negativo           394116           394191
P137minus             negativo           402058           402133
P138minus             negativo           403488           403563
P139minus             negativo           405416           405491
P140minus             negativo           408531           408606
P141minus             negativo           416472           416547
P142minus             negativo           420393           420468
P143minus             negativo           420681           420756
P144minus             negativo           421423           421498
P145minus             negativo           423226           423301
P146minus             negativo           426912           426987
P147minus             negativo           427982           428057
P148minus             negativo           429091           429166
P149minus             negativo           433369           433444
P150minus             negativo           436090           436165
P151minus             negativo           440568           440643
P152minus             negativo           445917           445992
P153minus             negativo           447813           447888
P154minus             negativo           448027           448102
P155minus             negativo           448603           448678
P156minus             negativo           454482           454557
P157minus             negativo           455234           455309
P158minus             negativo           462720           462795
P159minus             negativo           467478           467553
P160minus             negativo           470135           470210
P161minus             negativo           474874           474949
P162minus             negativo           475227           475302
P163minus             negativo           475762           475837
P164minus             negativo           477174           477249
P165minus             negativo           479480           479555
P166minus             negativo           479555           479630
P167minus             negativo           480418           480493
P168minus             negativo           484656           484731
P169minus             negativo           488657           488732
P170minus             negativo           488830           488905
P171minus             negativo           490815           490890
P172minus             negativo           493485           493560
P173minus             negativo           496131           496206
P174minus             negativo           498220           498295
P175minus             negativo           499059           499134
P176minus             negativo           500290           500365
P177minus             negativo           501257           501332
P178minus             negativo           504685           504760
P179minus             negativo           506871           506946
P180minus             negativo           514653           514728
P181minus             negativo           514841           514916
P182minus             negativo           514944           515019
P183minus             negativo           517235           517310
P184minus             negativo           517893           517968
P185minus             negativo           521305           521380
P186minus             negativo           521954           522029
P187minus             negativo           523186           523261
P188minus             negativo           527297           527372
P189minus             negativo           530571           530646
P190minus             negativo           532887           532962
P191minus             negativo           533741           533816
P192minus             negativo           540133           540208
P193minus             negativo           541569           541644
P194minus             negativo           542032           542107
P195minus             negativo           542590           542665
