Region           Strand              Start               End

P1plus             positivo           2093           2168
P2plus             positivo           2768           2843
P3plus             positivo           3755           3830
P4plus             positivo           4585           4660
P5plus             positivo           12288           12363
P6plus             positivo           17510           17585
P7plus             positivo           22606           22681
P8plus             positivo           26534           26609
P9plus             positivo           27098           27173
P10plus             positivo           32398           32473
P11plus             positivo           32503           32578
P12plus             positivo           33280           33355
P13plus             positivo           33625           33700
P14plus             positivo           34300           34375
P15plus             positivo           38409           38484
P16plus             positivo           43398           43473
P17plus             positivo           47986           48061
P18plus             positivo           48712           48787
P19plus             positivo           54734           54809
P20plus             positivo           58763           58838
P21plus             positivo           61116           61191
P22plus             positivo           65843           65918
P23plus             positivo           70382           70457
P24plus             positivo           71910           71985
P25plus             positivo           73431           73506
P26plus             positivo           76508           76583
P27plus             positivo           85758           85833
P28plus             positivo           97858           97933
P29plus             positivo           101380           101455
P30plus             positivo           102716           102791
P31plus             positivo           104844           104919
P32plus             positivo           110021           110096
P33plus             positivo           110377           110452
P34plus             positivo           110578           110653
P35plus             positivo           111245           111320
P36plus             positivo           111411           111486
P37plus             positivo           111609           111684
P38plus             positivo           115915           115990
P39plus             positivo           117754           117829
P40plus             positivo           117946           118021
P41plus             positivo           122728           122803
P42plus             positivo           125356           125431
P43plus             positivo           131042           131117
P44plus             positivo           131271           131346
P45plus             positivo           132046           132121
P46plus             positivo           133368           133443
P47plus             positivo           133805           133880
P48plus             positivo           137831           137906
P49plus             positivo           138961           139036
P50plus             positivo           142401           142476
P51plus             positivo           144180           144255
P52plus             positivo           146323           146398
P53plus             positivo           152397           152472
P54plus             positivo           157457           157532
P55plus             positivo           160862           160937
P56plus             positivo           163260           163335
P57plus             positivo           166877           166952
P58plus             positivo           171518           171593
P59plus             positivo           172879           172954
P60plus             positivo           178319           178394
P61plus             positivo           185612           185687
P62plus             positivo           190258           190333
P63plus             positivo           193184           193259
P64plus             positivo           199923           199998
P65plus             positivo           202177           202252
P66plus             positivo           204930           205005
P67plus             positivo           206251           206326
P68plus             positivo           206711           206786
