Region           Strand              Start               End

P1plus             positivo           6552           6627
P2plus             positivo           12249           12324
P3plus             positivo           18575           18650
P4plus             positivo           24349           24424
P5plus             positivo           30044           30119
P6plus             positivo           32795           32870
P7plus             positivo           38174           38249
P8plus             positivo           38420           38495
P9plus             positivo           40949           41024
P10plus             positivo           47438           47513
P11plus             positivo           61629           61704
P12plus             positivo           62197           62272
P13plus             positivo           68039           68114
P14plus             positivo           68894           68969
P15plus             positivo           71142           71217
P16plus             positivo           81177           81252
P17plus             positivo           84074           84149
P18plus             positivo           87187           87262
P19plus             positivo           94079           94154
P20plus             positivo           96697           96772
P21plus             positivo           103240           103315
P22plus             positivo           103989           104064
P23plus             positivo           108035           108110
P24plus             positivo           112621           112696
P25plus             positivo           120391           120466
P26plus             positivo           120906           120981
P27plus             positivo           121731           121806
P28plus             positivo           129839           129914
P29plus             positivo           138058           138133
P30plus             positivo           143537           143612
P31plus             positivo           143720           143795
P32plus             positivo           144157           144232
P33plus             positivo           146637           146712
P34plus             positivo           148049           148124
P35plus             positivo           155207           155282
P36plus             positivo           155484           155559
P37plus             positivo           157768           157843
P38plus             positivo           161595           161670
P39plus             positivo           164024           164099
P40plus             positivo           165142           165217
P41plus             positivo           168633           168708
P42plus             positivo           172147           172222
P43plus             positivo           174356           174431
P44plus             positivo           182298           182373
P45plus             positivo           184320           184395
P46plus             positivo           184450           184525
P47plus             positivo           187890           187965
P48plus             positivo           189180           189255
P49plus             positivo           202011           202086
P50plus             positivo           205369           205444
P51plus             positivo           212322           212397
P52plus             positivo           215232           215307
P53plus             positivo           219150           219225
P54plus             positivo           225988           226063
P55plus             positivo           231129           231204
P56plus             positivo           232963           233038
P57plus             positivo           237663           237738
P58plus             positivo           240980           241055
P59plus             positivo           251191           251266
P60plus             positivo           255003           255078
P61plus             positivo           255978           256053
P62plus             positivo           256257           256332
P63plus             positivo           271613           271688
P64plus             positivo           278189           278264
P65plus             positivo           282498           282573
P66plus             positivo           283790           283865
P67plus             positivo           283897           283972
P68plus             positivo           289933           290008
P69plus             positivo           290273           290348
P70plus             positivo           303169           303244
P71plus             positivo           303538           303613
P72plus             positivo           303774           303849
P73plus             positivo           304500           304575
P74plus             positivo           306506           306581
P75plus             positivo           314499           314574
P76plus             positivo           323729           323804
P77plus             positivo           327071           327146
P78plus             positivo           333925           334000
P79plus             positivo           334622           334697
P80plus             positivo           342205           342280
P81plus             positivo           347422           347497
P82plus             positivo           352185           352260
P83plus             positivo           356400           356475
P84plus             positivo           364291           364366
P85plus             positivo           366598           366673
P86plus             positivo           370896           370971
P87plus             positivo           379930           380005
P88plus             positivo           383866           383941
P89plus             positivo           387696           387771
P90plus             positivo           408876           408951
P91plus             positivo           411551           411626
P92plus             positivo           414280           414355
P93plus             positivo           415405           415480
P94plus             positivo           416007           416082
P95plus             positivo           421220           421295
P96plus             positivo           422326           422401
P97plus             positivo           422728           422803
P98plus             positivo           429619           429694
P99plus             positivo           435144           435219
P100plus             positivo           439025           439100
P101plus             positivo           441735           441810
P102plus             positivo           445187           445262
P103plus             positivo           447053           447128
P104plus             positivo           447880           447955
P105plus             positivo           455007           455082
P106plus             positivo           457590           457665
P107plus             positivo           459046           459121
P108plus             positivo           459761           459836
P109plus             positivo           472832           472907
P110plus             positivo           479171           479246
P111plus             positivo           481043           481118
P112plus             positivo           493559           493634
P113plus             positivo           504251           504326
P114plus             positivo           511375           511450
P115plus             positivo           512679           512754
P116plus             positivo           515843           515918
P117plus             positivo           520869           520944
P118plus             positivo           521004           521079
P119plus             positivo           522616           522691
P120plus             positivo           528087           528162
P121plus             positivo           529523           529598
P122plus             positivo           540300           540375
P123plus             positivo           547835           547910
P124plus             positivo           554428           554503
P125plus             positivo           558215           558290
P126plus             positivo           559859           559934
P127plus             positivo           569394           569469
P128plus             positivo           572821           572896
P129plus             positivo           573887           573962
P130plus             positivo           582277           582352
P131plus             positivo           583020           583095
P132plus             positivo           589860           589935
P133plus             positivo           590082           590157
P134plus             positivo           592882           592957
P135plus             positivo           592976           593051
P136plus             positivo           596659           596734
P137plus             positivo           597413           597488
P138plus             positivo           602525           602600
P139plus             positivo           611395           611470
P140plus             positivo           614743           614818
P141plus             positivo           615231           615306
P142plus             positivo           630029           630104
P143plus             positivo           636339           636414
P144plus             positivo           638435           638510
P145plus             positivo           640111           640186
P146plus             positivo           658060           658135
P147plus             positivo           665588           665663
P148plus             positivo           668103           668178
P149plus             positivo           668583           668658
P150plus             positivo           670545           670620
P151plus             positivo           671939           672014
P152plus             positivo           673478           673553
P153plus             positivo           674702           674777
P154plus             positivo           675564           675639
P155plus             positivo           683947           684022
P156plus             positivo           686853           686928
P157plus             positivo           691311           691386
P158plus             positivo           694361           694436
P159plus             positivo           696193           696268
P160plus             positivo           699099           699174
P161plus             positivo           701068           701143
P162plus             positivo           702009           702084
P163plus             positivo           728196           728271
P164plus             positivo           728287           728362
P165plus             positivo           736582           736657
P166plus             positivo           736782           736857
P167plus             positivo           737782           737857
P168plus             positivo           740279           740354
P169plus             positivo           744680           744755
P170plus             positivo           748560           748635
P171plus             positivo           749997           750072
P172plus             positivo           758773           758848
P173plus             positivo           762875           762950
P174plus             positivo           765006           765081
