Region           Strand              Start               End

P1plus             positivo           3098           3173
P2plus             positivo           4021           4096
P3plus             positivo           4835           4910
P4plus             positivo           5070           5145
P5plus             positivo           5246           5321
P6plus             positivo           7302           7377
P7plus             positivo           10097           10172
P8plus             positivo           10579           10654
P9plus             positivo           11405           11480
P10plus             positivo           11604           11679
P11plus             positivo           11721           11796
P12plus             positivo           14851           14926
P13plus             positivo           15289           15364
P14plus             positivo           16174           16249
P15plus             positivo           16318           16393
P16plus             positivo           17315           17390
P17plus             positivo           17464           17539
P18plus             positivo           21543           21618
P19plus             positivo           24335           24410
P20plus             positivo           24720           24795
P21plus             positivo           24795           24870
P22plus             positivo           28253           28328
P23plus             positivo           28911           28986
P24plus             positivo           29199           29274
P25plus             positivo           36283           36358
P26plus             positivo           36455           36530
P27plus             positivo           36813           36888
P28plus             positivo           37742           37817
P29plus             positivo           47967           48042
P30plus             positivo           48257           48332
P31plus             positivo           53824           53899
P32plus             positivo           54717           54792
P33plus             positivo           55849           55924
P34plus             positivo           56998           57073
P35plus             positivo           57400           57475
P36plus             positivo           62652           62727
P37plus             positivo           62850           62925
P38plus             positivo           63102           63177
P39plus             positivo           63246           63321
P40plus             positivo           63648           63723
P41plus             positivo           65558           65633
P42plus             positivo           67380           67455
P43plus             positivo           68071           68146
P44plus             positivo           69189           69264
P45plus             positivo           70222           70297
P46plus             positivo           71403           71478
P47plus             positivo           71699           71774
P48plus             positivo           71976           72051
P49plus             positivo           73117           73192
P50plus             positivo           74389           74464
P51plus             positivo           76028           76103
P52plus             positivo           76374           76449
P53plus             positivo           84565           84640
P54plus             positivo           85881           85956
P55plus             positivo           88032           88107
P56plus             positivo           89059           89134
P57plus             positivo           89134           89209
P58plus             positivo           90862           90937
P59plus             positivo           97332           97407
P60plus             positivo           97661           97736
P61plus             positivo           100594           100669
P62plus             positivo           101701           101776
P63plus             positivo           106569           106644
P64plus             positivo           108861           108936
P65plus             positivo           109892           109967
P66plus             positivo           110007           110082
P67plus             positivo           110434           110509
P68plus             positivo           111697           111772
P69plus             positivo           112199           112274
P70plus             positivo           112921           112996
P71plus             positivo           115726           115801
P72plus             positivo           118016           118091
P73plus             positivo           118189           118264
P74plus             positivo           121973           122048
P75plus             positivo           123247           123322
P76plus             positivo           125222           125297
P77plus             positivo           125777           125852
P78plus             positivo           127688           127763
P79plus             positivo           132759           132834
P80plus             positivo           134652           134727
P81plus             positivo           139038           139113
P82plus             positivo           143995           144070
P83plus             positivo           144691           144766
P84plus             positivo           146247           146322
P85plus             positivo           149381           149456
P86plus             positivo           151004           151079
P87plus             positivo           153130           153205
P88plus             positivo           154885           154960
P89plus             positivo           158922           158997
P90plus             positivo           162423           162498
P91plus             positivo           162537           162612
P92plus             positivo           164526           164601
P93plus             positivo           169089           169164
P94plus             positivo           171747           171822
P95plus             positivo           176102           176177
P96plus             positivo           176510           176585
P97plus             positivo           177791           177866
P98plus             positivo           177928           178003
P99plus             positivo           178015           178090
P100plus             positivo           179924           179999
P101plus             positivo           180518           180593
P102plus             positivo           181812           181887
P103plus             positivo           182149           182224
P104plus             positivo           183828           183903
P105plus             positivo           184206           184281
P106plus             positivo           184582           184657
P107plus             positivo           185186           185261
P108plus             positivo           189693           189768
P109plus             positivo           190590           190665
P110plus             positivo           191492           191567
P111plus             positivo           192938           193013
P112plus             positivo           195057           195132
P113plus             positivo           196365           196440
P114plus             positivo           199110           199185
P115plus             positivo           203226           203301
P116plus             positivo           204705           204780
P117plus             positivo           204958           205033
P118plus             positivo           205898           205973
