Region           Strand              Start               End

P1plus             positivo           969           1044
P2plus             positivo           4853           4928
P3plus             positivo           5853           5928
P4plus             positivo           6212           6287
P5plus             positivo           7313           7388
P6plus             positivo           11946           12021
P7plus             positivo           17712           17787
P8plus             positivo           21360           21435
P9plus             positivo           21978           22053
P10plus             positivo           24971           25046
P11plus             positivo           25457           25532
P12plus             positivo           25972           26047
P13plus             positivo           30176           30251
P14plus             positivo           41089           41164
P15plus             positivo           51830           51905
P16plus             positivo           52016           52091
P17plus             positivo           53340           53415
P18plus             positivo           56763           56838
P19plus             positivo           59581           59656
P20plus             positivo           61557           61632
P21plus             positivo           64039           64114
P22plus             positivo           68766           68841
P23plus             positivo           69651           69726
P24plus             positivo           70415           70490
P25plus             positivo           72308           72383
P26plus             positivo           73753           73828
P27plus             positivo           76234           76309
P28plus             positivo           76768           76843
P29plus             positivo           81778           81853
P30plus             positivo           82139           82214
P31plus             positivo           87513           87588
P32plus             positivo           89257           89332
P33plus             positivo           92965           93040
P34plus             positivo           94651           94726
P35plus             positivo           95956           96031
P36plus             positivo           98850           98925
P37plus             positivo           99670           99745
P38plus             positivo           100124           100199
P39plus             positivo           104111           104186
P40plus             positivo           106407           106482
P41plus             positivo           107831           107906
P42plus             positivo           110619           110694
P43plus             positivo           111646           111721
P44plus             positivo           116496           116571
P45plus             positivo           118532           118607
P46plus             positivo           124377           124452
P47plus             positivo           140908           140983
P48plus             positivo           143622           143697
P49plus             positivo           145387           145462
P50plus             positivo           146377           146452
P51plus             positivo           150519           150594
P52plus             positivo           150696           150771
P53plus             positivo           152941           153016
P54plus             positivo           155753           155828
P55plus             positivo           160990           161065
P56plus             positivo           163661           163736
P57plus             positivo           164200           164275
P58plus             positivo           165306           165381
P59plus             positivo           168619           168694
P60plus             positivo           170559           170634
P61plus             positivo           172257           172332
P62plus             positivo           174563           174638
P63plus             positivo           176417           176492
P64plus             positivo           182361           182436
P65plus             positivo           183004           183079
P66plus             positivo           183789           183864
P67plus             positivo           184140           184215
P68plus             positivo           184734           184809
P69plus             positivo           185414           185489
P70plus             positivo           189333           189408
P71plus             positivo           189948           190023
P72plus             positivo           196145           196220
P73plus             positivo           198866           198941
P74plus             positivo           200316           200391
P75plus             positivo           202866           202941
P76plus             positivo           202959           203034
P77plus             positivo           210128           210203
P78plus             positivo           213442           213517
P79plus             positivo           217302           217377
P80plus             positivo           219018           219093
P81plus             positivo           219364           219439
P82plus             positivo           220300           220375
P83plus             positivo           233782           233857
P84plus             positivo           246262           246337
P85plus             positivo           246364           246439
P86plus             positivo           246570           246645
P87plus             positivo           247425           247500
P88plus             positivo           248073           248148
P89plus             positivo           248148           248223
P90plus             positivo           255004           255079
P91plus             positivo           262198           262273
P92plus             positivo           266538           266613
P93plus             positivo           270081           270156
P94plus             positivo           270156           270231
P95plus             positivo           272171           272246
P96plus             positivo           272657           272732
P97plus             positivo           273957           274032
P98plus             positivo           276846           276921
P99plus             positivo           278690           278765
P100plus             positivo           283489           283564
P101plus             positivo           291389           291464
P102plus             positivo           294671           294746
P103plus             positivo           296515           296590
P104plus             positivo           306370           306445
P105plus             positivo           307903           307978
P106plus             positivo           310011           310086
P107plus             positivo           314447           314522
P108plus             positivo           316290           316365
P109plus             positivo           328319           328394
P110plus             positivo           328495           328570
P111plus             positivo           331628           331703
P112plus             positivo           333866           333941
P113plus             positivo           335078           335153
P114plus             positivo           339356           339431
P115plus             positivo           350922           350997
P116plus             positivo           351044           351119
P117plus             positivo           351439           351514
P118plus             positivo           352423           352498
P119plus             positivo           354635           354710
P120plus             positivo           357663           357738
P121plus             positivo           361226           361301
P122plus             positivo           368027           368102
P123plus             positivo           369337           369412
P124plus             positivo           369412           369487
P125plus             positivo           374930           375005
P126plus             positivo           375193           375268
P127plus             positivo           377347           377422
P128plus             positivo           378014           378089
P129plus             positivo           378311           378386
P130plus             positivo           380694           380769
P131plus             positivo           382282           382357
P132plus             positivo           387066           387141
P133plus             positivo           390545           390620
P134plus             positivo           398513           398588
P135plus             positivo           399367           399442
P136plus             positivo           399912           399987
P137plus             positivo           400912           400987
P138plus             positivo           406442           406517
