Region           Strand              Start               End

P1plus             positivo           901           976
P2plus             positivo           1351           1426
P3plus             positivo           12080           12155
P4plus             positivo           14913           14988
P5plus             positivo           15918           15993
P6plus             positivo           18107           18182
P7plus             positivo           22908           22983
P8plus             positivo           24442           24517
P9plus             positivo           26747           26822
P10plus             positivo           31043           31118
P11plus             positivo           31413           31488
P12plus             positivo           33450           33525
P13plus             positivo           34856           34931
P14plus             positivo           35073           35148
P15plus             positivo           36914           36989
P16plus             positivo           37313           37388
P17plus             positivo           38622           38697
P18plus             positivo           42180           42255
P19plus             positivo           43813           43888
P20plus             positivo           50333           50408
P21plus             positivo           51196           51271
P22plus             positivo           51955           52030
P23plus             positivo           63869           63944
P24plus             positivo           67772           67847
P25plus             positivo           69960           70035
P26plus             positivo           74089           74164
P27plus             positivo           75966           76041
P28plus             positivo           78781           78856
P29plus             positivo           79596           79671
P30plus             positivo           87992           88067
P31plus             positivo           88443           88518
P32plus             positivo           88942           89017
P33plus             positivo           97147           97222
P34plus             positivo           97230           97305
P35plus             positivo           100363           100438
P36plus             positivo           101116           101191
P37plus             positivo           105721           105796
P38plus             positivo           105984           106059
P39plus             positivo           107182           107257
P40plus             positivo           107700           107775
P41plus             positivo           109324           109399
P42plus             positivo           115105           115180
P43plus             positivo           118113           118188
P44plus             positivo           121418           121493
P45plus             positivo           123211           123286
P46plus             positivo           124058           124133
P47plus             positivo           124159           124234
P48plus             positivo           132509           132584
P49plus             positivo           138304           138379
P50plus             positivo           141193           141268
P51plus             positivo           142304           142379
P52plus             positivo           143694           143769
P53plus             positivo           146017           146092
P54plus             positivo           148077           148152
P55plus             positivo           151957           152032
P56plus             positivo           160719           160794
P57plus             positivo           162295           162370
P58plus             positivo           162874           162949
P59plus             positivo           163595           163670
P60plus             positivo           164300           164375
P61plus             positivo           164439           164514
P62plus             positivo           164543           164618
P63plus             positivo           165186           165261
P64plus             positivo           167786           167861
P65plus             positivo           170039           170114
P66plus             positivo           171070           171145
P67plus             positivo           174013           174088
P68plus             positivo           175548           175623
P69plus             positivo           180901           180976
P70plus             positivo           181059           181134
P71plus             positivo           182106           182181
P72plus             positivo           185206           185281
P73plus             positivo           187879           187954
P74plus             positivo           188268           188343
P75plus             positivo           192339           192414
P76plus             positivo           195768           195843
P77plus             positivo           208886           208961
P78plus             positivo           210016           210091
P79plus             positivo           215123           215198
P80plus             positivo           218420           218495
P81plus             positivo           225241           225316
P82plus             positivo           230915           230990
P83plus             positivo           231036           231111
P84plus             positivo           241914           241989
P85plus             positivo           254515           254590
P86plus             positivo           258765           258840
P87plus             positivo           260029           260104
P88plus             positivo           262992           263067
P89plus             positivo           263382           263457
P90plus             positivo           264739           264814
P91plus             positivo           267804           267879
P92plus             positivo           269935           270010
P93plus             positivo           276197           276272
P94plus             positivo           282913           282988
P95plus             positivo           283694           283769
P96plus             positivo           284930           285005
P97plus             positivo           286214           286289
P98plus             positivo           289403           289478
P99plus             positivo           292570           292645
P100plus             positivo           293718           293793
P101plus             positivo           293840           293915
P102plus             positivo           294089           294164
P103plus             positivo           297487           297562
P104plus             positivo           298628           298703
P105plus             positivo           303550           303625
P106plus             positivo           303705           303780
P107plus             positivo           307607           307682
P108plus             positivo           311039           311114
P109plus             positivo           311159           311234
P110plus             positivo           313421           313496
P111plus             positivo           316219           316294
P112plus             positivo           316661           316736
P113plus             positivo           321814           321889
P114plus             positivo           326142           326217
P115plus             positivo           331683           331758
P116plus             positivo           335435           335510
P117plus             positivo           340039           340114
P118plus             positivo           341235           341310
P119plus             positivo           343547           343622
P120plus             positivo           347006           347081
P121plus             positivo           349444           349519
P122plus             positivo           350178           350253
P123plus             positivo           353190           353265
P124plus             positivo           356744           356819
P125plus             positivo           357620           357695
P126plus             positivo           360349           360424
P127plus             positivo           361020           361095
P128plus             positivo           364518           364593
P129plus             positivo           369992           370067
P130plus             positivo           372996           373071
P131plus             positivo           373264           373339
P132plus             positivo           374678           374753
P133plus             positivo           375740           375815
P134plus             positivo           388179           388254
P135plus             positivo           388642           388717
P136plus             positivo           393550           393625
P137plus             positivo           394525           394600
P138plus             positivo           395672           395747
P139plus             positivo           396047           396122
P140plus             positivo           399215           399290
P141plus             positivo           399517           399592
P142plus             positivo           400734           400809
P143plus             positivo           401305           401380
P144plus             positivo           405400           405475
P145plus             positivo           406349           406424
P146plus             positivo           407026           407101
P147plus             positivo           410858           410933
P148plus             positivo           419942           420017
P149plus             positivo           422783           422858
P150plus             positivo           424425           424500
P151plus             positivo           425452           425527
P152plus             positivo           427086           427161
P153plus             positivo           428974           429049
P154plus             positivo           433100           433175
P155plus             positivo           433833           433908
P156plus             positivo           435670           435745
P157plus             positivo           445251           445326
P158plus             positivo           446491           446566
P159plus             positivo           448091           448166
P160plus             positivo           450250           450325
P161plus             positivo           452741           452816
P162plus             positivo           453256           453331
P163plus             positivo           455325           455400
P164plus             positivo           460177           460252
P165plus             positivo           462745           462820
P166plus             positivo           464734           464809
P167plus             positivo           465250           465325
P168plus             positivo           468054           468129
P169plus             positivo           472346           472421
P170plus             positivo           474477           474552
P171plus             positivo           479245           479320
P172plus             positivo           480759           480834
P173plus             positivo           484751           484826
P174plus             positivo           484929           485004
P175plus             positivo           486335           486410
P176plus             positivo           495225           495300
P177plus             positivo           496341           496416
P178plus             positivo           498090           498165
P179plus             positivo           504365           504440
P180plus             positivo           510404           510479
P181plus             positivo           510825           510900
P182plus             positivo           512375           512450
P183plus             positivo           515654           515729
P184plus             positivo           525166           525241
P185plus             positivo           527248           527323
P186plus             positivo           531001           531076
P187plus             positivo           531765           531840
P188plus             positivo           531929           532004
P189plus             positivo           536058           536133
P190plus             positivo           538131           538206
P191plus             positivo           540893           540968
P192plus             positivo           541796           541871
P193plus             positivo           554872           554947
P194plus             positivo           555886           555961
P195plus             positivo           556228           556303
P196plus             positivo           557813           557888
