Region           Strand              Start               End

P1plus             positivo           528           603
P2plus             positivo           1291           1366
P3plus             positivo           1444           1519
P4plus             positivo           4201           4276
P5plus             positivo           4481           4556
P6plus             positivo           4591           4666
P7plus             positivo           9073           9148
P8plus             positivo           10318           10393
P9plus             positivo           11089           11164
P10plus             positivo           11969           12044
P11plus             positivo           14536           14611
P12plus             positivo           14924           14999
P13plus             positivo           15342           15417
P14plus             positivo           15909           15984
P15plus             positivo           17574           17649
P16plus             positivo           17811           17886
P17plus             positivo           18039           18114
P18plus             positivo           18294           18369
P19plus             positivo           18417           18492
P20plus             positivo           18500           18575
P21plus             positivo           22012           22087
P22plus             positivo           22095           22170
P23plus             positivo           22314           22389
P24plus             positivo           23068           23143
P25plus             positivo           23816           23891
P26plus             positivo           26268           26343
P27plus             positivo           27485           27560
P28plus             positivo           29454           29529
P29plus             positivo           30410           30485
P30plus             positivo           31228           31303
P31plus             positivo           32563           32638
P32plus             positivo           33280           33355
P33plus             positivo           35947           36022
P34plus             positivo           36022           36097
P35plus             positivo           39453           39528
P36plus             positivo           44286           44361
P37plus             positivo           48055           48130
P38plus             positivo           48886           48961
P39plus             positivo           49171           49246
P40plus             positivo           49783           49858
P41plus             positivo           49894           49969
P42plus             positivo           50576           50651
P43plus             positivo           61192           61267
P44plus             positivo           62292           62367
P45plus             positivo           68544           68619
P46plus             positivo           68827           68902
P47plus             positivo           69565           69640
P48plus             positivo           69868           69943
P49plus             positivo           71111           71186
P50plus             positivo           72520           72595
P51plus             positivo           77890           77965
P52plus             positivo           80434           80509
P53plus             positivo           81312           81387
P54plus             positivo           82110           82185
P55plus             positivo           83088           83163
P56plus             positivo           83370           83445
P57plus             positivo           84806           84881
P58plus             positivo           87385           87460
P59plus             positivo           89124           89199
P60plus             positivo           90031           90106
P61plus             positivo           94067           94142
P62plus             positivo           96653           96728
P63plus             positivo           97703           97778
P64plus             positivo           98137           98212
P65plus             positivo           99425           99500
P66plus             positivo           100264           100339
P67plus             positivo           100356           100431
P68plus             positivo           103054           103129
P69plus             positivo           103534           103609
P70plus             positivo           103685           103760
P71plus             positivo           104002           104077
P72plus             positivo           104539           104614
P73plus             positivo           104931           105006
P74plus             positivo           107254           107329
P75plus             positivo           107380           107455
P76plus             positivo           109651           109726
P77plus             positivo           110359           110434
P78plus             positivo           110606           110681
P79plus             positivo           111993           112068
P80plus             positivo           112926           113001
P81plus             positivo           113029           113104
P82plus             positivo           115147           115222
P83plus             positivo           116180           116255
P84plus             positivo           117085           117160
P85plus             positivo           119662           119737
P86plus             positivo           120096           120171
P87plus             positivo           120731           120806
P88plus             positivo           121628           121703
P89plus             positivo           126899           126974
P90plus             positivo           132315           132390
P91plus             positivo           132443           132518
P92plus             positivo           132802           132877
P93plus             positivo           133114           133189
P94plus             positivo           133338           133413
P95plus             positivo           134031           134106
P96plus             positivo           134127           134202
P97plus             positivo           136132           136207
P98plus             positivo           137165           137240
P99plus             positivo           137982           138057
P100plus             positivo           138751           138826
P101plus             positivo           139874           139949
P102plus             positivo           140297           140372
P103plus             positivo           145741           145816
P104plus             positivo           146100           146175
P105plus             positivo           146826           146901
P106plus             positivo           147158           147233
P107plus             positivo           147406           147481
P108plus             positivo           148089           148164
P109plus             positivo           149195           149270
P110plus             positivo           150410           150485
P111plus             positivo           150488           150563
P112plus             positivo           150881           150956
P113plus             positivo           152549           152624
P114plus             positivo           152860           152935
P115plus             positivo           153191           153266
P116plus             positivo           153292           153367
P117plus             positivo           153415           153490
P118plus             positivo           153490           153565
P119plus             positivo           155149           155224
P120plus             positivo           155773           155848
P121plus             positivo           157924           157999
P122plus             positivo           158898           158973
P123plus             positivo           159464           159539
P124plus             positivo           159558           159633
P125plus             positivo           159673           159748
P126plus             positivo           160765           160840
P127plus             positivo           160915           160990
P128plus             positivo           161914           161989
P129plus             positivo           161994           162069
P130plus             positivo           162139           162214
P131plus             positivo           163144           163219
P132plus             positivo           164439           164514
P133plus             positivo           164610           164685
P134plus             positivo           165754           165829
P135plus             positivo           168608           168683
P136plus             positivo           169379           169454
P137plus             positivo           172164           172239
P138plus             positivo           173957           174032
P139plus             positivo           174293           174368
P140plus             positivo           175827           175902
P141plus             positivo           176298           176373
P142plus             positivo           176647           176722
P143plus             positivo           177825           177900
P144plus             positivo           178375           178450
P145plus             positivo           178458           178533
P146plus             positivo           180217           180292
P147plus             positivo           180513           180588
P148plus             positivo           183033           183108
P149plus             positivo           183144           183219
P150plus             positivo           184097           184172
P151plus             positivo           185369           185444
P152plus             positivo           186637           186712
P153plus             positivo           187554           187629
P154plus             positivo           187845           187920
P155plus             positivo           189211           189286
P156plus             positivo           189553           189628
P157plus             positivo           191479           191554
P158plus             positivo           191962           192037
P159plus             positivo           194339           194414
P160plus             positivo           194503           194578
P161plus             positivo           195380           195455
P162plus             positivo           197314           197389
P163plus             positivo           198569           198644
P164plus             positivo           199402           199477
