Region           Strand              Start               End

P1plus             positivo           2153           2228
P2plus             positivo           8129           8204
P3plus             positivo           8469           8544
P4plus             positivo           9330           9405
P5plus             positivo           11915           11990
P6plus             positivo           14713           14788
P7plus             positivo           15878           15953
P8plus             positivo           19089           19164
P9plus             positivo           23507           23582
P10plus             positivo           26966           27041
P11plus             positivo           28467           28542
P12plus             positivo           34434           34509
P13plus             positivo           37491           37566
P14plus             positivo           38550           38625
P15plus             positivo           38930           39005
P16plus             positivo           49096           49171
P17plus             positivo           50601           50676
P18plus             positivo           53900           53975
P19plus             positivo           55045           55120
P20plus             positivo           59835           59910
P21plus             positivo           62783           62858
P22plus             positivo           69655           69730
P23plus             positivo           70345           70420
P24plus             positivo           72562           72637
P25plus             positivo           87965           88040
P26plus             positivo           88063           88138
P27plus             positivo           104502           104577
P28plus             positivo           104872           104947
P29plus             positivo           105835           105910
P30plus             positivo           106009           106084
P31plus             positivo           106559           106634
P32plus             positivo           110649           110724
P33plus             positivo           116675           116750
P34plus             positivo           120069           120144
P35plus             positivo           132335           132410
P36plus             positivo           132482           132557
P37plus             positivo           133530           133605
P38plus             positivo           142932           143007
P39plus             positivo           144976           145051
P40plus             positivo           149500           149575
P41plus             positivo           150612           150687
P42plus             positivo           153813           153888
P43plus             positivo           155160           155235
P44plus             positivo           160956           161031
P45plus             positivo           163492           163567
P46plus             positivo           163663           163738
P47plus             positivo           166445           166520
P48plus             positivo           169861           169936
P49plus             positivo           176183           176258
P50plus             positivo           176524           176599
P51plus             positivo           176935           177010
P52plus             positivo           189791           189866
P53plus             positivo           194501           194576
P54plus             positivo           201488           201563
P55plus             positivo           204028           204103
P56plus             positivo           205692           205767
P57plus             positivo           210468           210543
P58plus             positivo           211983           212058
P59plus             positivo           213453           213528
P60plus             positivo           215729           215804
P61plus             positivo           217461           217536
P62plus             positivo           235864           235939
P63plus             positivo           236397           236472
P64plus             positivo           237795           237870
P65plus             positivo           244012           244087
P66plus             positivo           255797           255872
P67plus             positivo           259853           259928
P68plus             positivo           274877           274952
P69plus             positivo           282909           282984
P70plus             positivo           289115           289190
P71plus             positivo           293406           293481
P72plus             positivo           305587           305662
P73plus             positivo           306457           306532
P74plus             positivo           309024           309099
P75plus             positivo           315814           315889
P76plus             positivo           316775           316850
P77plus             positivo           327407           327482
P78plus             positivo           332895           332970
P79plus             positivo           335760           335835
P80plus             positivo           335851           335926
P81plus             positivo           338971           339046
P82plus             positivo           345926           346001
P1minus             negativo           2122           2197
P2minus             negativo           8084           8159
P3minus             negativo           8458           8533
P4minus             negativo           8533           8608
P5minus             negativo           9311           9386
P6minus             negativo           11908           11983
P7minus             negativo           14705           14780
P8minus             negativo           15841           15916
P9minus             negativo           19060           19135
P10minus             negativo           23472           23547
P11minus             negativo           26922           26997
P12minus             negativo           28453           28528
P13minus             negativo           34423           34498
P14minus             negativo           37495           37570
P15minus             negativo           38543           38618
P16minus             negativo           38910           38985
P17minus             negativo           49077           49152
P18minus             negativo           50613           50688
P19minus             negativo           53876           53951
P20minus             negativo           55014           55089
P21minus             negativo           59830           59905
P22minus             negativo           62791           62866
P23minus             negativo           69624           69699
P24minus             negativo           70340           70415
P25minus             negativo           72540           72615
P26minus             negativo           87939           88014
P27minus             negativo           88051           88126
P28minus             negativo           104457           104532
P29minus             negativo           104847           104922
P30minus             negativo           105825           105900
P31minus             negativo           105982           106057
P32minus             negativo           106532           106607
P33minus             negativo           110653           110728
P34minus             negativo           116664           116739
P35minus             negativo           120040           120115
P36minus             negativo           132324           132399
P37minus             negativo           132476           132551
P38minus             negativo           133514           133589
P39minus             negativo           142910           142985
P40minus             negativo           144982           145057
P41minus             negativo           149460           149535
P42minus             negativo           150587           150662
P43minus             negativo           153795           153870
P44minus             negativo           155145           155220
P45minus             negativo           160934           161009
P46minus             negativo           163479           163554
P47minus             negativo           163658           163733
P48minus             negativo           166439           166514
P49minus             negativo           169812           169887
P50minus             negativo           169891           169966
P51minus             negativo           176156           176231
P52minus             negativo           176507           176582
P53minus             negativo           176924           176999
P54minus             negativo           189745           189820
P55minus             negativo           194483           194558
P56minus             negativo           201484           201559
P57minus             negativo           204026           204101
P58minus             negativo           205678           205753
P59minus             negativo           210469           210544
P60minus             negativo           211942           212017
P61minus             negativo           213425           213500
P62minus             negativo           215722           215797
P63minus             negativo           217448           217523
P64minus             negativo           235860           235935
P65minus             negativo           236371           236446
P66minus             negativo           237759           237834
P67minus             negativo           243996           244071
P68minus             negativo           255787           255862
P69minus             negativo           259887           259962
P70minus             negativo           274857           274932
P71minus             negativo           282890           282965
P72minus             negativo           289096           289171
P73minus             negativo           293409           293484
P74minus             negativo           305559           305634
P75minus             negativo           306467           306542
P76minus             negativo           308994           309069
P77minus             negativo           315818           315893
P78minus             negativo           316765           316840
P79minus             negativo           327366           327441
P80minus             negativo           332878           332953
P81minus             negativo           335759           335834
P82minus             negativo           335834           335909
P83minus             negativo           338934           339009
P84minus             negativo           345889           345964
