Region           Strand              Start               End

P1plus             positivo           2781           2856
P2plus             positivo           5089           5164
P3plus             positivo           5185           5260
P4plus             positivo           7823           7898
P5plus             positivo           18203           18278
P6plus             positivo           19221           19296
P7plus             positivo           25144           25219
P8plus             positivo           26629           26704
P9plus             positivo           29013           29088
P10plus             positivo           36824           36899
P11plus             positivo           37821           37896
P12plus             positivo           39884           39959
P13plus             positivo           41053           41128
P14plus             positivo           53802           53877
P15plus             positivo           54203           54278
P16plus             positivo           56353           56428
P17plus             positivo           57529           57604
P18plus             positivo           59729           59804
P19plus             positivo           62256           62331
P20plus             positivo           63880           63955
P21plus             positivo           65121           65196
P22plus             positivo           67914           67989
P23plus             positivo           68027           68102
P24plus             positivo           70650           70725
P25plus             positivo           73916           73991
P26plus             positivo           74649           74724
P27plus             positivo           76993           77068
P28plus             positivo           81277           81352
P29plus             positivo           82398           82473
P30plus             positivo           84533           84608
P31plus             positivo           94732           94807
P32plus             positivo           101594           101669
P33plus             positivo           104051           104126
P34plus             positivo           107676           107751
P35plus             positivo           108243           108318
P36plus             positivo           108561           108636
P37plus             positivo           113026           113101
P38plus             positivo           113498           113573
P39plus             positivo           113840           113915
P40plus             positivo           116273           116348
P41plus             positivo           116360           116435
P42plus             positivo           116512           116587
P43plus             positivo           118187           118262
P44plus             positivo           118301           118376
P45plus             positivo           118604           118679
P46plus             positivo           118706           118781
P47plus             positivo           123319           123394
P48plus             positivo           126807           126882
P49plus             positivo           127714           127789
P50plus             positivo           130989           131064
P51plus             positivo           140799           140874
P52plus             positivo           142302           142377
P53plus             positivo           144176           144251
P54plus             positivo           148928           149003
P55plus             positivo           149056           149131
P56plus             positivo           155500           155575
P57plus             positivo           158547           158622
P58plus             positivo           160216           160291
P59plus             positivo           160432           160507
P60plus             positivo           163077           163152
P61plus             positivo           168340           168415
P62plus             positivo           168614           168689
P63plus             positivo           168910           168985
P64plus             positivo           170112           170187
P65plus             positivo           170357           170432
P66plus             positivo           170569           170644
P67plus             positivo           171445           171520
P68plus             positivo           171737           171812
P69plus             positivo           174013           174088
P70plus             positivo           175161           175236
P71plus             positivo           175391           175466
P72plus             positivo           176932           177007
P73plus             positivo           179051           179126
P74plus             positivo           179898           179973
P75plus             positivo           180706           180781
P76plus             positivo           188885           188960
P77plus             positivo           192635           192710
P78plus             positivo           196916           196991
P79plus             positivo           197933           198008
P80plus             positivo           199558           199633
P81plus             positivo           202198           202273
P82plus             positivo           202632           202707
P83plus             positivo           202763           202838
P84plus             positivo           207222           207297
P85plus             positivo           207865           207940
P86plus             positivo           208592           208667
P87plus             positivo           211559           211634
P88plus             positivo           212815           212890
P89plus             positivo           217067           217142
P90plus             positivo           221467           221542
P91plus             positivo           229166           229241
P92plus             positivo           229842           229917
P93plus             positivo           233768           233843
P94plus             positivo           234427           234502
P95plus             positivo           238980           239055
P96plus             positivo           241260           241335
P97plus             positivo           241440           241515
P98plus             positivo           242168           242243
P99plus             positivo           245823           245898
P100plus             positivo           247691           247766
P101plus             positivo           248313           248388
P102plus             positivo           248476           248551
P103plus             positivo           248589           248664
P104plus             positivo           250600           250675
P105plus             positivo           255209           255284
P106plus             positivo           257183           257258
P107plus             positivo           259128           259203
P108plus             positivo           263961           264036
P109plus             positivo           266669           266744
P110plus             positivo           267917           267992
P111plus             positivo           272993           273068
P112plus             positivo           274146           274221
P113plus             positivo           276011           276086
P114plus             positivo           278616           278691
P115plus             positivo           283393           283468
P116plus             positivo           292210           292285
P117plus             positivo           293299           293374
P118plus             positivo           296885           296960
P119plus             positivo           298562           298637
P120plus             positivo           298789           298864
P121plus             positivo           302614           302689
P122plus             positivo           303173           303248
P123plus             positivo           303969           304044
P124plus             positivo           310667           310742
P125plus             positivo           311195           311270
P126plus             positivo           311629           311704
P127plus             positivo           312514           312589
P128plus             positivo           315834           315909
P129plus             positivo           316756           316831
P130plus             positivo           319184           319259
P131plus             positivo           322438           322513
P132plus             positivo           325827           325902
P133plus             positivo           331646           331721
P134plus             positivo           331730           331805
P135plus             positivo           332353           332428
P136plus             positivo           335373           335448
P137plus             positivo           339267           339342
P138plus             positivo           342664           342739
P139plus             positivo           345167           345242
P140plus             positivo           348309           348384
P141plus             positivo           349523           349598
P142plus             positivo           363454           363529
P143plus             positivo           364816           364891
P144plus             positivo           367547           367622
P145plus             positivo           367799           367874
P146plus             positivo           371008           371083
P147plus             positivo           371634           371709
P148plus             positivo           375050           375125
P149plus             positivo           378558           378633
