Region           Strand              Start               End

P1plus             positivo           20962           21037
P2plus             positivo           21256           21331
P3plus             positivo           21816           21891
P4plus             positivo           25414           25489
P5plus             positivo           27154           27229
P6plus             positivo           29899           29974
P7plus             positivo           30227           30302
P8plus             positivo           32134           32209
P9plus             positivo           45167           45242
P10plus             positivo           53395           53470
P11plus             positivo           54276           54351
P12plus             positivo           64442           64517
P13plus             positivo           82938           83013
P14plus             positivo           86682           86757
P15plus             positivo           92996           93071
P16plus             positivo           94524           94599
P17plus             positivo           103940           104015
P18plus             positivo           107471           107546
P19plus             positivo           128253           128328
P20plus             positivo           129149           129224
P21plus             positivo           133429           133504
P22plus             positivo           142766           142841
P23plus             positivo           151488           151563
P24plus             positivo           151739           151814
P25plus             positivo           171319           171394
P26plus             positivo           176401           176476
P27plus             positivo           178622           178697
P28plus             positivo           186977           187052
P29plus             positivo           194467           194542
P30plus             positivo           203279           203354
P31plus             positivo           205266           205341
P32plus             positivo           209889           209964
P33plus             positivo           219545           219620
P34plus             positivo           220684           220759
P35plus             positivo           233353           233428
P36plus             positivo           239567           239642
P37plus             positivo           241087           241162
P38plus             positivo           244947           245022
P39plus             positivo           249880           249955
P40plus             positivo           256656           256731
P41plus             positivo           262622           262697
P42plus             positivo           262868           262943
P43plus             positivo           265445           265520
P44plus             positivo           268455           268530
P45plus             positivo           296309           296384
P46plus             positivo           300244           300319
P47plus             positivo           302973           303048
P48plus             positivo           306980           307055
P49plus             positivo           315612           315687
P50plus             positivo           317264           317339
P51plus             positivo           318844           318919
P52plus             positivo           332586           332661
P53plus             positivo           337945           338020
P54plus             positivo           349191           349266
P55plus             positivo           351322           351397
P56plus             positivo           358254           358329
P57plus             positivo           360018           360093
P58plus             positivo           360303           360378
P59plus             positivo           363632           363707
P60plus             positivo           366897           366972
P61plus             positivo           367166           367241
P62plus             positivo           370282           370357
P63plus             positivo           377012           377087
P64plus             positivo           399814           399889
P65plus             positivo           402888           402963
P66plus             positivo           404921           404996
P67plus             positivo           406343           406418
P68plus             positivo           406798           406873
P69plus             positivo           412111           412186
P70plus             positivo           418898           418973
P71plus             positivo           420547           420622
P72plus             positivo           422484           422559
P73plus             positivo           426520           426595
P74plus             positivo           430256           430331
P75plus             positivo           437643           437718
P76plus             positivo           446988           447063
P77plus             positivo           455151           455226
P78plus             positivo           470916           470991
P79plus             positivo           481993           482068
P80plus             positivo           483726           483801
P81plus             positivo           487090           487165
P82plus             positivo           490285           490360
P83plus             positivo           504344           504419
P84plus             positivo           504608           504683
P85plus             positivo           507908           507983
P86plus             positivo           514238           514313
P87plus             positivo           522568           522643
P88plus             positivo           524324           524399
P89plus             positivo           530458           530533
P90plus             positivo           535715           535790
P91plus             positivo           543315           543390
P92plus             positivo           546746           546821
P93plus             positivo           548229           548304
P94plus             positivo           556327           556402
P95plus             positivo           560892           560967
P96plus             positivo           562315           562390
P97plus             positivo           565137           565212
P98plus             positivo           567137           567212
P99plus             positivo           575596           575671
P100plus             positivo           577727           577802
P101plus             positivo           578445           578520
P102plus             positivo           578522           578597
P103plus             positivo           590559           590634
P104plus             positivo           601427           601502
P105plus             positivo           602783           602858
P106plus             positivo           604874           604949
P107plus             positivo           605003           605078
P108plus             positivo           628528           628603
P109plus             positivo           629934           630009
P110plus             positivo           630553           630628
P111plus             positivo           632639           632714
P112plus             positivo           638845           638920
P113plus             positivo           639273           639348
P114plus             positivo           644369           644444
P115plus             positivo           647822           647897
P116plus             positivo           648029           648104
P117plus             positivo           658073           658148
P118plus             positivo           665576           665651
P119plus             positivo           665915           665990
P120plus             positivo           669323           669398
P121plus             positivo           674914           674989
P122plus             positivo           687546           687621
P123plus             positivo           697826           697901
P124plus             positivo           715180           715255
P125plus             positivo           715654           715729
P126plus             positivo           733903           733978
P127plus             positivo           734559           734634
P128plus             positivo           745186           745261
P129plus             positivo           764482           764557
P130plus             positivo           772892           772967
P131plus             positivo           778524           778599
P132plus             positivo           781407           781482
P133plus             positivo           782547           782622
P134plus             positivo           784578           784653
P135plus             positivo           786191           786266
P136plus             positivo           787144           787219
P137plus             positivo           787970           788045
P138plus             positivo           802336           802411
P139plus             positivo           803081           803156
P140plus             positivo           803951           804026
P141plus             positivo           806060           806135
P142plus             positivo           806364           806439
P143plus             positivo           806756           806831
P144plus             positivo           814316           814391
P145plus             positivo           817051           817126
P146plus             positivo           824357           824432
P147plus             positivo           825138           825213
P148plus             positivo           830287           830362
P149plus             positivo           842698           842773
P150plus             positivo           846262           846337
P151plus             positivo           846789           846864
P152plus             positivo           848154           848229
P153plus             positivo           855190           855265
P154plus             positivo           860994           861069
P155plus             positivo           862213           862288
P156plus             positivo           871453           871528
P157plus             positivo           873491           873566
P158plus             positivo           875699           875774
P159plus             positivo           882130           882205
P160plus             positivo           883343           883418
P161plus             positivo           886865           886940
P162plus             positivo           897134           897209
P163plus             positivo           902655           902730
P164plus             positivo           903607           903682
P165plus             positivo           904949           905024
P166plus             positivo           910264           910339
P167plus             positivo           913199           913274
P168plus             positivo           917155           917230
P169plus             positivo           920421           920496
P170plus             positivo           923180           923255
P171plus             positivo           928289           928364
P172plus             positivo           933992           934067
P173plus             positivo           935565           935640
P174plus             positivo           937284           937359
P175plus             positivo           942344           942419
P176plus             positivo           945464           945539
P177plus             positivo           945652           945727
P178plus             positivo           958763           958838
P179plus             positivo           959742           959817
P180plus             positivo           960587           960662
P181plus             positivo           966059           966134
P182plus             positivo           969662           969737
P183plus             positivo           977400           977475
P184plus             positivo           982053           982128
P185plus             positivo           982399           982474
P186plus             positivo           992669           992744
P187plus             positivo           997297           997372
P188plus             positivo           997418           997493
P189plus             positivo           1000685           1000760
P190plus             positivo           1004355           1004430
P191plus             positivo           1005525           1005600
P192plus             positivo           1015579           1015654
P193plus             positivo           1020887           1020962
P194plus             positivo           1024257           1024332
P195plus             positivo           1029404           1029479
P196plus             positivo           1036039           1036114
P197plus             positivo           1055336           1055411
P198plus             positivo           1065795           1065870
P199plus             positivo           1066699           1066774
P200plus             positivo           1076604           1076679
P201plus             positivo           1084175           1084250
P202plus             positivo           1088156           1088231
P203plus             positivo           1092001           1092076
P204plus             positivo           1100772           1100847
P205plus             positivo           1107092           1107167
P206plus             positivo           1109036           1109111
P207plus             positivo           1121200           1121275
P208plus             positivo           1128234           1128309
P209plus             positivo           1136442           1136517
P210plus             positivo           1149917           1149992
P211plus             positivo           1156782           1156857
P212plus             positivo           1174677           1174752
P213plus             positivo           1180950           1181025
P214plus             positivo           1187810           1187885
P215plus             positivo           1191697           1191772
P216plus             positivo           1193278           1193353
P217plus             positivo           1206875           1206950
