Region           Strand              Start               End

P1plus             positivo           1217           1292
P2plus             positivo           4446           4521
P3plus             positivo           5948           6023
P4plus             positivo           6049           6124
P5plus             positivo           6177           6252
P6plus             positivo           9261           9336
P7plus             positivo           14939           15014
P8plus             positivo           16965           17040
P9plus             positivo           17970           18045
P10plus             positivo           18311           18386
P11plus             positivo           18588           18663
P12plus             positivo           19778           19853
P13plus             positivo           20359           20434
P14plus             positivo           24379           24454
P15plus             positivo           25619           25694
P16plus             positivo           28495           28570
P17plus             positivo           29101           29176
P18plus             positivo           30388           30463
P19plus             positivo           33398           33473
P20plus             positivo           34212           34287
P21plus             positivo           34515           34590
P22plus             positivo           34696           34771
P23plus             positivo           36265           36340
P24plus             positivo           37531           37606
P25plus             positivo           38413           38488
P26plus             positivo           41589           41664
P27plus             positivo           43482           43557
P28plus             positivo           43704           43779
P29plus             positivo           48127           48202
P30plus             positivo           48332           48407
P31plus             positivo           49021           49096
P32plus             positivo           50800           50875
P33plus             positivo           52362           52437
P34plus             positivo           54955           55030
P35plus             positivo           57319           57394
P36plus             positivo           58844           58919
P37plus             positivo           64824           64899
P38plus             positivo           64941           65016
P39plus             positivo           67769           67844
P40plus             positivo           68386           68461
P41plus             positivo           73093           73168
P42plus             positivo           76364           76439
P43plus             positivo           81116           81191
P44plus             positivo           82005           82080
P45plus             positivo           83068           83143
P46plus             positivo           83957           84032
P47plus             positivo           89274           89349
P48plus             positivo           90111           90186
P49plus             positivo           96068           96143
P50plus             positivo           98346           98421
P51plus             positivo           120208           120283
P52plus             positivo           125269           125344
P53plus             positivo           127235           127310
P54plus             positivo           128710           128785
P55plus             positivo           132636           132711
P56plus             positivo           132850           132925
P57plus             positivo           133748           133823
P58plus             positivo           135566           135641
P59plus             positivo           135972           136047
P60plus             positivo           138663           138738
P61plus             positivo           139566           139641
P62plus             positivo           140998           141073
P63plus             positivo           145021           145096
P64plus             positivo           145297           145372
P65plus             positivo           146514           146589
P66plus             positivo           149305           149380
P67plus             positivo           151290           151365
P68plus             positivo           151700           151775
P69plus             positivo           153310           153385
P70plus             positivo           153438           153513
P71plus             positivo           153825           153900
P72plus             positivo           156401           156476
P73plus             positivo           158790           158865
P74plus             positivo           161616           161691
P75plus             positivo           162693           162768
P76plus             positivo           164170           164245
P77plus             positivo           170552           170627
P78plus             positivo           180507           180582
P79plus             positivo           180628           180703
P80plus             positivo           193090           193165
P81plus             positivo           195518           195593
P82plus             positivo           195593           195668
P83plus             positivo           196425           196500
P84plus             positivo           196501           196576
P85plus             positivo           202095           202170
P86plus             positivo           202330           202405
P87plus             positivo           203665           203740
P88plus             positivo           204590           204665
P89plus             positivo           204936           205011
P90plus             positivo           206342           206417
P91plus             positivo           207103           207178
