Region           Strand              Start               End

P1plus             positivo           146           221
P2plus             positivo           312           387
P3plus             positivo           449           524
P4plus             positivo           527           602
P5plus             positivo           2045           2120
P6plus             positivo           4156           4231
P7plus             positivo           8023           8098
P8plus             positivo           9812           9887
P9plus             positivo           12559           12634
P10plus             positivo           16893           16968
P11plus             positivo           19829           19904
P12plus             positivo           25042           25117
P13plus             positivo           28907           28982
P14plus             positivo           30679           30754
P15plus             positivo           31103           31178
P16plus             positivo           35036           35111
P17plus             positivo           36740           36815
P18plus             positivo           37513           37588
P19plus             positivo           37827           37902
P20plus             positivo           38440           38515
P21plus             positivo           38806           38881
P22plus             positivo           42077           42152
P23plus             positivo           45249           45324
P24plus             positivo           48961           49036
P25plus             positivo           50476           50551
P26plus             positivo           50775           50850
P27plus             positivo           52933           53008
P28plus             positivo           56711           56786
P29plus             positivo           56855           56930
P30plus             positivo           59649           59724
P31plus             positivo           59779           59854
P32plus             positivo           60080           60155
P33plus             positivo           60785           60860
P34plus             positivo           61152           61227
P35plus             positivo           63809           63884
P36plus             positivo           65821           65896
P37plus             positivo           65983           66058
P38plus             positivo           66394           66469
P39plus             positivo           73773           73848
P40plus             positivo           75173           75248
P41plus             positivo           76850           76925
P42plus             positivo           78834           78909
P43plus             positivo           79266           79341
P44plus             positivo           87886           87961
P45plus             positivo           88000           88075
P46plus             positivo           89531           89606
P47plus             positivo           93559           93634
P48plus             positivo           94781           94856
P49plus             positivo           95146           95221
P50plus             positivo           95224           95299
P51plus             positivo           96162           96237
P52plus             positivo           96829           96904
P53plus             positivo           96907           96982
P54plus             positivo           97842           97917
P55plus             positivo           101374           101449
P56plus             positivo           103824           103899
P57plus             positivo           104515           104590
P58plus             positivo           105293           105368
P59plus             positivo           110356           110431
P60plus             positivo           111693           111768
P61plus             positivo           115385           115460
P62plus             positivo           119262           119337
P63plus             positivo           122351           122426
P64plus             positivo           123671           123746
P65plus             positivo           124376           124451
P66plus             positivo           126315           126390
P67plus             positivo           126755           126830
P68plus             positivo           128369           128444
P69plus             positivo           128692           128767
P70plus             positivo           130350           130425
P71plus             positivo           132058           132133
P72plus             positivo           132812           132887
P73plus             positivo           134856           134931
P74plus             positivo           135605           135680
P75plus             positivo           135911           135986
P76plus             positivo           137149           137224
P77plus             positivo           141715           141790
P78plus             positivo           141849           141924
P79plus             positivo           143157           143232
P80plus             positivo           145118           145193
P81plus             positivo           145612           145687
P82plus             positivo           146840           146915
P83plus             positivo           148900           148975
P84plus             positivo           154898           154973
P85plus             positivo           155374           155449
P86plus             positivo           155977           156052
P87plus             positivo           156831           156906
P88plus             positivo           158887           158962
P89plus             positivo           161464           161539
P90plus             positivo           161713           161788
P91plus             positivo           162618           162693
P92plus             positivo           168471           168546
P93plus             positivo           169071           169146
P94plus             positivo           170009           170084
P95plus             positivo           170120           170195
P96plus             positivo           171365           171440
P97plus             positivo           173738           173813
P98plus             positivo           174021           174096
P99plus             positivo           174481           174556
P100plus             positivo           175677           175752
P101plus             positivo           179550           179625
P102plus             positivo           179886           179961
P103plus             positivo           180409           180484
P104plus             positivo           184174           184249
P105plus             positivo           186066           186141
P106plus             positivo           189048           189123
P107plus             positivo           193874           193949
P108plus             positivo           194150           194225
P109plus             positivo           194826           194901
P110plus             positivo           198033           198108
P111plus             positivo           200667           200742
P112plus             positivo           202149           202224
P113plus             positivo           203088           203163
P114plus             positivo           203463           203538
P115plus             positivo           203665           203740
P116plus             positivo           204785           204860
P117plus             positivo           213072           213147
P118plus             positivo           213463           213538
P119plus             positivo           215472           215547
P120plus             positivo           217597           217672
P121plus             positivo           218935           219010
P122plus             positivo           219048           219123
P123plus             positivo           220461           220536
P124plus             positivo           221100           221175
P125plus             positivo           222616           222691
P126plus             positivo           224334           224409
P127plus             positivo           225710           225785
P128plus             positivo           225915           225990
P129plus             positivo           226725           226800
P130plus             positivo           227013           227088
