Region           Strand              Start               End

P1plus             positivo           319           394
P2plus             positivo           2108           2183
P3plus             positivo           4358           4433
P4plus             positivo           6480           6555
P5plus             positivo           9797           9872
P6plus             positivo           10097           10172
P7plus             positivo           12265           12340
P8plus             positivo           15365           15440
P9plus             positivo           16516           16591
P10plus             positivo           17346           17421
P11plus             positivo           20818           20893
P12plus             positivo           33738           33813
P13plus             positivo           40986           41061
P14plus             positivo           41976           42051
P15plus             positivo           44805           44880
P16plus             positivo           49038           49113
P17plus             positivo           50864           50939
P18plus             positivo           55872           55947
P19plus             positivo           60645           60720
P20plus             positivo           62186           62261
P21plus             positivo           62261           62336
P22plus             positivo           65772           65847
P23plus             positivo           66069           66144
P24plus             positivo           69119           69194
P25plus             positivo           69295           69370
P26plus             positivo           70975           71050
P27plus             positivo           71947           72022
P28plus             positivo           75615           75690
P29plus             positivo           76177           76252
P30plus             positivo           77443           77518
P31plus             positivo           81450           81525
P32plus             positivo           87800           87875
P33plus             positivo           88699           88774
P34plus             positivo           91293           91368
P35plus             positivo           94955           95030
P36plus             positivo           95843           95918
P37plus             positivo           96427           96502
P38plus             positivo           98684           98759
P39plus             positivo           102190           102265
P40plus             positivo           104303           104378
P41plus             positivo           104504           104579
P42plus             positivo           110822           110897
P43plus             positivo           111291           111366
P44plus             positivo           111754           111829
P45plus             positivo           114955           115030
P46plus             positivo           117979           118054
P47plus             positivo           120540           120615
P48plus             positivo           122016           122091
P49plus             positivo           122221           122296
P50plus             positivo           122328           122403
P51plus             positivo           128385           128460
P52plus             positivo           128832           128907
P53plus             positivo           129914           129989
P54plus             positivo           134312           134387
P55plus             positivo           140096           140171
P56plus             positivo           141468           141543
P57plus             positivo           142465           142540
P58plus             positivo           145155           145230
P59plus             positivo           146759           146834
P60plus             positivo           147467           147542
P61plus             positivo           149842           149917
P62plus             positivo           157577           157652
P63plus             positivo           161966           162041
P64plus             positivo           166816           166891
P65plus             positivo           167006           167081
P66plus             positivo           168717           168792
P67plus             positivo           170646           170721
P68plus             positivo           172408           172483
P69plus             positivo           172761           172836
P70plus             positivo           183382           183457
P71plus             positivo           183526           183601
P72plus             positivo           194665           194740
P73plus             positivo           195227           195302
P74plus             positivo           197463           197538
P75plus             positivo           200235           200310
P76plus             positivo           202338           202413
P77plus             positivo           203260           203335
P78plus             positivo           207122           207197
P79plus             positivo           209702           209777
P80plus             positivo           211541           211616
P81plus             positivo           213288           213363
P82plus             positivo           214610           214685
P83plus             positivo           214691           214766
P84plus             positivo           215564           215639
P85plus             positivo           215698           215773
P86plus             positivo           217806           217881
P87plus             positivo           218949           219024
P88plus             positivo           224412           224487
P89plus             positivo           226144           226219
P90plus             positivo           230208           230283
P91plus             positivo           232178           232253
P92plus             positivo           232862           232937
P93plus             positivo           244017           244092
P94plus             positivo           244260           244335
P95plus             positivo           247052           247127
P96plus             positivo           248116           248191
P97plus             positivo           248744           248819
P98plus             positivo           251840           251915
P99plus             positivo           254849           254924
P100plus             positivo           258436           258511
P101plus             positivo           259509           259584
P102plus             positivo           260527           260602
P103plus             positivo           262199           262274
P104plus             positivo           266334           266409
P105plus             positivo           269552           269627
P106plus             positivo           269955           270030
P107plus             positivo           270517           270592
P108plus             positivo           273386           273461
P109plus             positivo           277062           277137
P110plus             positivo           281019           281094
P111plus             positivo           282928           283003
P112plus             positivo           286688           286763
P113plus             positivo           289458           289533
P114plus             positivo           290203           290278
P115plus             positivo           291232           291307
P116plus             positivo           302554           302629
P117plus             positivo           302936           303011
P118plus             positivo           313374           313449
P119plus             positivo           314600           314675
P120plus             positivo           315601           315676
P121plus             positivo           317083           317158
P122plus             positivo           318774           318849
P123plus             positivo           320422           320497
P124plus             positivo           323810           323885
P125plus             positivo           325796           325871
P126plus             positivo           332467           332542
P127plus             positivo           343960           344035
P128plus             positivo           344487           344562
P129plus             positivo           347707           347782
P130plus             positivo           358090           358165
P131plus             positivo           360172           360247
P132plus             positivo           362351           362426
P133plus             positivo           363814           363889
P134plus             positivo           366141           366216
P135plus             positivo           369325           369400
P136plus             positivo           371838           371913
P137plus             positivo           375824           375899
P138plus             positivo           378850           378925
P139plus             positivo           379315           379390
P140plus             positivo           379661           379736
P141plus             positivo           384998           385073
P142plus             positivo           389403           389478
P143plus             positivo           391455           391530
P144plus             positivo           394616           394691
P145plus             positivo           395750           395825
P146plus             positivo           396285           396360
P147plus             positivo           398081           398156
P148plus             positivo           398286           398361
P149plus             positivo           398899           398974
P150plus             positivo           400279           400354
P151plus             positivo           406084           406159
P152plus             positivo           406796           406871
P153plus             positivo           408698           408773
P154plus             positivo           411067           411142
P155plus             positivo           411970           412045
P156plus             positivo           412567           412642
P157plus             positivo           413618           413693
P158plus             positivo           414032           414107
P159plus             positivo           416126           416201
P160plus             positivo           425179           425254
P161plus             positivo           425634           425709
P1minus             negativo           322           397
P2minus             negativo           2083           2158
P3minus             negativo           4312           4387
P4minus             negativo           6455           6530
P5minus             negativo           9772           9847
P6minus             negativo           10070           10145
P7minus             negativo           12254           12329
P8minus             negativo           15352           15427
P9minus             negativo           16484           16559
P10minus             negativo           17337           17412
P11minus             negativo           20785           20860
P12minus             negativo           33702           33777
P13minus             negativo           40952           41027
P14minus             negativo           41982           42057
P15minus             negativo           44780           44855
P16minus             negativo           49020           49095
P17minus             negativo           50842           50917
P18minus             negativo           55861           55936
P19minus             negativo           60600           60675
P20minus             negativo           62182           62257
P21minus             negativo           62257           62332
P22minus             negativo           65773           65848
P23minus             negativo           66044           66119
P24minus             negativo           69086           69161
P25minus             negativo           69287           69362
P26minus             negativo           70950           71025
P27minus             negativo           71923           71998
P28minus             negativo           75604           75679
P29minus             negativo           76174           76249
P30minus             negativo           77401           77476
P31minus             negativo           81405           81480
P32minus             negativo           87786           87861
P33minus             negativo           88704           88779
P34minus             negativo           91254           91329
P35minus             negativo           94951           95026
P36minus             negativo           95805           95880
P37minus             negativo           96416           96491
P38minus             negativo           98655           98730
P39minus             negativo           102148           102223
P40minus             negativo           104280           104355
P41minus             negativo           104469           104544
P42minus             negativo           110795           110870
P43minus             negativo           111258           111333
P44minus             negativo           111764           111839
P45minus             negativo           114943           115018
P46minus             negativo           117983           118058
P47minus             negativo           120511           120586
P48minus             negativo           121978           122053
P49minus             negativo           122200           122275
P50minus             negativo           122324           122399
P51minus             negativo           128361           128436
P52minus             negativo           128787           128862
P53minus             negativo           129878           129953
P54minus             negativo           134292           134367
P55minus             negativo           140063           140138
P56minus             negativo           141423           141498
P57minus             negativo           142431           142506
P58minus             negativo           145128           145203
P59minus             negativo           146757           146832
P60minus             negativo           147428           147503
P61minus             negativo           149818           149893
P62minus             negativo           157562           157637
P63minus             negativo           161961           162036
P64minus             negativo           166834           166909
P65minus             negativo           166961           167036
P66minus             negativo           168693           168768
P67minus             negativo           170640           170715
P68minus             negativo           172389           172464
P69minus             negativo           172746           172821
P70minus             negativo           183361           183436
P71minus             negativo           183518           183593
P72minus             negativo           194637           194712
P73minus             negativo           195234           195309
P74minus             negativo           197452           197527
P75minus             negativo           200189           200264
P76minus             negativo           202300           202375
P77minus             negativo           203232           203307
P78minus             negativo           207109           207184
P79minus             negativo           209664           209739
P80minus             negativo           211503           211578
P81minus             negativo           213279           213354
P82minus             negativo           214619           214694
P83minus             negativo           214697           214772
P84minus             negativo           215554           215629
P85minus             negativo           215652           215727
P86minus             negativo           217795           217870
P87minus             negativo           218918           218993
P88minus             negativo           224403           224478
P89minus             negativo           226131           226206
P90minus             negativo           230196           230271
P91minus             negativo           232182           232257
P92minus             negativo           232847           232922
P93minus             negativo           244003           244078
P94minus             negativo           244221           244296
P95minus             negativo           247055           247130
P96minus             negativo           248099           248174
P97minus             negativo           248721           248796
P98minus             negativo           251847           251922
P99minus             negativo           254809           254884
P100minus             negativo           258425           258500
P101minus             negativo           259480           259555
P102minus             negativo           260489           260564
P103minus             negativo           262163           262238
P104minus             negativo           266319           266394
P105minus             negativo           269527           269602
P106minus             negativo           269954           270029
P107minus             negativo           270495           270570
P108minus             negativo           273384           273459
P109minus             negativo           277020           277095
P110minus             negativo           280998           281073
P111minus             negativo           282903           282978
P112minus             negativo           286670           286745
P113minus             negativo           289464           289539
P114minus             negativo           290204           290279
P115minus             negativo           291214           291289
P116minus             negativo           302514           302589
P117minus             negativo           302909           302984
P118minus             negativo           313337           313412
P119minus             negativo           314573           314648
P120minus             negativo           315588           315663
P121minus             negativo           317087           317162
P122minus             negativo           318750           318825
P123minus             negativo           320444           320519
P124minus             negativo           323779           323854
P125minus             negativo           325772           325847
P126minus             negativo           332449           332524
P127minus             negativo           343916           343991
P128minus             negativo           344462           344537
P129minus             negativo           347704           347779
P130minus             negativo           358049           358124
P131minus             negativo           360164           360239
P132minus             negativo           362323           362398
P133minus             negativo           363803           363878
P134minus             negativo           366136           366211
P135minus             negativo           369285           369360
P136minus             negativo           371840           371915
P137minus             negativo           375781           375856
P138minus             negativo           378807           378882
P139minus             negativo           379281           379356
P140minus             negativo           379655           379730
P141minus             negativo           384962           385037
P142minus             negativo           389356           389431
P143minus             negativo           391408           391483
P144minus             negativo           394591           394666
P145minus             negativo           395719           395794
P146minus             negativo           396265           396340
P147minus             negativo           398035           398110
P148minus             negativo           398237           398312
P149minus             negativo           398873           398948
P150minus             negativo           400280           400355
P151minus             negativo           406078           406153
P152minus             negativo           406765           406840
P153minus             negativo           408671           408746
P154minus             negativo           411028           411103
P155minus             negativo           411928           412003
P156minus             negativo           412563           412638
P157minus             negativo           413639           413714
P158minus             negativo           414002           414077
P159minus             negativo           416120           416195
P160minus             negativo           425155           425230
P161minus             negativo           425588           425663
