Region           Strand              Start               End

P1plus             positivo           580           655
P2plus             positivo           1282           1357
P3plus             positivo           1432           1507
P4plus             positivo           4344           4419
P5plus             positivo           6514           6589
P6plus             positivo           8483           8558
P7plus             positivo           11367           11442
P8plus             positivo           13180           13255
P9plus             positivo           15242           15317
P10plus             positivo           26619           26694
P11plus             positivo           30581           30656
P12plus             positivo           31382           31457
P13plus             positivo           33248           33323
P14plus             positivo           37145           37220
P15plus             positivo           38603           38678
P16plus             positivo           40075           40150
P17plus             positivo           43866           43941
P18plus             positivo           44705           44780
P19plus             positivo           45708           45783
P20plus             positivo           49299           49374
P21plus             positivo           58210           58285
P22plus             positivo           62005           62080
P23plus             positivo           62620           62695
P24plus             positivo           70489           70564
P25plus             positivo           70820           70895
P26plus             positivo           76199           76274
P27plus             positivo           76894           76969
P28plus             positivo           77183           77258
P29plus             positivo           78103           78178
P30plus             positivo           80401           80476
P31plus             positivo           80708           80783
P32plus             positivo           83073           83148
P33plus             positivo           85569           85644
P34plus             positivo           86553           86628
P35plus             positivo           86628           86703
P36plus             positivo           96382           96457
P37plus             positivo           97333           97408
P38plus             positivo           97409           97484
P39plus             positivo           98558           98633
P40plus             positivo           98657           98732
P41plus             positivo           99439           99514
P42plus             positivo           101017           101092
P43plus             positivo           110868           110943
P44plus             positivo           112958           113033
P45plus             positivo           115308           115383
P46plus             positivo           116825           116900
P47plus             positivo           123647           123722
P48plus             positivo           123786           123861
P49plus             positivo           124707           124782
P50plus             positivo           128244           128319
P51plus             positivo           128831           128906
P52plus             positivo           132363           132438
P53plus             positivo           132509           132584
P54plus             positivo           142084           142159
P55plus             positivo           142936           143011
P56plus             positivo           146133           146208
P57plus             positivo           148173           148248
P58plus             positivo           151025           151100
P59plus             positivo           156521           156596
P60plus             positivo           163861           163936
P61plus             positivo           167741           167816
P62plus             positivo           167838           167913
P63plus             positivo           172853           172928
P64plus             positivo           177627           177702
P65plus             positivo           186036           186111
P66plus             positivo           187362           187437
P67plus             positivo           188405           188480
P68plus             positivo           191583           191658
P69plus             positivo           201228           201303
P70plus             positivo           203884           203959
P71plus             positivo           204681           204756
P72plus             positivo           206560           206635
P73plus             positivo           209623           209698
P74plus             positivo           213713           213788
P75plus             positivo           215013           215088
P76plus             positivo           222649           222724
P77plus             positivo           227239           227314
P78plus             positivo           232331           232406
P79plus             positivo           233880           233955
P80plus             positivo           236711           236786
P81plus             positivo           239625           239700
P82plus             positivo           241213           241288
P83plus             positivo           242246           242321
P84plus             positivo           243194           243269
P85plus             positivo           243718           243793
P86plus             positivo           245901           245976
P87plus             positivo           246718           246793
P88plus             positivo           247905           247980
