Region           Strand              Start               End

P1plus             positivo           8399           8474
P2plus             positivo           10658           10733
P3plus             positivo           14310           14385
P4plus             positivo           16789           16864
P5plus             positivo           17895           17970
P6plus             positivo           20209           20284
P7plus             positivo           21264           21339
P8plus             positivo           23537           23612
P9plus             positivo           23805           23880
P10plus             positivo           28995           29070
P11plus             positivo           30935           31010
P12plus             positivo           31613           31688
P13plus             positivo           45118           45193
P14plus             positivo           48094           48169
P15plus             positivo           48496           48571
P16plus             positivo           49103           49178
P17plus             positivo           51395           51470
P18plus             positivo           59682           59757
P19plus             positivo           61559           61634
P20plus             positivo           63830           63905
P21plus             positivo           66348           66423
P22plus             positivo           71788           71863
P23plus             positivo           75731           75806
P24plus             positivo           77662           77737
P25plus             positivo           79267           79342
P26plus             positivo           79605           79680
P27plus             positivo           80173           80248
P28plus             positivo           81781           81856
P29plus             positivo           81856           81931
P30plus             positivo           84874           84949
P31plus             positivo           92179           92254
P32plus             positivo           95015           95090
P33plus             positivo           97711           97786
P34plus             positivo           99995           100070
P35plus             positivo           102605           102680
P36plus             positivo           102846           102921
P37plus             positivo           104517           104592
P38plus             positivo           105970           106045
P39plus             positivo           107578           107653
P40plus             positivo           111471           111546
P41plus             positivo           118479           118554
P42plus             positivo           119897           119972
P43plus             positivo           125430           125505
P44plus             positivo           128718           128793
P45plus             positivo           128803           128878
P46plus             positivo           137854           137929
P47plus             positivo           140926           141001
P48plus             positivo           144490           144565
P49plus             positivo           145358           145433
P50plus             positivo           146905           146980
P51plus             positivo           148356           148431
P52plus             positivo           148731           148806
P53plus             positivo           154358           154433
P54plus             positivo           155148           155223
P55plus             positivo           156744           156819
P56plus             positivo           157811           157886
P57plus             positivo           159686           159761
P58plus             positivo           164186           164261
P59plus             positivo           164261           164336
P60plus             positivo           168136           168211
P61plus             positivo           168685           168760
P62plus             positivo           170296           170371
P63plus             positivo           172158           172233
P64plus             positivo           172934           173009
P65plus             positivo           179432           179507
P66plus             positivo           179957           180032
P67plus             positivo           180097           180172
P68plus             positivo           181033           181108
P69plus             positivo           185256           185331
P70plus             positivo           186898           186973
P71plus             positivo           188916           188991
P72plus             positivo           190436           190511
P73plus             positivo           190863           190938
P74plus             positivo           197836           197911
P75plus             positivo           199282           199357
P76plus             positivo           200038           200113
P77plus             positivo           202117           202192
P78plus             positivo           204200           204275
P79plus             positivo           205171           205246
P80plus             positivo           206628           206703
P81plus             positivo           210311           210386
P82plus             positivo           222362           222437
P83plus             positivo           223150           223225
P84plus             positivo           229020           229095
P85plus             positivo           230449           230524
P86plus             positivo           231247           231322
P87plus             positivo           234176           234251
P88plus             positivo           240908           240983
P89plus             positivo           242718           242793
P90plus             positivo           244784           244859
P91plus             positivo           247180           247255
P92plus             positivo           247255           247330
P93plus             positivo           251305           251380
P94plus             positivo           253224           253299
P95plus             positivo           255211           255286
P96plus             positivo           255737           255812
P97plus             positivo           256706           256781
P98plus             positivo           259484           259559
P99plus             positivo           263777           263852
P100plus             positivo           266384           266459
P101plus             positivo           268244           268319
