Region           Strand              Start               End

P1plus             positivo           2288           2363
P2plus             positivo           3207           3282
P3plus             positivo           5188           5263
P4plus             positivo           5369           5444
P5plus             positivo           6068           6143
P6plus             positivo           6540           6615
P7plus             positivo           8005           8080
P8plus             positivo           12112           12187
P9plus             positivo           14467           14542
P10plus             positivo           14545           14620
P11plus             positivo           14884           14959
P12plus             positivo           15208           15283
P13plus             positivo           15497           15572
P14plus             positivo           16415           16490
P15plus             positivo           17448           17523
P16plus             positivo           18802           18877
P17plus             positivo           21434           21509
P18plus             positivo           22713           22788
P19plus             positivo           23673           23748
P20plus             positivo           25005           25080
P21plus             positivo           25224           25299
P22plus             positivo           25752           25827
P23plus             positivo           26126           26201
P24plus             positivo           29821           29896
P25plus             positivo           30923           30998
P26plus             positivo           34071           34146
P27plus             positivo           37000           37075
P28plus             positivo           37510           37585
P29plus             positivo           37665           37740
P30plus             positivo           37775           37850
P31plus             positivo           37884           37959
P32plus             positivo           40712           40787
P33plus             positivo           41306           41381
P34plus             positivo           44534           44609
P35plus             positivo           45473           45548
P36plus             positivo           45647           45722
P37plus             positivo           45786           45861
P38plus             positivo           46886           46961
P39plus             positivo           47153           47228
P40plus             positivo           47367           47442
P41plus             positivo           48312           48387
P42plus             positivo           48507           48582
P43plus             positivo           54205           54280
P44plus             positivo           55776           55851
P45plus             positivo           57884           57959
P46plus             positivo           61595           61670
P47plus             positivo           61733           61808
P48plus             positivo           61841           61916
P49plus             positivo           62331           62406
P50plus             positivo           62406           62481
P51plus             positivo           62769           62844
P52plus             positivo           63066           63141
P53plus             positivo           63430           63505
P54plus             positivo           63794           63869
P55plus             positivo           65491           65566
P56plus             positivo           65599           65674
P57plus             positivo           67187           67262
P58plus             positivo           72258           72333
P59plus             positivo           72857           72932
P60plus             positivo           74809           74884
P61plus             positivo           75656           75731
P62plus             positivo           77549           77624
P63plus             positivo           78347           78422
P64plus             positivo           81539           81614
P65plus             positivo           82181           82256
P66plus             positivo           83237           83312
P67plus             positivo           86370           86445
P68plus             positivo           87489           87564
P69plus             positivo           88710           88785
P70plus             positivo           89765           89840
P71plus             positivo           92868           92943
P72plus             positivo           94791           94866
P73plus             positivo           96468           96543
P74plus             positivo           101088           101163
P75plus             positivo           101568           101643
P76plus             positivo           106356           106431
P77plus             positivo           109757           109832
P78plus             positivo           111958           112033
P79plus             positivo           112748           112823
P80plus             positivo           113012           113087
P81plus             positivo           114189           114264
P82plus             positivo           116851           116926
P83plus             positivo           117437           117512
P84plus             positivo           117773           117848
P85plus             positivo           119632           119707
P86plus             positivo           122012           122087
P87plus             positivo           122779           122854
P88plus             positivo           123320           123395
P89plus             positivo           123689           123764
P90plus             positivo           125001           125076
P91plus             positivo           128617           128692
