Region           Strand              Start               End

P1plus             positivo           11680           11755
P2plus             positivo           12268           12343
P3plus             positivo           16589           16664
P4plus             positivo           19470           19545
P5plus             positivo           24156           24231
P6plus             positivo           26327           26402
P7plus             positivo           29459           29534
P8plus             positivo           29724           29799
P9plus             positivo           33792           33867
P10plus             positivo           34744           34819
P11plus             positivo           40471           40546
P12plus             positivo           42945           43020
P13plus             positivo           46367           46442
P14plus             positivo           52183           52258
P15plus             positivo           58279           58354
P16plus             positivo           59080           59155
P17plus             positivo           67156           67231
P18plus             positivo           74131           74206
P19plus             positivo           74632           74707
P20plus             positivo           77608           77683
P21plus             positivo           78316           78391
P22plus             positivo           80517           80592
P23plus             positivo           81733           81808
P24plus             positivo           85387           85462
P25plus             positivo           87889           87964
P26plus             positivo           92529           92604
P27plus             positivo           97495           97570
P28plus             positivo           99619           99694
P29plus             positivo           102048           102123
P30plus             positivo           103670           103745
P31plus             positivo           109628           109703
P32plus             positivo           109709           109784
P33plus             positivo           118282           118357
P34plus             positivo           119430           119505
P35plus             positivo           123414           123489
P36plus             positivo           127210           127285
P37plus             positivo           127500           127575
P38plus             positivo           128996           129071
P39plus             positivo           134740           134815
P40plus             positivo           140330           140405
P41plus             positivo           143208           143283
P42plus             positivo           144132           144207
P43plus             positivo           145727           145802
P44plus             positivo           147678           147753
P45plus             positivo           148904           148979
P46plus             positivo           149746           149821
P47plus             positivo           152285           152360
P48plus             positivo           153634           153709
P49plus             positivo           157877           157952
P50plus             positivo           163573           163648
P51plus             positivo           164848           164923
P52plus             positivo           165136           165211
P53plus             positivo           167019           167094
P54plus             positivo           174989           175064
P55plus             positivo           175996           176071
P56plus             positivo           184931           185006
P57plus             positivo           185636           185711
P58plus             positivo           190051           190126
P59plus             positivo           191544           191619
P60plus             positivo           192765           192840
P61plus             positivo           194540           194615
P62plus             positivo           199825           199900
P63plus             positivo           200773           200848
P64plus             positivo           202890           202965
P65plus             positivo           204220           204295
P66plus             positivo           204945           205020
P67plus             positivo           205444           205519
P68plus             positivo           208924           208999
P69plus             positivo           210064           210139
P70plus             positivo           212374           212449
P71plus             positivo           215292           215367
P72plus             positivo           215945           216020
P73plus             positivo           218956           219031
P74plus             positivo           219394           219469
