Region           Strand              Start               End

P1plus             positivo           151           226
P2plus             positivo           2292           2367
P3plus             positivo           2805           2880
P4plus             positivo           3764           3839
P5plus             positivo           5800           5875
P6plus             positivo           9288           9363
P7plus             positivo           10136           10211
P8plus             positivo           10439           10514
P9plus             positivo           11320           11395
P10plus             positivo           13787           13862
P11plus             positivo           16036           16111
P12plus             positivo           16307           16382
P13plus             positivo           23854           23929
P14plus             positivo           23934           24009
P15plus             positivo           25144           25219
P16plus             positivo           28206           28281
P17plus             positivo           29461           29536
P18plus             positivo           31711           31786
P19plus             positivo           35273           35348
P20plus             positivo           36206           36281
P21plus             positivo           39414           39489
P22plus             positivo           40899           40974
P23plus             positivo           43633           43708
P24plus             positivo           45126           45201
P25plus             positivo           53128           53203
P26plus             positivo           55486           55561
P27plus             positivo           56487           56562
P28plus             positivo           56966           57041
P29plus             positivo           58920           58995
P30plus             positivo           59019           59094
P31plus             positivo           61156           61231
P32plus             positivo           61955           62030
P33plus             positivo           62258           62333
P34plus             positivo           65900           65975
P35plus             positivo           67836           67911
P36plus             positivo           70239           70314
P37plus             positivo           71617           71692
P38plus             positivo           72074           72149
P39plus             positivo           75577           75652
P40plus             positivo           76942           77017
P41plus             positivo           80350           80425
P42plus             positivo           82306           82381
P43plus             positivo           83666           83741
P44plus             positivo           84476           84551
P45plus             positivo           87787           87862
P46plus             positivo           88976           89051
P47plus             positivo           89423           89498
P48plus             positivo           90629           90704
P49plus             positivo           91938           92013
P50plus             positivo           92425           92500
P51plus             positivo           93555           93630
P52plus             positivo           93913           93988
P53plus             positivo           94372           94447
P54plus             positivo           98866           98941
P55plus             positivo           101312           101387
P56plus             positivo           105349           105424
P57plus             positivo           109141           109216
P58plus             positivo           113075           113150
P59plus             positivo           113775           113850
P60plus             positivo           114537           114612
P61plus             positivo           116421           116496
P62plus             positivo           124360           124435
P63plus             positivo           124654           124729
P64plus             positivo           126025           126100
P65plus             positivo           126166           126241
P66plus             positivo           126495           126570
P67plus             positivo           126570           126645
P68plus             positivo           129071           129146
P69plus             positivo           130783           130858
P70plus             positivo           132912           132987
P71plus             positivo           134118           134193
P72plus             positivo           137576           137651
P73plus             positivo           138136           138211
P74plus             positivo           154753           154828
P75plus             positivo           157875           157950
P76plus             positivo           158081           158156
P77plus             positivo           162730           162805
P78plus             positivo           165273           165348
P79plus             positivo           166344           166419
P80plus             positivo           167969           168044
P81plus             positivo           169042           169117
P82plus             positivo           172150           172225
P83plus             positivo           174099           174174
P84plus             positivo           174338           174413
P85plus             positivo           176562           176637
P86plus             positivo           180714           180789
P87plus             positivo           183467           183542
P88plus             positivo           183993           184068
P89plus             positivo           187364           187439
P90plus             positivo           189557           189632
P91plus             positivo           193173           193248
P92plus             positivo           196006           196081
P93plus             positivo           198442           198517
P94plus             positivo           199091           199166
P95plus             positivo           199434           199509
P96plus             positivo           200408           200483
P97plus             positivo           202491           202566
P98plus             positivo           208690           208765
P99plus             positivo           212961           213036
P100plus             positivo           214567           214642
P101plus             positivo           218811           218886
P102plus             positivo           220756           220831
P103plus             positivo           221002           221077
P104plus             positivo           229432           229507
P105plus             positivo           230955           231030
P106plus             positivo           231410           231485
P107plus             positivo           232947           233022
P108plus             positivo           235827           235902
P109plus             positivo           236201           236276
P110plus             positivo           237012           237087
P111plus             positivo           243731           243806
P112plus             positivo           247358           247433
P113plus             positivo           257387           257462
P114plus             positivo           257539           257614
P115plus             positivo           257614           257689
P116plus             positivo           260057           260132
P117plus             positivo           264125           264200
P118plus             positivo           265821           265896
P119plus             positivo           265910           265985
P120plus             positivo           269079           269154
P121plus             positivo           274810           274885
P122plus             positivo           277983           278058
P123plus             positivo           279509           279584
P124plus             positivo           283832           283907
P125plus             positivo           292767           292842
P126plus             positivo           292846           292921
P127plus             positivo           298024           298099
P128plus             positivo           298755           298830
P129plus             positivo           300196           300271
P130plus             positivo           302128           302203
P131plus             positivo           302437           302512
P132plus             positivo           303933           304008
P133plus             positivo           304094           304169
P134plus             positivo           305823           305898
P135plus             positivo           305898           305973
P136plus             positivo           307019           307094
P137plus             positivo           308519           308594
P138plus             positivo           310440           310515
P139plus             positivo           311782           311857
P140plus             positivo           313205           313280
P141plus             positivo           313724           313799
P142plus             positivo           313799           313874
P143plus             positivo           316225           316300
P144plus             positivo           316754           316829
P145plus             positivo           317004           317079
P146plus             positivo           321353           321428
P147plus             positivo           328719           328794
P148plus             positivo           329094           329169
P149plus             positivo           331754           331829
P150plus             positivo           333613           333688
P151plus             positivo           335955           336030
P152plus             positivo           338654           338729
P153plus             positivo           347719           347794
P154plus             positivo           356697           356772
P155plus             positivo           357632           357707
P156plus             positivo           359367           359442
P157plus             positivo           359941           360016
P158plus             positivo           360016           360091
P159plus             positivo           360394           360469
P160plus             positivo           360525           360600
P161plus             positivo           362179           362254
P162plus             positivo           366425           366500
P163plus             positivo           366907           366982
P164plus             positivo           367262           367337
P165plus             positivo           368835           368910
P166plus             positivo           371995           372070
P167plus             positivo           372510           372585
P168plus             positivo           372603           372678
P169plus             positivo           372830           372905
P170plus             positivo           374304           374379
P171plus             positivo           379498           379573
P172plus             positivo           379660           379735
P173plus             positivo           380065           380140
P174plus             positivo           384381           384456
P175plus             positivo           392786           392861
P176plus             positivo           396571           396646
P177plus             positivo           397753           397828
P178plus             positivo           401983           402058
P179plus             positivo           402349           402424
P180plus             positivo           403133           403208
P181plus             positivo           403671           403746
P182plus             positivo           404884           404959
P183plus             positivo           411158           411233
P184plus             positivo           412957           413032
P185plus             positivo           414046           414121
P186plus             positivo           416215           416290
P187plus             positivo           416300           416375
P188plus             positivo           418280           418355
P189plus             positivo           418925           419000
P190plus             positivo           420097           420172
P191plus             positivo           423177           423252
P192plus             positivo           424340           424415
P193plus             positivo           428203           428278
P194plus             positivo           429141           429216
P195plus             positivo           431607           431682
P196plus             positivo           432027           432102
P197plus             positivo           433573           433648
P198plus             positivo           433759           433834
P199plus             positivo           439660           439735
P200plus             positivo           442695           442770
P201plus             positivo           442770           442845
P202plus             positivo           447588           447663
P203plus             positivo           451028           451103
P204plus             positivo           452706           452781
P205plus             positivo           457586           457661
P206plus             positivo           458216           458291
P207plus             positivo           459307           459382
P208plus             positivo           461032           461107
P209plus             positivo           461813           461888
P210plus             positivo           463290           463365
P211plus             positivo           464233           464308
P212plus             positivo           467150           467225
P213plus             positivo           467657           467732
P214plus             positivo           469268           469343
P215plus             positivo           470931           471006
P216plus             positivo           472561           472636
P217plus             positivo           478011           478086
P218plus             positivo           478932           479007
P219plus             positivo           479007           479082
P220plus             positivo           479282           479357
P221plus             positivo           480576           480651
