Region           Strand              Start               End

P1plus             positivo           261           336
P2plus             positivo           1088           1163
P3plus             positivo           1847           1922
P4plus             positivo           3387           3462
P5plus             positivo           6517           6592
P6plus             positivo           6605           6680
P7plus             positivo           7215           7290
P8plus             positivo           7291           7366
P9plus             positivo           11830           11905
P10plus             positivo           15091           15166
P11plus             positivo           15465           15540
P12plus             positivo           16092           16167
P13plus             positivo           17195           17270
P14plus             positivo           17276           17351
P15plus             positivo           19226           19301
P16plus             positivo           20199           20274
P17plus             positivo           20319           20394
P18plus             positivo           23604           23679
P19plus             positivo           23850           23925
P20plus             positivo           24076           24151
P21plus             positivo           24614           24689
P22plus             positivo           26186           26261
P23plus             positivo           26357           26432
P24plus             positivo           27137           27212
P25plus             positivo           28866           28941
P26plus             positivo           29867           29942
P27plus             positivo           30136           30211
P28plus             positivo           30308           30383
P29plus             positivo           30622           30697
P30plus             positivo           30987           31062
P31plus             positivo           31996           32071
P32plus             positivo           32742           32817
P33plus             positivo           33714           33789
P34plus             positivo           34476           34551
P35plus             positivo           34764           34839
P36plus             positivo           36053           36128
P37plus             positivo           37632           37707
P38plus             positivo           37797           37872
P39plus             positivo           37907           37982
P40plus             positivo           38291           38366
P41plus             positivo           39534           39609
P42plus             positivo           39715           39790
P43plus             positivo           40817           40892
P44plus             positivo           43042           43117
P45plus             positivo           46011           46086
P46plus             positivo           47410           47485
P47plus             positivo           47969           48044
P48plus             positivo           48515           48590
P49plus             positivo           49576           49651
P50plus             positivo           49651           49726
P51plus             positivo           49968           50043
P52plus             positivo           52567           52642
P53plus             positivo           52988           53063
P54plus             positivo           57425           57500
P55plus             positivo           57508           57583
P56plus             positivo           61097           61172
P57plus             positivo           65740           65815
P58plus             positivo           68837           68912
P59plus             positivo           69127           69202
P60plus             positivo           71567           71642
P61plus             positivo           73522           73597
P62plus             positivo           73800           73875
P63plus             positivo           73964           74039
P64plus             positivo           74248           74323
P65plus             positivo           75242           75317
P66plus             positivo           75668           75743
P67plus             positivo           76762           76837
P68plus             positivo           79566           79641
P69plus             positivo           79914           79989
P70plus             positivo           81985           82060
P71plus             positivo           82119           82194
P72plus             positivo           82465           82540
P73plus             positivo           83052           83127
P74plus             positivo           83837           83912
P75plus             positivo           84356           84431
P76plus             positivo           84672           84747
P77plus             positivo           84871           84946
P78plus             positivo           85120           85195
P79plus             positivo           86540           86615
P80plus             positivo           86927           87002
P81plus             positivo           87536           87611
P82plus             positivo           87943           88018
P83plus             positivo           92720           92795
P84plus             positivo           93754           93829
P85plus             positivo           93830           93905
P86plus             positivo           94267           94342
P87plus             positivo           97142           97217
P88plus             positivo           97765           97840
P89plus             positivo           101186           101261
P90plus             positivo           102124           102199
P91plus             positivo           102265           102340
P92plus             positivo           102739           102814
P93plus             positivo           103866           103941
P94plus             positivo           108050           108125
P95plus             positivo           108125           108200
P96plus             positivo           110604           110679
P97plus             positivo           114551           114626
P98plus             positivo           114740           114815
P99plus             positivo           115037           115112
P100plus             positivo           118387           118462
P101plus             positivo           118996           119071
P102plus             positivo           120011           120086
P103plus             positivo           121337           121412
P104plus             positivo           125708           125783
P105plus             positivo           126409           126484
P106plus             positivo           127827           127902
P107plus             positivo           127962           128037
P108plus             positivo           128254           128329
P109plus             positivo           128967           129042
P110plus             positivo           130586           130661
P111plus             positivo           130832           130907
P112plus             positivo           131124           131199
P113plus             positivo           131941           132016
P114plus             positivo           132383           132458
P115plus             positivo           134147           134222
P116plus             positivo           134242           134317
P117plus             positivo           135882           135957
P118plus             positivo           136780           136855
P119plus             positivo           137953           138028
P120plus             positivo           138835           138910
P121plus             positivo           140127           140202
P122plus             positivo           141760           141835
P123plus             positivo           143553           143628
P124plus             positivo           143641           143716
P125plus             positivo           143732           143807
P126plus             positivo           144517           144592
P127plus             positivo           144592           144667
P128plus             positivo           145692           145767
P129plus             positivo           147432           147507
P130plus             positivo           148467           148542
P131plus             positivo           148722           148797
P132plus             positivo           148895           148970
P133plus             positivo           149475           149550
P134plus             positivo           150871           150946
P135plus             positivo           156073           156148
P136plus             positivo           157985           158060
P137plus             positivo           162170           162245
P138plus             positivo           162739           162814
P139plus             positivo           164827           164902
P140plus             positivo           166207           166282
P141plus             positivo           166598           166673
P142plus             positivo           167203           167278
P143plus             positivo           170341           170416
P144plus             positivo           174918           174993
P145plus             positivo           176340           176415
P146plus             positivo           176482           176557
P147plus             positivo           176835           176910
P148plus             positivo           179063           179138
P149plus             positivo           179214           179289
P150plus             positivo           180165           180240
P151plus             positivo           180516           180591
P152plus             positivo           181178           181253
P153plus             positivo           181541           181616
P154plus             positivo           182240           182315
P155plus             positivo           184679           184754
P156plus             positivo           184853           184928
P157plus             positivo           185015           185090
P158plus             positivo           188120           188195
P159plus             positivo           188498           188573
P160plus             positivo           192928           193003
P161plus             positivo           193022           193097
P162plus             positivo           193114           193189
P163plus             positivo           195322           195397
P164plus             positivo           195868           195943
P165plus             positivo           197916           197991
P166plus             positivo           198084           198159
P167plus             positivo           198828           198903
P168plus             positivo           199343           199418
P169plus             positivo           200394           200469
P170plus             positivo           200642           200717
P171plus             positivo           200722           200797
P172plus             positivo           200961           201036
P173plus             positivo           201042           201117
P174plus             positivo           201276           201351
P175plus             positivo           201744           201819
P176plus             positivo           204084           204159
P177plus             positivo           205881           205956
P178plus             positivo           205992           206067
P179plus             positivo           206201           206276
P180plus             positivo           206869           206944
P181plus             positivo           209978           210053
P182plus             positivo           213198           213273
P183plus             positivo           213503           213578
P184plus             positivo           218028           218103
P185plus             positivo           218265           218340
P186plus             positivo           220164           220239
P187plus             positivo           220584           220659
P188plus             positivo           220671           220746
P189plus             positivo           222412           222487
