Region           Strand              Start               End

P1plus             positivo           1754           1829
P2plus             positivo           1874           1949
P3plus             positivo           2047           2122
P4plus             positivo           2369           2444
P5plus             positivo           2804           2879
P6plus             positivo           3011           3086
P7plus             positivo           3516           3591
P8plus             positivo           5118           5193
P9plus             positivo           11015           11090
P10plus             positivo           11371           11446
P11plus             positivo           12337           12412
P12plus             positivo           12573           12648
P13plus             positivo           16762           16837
P14plus             positivo           17124           17199
P15plus             positivo           21031           21106
P16plus             positivo           21116           21191
P17plus             positivo           23449           23524
P18plus             positivo           23691           23766
P19plus             positivo           23925           24000
P20plus             positivo           25932           26007
P21plus             positivo           26802           26877
P22plus             positivo           26947           27022
P23plus             positivo           29419           29494
P24plus             positivo           32142           32217
P25plus             positivo           32265           32340
P26plus             positivo           33993           34068
P27plus             positivo           34177           34252
P28plus             positivo           36046           36121
P29plus             positivo           37726           37801
P30plus             positivo           39525           39600
P31plus             positivo           41553           41628
P32plus             positivo           43204           43279
P33plus             positivo           43372           43447
P34plus             positivo           44246           44321
P35plus             positivo           45924           45999
P36plus             positivo           46072           46147
P37plus             positivo           46387           46462
P38plus             positivo           48606           48681
P39plus             positivo           49359           49434
P40plus             positivo           51339           51414
P41plus             positivo           52703           52778
P42plus             positivo           53600           53675
P43plus             positivo           53872           53947
P44plus             positivo           60128           60203
P45plus             positivo           61437           61512
P46plus             positivo           61974           62049
P47plus             positivo           62694           62769
P48plus             positivo           63443           63518
P49plus             positivo           63690           63765
P50plus             positivo           65726           65801
P51plus             positivo           65880           65955
P52plus             positivo           65955           66030
P53plus             positivo           66996           67071
P54plus             positivo           67678           67753
P55plus             positivo           68924           68999
P56plus             positivo           70701           70776
P57plus             positivo           70899           70974
P58plus             positivo           71050           71125
P59plus             positivo           71171           71246
P60plus             positivo           71319           71394
P61plus             positivo           71961           72036
P62plus             positivo           72122           72197
P63plus             positivo           72726           72801
P64plus             positivo           74485           74560
P65plus             positivo           75700           75775
P66plus             positivo           76906           76981
P67plus             positivo           78136           78211
P68plus             positivo           78277           78352
P69plus             positivo           81416           81491
P70plus             positivo           82574           82649
P71plus             positivo           83132           83207
P72plus             positivo           84814           84889
P73plus             positivo           90772           90847
P74plus             positivo           90933           91008
P75plus             positivo           91075           91150
P76plus             positivo           91401           91476
P77plus             positivo           93073           93148
P78plus             positivo           94007           94082
P79plus             positivo           94197           94272
P80plus             positivo           94481           94556
P81plus             positivo           97726           97801
P82plus             positivo           99163           99238
P83plus             positivo           101698           101773
P84plus             positivo           105110           105185
P85plus             positivo           105825           105900
P86plus             positivo           105969           106044
P87plus             positivo           109147           109222
P88plus             positivo           109565           109640
P89plus             positivo           109661           109736
P90plus             positivo           109758           109833
P91plus             positivo           112096           112171
P92plus             positivo           114883           114958
P93plus             positivo           115150           115225
P94plus             positivo           115464           115539
P95plus             positivo           117904           117979
P96plus             positivo           118827           118902
P97plus             positivo           122056           122131
P98plus             positivo           122847           122922
P99plus             positivo           123609           123684
P100plus             positivo           123955           124030
P101plus             positivo           127121           127196
P102plus             positivo           128661           128736
P103plus             positivo           130951           131026
P104plus             positivo           131841           131916
P105plus             positivo           132772           132847
P106plus             positivo           133468           133543
P107plus             positivo           133642           133717
P108plus             positivo           133871           133946
P109plus             positivo           134304           134379
P110plus             positivo           135728           135803
P111plus             positivo           136298           136373
P112plus             positivo           136678           136753
P113plus             positivo           139059           139134
P114plus             positivo           141406           141481
P115plus             positivo           142499           142574
P116plus             positivo           143265           143340
P117plus             positivo           145082           145157
P118plus             positivo           145164           145239
P119plus             positivo           145696           145771
P120plus             positivo           146608           146683
P121plus             positivo           150859           150934
P122plus             positivo           152133           152208
P123plus             positivo           153601           153676
P124plus             positivo           156252           156327
P125plus             positivo           159582           159657
P126plus             positivo           159773           159848
P127plus             positivo           166424           166499
P128plus             positivo           167294           167369
P129plus             positivo           167415           167490
P130plus             positivo           167782           167857
P131plus             positivo           169666           169741
P132plus             positivo           169948           170023
P133plus             positivo           171205           171280
P134plus             positivo           172857           172932
P135plus             positivo           174733           174808
P136plus             positivo           175557           175632
P137plus             positivo           177150           177225
P138plus             positivo           177665           177740
P139plus             positivo           177876           177951
P140plus             positivo           177973           178048
P141plus             positivo           179499           179574
P142plus             positivo           180387           180462
P143plus             positivo           182750           182825
P144plus             positivo           182825           182900
P145plus             positivo           183492           183567
P146plus             positivo           185205           185280
P147plus             positivo           187041           187116
P148plus             positivo           187647           187722
P149plus             positivo           188233           188308
P150plus             positivo           188394           188469
P151plus             positivo           188525           188600
P152plus             positivo           189888           189963
P153plus             positivo           190389           190464
P154plus             positivo           190700           190775
P155plus             positivo           190845           190920
P156plus             positivo           192713           192788
P157plus             positivo           192924           192999
P158plus             positivo           194052           194127
P159plus             positivo           194608           194683
P160plus             positivo           195386           195461
P161plus             positivo           195707           195782
P162plus             positivo           196183           196258
P163plus             positivo           196356           196431
P164plus             positivo           196854           196929
P165plus             positivo           197069           197144
P166plus             positivo           197435           197510
P167plus             positivo           197938           198013
P168plus             positivo           200153           200228
P169plus             positivo           200382           200457
P170plus             positivo           200622           200697
P171plus             positivo           200877           200952
P172plus             positivo           202927           203002
P173plus             positivo           206405           206480
P174plus             positivo           206694           206769
P175plus             positivo           206809           206884
P176plus             positivo           209044           209119
P177plus             positivo           209368           209443
P178plus             positivo           209444           209519
P179plus             positivo           210197           210272
P180plus             positivo           212155           212230
P181plus             positivo           213538           213613
P182plus             positivo           213796           213871
P183plus             positivo           214531           214606
P184plus             positivo           215317           215392
P185plus             positivo           217671           217746
P186plus             positivo           218274           218349
P187plus             positivo           218545           218620
P188plus             positivo           219297           219372
P189plus             positivo           220851           220926
P190plus             positivo           220995           221070
P191plus             positivo           221451           221526
P192plus             positivo           222371           222446
P193plus             positivo           222498           222573
P194plus             positivo           223832           223907
P195plus             positivo           228041           228116
P196plus             positivo           230099           230174
P197plus             positivo           232151           232226
P198plus             positivo           235426           235501
P199plus             positivo           237464           237539
P200plus             positivo           237618           237693
P201plus             positivo           239172           239247
P202plus             positivo           241170           241245
P203plus             positivo           241325           241400
P204plus             positivo           241949           242024
P205plus             positivo           242092           242167
P206plus             positivo           242974           243049
P207plus             positivo           244955           245030
P208plus             positivo           245197           245272
P209plus             positivo           246423           246498
P210plus             positivo           247551           247626
P211plus             positivo           248305           248380
P212plus             positivo           248385           248460
P213plus             positivo           248823           248898
P214plus             positivo           254948           255023
P215plus             positivo           256966           257041
P216plus             positivo           258890           258965
P217plus             positivo           258970           259045
P218plus             positivo           259086           259161
P219plus             positivo           260771           260846
P220plus             positivo           260939           261014
P221plus             positivo           261933           262008
P222plus             positivo           262977           263052
P223plus             positivo           263697           263772
P224plus             positivo           265571           265646
P225plus             positivo           265987           266062
P226plus             positivo           268881           268956
P227plus             positivo           269799           269874
P228plus             positivo           270293           270368
P229plus             positivo           270385           270460
P230plus             positivo           271059           271134
P231plus             positivo           275342           275417
P232plus             positivo           275468           275543
P233plus             positivo           277643           277718
P234plus             positivo           278870           278945
P235plus             positivo           279571           279646
P236plus             positivo           280408           280483
P237plus             positivo           285598           285673
P238plus             positivo           286676           286751
P239plus             positivo           287760           287835
