Region           Strand              Start               End

P1plus             positivo           4305           4380
P2plus             positivo           9736           9811
P3plus             positivo           10659           10734
P4plus             positivo           11178           11253
P5plus             positivo           11746           11821
P6plus             positivo           15230           15305
P7plus             positivo           16649           16724
P8plus             positivo           27370           27445
P9plus             positivo           32792           32867
P10plus             positivo           33065           33140
P11plus             positivo           43446           43521
P12plus             positivo           46657           46732
P13plus             positivo           48098           48173
P14plus             positivo           48531           48606
P15plus             positivo           49865           49940
P16plus             positivo           51579           51654
P17plus             positivo           55524           55599
P18plus             positivo           56783           56858
P19plus             positivo           70632           70707
P20plus             positivo           84015           84090
P21plus             positivo           88208           88283
P22plus             positivo           102130           102205
P23plus             positivo           107492           107567
P24plus             positivo           109740           109815
P25plus             positivo           114918           114993
P26plus             positivo           120655           120730
P27plus             positivo           138423           138498
P28plus             positivo           160760           160835
P29plus             positivo           166564           166639
P30plus             positivo           168078           168153
P31plus             positivo           170111           170186
P32plus             positivo           171832           171907
P33plus             positivo           179336           179411
P34plus             positivo           183233           183308
P35plus             positivo           184492           184567
P36plus             positivo           184864           184939
P37plus             positivo           195825           195900
P38plus             positivo           201509           201584
P39plus             positivo           201751           201826
P40plus             positivo           203216           203291
P41plus             positivo           208293           208368
P42plus             positivo           216715           216790
P43plus             positivo           243219           243294
P44plus             positivo           243439           243514
P45plus             positivo           246284           246359
P46plus             positivo           251278           251353
P47plus             positivo           252438           252513
P48plus             positivo           253754           253829
P49plus             positivo           254103           254178
P50plus             positivo           257572           257647
P51plus             positivo           259387           259462
P52plus             positivo           269190           269265
P53plus             positivo           270447           270522
P54plus             positivo           272206           272281
P55plus             positivo           282391           282466
P56plus             positivo           284975           285050
P57plus             positivo           306673           306748
P58plus             positivo           307255           307330
P59plus             positivo           314114           314189
P60plus             positivo           317523           317598
P61plus             positivo           318615           318690
P62plus             positivo           336592           336667
P63plus             positivo           350000           350075
P64plus             positivo           358535           358610
P65plus             positivo           359391           359466
P66plus             positivo           359477           359552
P67plus             positivo           383529           383604
P68plus             positivo           392985           393060
P69plus             positivo           400616           400691
P70plus             positivo           407874           407949
P71plus             positivo           412349           412424
P72plus             positivo           413201           413276
P73plus             positivo           414322           414397
P74plus             positivo           434877           434952
P75plus             positivo           437734           437809
P76plus             positivo           447303           447378
P77plus             positivo           452874           452949
P78plus             positivo           459727           459802
P79plus             positivo           460061           460136
P80plus             positivo           465497           465572
P81plus             positivo           466546           466621
P82plus             positivo           467407           467482
P83plus             positivo           477608           477683
P84plus             positivo           480833           480908
P85plus             positivo           483446           483521
P86plus             positivo           485756           485831
P87plus             positivo           490898           490973
P88plus             positivo           504994           505069
P89plus             positivo           512611           512686
P90plus             positivo           512691           512766
P91plus             positivo           520840           520915
P92plus             positivo           530602           530677
P93plus             positivo           531808           531883
P94plus             positivo           531968           532043
P95plus             positivo           532171           532246
P96plus             positivo           545611           545686
P97plus             positivo           547439           547514
P98plus             positivo           549803           549878
P99plus             positivo           555927           556002
P100plus             positivo           558056           558131
P101plus             positivo           563388           563463
P102plus             positivo           568155           568230
P103plus             positivo           569004           569079
P104plus             positivo           575815           575890
P105plus             positivo           578324           578399
P106plus             positivo           578901           578976
P107plus             positivo           584245           584320
P108plus             positivo           587252           587327
P109plus             positivo           588684           588759
P110plus             positivo           592876           592951
P111plus             positivo           595460           595535
P112plus             positivo           600550           600625
P113plus             positivo           600710           600785
P114plus             positivo           601826           601901
P115plus             positivo           604667           604742
P116plus             positivo           607283           607358
P117plus             positivo           608885           608960
P118plus             positivo           609142           609217
P119plus             positivo           611999           612074
P120plus             positivo           612134           612209
P121plus             positivo           615955           616030
P122plus             positivo           618985           619060
P123plus             positivo           627544           627619
P124plus             positivo           628629           628704
P1minus             negativo           4280           4355
P2minus             negativo           9713           9788
P3minus             negativo           10610           10685
P4minus             negativo           11143           11218
P5minus             negativo           11732           11807
P6minus             negativo           15196           15271
P7minus             negativo           16604           16679
P8minus             negativo           27366           27441
P9minus             negativo           32783           32858
P10minus             negativo           33039           33114
P11minus             negativo           43433           43508
P12minus             negativo           46665           46740
P13minus             negativo           48083           48158
P14minus             negativo           48516           48591
P15minus             negativo           49843           49918
P16minus             negativo           51549           51624
P17minus             negativo           55504           55579
P18minus             negativo           56758           56833
P19minus             negativo           70615           70690
P20minus             negativo           83988           84063
P21minus             negativo           88184           88259
