Region           Strand              Start               End

P1plus             positivo           743           818
P2plus             positivo           1792           1867
P3plus             positivo           2057           2132
P4plus             positivo           2389           2464
P5plus             positivo           2941           3016
P6plus             positivo           3587           3662
P7plus             positivo           4216           4291
P8plus             positivo           4348           4423
P9plus             positivo           4915           4990
P10plus             positivo           5746           5821
P11plus             positivo           8011           8086
P12plus             positivo           8116           8191
P13plus             positivo           8194           8269
P14plus             positivo           8527           8602
P15plus             positivo           12472           12547
P16plus             positivo           15688           15763
P17plus             positivo           20115           20190
P18plus             positivo           20742           20817
P19plus             positivo           21450           21525
P20plus             positivo           21602           21677
P21plus             positivo           22092           22167
P22plus             positivo           23704           23779
P23plus             positivo           25655           25730
P24plus             positivo           28464           28539
P25plus             positivo           30040           30115
P26plus             positivo           30363           30438
P27plus             positivo           31163           31238
P28plus             positivo           31419           31494
P29plus             positivo           33024           33099
P30plus             positivo           33773           33848
P31plus             positivo           33854           33929
P32plus             positivo           34123           34198
P33plus             positivo           37316           37391
P34plus             positivo           40018           40093
P35plus             positivo           40093           40168
P36plus             positivo           40259           40334
P37plus             positivo           40854           40929
P38plus             positivo           41265           41340
P39plus             positivo           44396           44471
P40plus             positivo           47247           47322
P41plus             positivo           48999           49074
P42plus             positivo           51288           51363
P43plus             positivo           51961           52036
P44plus             positivo           52604           52679
P45plus             positivo           53326           53401
P46plus             positivo           53553           53628
P47plus             positivo           54320           54395
P48plus             positivo           54408           54483
P49plus             positivo           54549           54624
P50plus             positivo           57286           57361
P51plus             positivo           57769           57844
P52plus             positivo           58150           58225
P53plus             positivo           58962           59037
P54plus             positivo           59149           59224
P55plus             positivo           59626           59701
P56plus             positivo           63990           64065
P57plus             positivo           65071           65146
P58plus             positivo           69398           69473
P59plus             positivo           69473           69548
P60plus             positivo           70079           70154
P61plus             positivo           73025           73100
P62plus             positivo           76606           76681
P63plus             positivo           76801           76876
P64plus             positivo           76927           77002
P65plus             positivo           77704           77779
P66plus             positivo           80212           80287
P67plus             positivo           80698           80773
P68plus             positivo           81898           81973
P69plus             positivo           82478           82553
P70plus             positivo           84705           84780
P71plus             positivo           85947           86022
P72plus             positivo           86381           86456
P73plus             positivo           86639           86714
P74plus             positivo           87257           87332
P75plus             positivo           87916           87991
P76plus             positivo           88889           88964
P77plus             positivo           89831           89906
P78plus             positivo           90368           90443
P79plus             positivo           91787           91862
P80plus             positivo           92227           92302
P81plus             positivo           93176           93251
P82plus             positivo           96157           96232
P83plus             positivo           98728           98803
P84plus             positivo           99864           99939
P85plus             positivo           100970           101045
P86plus             positivo           106452           106527
P87plus             positivo           108785           108860
P88plus             positivo           111390           111465
P89plus             positivo           111465           111540
P90plus             positivo           117786           117861
P91plus             positivo           118128           118203
P92plus             positivo           120640           120715
P93plus             positivo           122677           122752
P94plus             positivo           123139           123214
P95plus             positivo           123320           123395
P96plus             positivo           124388           124463
P97plus             positivo           124517           124592
P98plus             positivo           126216           126291
P99plus             positivo           127554           127629
P100plus             positivo           128026           128101
P101plus             positivo           128815           128890
P102plus             positivo           130466           130541
P103plus             positivo           132628           132703
P104plus             positivo           133706           133781
P105plus             positivo           134282           134357
P106plus             positivo           134847           134922
P107plus             positivo           137635           137710
P108plus             positivo           138362           138437
P109plus             positivo           140550           140625
P110plus             positivo           141186           141261
P111plus             positivo           142554           142629
P112plus             positivo           145230           145305
P113plus             positivo           146255           146330
P114plus             positivo           147659           147734
P115plus             positivo           148592           148667
P116plus             positivo           150883           150958
P117plus             positivo           151094           151169
P118plus             positivo           151722           151797
P119plus             positivo           152646           152721
P120plus             positivo           154278           154353
P121plus             positivo           155328           155403
P122plus             positivo           158551           158626
P123plus             positivo           159873           159948
P124plus             positivo           160264           160339
P125plus             positivo           162155           162230
P126plus             positivo           162272           162347
P127plus             positivo           163172           163247
P128plus             positivo           163271           163346
P129plus             positivo           163798           163873
P130plus             positivo           164268           164343
P131plus             positivo           165276           165351
P132plus             positivo           166114           166189
P133plus             positivo           166511           166586
P134plus             positivo           168134           168209
P135plus             positivo           168553           168628
P136plus             positivo           168843           168918
