Region           Strand              Start               End

P1plus             positivo           295           370
P2plus             positivo           410           485
P3plus             positivo           1019           1094
P4plus             positivo           1538           1613
P5plus             positivo           1756           1831
P6plus             positivo           1887           1962
P7plus             positivo           2208           2283
P8plus             positivo           2807           2882
P9plus             positivo           3196           3271
P10plus             positivo           3349           3424
P11plus             positivo           3472           3547
P12plus             positivo           4043           4118
P13plus             positivo           5333           5408
P14plus             positivo           6212           6287
P15plus             positivo           6455           6530
P16plus             positivo           6739           6814
P17plus             positivo           7199           7274
P18plus             positivo           8047           8122
P19plus             positivo           8937           9012
P20plus             positivo           10764           10839
P21plus             positivo           10851           10926
P22plus             positivo           11751           11826
P23plus             positivo           12997           13072
P24plus             positivo           13322           13397
P25plus             positivo           14134           14209
P26plus             positivo           16304           16379
P27plus             positivo           18857           18932
P28plus             positivo           20713           20788
P29plus             positivo           21755           21830
P30plus             positivo           22221           22296
P31plus             positivo           23685           23760
P32plus             positivo           23805           23880
P33plus             positivo           24488           24563
P34plus             positivo           25537           25612
P35plus             positivo           25941           26016
P36plus             positivo           27573           27648
P37plus             positivo           30358           30433
P38plus             positivo           33579           33654
P39plus             positivo           36805           36880
P40plus             positivo           37182           37257
P41plus             positivo           39237           39312
P42plus             positivo           40028           40103
P43plus             positivo           41170           41245
P44plus             positivo           43239           43314
P45plus             positivo           44892           44967
P46plus             positivo           45677           45752
P47plus             positivo           45945           46020
P48plus             positivo           46454           46529
P49plus             positivo           48105           48180
P50plus             positivo           49687           49762
P51plus             positivo           50070           50145
P52plus             positivo           52401           52476
P53plus             positivo           52910           52985
P54plus             positivo           54497           54572
P55plus             positivo           54723           54798
P56plus             positivo           54843           54918
P57plus             positivo           56127           56202
P58plus             positivo           59349           59424
P59plus             positivo           62151           62226
P60plus             positivo           62593           62668
P61plus             positivo           62976           63051
P62plus             positivo           64074           64149
P63plus             positivo           65832           65907
P64plus             positivo           65946           66021
P65plus             positivo           67002           67077
P66plus             positivo           67302           67377
P67plus             positivo           69084           69159
P68plus             positivo           69252           69327
P69plus             positivo           70665           70740
P70plus             positivo           71163           71238
P71plus             positivo           72324           72399
P72plus             positivo           73918           73993
P73plus             positivo           74157           74232
P74plus             positivo           75561           75636
P75plus             positivo           78005           78080
P76plus             positivo           78328           78403
P77plus             positivo           78779           78854
P78plus             positivo           80427           80502
P79plus             positivo           81936           82011
P80plus             positivo           85358           85433
P81plus             positivo           87807           87882
P82plus             positivo           88558           88633
P83plus             positivo           88727           88802
P84plus             positivo           90168           90243
P85plus             positivo           91046           91121
P86plus             positivo           91837           91912
P87plus             positivo           93082           93157
P88plus             positivo           93770           93845
P89plus             positivo           94774           94849
P90plus             positivo           95067           95142
P91plus             positivo           98482           98557
P92plus             positivo           98614           98689
P93plus             positivo           99652           99727
P94plus             positivo           100159           100234
P95plus             positivo           100834           100909
P96plus             positivo           100936           101011
P97plus             positivo           101313           101388
P98plus             positivo           101713           101788
P99plus             positivo           103375           103450
P100plus             positivo           104077           104152
P101plus             positivo           104944           105019
P102plus             positivo           106975           107050
P103plus             positivo           108186           108261
P104plus             positivo           108986           109061
