Region           Strand              Start               End

P1plus             positivo           2415           2490
P2plus             positivo           8530           8605
P3plus             positivo           16318           16393
P4plus             positivo           19823           19898
P5plus             positivo           30167           30242
P6plus             positivo           32949           33024
P7plus             positivo           35023           35098
P8plus             positivo           35649           35724
P9plus             positivo           36898           36973
P10plus             positivo           41361           41436
P11plus             positivo           47649           47724
P12plus             positivo           47904           47979
P13plus             positivo           48696           48771
P14plus             positivo           49365           49440
P15plus             positivo           67676           67751
P16plus             positivo           70975           71050
P17plus             positivo           72434           72509
P18plus             positivo           74659           74734
P19plus             positivo           76425           76500
P20plus             positivo           78650           78725
P21plus             positivo           79848           79923
P22plus             positivo           86546           86621
P23plus             positivo           86691           86766
P24plus             positivo           90451           90526
P25plus             positivo           95314           95389
P26plus             positivo           98439           98514
P27plus             positivo           99411           99486
P28plus             positivo           104818           104893
P29plus             positivo           106141           106216
P30plus             positivo           116106           116181
P31plus             positivo           121736           121811
P32plus             positivo           131729           131804
P33plus             positivo           132430           132505
P34plus             positivo           135740           135815
P35plus             positivo           144597           144672
P36plus             positivo           146436           146511
P37plus             positivo           147956           148031
P38plus             positivo           160814           160889
P39plus             positivo           162991           163066
P40plus             positivo           163326           163401
P41plus             positivo           164527           164602
P42plus             positivo           165025           165100
P43plus             positivo           171545           171620
P44plus             positivo           171894           171969
P45plus             positivo           173096           173171
P46plus             positivo           181500           181575
P47plus             positivo           183973           184048
P48plus             positivo           185469           185544
P49plus             positivo           187377           187452
P50plus             positivo           187934           188009
P51plus             positivo           188866           188941
P52plus             positivo           197177           197252
P53plus             positivo           200644           200719
P54plus             positivo           200944           201019
P55plus             positivo           209158           209233
P56plus             positivo           212010           212085
P57plus             positivo           215032           215107
P58plus             positivo           216117           216192
P59plus             positivo           222831           222906
P60plus             positivo           226497           226572
P61plus             positivo           227739           227814
P62plus             positivo           232856           232931
P63plus             positivo           237939           238014
P64plus             positivo           241901           241976
P65plus             positivo           247980           248055
P66plus             positivo           248776           248851
P67plus             positivo           250856           250931
P68plus             positivo           253955           254030
P69plus             positivo           272861           272936
P70plus             positivo           275324           275399
P71plus             positivo           285588           285663
P72plus             positivo           287248           287323
P73plus             positivo           287365           287440
P74plus             positivo           293438           293513
P75plus             positivo           295406           295481
P76plus             positivo           301436           301511
P77plus             positivo           305385           305460
P78plus             positivo           305632           305707
P79plus             positivo           310896           310971
P80plus             positivo           312053           312128
P81plus             positivo           317665           317740
P82plus             positivo           325441           325516
P83plus             positivo           329531           329606
P84plus             positivo           332825           332900
P85plus             positivo           340748           340823
P86plus             positivo           344241           344316
P87plus             positivo           346832           346907
P88plus             positivo           350886           350961
P89plus             positivo           352226           352301
P90plus             positivo           353472           353547
P91plus             positivo           354097           354172
P92plus             positivo           365086           365161
P93plus             positivo           365433           365508
P94plus             positivo           366631           366706
P95plus             positivo           370655           370730
P96plus             positivo           380743           380818
P97plus             positivo           382550           382625
P98plus             positivo           384117           384192
P99plus             positivo           390894           390969
P100plus             positivo           396615           396690
P101plus             positivo           398377           398452
P102plus             positivo           408319           408394
P103plus             positivo           408590           408665
P104plus             positivo           409102           409177
P105plus             positivo           420061           420136
P106plus             positivo           422832           422907
P107plus             positivo           423224           423299
P108plus             positivo           428048           428123
P109plus             positivo           431743           431818
P110plus             positivo           434650           434725
P111plus             positivo           435769           435844
P112plus             positivo           445427           445502
P113plus             positivo           449386           449461
P114plus             positivo           451698           451773
P115plus             positivo           455111           455186
P116plus             positivo           455208           455283
P117plus             positivo           456111           456186
P118plus             positivo           457912           457987
P119plus             positivo           462459           462534
P120plus             positivo           469757           469832
P121plus             positivo           476818           476893
P122plus             positivo           479247           479322
P123plus             positivo           480253           480328
P124plus             positivo           481642           481717
P125plus             positivo           487538           487613
P126plus             positivo           494723           494798
P127plus             positivo           495401           495476
P128plus             positivo           496260           496335
P129plus             positivo           499984           500059
P130plus             positivo           501485           501560
P131plus             positivo           503575           503650
P132plus             positivo           504520           504595
P133plus             positivo           506025           506100
P134plus             positivo           509469           509544
P135plus             positivo           510490           510565
P136plus             positivo           511484           511559
P137plus             positivo           514415           514490
P138plus             positivo           517419           517494
P139plus             positivo           525878           525953
P140plus             positivo           530411           530486
P141plus             positivo           533541           533616
P142plus             positivo           536469           536544
P143plus             positivo           545531           545606
P144plus             positivo           549347           549422
P145plus             positivo           550701           550776
P146plus             positivo           551266           551341
P147plus             positivo           551758           551833
P148plus             positivo           553880           553955
P149plus             positivo           556996           557071
P150plus             positivo           561164           561239
