Region           Strand              Start               End

P1plus             positivo           96           171
P2plus             positivo           3262           3337
P3plus             positivo           4965           5040
P4plus             positivo           5641           5716
P5plus             positivo           5740           5815
P6plus             positivo           6433           6508
P7plus             positivo           6800           6875
P8plus             positivo           8317           8392
P9plus             positivo           12918           12993
P10plus             positivo           13830           13905
P11plus             positivo           16318           16393
P12plus             positivo           17155           17230
P13plus             positivo           20071           20146
P14plus             positivo           25993           26068
P15plus             positivo           26068           26143
P16plus             positivo           26209           26284
P17plus             positivo           33615           33690
P18plus             positivo           34681           34756
P19plus             positivo           36082           36157
P20plus             positivo           37806           37881
P21plus             positivo           40600           40675
P22plus             positivo           40795           40870
P23plus             positivo           40904           40979
P24plus             positivo           42862           42937
P25plus             positivo           43624           43699
P26plus             positivo           44288           44363
P27plus             positivo           50217           50292
P28plus             positivo           51323           51398
P29plus             positivo           51438           51513
P30plus             positivo           52064           52139
P31plus             positivo           52770           52845
P32plus             positivo           54853           54928
P33plus             positivo           54954           55029
P34plus             positivo           55515           55590
P35plus             positivo           56046           56121
P36plus             positivo           56247           56322
P37plus             positivo           56835           56910
P38plus             positivo           56922           56997
P39plus             positivo           58632           58707
P40plus             positivo           59487           59562
P41plus             positivo           60404           60479
P42plus             positivo           64313           64388
P43plus             positivo           65695           65770
P44plus             positivo           71876           71951
P45plus             positivo           72521           72596
P46plus             positivo           72597           72672
P47plus             positivo           75238           75313
P48plus             positivo           75373           75448
P49plus             positivo           75819           75894
P50plus             positivo           76185           76260
P51plus             positivo           76316           76391
P52plus             positivo           79561           79636
P53plus             positivo           82114           82189
P54plus             positivo           82656           82731
P55plus             positivo           82775           82850
P56plus             positivo           83051           83126
P57plus             positivo           83313           83388
P58plus             positivo           84228           84303
P59plus             positivo           84304           84379
P60plus             positivo           84573           84648
P61plus             positivo           86082           86157
P62plus             positivo           87998           88073
P63plus             positivo           88302           88377
P64plus             positivo           89735           89810
P65plus             positivo           90158           90233
P66plus             positivo           90774           90849
P67plus             positivo           92657           92732
P68plus             positivo           93806           93881
P69plus             positivo           95225           95300
P70plus             positivo           95622           95697
P71plus             positivo           97679           97754
P72plus             positivo           97896           97971
P73plus             positivo           104396           104471
P74plus             positivo           105932           106007
P75plus             positivo           109016           109091
P76plus             positivo           109496           109571
P77plus             positivo           109654           109729
P78plus             positivo           113691           113766
P79plus             positivo           113904           113979
P80plus             positivo           114010           114085
P81plus             positivo           114092           114167
