Region           Strand              Start               End

P1plus             positivo           166           241
P2plus             positivo           1661           1736
P3plus             positivo           3993           4068
P4plus             positivo           7809           7884
P5plus             positivo           9437           9512
P6plus             positivo           10079           10154
P7plus             positivo           10660           10735
P8plus             positivo           21369           21444
P9plus             positivo           21469           21544
P10plus             positivo           22435           22510
P11plus             positivo           26888           26963
P12plus             positivo           27341           27416
P13plus             positivo           28314           28389
P14plus             positivo           29957           30032
P15plus             positivo           30110           30185
P16plus             positivo           30189           30264
P17plus             positivo           30799           30874
P18plus             positivo           31261           31336
P19plus             positivo           37699           37774
P20plus             positivo           39742           39817
P21plus             positivo           42691           42766
P22plus             positivo           42772           42847
P23plus             positivo           44915           44990
P24plus             positivo           49115           49190
P25plus             positivo           50870           50945
P26plus             positivo           53581           53656
P27plus             positivo           58107           58182
P28plus             positivo           58235           58310
P29plus             positivo           58356           58431
P30plus             positivo           58663           58738
P31plus             positivo           60563           60638
P32plus             positivo           61012           61087
P33plus             positivo           61947           62022
P34plus             positivo           62046           62121
P35plus             positivo           63053           63128
P36plus             positivo           63537           63612
P37plus             positivo           64044           64119
P38plus             positivo           64121           64196
P39plus             positivo           64378           64453
P40plus             positivo           64593           64668
P41plus             positivo           67662           67737
P42plus             positivo           67979           68054
P43plus             positivo           68055           68130
P44plus             positivo           70312           70387
P45plus             positivo           72029           72104
P46plus             positivo           74664           74739
P47plus             positivo           75286           75361
P48plus             positivo           75418           75493
P49plus             positivo           78744           78819
P50plus             positivo           79478           79553
P51plus             positivo           79817           79892
P52plus             positivo           80073           80148
P53plus             positivo           80686           80761
P54plus             positivo           82972           83047
P55plus             positivo           83644           83719
P56plus             positivo           83827           83902
P57plus             positivo           84026           84101
P58plus             positivo           84506           84581
P59plus             positivo           89215           89290
P60plus             positivo           92339           92414
P61plus             positivo           92523           92598
P62plus             positivo           94345           94420
P63plus             positivo           97288           97363
P64plus             positivo           100168           100243
P65plus             positivo           101236           101311
P66plus             positivo           102312           102387
P67plus             positivo           103924           103999
P68plus             positivo           104478           104553
P69plus             positivo           105679           105754
P70plus             positivo           105983           106058
P71plus             positivo           106120           106195
P72plus             positivo           106855           106930
P73plus             positivo           109127           109202
P74plus             positivo           109927           110002
P75plus             positivo           110090           110165
P76plus             positivo           112081           112156
P77plus             positivo           112707           112782
P78plus             positivo           113601           113676
P79plus             positivo           115841           115916
P80plus             positivo           119249           119324
P81plus             positivo           119478           119553
P82plus             positivo           130541           130616
P83plus             positivo           130745           130820
P84plus             positivo           130989           131064
P85plus             positivo           131437           131512
P86plus             positivo           134557           134632
P87plus             positivo           135816           135891
P88plus             positivo           138044           138119
P89plus             positivo           138458           138533
P90plus             positivo           139794           139869
P91plus             positivo           142954           143029
P92plus             positivo           148285           148360
P93plus             positivo           148417           148492
P94plus             positivo           148556           148631
P95plus             positivo           148645           148720
P96plus             positivo           148820           148895
P97plus             positivo           148909           148984
P98plus             positivo           149084           149159
P99plus             positivo           149173           149248
P100plus             positivo           149348           149423
P101plus             positivo           149437           149512
P102plus             positivo           149612           149687
P103plus             positivo           149701           149776
P104plus             positivo           149876           149951
P105plus             positivo           149965           150040
P106plus             positivo           150140           150215
P107plus             positivo           150229           150304
P108plus             positivo           150404           150479
P109plus             positivo           150493           150568
P110plus             positivo           150668           150743
P111plus             positivo           150757           150832
P112plus             positivo           150932           151007
P113plus             positivo           151021           151096
P114plus             positivo           151196           151271
P115plus             positivo           151285           151360
P116plus             positivo           151460           151535
P117plus             positivo           151549           151624
P118plus             positivo           151724           151799
P119plus             positivo           151813           151888
P120plus             positivo           151988           152063
P121plus             positivo           152077           152152
P122plus             positivo           152252           152327
P123plus             positivo           152341           152416
P124plus             positivo           152516           152591
P125plus             positivo           152605           152680
P126plus             positivo           152780           152855
P127plus             positivo           152869           152944
P128plus             positivo           153044           153119
P129plus             positivo           153133           153208
P130plus             positivo           153308           153383
P131plus             positivo           153397           153472
P132plus             positivo           153571           153646
P133plus             positivo           153660           153735
P134plus             positivo           153835           153910
P135plus             positivo           153924           153999
P136plus             positivo           154099           154174
P137plus             positivo           154188           154263
P138plus             positivo           154363           154438
P139plus             positivo           154452           154527
P140plus             positivo           154627           154702
P141plus             positivo           154716           154791
P142plus             positivo           154891           154966
P143plus             positivo           154980           155055
P144plus             positivo           155155           155230
P145plus             positivo           155244           155319
P146plus             positivo           155419           155494
P147plus             positivo           155508           155583
P148plus             positivo           155683           155758
P149plus             positivo           155772           155847
P150plus             positivo           155947           156022
P151plus             positivo           156036           156111
P152plus             positivo           156211           156286
P153plus             positivo           156300           156375
P154plus             positivo           156475           156550
P155plus             positivo           156564           156639
P156plus             positivo           156739           156814
P157plus             positivo           156828           156903
P158plus             positivo           157003           157078
P159plus             positivo           157092           157167
P160plus             positivo           157267           157342
P161plus             positivo           157356           157431
P162plus             positivo           157531           157606
P163plus             positivo           157620           157695
P164plus             positivo           157795           157870
P165plus             positivo           157884           157959
P166plus             positivo           158059           158134
P167plus             positivo           158459           158534
P168plus             positivo           159508           159583
P169plus             positivo           160069           160144
P170plus             positivo           160161           160236
P171plus             positivo           161833           161908
P172plus             positivo           162912           162987
P173plus             positivo           164025           164100
P174plus             positivo           165340           165415
P175plus             positivo           166605           166680
P176plus             positivo           167154           167229
P177plus             positivo           169082           169157
P178plus             positivo           170002           170077
P179plus             positivo           172216           172291
P180plus             positivo           172812           172887
P181plus             positivo           173779           173854
P182plus             positivo           173874           173949
P183plus             positivo           178180           178255
P184plus             positivo           179570           179645
P185plus             positivo           179801           179876
P186plus             positivo           181686           181761
P187plus             positivo           182493           182568
P188plus             positivo           182749           182824
P189plus             positivo           183608           183683
P190plus             positivo           185474           185549
P191plus             positivo           186249           186324
P192plus             positivo           186605           186680
P193plus             positivo           188501           188576
P194plus             positivo           190290           190365
