Region           Strand              Start               End

P1plus             positivo           450           525
P2plus             positivo           3844           3919
P3plus             positivo           9139           9214
P4plus             positivo           9563           9638
P5plus             positivo           12484           12559
P6plus             positivo           15002           15077
P7plus             positivo           15504           15579
P8plus             positivo           15804           15879
P9plus             positivo           19412           19487
P10plus             positivo           21916           21991
P11plus             positivo           25609           25684
P12plus             positivo           27467           27542
P13plus             positivo           29060           29135
P14plus             positivo           30351           30426
P15plus             positivo           35985           36060
P16plus             positivo           37801           37876
P17plus             positivo           40571           40646
P18plus             positivo           43044           43119
P19plus             positivo           45525           45600
P20plus             positivo           45773           45848
P21plus             positivo           55345           55420
P22plus             positivo           56352           56427
P23plus             positivo           60580           60655
P24plus             positivo           64761           64836
P25plus             positivo           65169           65244
P26plus             positivo           65653           65728
P27plus             positivo           69479           69554
P28plus             positivo           80472           80547
P29plus             positivo           83060           83135
P30plus             positivo           83150           83225
P31plus             positivo           87329           87404
P32plus             positivo           88595           88670
P33plus             positivo           95890           95965
P34plus             positivo           97943           98018
P35plus             positivo           105930           106005
P36plus             positivo           107008           107083
P37plus             positivo           112105           112180
P38plus             positivo           115554           115629
P39plus             positivo           117127           117202
P40plus             positivo           118249           118324
P41plus             positivo           118518           118593
P42plus             positivo           125108           125183
P43plus             positivo           128024           128099
P44plus             positivo           131355           131430
P45plus             positivo           135802           135877
P46plus             positivo           157411           157486
P47plus             positivo           163839           163914
P48plus             positivo           167077           167152
P49plus             positivo           169907           169982
P50plus             positivo           181541           181616
P51plus             positivo           182904           182979
P52plus             positivo           190707           190782
P53plus             positivo           192240           192315
P54plus             positivo           196270           196345
P55plus             positivo           197423           197498
P56plus             positivo           203190           203265
P57plus             positivo           205837           205912
P58plus             positivo           210074           210149
P59plus             positivo           210149           210224
P60plus             positivo           213483           213558
P61plus             positivo           215950           216025
P62plus             positivo           216589           216664
P63plus             positivo           217737           217812
P64plus             positivo           221473           221548
P65plus             positivo           225824           225899
P66plus             positivo           231422           231497
P67plus             positivo           239440           239515
P68plus             positivo           242974           243049
P69plus             positivo           246674           246749
P70plus             positivo           251068           251143
P71plus             positivo           251417           251492
P72plus             positivo           259033           259108
P73plus             positivo           259770           259845
P74plus             positivo           261679           261754
P75plus             positivo           263109           263184
P76plus             positivo           271506           271581
P77plus             positivo           272196           272271
P78plus             positivo           273904           273979
P79plus             positivo           274348           274423
P80plus             positivo           280035           280110
P81plus             positivo           282130           282205
P82plus             positivo           283070           283145
P83plus             positivo           288271           288346
P84plus             positivo           293830           293905
P85plus             positivo           295295           295370
P86plus             positivo           295951           296026
P87plus             positivo           296424           296499
P88plus             positivo           305394           305469
P89plus             positivo           309081           309156
P90plus             positivo           309342           309417
P91plus             positivo           313790           313865
P92plus             positivo           318581           318656
P93plus             positivo           319278           319353
P94plus             positivo           322245           322320
P95plus             positivo           327575           327650
P96plus             positivo           333858           333933
P97plus             positivo           353802           353877
P98plus             positivo           358197           358272
P99plus             positivo           358565           358640
P100plus             positivo           360438           360513
P101plus             positivo           363125           363200
P102plus             positivo           365106           365181
P103plus             positivo           368599           368674
P104plus             positivo           369418           369493
P105plus             positivo           374846           374921
P106plus             positivo           376552           376627
P107plus             positivo           377266           377341
P108plus             positivo           390159           390234
P109plus             positivo           395724           395799
P110plus             positivo           397383           397458
P111plus             positivo           405865           405940
P112plus             positivo           405941           406016
P113plus             positivo           406233           406308
P114plus             positivo           410158           410233
P115plus             positivo           411189           411264
P116plus             positivo           412123           412198
P117plus             positivo           414054           414129
P118plus             positivo           416387           416462
P119plus             positivo           422341           422416
P120plus             positivo           426410           426485
P121plus             positivo           430985           431060
P122plus             positivo           433236           433311
P123plus             positivo           433936           434011
P124plus             positivo           435926           436001
P125plus             positivo           437449           437524
P126plus             positivo           444845           444920
P127plus             positivo           447567           447642
P128plus             positivo           452053           452128
P129plus             positivo           455374           455449
P130plus             positivo           464743           464818
P131plus             positivo           466003           466078
P132plus             positivo           470006           470081
P133plus             positivo           472576           472651
P134plus             positivo           479932           480007
P135plus             positivo           486529           486604
P136plus             positivo           493791           493866
P137plus             positivo           494257           494332
P138plus             positivo           494335           494410
P139plus             positivo           503061           503136
P140plus             positivo           505583           505658
P141plus             positivo           508176           508251
P142plus             positivo           509157           509232
P143plus             positivo           512554           512629
P144plus             positivo           513032           513107
P145plus             positivo           515529           515604
P146plus             positivo           516514           516589
P147plus             positivo           521904           521979
P148plus             positivo           526716           526791
P149plus             positivo           527456           527531
P150plus             positivo           539836           539911
P151plus             positivo           545651           545726
P152plus             positivo           546077           546152
P153plus             positivo           548764           548839
P154plus             positivo           552117           552192
P155plus             positivo           557496           557571
P156plus             positivo           557775           557850
P157plus             positivo           558639           558714
P158plus             positivo           566004           566079
