Region           Strand              Start               End

P1plus             positivo           2906           2981
P2plus             positivo           10578           10653
P3plus             positivo           11498           11573
P4plus             positivo           16490           16565
P5plus             positivo           22203           22278
P6plus             positivo           26094           26169
P7plus             positivo           27305           27380
P8plus             positivo           36682           36757
P9plus             positivo           40038           40113
P10plus             positivo           43227           43302
P11plus             positivo           46470           46545
P12plus             positivo           51260           51335
P13plus             positivo           58202           58277
P14plus             positivo           58813           58888
P15plus             positivo           63497           63572
P16plus             positivo           69599           69674
P17plus             positivo           70663           70738
P18plus             positivo           89293           89368
P19plus             positivo           101482           101557
P20plus             positivo           101940           102015
P21plus             positivo           112452           112527
P22plus             positivo           119746           119821
P23plus             positivo           124219           124294
P24plus             positivo           126644           126719
P25plus             positivo           132504           132579
P26plus             positivo           142462           142537
P27plus             positivo           148412           148487
P28plus             positivo           151312           151387
P29plus             positivo           156791           156866
P30plus             positivo           156866           156941
P31plus             positivo           163836           163911
P32plus             positivo           164393           164468
P33plus             positivo           175096           175171
P34plus             positivo           176684           176759
P35plus             positivo           179480           179555
P36plus             positivo           182663           182738
P37plus             positivo           185300           185375
P38plus             positivo           187164           187239
P39plus             positivo           189440           189515
P40plus             positivo           191410           191485
P41plus             positivo           195381           195456
P42plus             positivo           196245           196320
P43plus             positivo           206290           206365
P44plus             positivo           213613           213688
P45plus             positivo           215724           215799
P46plus             positivo           219287           219362
P47plus             positivo           219700           219775
P48plus             positivo           228547           228622
P49plus             positivo           236457           236532
P50plus             positivo           243884           243959
P51plus             positivo           244080           244155
P52plus             positivo           244197           244272
P53plus             positivo           271520           271595
P54plus             positivo           271933           272008
P55plus             positivo           276811           276886
P56plus             positivo           286939           287014
P57plus             positivo           287861           287936
P58plus             positivo           288453           288528
P59plus             positivo           306437           306512
P60plus             positivo           307014           307089
P61plus             positivo           308314           308389
P62plus             positivo           310766           310841
P63plus             positivo           310914           310989
P64plus             positivo           315239           315314
P65plus             positivo           317245           317320
P66plus             positivo           320841           320916
P67plus             positivo           322231           322306
P68plus             positivo           324569           324644
P69plus             positivo           328665           328740
P70plus             positivo           332162           332237
P71plus             positivo           343492           343567
P72plus             positivo           352698           352773
P73plus             positivo           354838           354913
P74plus             positivo           363945           364020
P75plus             positivo           367316           367391
P76plus             positivo           369418           369493
P77plus             positivo           369939           370014
P78plus             positivo           373600           373675
P79plus             positivo           374376           374451
P80plus             positivo           374806           374881
