Region           Strand              Start               End

P1plus             positivo           866           941
P2plus             positivo           2383           2458
P3plus             positivo           5875           5950
P4plus             positivo           9799           9874
P5plus             positivo           11170           11245
P6plus             positivo           12484           12559
P7plus             positivo           16698           16773
P8plus             positivo           18588           18663
P9plus             positivo           19625           19700
P10plus             positivo           20165           20240
P11plus             positivo           26248           26323
P12plus             positivo           30343           30418
P13plus             positivo           33022           33097
P14plus             positivo           33097           33172
P15plus             positivo           34198           34273
P16plus             positivo           35268           35343
P17plus             positivo           37677           37752
P18plus             positivo           38964           39039
P19plus             positivo           39202           39277
P20plus             positivo           41545           41620
P21plus             positivo           41890           41965
P22plus             positivo           42980           43055
P23plus             positivo           46289           46364
P24plus             positivo           46611           46686
P25plus             positivo           47495           47570
P26plus             positivo           48896           48971
P27plus             positivo           53593           53668
P28plus             positivo           55369           55444
P29plus             positivo           56150           56225
P30plus             positivo           56405           56480
P31plus             positivo           58590           58665
P32plus             positivo           63187           63262
P33plus             positivo           64552           64627
P34plus             positivo           64651           64726
P35plus             positivo           65114           65189
P36plus             positivo           65893           65968
P37plus             positivo           67496           67571
P38plus             positivo           69993           70068
P39plus             positivo           70239           70314
P40plus             positivo           70508           70583
P41plus             positivo           72088           72163
P42plus             positivo           72179           72254
P43plus             positivo           74012           74087
P44plus             positivo           74991           75066
P45plus             positivo           77026           77101
P46plus             positivo           78145           78220
P47plus             positivo           78567           78642
P48plus             positivo           79888           79963
P49plus             positivo           83503           83578
P50plus             positivo           85345           85420
P51plus             positivo           86126           86201
P52plus             positivo           88826           88901
P53plus             positivo           90866           90941
P54plus             positivo           92720           92795
P55plus             positivo           93750           93825
P56plus             positivo           94196           94271
P57plus             positivo           103949           104024
P58plus             positivo           106651           106726
P59plus             positivo           106743           106818
P60plus             positivo           107188           107263
P61plus             positivo           109841           109916
P62plus             positivo           110798           110873
P63plus             positivo           114541           114616
P64plus             positivo           114814           114889
P65plus             positivo           116235           116310
P66plus             positivo           119167           119242
P67plus             positivo           124836           124911
P68plus             positivo           125535           125610
P69plus             positivo           128576           128651
P70plus             positivo           130073           130148
P71plus             positivo           131422           131497
P72plus             positivo           134375           134450
P73plus             positivo           134554           134629
P74plus             positivo           147285           147360
P75plus             positivo           149534           149609
P76plus             positivo           152067           152142
P77plus             positivo           153703           153778
P78plus             positivo           157287           157362
P79plus             positivo           157485           157560
P80plus             positivo           158032           158107
P81plus             positivo           158115           158190
P82plus             positivo           162631           162706
P83plus             positivo           164525           164600
P84plus             positivo           165108           165183
P85plus             positivo           166475           166550
P86plus             positivo           166889           166964
P87plus             positivo           167100           167175
P88plus             positivo           167717           167792
P89plus             positivo           168769           168844
P90plus             positivo           169404           169479
P91plus             positivo           170521           170596
P92plus             positivo           171424           171499
P93plus             positivo           177591           177666
P94plus             positivo           178885           178960
P95plus             positivo           179015           179090
P96plus             positivo           185772           185847
P97plus             positivo           186458           186533
P98plus             positivo           188527           188602
P99plus             positivo           189742           189817
P100plus             positivo           190294           190369
P101plus             positivo           190973           191048
P102plus             positivo           191138           191213
P103plus             positivo           194556           194631
P104plus             positivo           196206           196281
P105plus             positivo           206137           206212
P106plus             positivo           206299           206374
P107plus             positivo           206705           206780
P108plus             positivo           206848           206923
P109plus             positivo           210399           210474
P110plus             positivo           210615           210690
P111plus             positivo           210997           211072
