Region           Strand              Start               End

P1plus             positivo           6584           6659
P2plus             positivo           8032           8107
P3plus             positivo           10583           10658
P4plus             positivo           22955           23030
P5plus             positivo           24440           24515
P6plus             positivo           25092           25167
P7plus             positivo           25241           25316
P8plus             positivo           26128           26203
P9plus             positivo           27808           27883
P10plus             positivo           27883           27958
P11plus             positivo           28242           28317
P12plus             positivo           30777           30852
P13plus             positivo           33057           33132
P14plus             positivo           33372           33447
P15plus             positivo           35283           35358
P16plus             positivo           35852           35927
P17plus             positivo           37402           37477
P18plus             positivo           37707           37782
P19plus             positivo           39008           39083
P20plus             positivo           51864           51939
P21plus             positivo           52434           52509
P22plus             positivo           61377           61452
P23plus             positivo           61831           61906
P24plus             positivo           64147           64222
P25plus             positivo           65972           66047
P26plus             positivo           67335           67410
P27plus             positivo           68014           68089
P28plus             positivo           69240           69315
P29plus             positivo           69414           69489
P30plus             positivo           69535           69610
P31plus             positivo           69768           69843
P32plus             positivo           71322           71397
P33plus             positivo           71520           71595
P34plus             positivo           77774           77849
P35plus             positivo           78736           78811
P36plus             positivo           80141           80216
P37plus             positivo           80655           80730
P38plus             positivo           80774           80849
P39plus             positivo           81888           81963
P40plus             positivo           82174           82249
P41plus             positivo           83134           83209
P42plus             positivo           84997           85072
P43plus             positivo           85142           85217
P44plus             positivo           85397           85472
P45plus             positivo           85880           85955
P46plus             positivo           87677           87752
P47plus             positivo           88613           88688
P48plus             positivo           88740           88815
P49plus             positivo           88980           89055
P50plus             positivo           91696           91771
P51plus             positivo           92791           92866
P52plus             positivo           94861           94936
P53plus             positivo           94939           95014
P54plus             positivo           95191           95266
P55plus             positivo           95510           95585
P56plus             positivo           99774           99849
P57plus             positivo           99873           99948
P58plus             positivo           100451           100526
P59plus             positivo           102138           102213
P60plus             positivo           102889           102964
P61plus             positivo           103074           103149
P62plus             positivo           103876           103951
P63plus             positivo           105055           105130
P64plus             positivo           105605           105680
P65plus             positivo           105695           105770
P66plus             positivo           107407           107482
P67plus             positivo           107711           107786
P68plus             positivo           109803           109878
P69plus             positivo           109921           109996
P70plus             positivo           110974           111049
P71plus             positivo           111784           111859
P72plus             positivo           112828           112903
P73plus             positivo           113318           113393
P74plus             positivo           114146           114221
P75plus             positivo           114577           114652
P76plus             positivo           114986           115061
P77plus             positivo           115652           115727
P78plus             positivo           116637           116712
P79plus             positivo           116755           116830
P80plus             positivo           118969           119044
P81plus             positivo           120904           120979
P82plus             positivo           125233           125308
P83plus             positivo           125900           125975
P84plus             positivo           128036           128111
P85plus             positivo           131373           131448
P86plus             positivo           131904           131979
P87plus             positivo           132367           132442
P88plus             positivo           133077           133152
P89plus             positivo           143080           143155
P90plus             positivo           143479           143554
P91plus             positivo           144211           144286
P92plus             positivo           144745           144820
P93plus             positivo           145026           145101
P94plus             positivo           150852           150927
P95plus             positivo           151421           151496
P96plus             positivo           153577           153652
P97plus             positivo           154977           155052
P98plus             positivo           155057           155132
P99plus             positivo           160621           160696
P100plus             positivo           166114           166189
P101plus             positivo           166476           166551
P102plus             positivo           169790           169865
P103plus             positivo           169892           169967
P104plus             positivo           171905           171980
P105plus             positivo           172157           172232
P106plus             positivo           175256           175331
P107plus             positivo           175712           175787
P108plus             positivo           176229           176304
P109plus             positivo           176528           176603
P110plus             positivo           176788           176863
P111plus             positivo           177258           177333
P112plus             positivo           177552           177627
P113plus             positivo           177730           177805
P114plus             positivo           177897           177972
P115plus             positivo           178318           178393
P116plus             positivo           178930           179005
P117plus             positivo           179336           179411
P118plus             positivo           179671           179746
P119plus             positivo           179876           179951
P120plus             positivo           180158           180233
P121plus             positivo           180413           180488
P122plus             positivo           181704           181779
P123plus             positivo           182798           182873
P124plus             positivo           183297           183372
P125plus             positivo           183507           183582
P126plus             positivo           185053           185128
P127plus             positivo           185213           185288
P128plus             positivo           185501           185576
P129plus             positivo           188062           188137
P130plus             positivo           188760           188835
P131plus             positivo           189366           189441
P132plus             positivo           191050           191125
P133plus             positivo           199444           199519
P134plus             positivo           204535           204610
P135plus             positivo           206854           206929
P136plus             positivo           207729           207804
P137plus             positivo           209540           209615
P138plus             positivo           210678           210753
P139plus             positivo           214038           214113
P140plus             positivo           216198           216273
P141plus             positivo           216732           216807
P142plus             positivo           220183           220258
P143plus             positivo           221068           221143
P144plus             positivo           221209           221284
P145plus             positivo           223278           223353
