Region           Strand              Start               End

P1plus             positivo           2529           2604
P2plus             positivo           3792           3867
P3plus             positivo           4117           4192
P4plus             positivo           6817           6892
P5plus             positivo           14949           15024
P6plus             positivo           17875           17950
P7plus             positivo           23353           23428
P8plus             positivo           25052           25127
P9plus             positivo           29455           29530
P10plus             positivo           33344           33419
P11plus             positivo           40149           40224
P12plus             positivo           42644           42719
P13plus             positivo           43727           43802
P14plus             positivo           46717           46792
P15plus             positivo           47428           47503
P16plus             positivo           49724           49799
P17plus             positivo           49966           50041
P18plus             positivo           50331           50406
P19plus             positivo           52598           52673
P20plus             positivo           56482           56557
P21plus             positivo           60948           61023
P22plus             positivo           61664           61739
P23plus             positivo           62168           62243
P24plus             positivo           65979           66054
P25plus             positivo           66600           66675
P26plus             positivo           69047           69122
P27plus             positivo           72809           72884
P28plus             positivo           77326           77401
P29plus             positivo           78574           78649
P30plus             positivo           79346           79421
P31plus             positivo           84647           84722
P32plus             positivo           90590           90665
P33plus             positivo           94542           94617
P34plus             positivo           96383           96458
P35plus             positivo           99606           99681
P36plus             positivo           101472           101547
P37plus             positivo           104922           104997
P38plus             positivo           108956           109031
P39plus             positivo           109180           109255
P40plus             positivo           111353           111428
P41plus             positivo           112717           112792
P42plus             positivo           114831           114906
P43plus             positivo           119726           119801
P44plus             positivo           122348           122423
P45plus             positivo           122518           122593
P46plus             positivo           124518           124593
P47plus             positivo           125506           125581
P48plus             positivo           127116           127191
P49plus             positivo           132914           132989
P50plus             positivo           141081           141156
P51plus             positivo           150166           150241
P52plus             positivo           150643           150718
P53plus             positivo           151427           151502
P54plus             positivo           153410           153485
P55plus             positivo           155050           155125
P56plus             positivo           156416           156491
P57plus             positivo           157468           157543
P58plus             positivo           158693           158768
P59plus             positivo           161046           161121
P60plus             positivo           165685           165760
P61plus             positivo           172944           173019
P62plus             positivo           176147           176222
P63plus             positivo           179204           179279
P64plus             positivo           186580           186655
P65plus             positivo           199820           199895
P66plus             positivo           205356           205431
P67plus             positivo           207612           207687
P68plus             positivo           208179           208254
P69plus             positivo           209273           209348
P70plus             positivo           212360           212435
P71plus             positivo           216627           216702
P72plus             positivo           220833           220908
P73plus             positivo           223717           223792
P74plus             positivo           227599           227674
P75plus             positivo           227951           228026
P76plus             positivo           228203           228278
P77plus             positivo           237326           237401
P78plus             positivo           240568           240643
P79plus             positivo           246369           246444
P80plus             positivo           248568           248643
P81plus             positivo           249912           249987
P82plus             positivo           251538           251613
P83plus             positivo           254362           254437
P84plus             positivo           261759           261834
P85plus             positivo           263405           263480
P86plus             positivo           268835           268910
P87plus             positivo           271130           271205
P88plus             positivo           275245           275320
P89plus             positivo           281211           281286
P90plus             positivo           281542           281617
P91plus             positivo           285624           285699
P92plus             positivo           293425           293500
P93plus             positivo           307630           307705
P94plus             positivo           311268           311343
P95plus             positivo           319984           320059
P96plus             positivo           322829           322904
P97plus             positivo           338203           338278
P98plus             positivo           338358           338433
P99plus             positivo           338847           338922
P100plus             positivo           339310           339385
P101plus             positivo           340145           340220
P102plus             positivo           342642           342717
P103plus             positivo           343544           343619
P104plus             positivo           343709           343784
P105plus             positivo           347886           347961
P106plus             positivo           347976           348051
P107plus             positivo           355263           355338
P108plus             positivo           355700           355775
P109plus             positivo           357397           357472
P110plus             positivo           357723           357798
P111plus             positivo           365654           365729
P112plus             positivo           365817           365892
P113plus             positivo           367025           367100
P114plus             positivo           379037           379112
P115plus             positivo           379460           379535
P116plus             positivo           383524           383599
P117plus             positivo           387760           387835
P118plus             positivo           388177           388252
P119plus             positivo           389394           389469
P120plus             positivo           395134           395209
P121plus             positivo           396001           396076
P122plus             positivo           400015           400090
P123plus             positivo           400366           400441
P124plus             positivo           402961           403036
P125plus             positivo           404346           404421
P126plus             positivo           405499           405574
P127plus             positivo           405579           405654
P128plus             positivo           406645           406720
P129plus             positivo           410817           410892
P130plus             positivo           429992           430067
P131plus             positivo           430952           431027
P132plus             positivo           432484           432559
P133plus             positivo           433009           433084
P134plus             positivo           436906           436981
P135plus             positivo           439295           439370
P136plus             positivo           442409           442484
P137plus             positivo           447140           447215
P138plus             positivo           450961           451036
P139plus             positivo           454713           454788
P140plus             positivo           456951           457026
P141plus             positivo           465692           465767
P142plus             positivo           466572           466647
P143plus             positivo           471380           471455
P144plus             positivo           471626           471701
P145plus             positivo           472195           472270
P146plus             positivo           477327           477402
P147plus             positivo           482198           482273
P148plus             positivo           482546           482621
P149plus             positivo           483197           483272
P150plus             positivo           483680           483755
P151plus             positivo           484441           484516
P152plus             positivo           489000           489075
P153plus             positivo           490922           490997
P154plus             positivo           493425           493500
P155plus             positivo           502674           502749
P156plus             positivo           502960           503035
P157plus             positivo           504196           504271
P158plus             positivo           506795           506870
P159plus             positivo           508868           508943
P160plus             positivo           510251           510326
P161plus             positivo           511867           511942
P162plus             positivo           515066           515141
P163plus             positivo           516513           516588
P164plus             positivo           525262           525337
P165plus             positivo           528492           528567
P166plus             positivo           531866           531941
P167plus             positivo           535405           535480
P168plus             positivo           538979           539054
P169plus             positivo           539569           539644
P170plus             positivo           543210           543285
P171plus             positivo           545306           545381
P172plus             positivo           549359           549434
P173plus             positivo           549436           549511
P174plus             positivo           554659           554734
P175plus             positivo           556887           556962
P176plus             positivo           558075           558150
P177plus             positivo           560131           560206
P178plus             positivo           561765           561840
P179plus             positivo           567827           567902
P180plus             positivo           571547           571622
P181plus             positivo           572938           573013
P182plus             positivo           573621           573696
P183plus             positivo           580175           580250
P184plus             positivo           588959           589034
P185plus             positivo           589050           589125
P186plus             positivo           589469           589544
P187plus             positivo           596868           596943
P188plus             positivo           597315           597390
P189plus             positivo           599125           599200
P190plus             positivo           600852           600927
P191plus             positivo           602830           602905
P192plus             positivo           605125           605200
P193plus             positivo           605708           605783
P194plus             positivo           611939           612014
P195plus             positivo           613316           613391
P196plus             positivo           615479           615554
P197plus             positivo           616103           616178
P198plus             positivo           616180           616255
P199plus             positivo           619170           619245
P200plus             positivo           619892           619967
P201plus             positivo           621046           621121
P202plus             positivo           624399           624474
P203plus             positivo           624478           624553
P204plus             positivo           627328           627403
P205plus             positivo           633159           633234
P206plus             positivo           633641           633716
P207plus             positivo           637687           637762
P208plus             positivo           637893           637968
P209plus             positivo           640339           640414
P210plus             positivo           650672           650747
P211plus             positivo           651917           651992
P212plus             positivo           657667           657742
P213plus             positivo           658213           658288
P214plus             positivo           661083           661158
P215plus             positivo           663027           663102
P216plus             positivo           667295           667370
P217plus             positivo           677550           677625
P218plus             positivo           677748           677823
P219plus             positivo           679629           679704
P220plus             positivo           680950           681025
P221plus             positivo           684208           684283
P222plus             positivo           686057           686132
P223plus             positivo           687526           687601
P224plus             positivo           691172           691247
P225plus             positivo           694537           694612
P226plus             positivo           700197           700272
P227plus             positivo           700319           700394
P228plus             positivo           701302           701377
P229plus             positivo           702033           702108
P230plus             positivo           703332           703407
P231plus             positivo           705298           705373
P232plus             positivo           709057           709132
P233plus             positivo           710286           710361
P234plus             positivo           715413           715488
P235plus             positivo           718741           718816
P236plus             positivo           719201           719276
P237plus             positivo           725789           725864
P238plus             positivo           729035           729110
P239plus             positivo           731152           731227
P240plus             positivo           732577           732652
P241plus             positivo           733801           733876
