Region           Strand              Start               End

P1plus             positivo           725           800
P2plus             positivo           1960           2035
P3plus             positivo           9504           9579
P4plus             positivo           10193           10268
P5plus             positivo           11623           11698
P6plus             positivo           12948           13023
P7plus             positivo           15073           15148
P8plus             positivo           17213           17288
P9plus             positivo           19940           20015
P10plus             positivo           23329           23404
P11plus             positivo           26725           26800
P12plus             positivo           28323           28398
P13plus             positivo           40887           40962
P14plus             positivo           42153           42228
P15plus             positivo           43662           43737
P16plus             positivo           46039           46114
P17plus             positivo           48372           48447
P18plus             positivo           49277           49352
P19plus             positivo           50886           50961
P20plus             positivo           52006           52081
P21plus             positivo           52659           52734
P22plus             positivo           57627           57702
P23plus             positivo           57722           57797
P24plus             positivo           58926           59001
P25plus             positivo           60453           60528
P26plus             positivo           60847           60922
P27plus             positivo           64321           64396
P28plus             positivo           64947           65022
P29plus             positivo           67169           67244
P30plus             positivo           68705           68780
P31plus             positivo           72325           72400
P32plus             positivo           74857           74932
P33plus             positivo           75977           76052
P34plus             positivo           79015           79090
P35plus             positivo           79199           79274
P36plus             positivo           80323           80398
P37plus             positivo           80559           80634
P38plus             positivo           86975           87050
P39plus             positivo           88505           88580
P40plus             positivo           89497           89572
P41plus             positivo           91276           91351
P42plus             positivo           91817           91892
P43plus             positivo           93868           93943
P44plus             positivo           96518           96593
P45plus             positivo           104745           104820
P46plus             positivo           110745           110820
P47plus             positivo           112337           112412
P48plus             positivo           113654           113729
P49plus             positivo           119647           119722
P50plus             positivo           129609           129684
P51plus             positivo           136715           136790
P52plus             positivo           136790           136865
P53plus             positivo           140486           140561
P54plus             positivo           144564           144639
P55plus             positivo           144911           144986
P56plus             positivo           151700           151775
P57plus             positivo           158019           158094
P58plus             positivo           161268           161343
P59plus             positivo           164747           164822
P60plus             positivo           166036           166111
P61plus             positivo           168398           168473
P62plus             positivo           168915           168990
P63plus             positivo           169798           169873
P64plus             positivo           178673           178748
P65plus             positivo           181389           181464
P66plus             positivo           186769           186844
P67plus             positivo           187109           187184
P68plus             positivo           188098           188173
P69plus             positivo           194709           194784
P70plus             positivo           198423           198498
P71plus             positivo           202283           202358
P72plus             positivo           206156           206231
P73plus             positivo           207215           207290
P74plus             positivo           214527           214602
P75plus             positivo           217198           217273
P76plus             positivo           219822           219897
P77plus             positivo           225827           225902
P78plus             positivo           228894           228969
P79plus             positivo           229944           230019
P80plus             positivo           238216           238291
P81plus             positivo           240911           240986
P82plus             positivo           241813           241888
P83plus             positivo           246971           247046
P84plus             positivo           247647           247722
P85plus             positivo           247722           247797
P86plus             positivo           248750           248825
P87plus             positivo           248825           248900
P88plus             positivo           250462           250537
P89plus             positivo           254301           254376
P90plus             positivo           258321           258396
P91plus             positivo           261998           262073
P92plus             positivo           265805           265880
P93plus             positivo           268057           268132
P94plus             positivo           268893           268968
P95plus             positivo           270163           270238
P96plus             positivo           274150           274225
P97plus             positivo           274737           274812
P98plus             positivo           281017           281092
P99plus             positivo           282002           282077
P100plus             positivo           287728           287803
P101plus             positivo           291767           291842
P102plus             positivo           292674           292749
P103plus             positivo           294292           294367
P104plus             positivo           298069           298144
P105plus             positivo           307803           307878
P106plus             positivo           309134           309209
P107plus             positivo           311042           311117
P108plus             positivo           312352           312427
P109plus             positivo           314995           315070
P110plus             positivo           320650           320725
P111plus             positivo           327361           327436
P112plus             positivo           329816           329891
P113plus             positivo           332593           332668
P114plus             positivo           335761           335836
P115plus             positivo           336790           336865
