Region           Strand              Start               End

P1plus             positivo           5404           5479
P2plus             positivo           6084           6159
P3plus             positivo           6294           6369
P4plus             positivo           10371           10446
P5plus             positivo           10485           10560
P6plus             positivo           10954           11029
P7plus             positivo           11117           11192
P8plus             positivo           11217           11292
P9plus             positivo           11433           11508
P10plus             positivo           11508           11583
P11plus             positivo           11762           11837
P12plus             positivo           18115           18190
P13plus             positivo           20070           20145
P14plus             positivo           20275           20350
P15plus             positivo           21534           21609
P16plus             positivo           26427           26502
P17plus             positivo           28863           28938
P18plus             positivo           30342           30417
P19plus             positivo           31553           31628
P20plus             positivo           37265           37340
P21plus             positivo           37887           37962
P22plus             positivo           38645           38720
P23plus             positivo           39908           39983
P24plus             positivo           42517           42592
P25plus             positivo           44039           44114
P26plus             positivo           44904           44979
P27plus             positivo           45287           45362
P28plus             positivo           45920           45995
P29plus             positivo           46047           46122
P30plus             positivo           46361           46436
P31plus             positivo           47354           47429
P32plus             positivo           47470           47545
P33plus             positivo           49708           49783
P34plus             positivo           51537           51612
P35plus             positivo           58161           58236
P36plus             positivo           58872           58947
P37plus             positivo           59415           59490
P38plus             positivo           59882           59957
P39plus             positivo           63326           63401
P40plus             positivo           63980           64055
P41plus             positivo           64954           65029
P42plus             positivo           72186           72261
P43plus             positivo           72438           72513
P44plus             positivo           73137           73212
P45plus             positivo           73332           73407
P46plus             positivo           75848           75923
P47plus             positivo           76613           76688
P48plus             positivo           80942           81017
P49plus             positivo           85514           85589
P50plus             positivo           87411           87486
P51plus             positivo           87609           87684
P52plus             positivo           87720           87795
P53plus             positivo           87871           87946
P54plus             positivo           88614           88689
P55plus             positivo           88915           88990
P56plus             positivo           90156           90231
P57plus             positivo           91425           91500
P58plus             positivo           92239           92314
P59plus             positivo           92500           92575
P60plus             positivo           92771           92846
P61plus             positivo           92970           93045
P62plus             positivo           93602           93677
P63plus             positivo           94041           94116
P64plus             positivo           94658           94733
P65plus             positivo           95042           95117
P66plus             positivo           95589           95664
P67plus             positivo           95871           95946
P68plus             positivo           97910           97985
P69plus             positivo           98196           98271
P70plus             positivo           98404           98479
P71plus             positivo           98524           98599
P72plus             positivo           98758           98833
P73plus             positivo           98995           99070
P74plus             positivo           99202           99277
P75plus             positivo           100339           100414
P76plus             positivo           100414           100489
P77plus             positivo           100753           100828
P78plus             positivo           100870           100945
P79plus             positivo           100945           101020
P80plus             positivo           101219           101294
P81plus             positivo           102006           102081
P82plus             positivo           102233           102308
P83plus             positivo           105061           105136
P84plus             positivo           107010           107085
P85plus             positivo           108386           108461
P86plus             positivo           108474           108549
P87plus             positivo           109965           110040
P88plus             positivo           110335           110410
P89plus             positivo           111347           111422
P90plus             positivo           112999           113074
P91plus             positivo           114838           114913
P92plus             positivo           115857           115932
P93plus             positivo           117938           118013
P94plus             positivo           118970           119045
P95plus             positivo           121629           121704
P96plus             positivo           123096           123171
P97plus             positivo           126460           126535
P98plus             positivo           127231           127306
P99plus             positivo           127897           127972
P100plus             positivo           129103           129178
P101plus             positivo           129686           129761
P102plus             positivo           130577           130652
P103plus             positivo           130874           130949
P104plus             positivo           131479           131554
P105plus             positivo           131765           131840
P106plus             positivo           132595           132670
P107plus             positivo           134277           134352
P108plus             positivo           138395           138470
P109plus             positivo           139599           139674
P110plus             positivo           141043           141118
P111plus             positivo           141583           141658
P112plus             positivo           141658           141733
P113plus             positivo           141936           142011
P114plus             positivo           143589           143664
P115plus             positivo           144624           144699
P116plus             positivo           144952           145027
P117plus             positivo           149638           149713
P118plus             positivo           149975           150050
P119plus             positivo           151076           151151
P120plus             positivo           151499           151574
P121plus             positivo           151636           151711
P122plus             positivo           153224           153299
P123plus             positivo           154475           154550
P124plus             positivo           155725           155800
P125plus             positivo           157761           157836
P126plus             positivo           158088           158163
P127plus             positivo           158425           158500
P128plus             positivo           158873           158948
P129plus             positivo           161382           161457
