Region           Strand              Start               End

P1plus             positivo           2957           3032
P2plus             positivo           3778           3853
P3plus             positivo           10489           10564
P4plus             positivo           10971           11046
P5plus             positivo           11919           11994
P6plus             positivo           12060           12135
P7plus             positivo           15093           15168
P8plus             positivo           15883           15958
P9plus             positivo           20002           20077
P10plus             positivo           21442           21517
P11plus             positivo           21593           21668
P12plus             positivo           22692           22767
P13plus             positivo           23355           23430
P14plus             positivo           24178           24253
P15plus             positivo           25804           25879
P16plus             positivo           26544           26619
P17plus             positivo           27369           27444
P18plus             positivo           30413           30488
P19plus             positivo           33856           33931
P20plus             positivo           35984           36059
P21plus             positivo           44122           44197
P22plus             positivo           46283           46358
P23plus             positivo           50726           50801
P24plus             positivo           51586           51661
P25plus             positivo           51772           51847
P26plus             positivo           52010           52085
P27plus             positivo           52109           52184
P28plus             positivo           53033           53108
P29plus             positivo           53917           53992
P30plus             positivo           58010           58085
P31plus             positivo           59199           59274
P32plus             positivo           60998           61073
P33plus             positivo           61668           61743
P34plus             positivo           63134           63209
P35plus             positivo           65006           65081
P36plus             positivo           65263           65338
P37plus             positivo           65517           65592
P38plus             positivo           65635           65710
P39plus             positivo           65764           65839
P40plus             positivo           65899           65974
P41plus             positivo           66153           66228
P42plus             positivo           66271           66346
P43plus             positivo           66424           66499
P44plus             positivo           66691           66766
P45plus             positivo           67702           67777
P46plus             positivo           67859           67934
P47plus             positivo           68134           68209
P48plus             positivo           68483           68558
P49plus             positivo           72863           72938
P50plus             positivo           72978           73053
P51plus             positivo           73053           73128
P52plus             positivo           73145           73220
P53plus             positivo           73232           73307
P54plus             positivo           73308           73383
P55plus             positivo           73671           73746
P56plus             positivo           74835           74910
P57plus             positivo           74946           75021
P58plus             positivo           75187           75262
P59plus             positivo           75266           75341
P60plus             positivo           75396           75471
P61plus             positivo           78479           78554
P62plus             positivo           78590           78665
P63plus             positivo           78831           78906
P64plus             positivo           78906           78981
P65plus             positivo           78984           79059
P66plus             positivo           80084           80159
P67plus             positivo           81160           81235
P68plus             positivo           81842           81917
P69plus             positivo           81953           82028
P70plus             positivo           82034           82109
P71plus             positivo           82130           82205
P72plus             positivo           82512           82587
P73plus             positivo           83115           83190
P74plus             positivo           83256           83331
P75plus             positivo           83985           84060
P76plus             positivo           84066           84141
P77plus             positivo           84147           84222
P78plus             positivo           84939           85014
P79plus             positivo           85770           85845
P80plus             positivo           85845           85920
P81plus             positivo           85942           86017
P82plus             positivo           86061           86136
P83plus             positivo           86173           86248
P84plus             positivo           89119           89194
P85plus             positivo           89311           89386
P86plus             positivo           95250           95325
P87plus             positivo           95841           95916
P88plus             positivo           96135           96210
P89plus             positivo           96222           96297
P90plus             positivo           96569           96644
P91plus             positivo           96702           96777
P92plus             positivo           96845           96920
P93plus             positivo           96920           96995
P94plus             positivo           97003           97078
P95plus             positivo           100214           100289
P96plus             positivo           103849           103924
P97plus             positivo           104654           104729
P98plus             positivo           105830           105905
P99plus             positivo           105928           106003
P100plus             positivo           107416           107491
P101plus             positivo           107597           107672
P102plus             positivo           110470           110545
P103plus             positivo           110758           110833
P104plus             positivo           111043           111118
P105plus             positivo           111359           111434
P106plus             positivo           111616           111691
P107plus             positivo           115074           115149
P108plus             positivo           116688           116763
P109plus             positivo           124656           124731
P110plus             positivo           126653           126728
P111plus             positivo           129088           129163
P112plus             positivo           130337           130412
P113plus             positivo           131168           131243
P114plus             positivo           131936           132011
P115plus             positivo           132022           132097
P116plus             positivo           132123           132198
P117plus             positivo           133128           133203
P118plus             positivo           136500           136575
P119plus             positivo           136867           136942
P120plus             positivo           137228           137303
P121plus             positivo           137398           137473
P122plus             positivo           137537           137612
P123plus             positivo           138575           138650
P124plus             positivo           138686           138761
P125plus             positivo           138868           138943
P126plus             positivo           139861           139936
P127plus             positivo           140410           140485
P128plus             positivo           141175           141250
P129plus             positivo           141306           141381
P130plus             positivo           141903           141978
P131plus             positivo           142222           142297
P132plus             positivo           142627           142702
P133plus             positivo           142780           142855
P134plus             positivo           142904           142979
P135plus             positivo           143044           143119
P136plus             positivo           143464           143539
P137plus             positivo           143660           143735
P138plus             positivo           145806           145881
P139plus             positivo           146238           146313
P140plus             positivo           147706           147781
P141plus             positivo           148221           148296
P142plus             positivo           148398           148473
P143plus             positivo           149536           149611
P144plus             positivo           150783           150858
P145plus             positivo           151754           151829
P146plus             positivo           151832           151907
P147plus             positivo           153555           153630
P148plus             positivo           156217           156292
P149plus             positivo           156316           156391
P150plus             positivo           156478           156553
P151plus             positivo           156734           156809
P152plus             positivo           157430           157505
P153plus             positivo           158007           158082
P154plus             positivo           158661           158736
P155plus             positivo           158966           159041
P156plus             positivo           159723           159798
P157plus             positivo           160147           160222
P158plus             positivo           160222           160297
P159plus             positivo           163169           163244
P160plus             positivo           163911           163986
P161plus             positivo           166233           166308
P162plus             positivo           171499           171574
P163plus             positivo           171745           171820
P164plus             positivo           172730           172805
P165plus             positivo           174739           174814
P166plus             positivo           175895           175970
P167plus             positivo           177264           177339
P168plus             positivo           177603           177678
P169plus             positivo           180960           181035
P170plus             positivo           182961           183036
P171plus             positivo           183889           183964
P172plus             positivo           184133           184208
P173plus             positivo           184801           184876
P174plus             positivo           185620           185695
P175plus             positivo           185926           186001
P176plus             positivo           186134           186209
P177plus             positivo           187209           187284
P178plus             positivo           187593           187668
P179plus             positivo           188371           188446
P180plus             positivo           189180           189255
P181plus             positivo           189275           189350
P182plus             positivo           190025           190100
P183plus             positivo           190347           190422
P184plus             positivo           191753           191828
P185plus             positivo           191882           191957
P186plus             positivo           191959           192034
P187plus             positivo           192461           192536
P188plus             positivo           192536           192611
P189plus             positivo           192831           192906
P190plus             positivo           192995           193070
P191plus             positivo           193382           193457
P192plus             positivo           193803           193878
P193plus             positivo           194351           194426
P194plus             positivo           195994           196069
P195plus             positivo           196770           196845
P196plus             positivo           199279           199354
P197plus             positivo           201992           202067
P198plus             positivo           203020           203095
P199plus             positivo           204514           204589
P200plus             positivo           204862           204937
P201plus             positivo           206640           206715
P202plus             positivo           207020           207095
P203plus             positivo           208125           208200
P204plus             positivo           210157           210232
P205plus             positivo           211554           211629
P206plus             positivo           211718           211793
P207plus             positivo           215220           215295
P208plus             positivo           216270           216345
P209plus             positivo           217415           217490
P210plus             positivo           219009           219084
P211plus             positivo           223740           223815
P212plus             positivo           226678           226753
P213plus             positivo           227767           227842
P214plus             positivo           228237           228312
P215plus             positivo           228513           228588
P216plus             positivo           228975           229050
P217plus             positivo           231649           231724
P218plus             positivo           231903           231978
P219plus             positivo           232920           232995
P220plus             positivo           233357           233432
P221plus             positivo           234246           234321
P222plus             positivo           234369           234444
P223plus             positivo           237366           237441
P224plus             positivo           239660           239735
P225plus             positivo           239739           239814
P226plus             positivo           245426           245501
P227plus             positivo           248179           248254
P228plus             positivo           249181           249256
P229plus             positivo           249452           249527
P230plus             positivo           249845           249920
P231plus             positivo           253431           253506
P232plus             positivo           254732           254807
P233plus             positivo           254991           255066
P234plus             positivo           256000           256075
P235plus             positivo           256096           256171
P236plus             positivo           256200           256275
P237plus             positivo           257620           257695
P238plus             positivo           258694           258769
P239plus             positivo           259304           259379
P240plus             positivo           261328           261403
P241plus             positivo           262413           262488
P242plus             positivo           262749           262824
P243plus             positivo           263023           263098
P244plus             positivo           263159           263234
P245plus             positivo           263536           263611
P246plus             positivo           263725           263800
P247plus             positivo           264112           264187
P248plus             positivo           264380           264455
P249plus             positivo           264731           264806
P250plus             positivo           265036           265111
P251plus             positivo           265190           265265
P252plus             positivo           267569           267644
P253plus             positivo           267758           267833
P254plus             positivo           269520           269595
P255plus             positivo           270088           270163
P256plus             positivo           271138           271213
P257plus             positivo           272397           272472
P258plus             positivo           274766           274841
P259plus             positivo           275072           275147
P260plus             positivo           275519           275594
P261plus             positivo           279847           279922
P262plus             positivo           280168           280243
P263plus             positivo           280522           280597
P264plus             positivo           284943           285018
P265plus             positivo           286112           286187
P266plus             positivo           287532           287607
P267plus             positivo           289228           289303
P268plus             positivo           292381           292456
P269plus             positivo           295241           295316
P270plus             positivo           295966           296041
P271plus             positivo           296041           296116
P272plus             positivo           296670           296745
P273plus             positivo           296916           296991
P274plus             positivo           297058           297133
P275plus             positivo           297578           297653
P276plus             positivo           298163           298238
P277plus             positivo           300938           301013
P278plus             positivo           301089           301164
P279plus             positivo           302293           302368
P280plus             positivo           303250           303325
