Region           Strand              Start               End

P1plus             positivo           5976           6051
P2plus             positivo           12307           12382
P3plus             positivo           13311           13386
P4plus             positivo           14493           14568
P5plus             positivo           15888           15963
P6plus             positivo           16174           16249
P7plus             positivo           17468           17543
P8plus             positivo           18595           18670
P9plus             positivo           23591           23666
P10plus             positivo           29715           29790
P11plus             positivo           30024           30099
P12plus             positivo           40744           40819
P13plus             positivo           41828           41903
P14plus             positivo           42190           42265
P15plus             positivo           44456           44531
P16plus             positivo           47673           47748
P17plus             positivo           49746           49821
P18plus             positivo           49973           50048
P19plus             positivo           51476           51551
P20plus             positivo           53799           53874
P21plus             positivo           55474           55549
P22plus             positivo           63391           63466
P23plus             positivo           67453           67528
P24plus             positivo           70826           70901
P25plus             positivo           73338           73413
P26plus             positivo           74749           74824
P27plus             positivo           84716           84791
P28plus             positivo           84819           84894
P29plus             positivo           91828           91903
P30plus             positivo           96671           96746
P31plus             positivo           97112           97187
P32plus             positivo           100088           100163
P33plus             positivo           105465           105540
P34plus             positivo           112001           112076
P35plus             positivo           114490           114565
P36plus             positivo           116642           116717
P37plus             positivo           119846           119921
P38plus             positivo           127605           127680
P39plus             positivo           130703           130778
P40plus             positivo           130818           130893
P41plus             positivo           131078           131153
P42plus             positivo           132685           132760
P43plus             positivo           134503           134578
P44plus             positivo           137050           137125
P45plus             positivo           137999           138074
P46plus             positivo           140972           141047
P47plus             positivo           141256           141331
P48plus             positivo           148794           148869
P49plus             positivo           149829           149904
P50plus             positivo           151903           151978
P51plus             positivo           153006           153081
P52plus             positivo           157815           157890
P53plus             positivo           166244           166319
P54plus             positivo           169598           169673
P55plus             positivo           188513           188588
P56plus             positivo           192155           192230
P57plus             positivo           194693           194768
P58plus             positivo           198138           198213
P59plus             positivo           203152           203227
P60plus             positivo           212865           212940
P61plus             positivo           215902           215977
P62plus             positivo           227769           227844
P63plus             positivo           228120           228195
P64plus             positivo           228596           228671
P65plus             positivo           229820           229895
P66plus             positivo           230499           230574
P67plus             positivo           232618           232693
P68plus             positivo           236702           236777
P69plus             positivo           239156           239231
P70plus             positivo           239520           239595
P71plus             positivo           244603           244678
P72plus             positivo           249378           249453
P73plus             positivo           261750           261825
P74plus             positivo           264369           264444
P75plus             positivo           271806           271881
P76plus             positivo           273232           273307
P77plus             positivo           278580           278655
P78plus             positivo           279694           279769
P79plus             positivo           279952           280027
P80plus             positivo           280702           280777
P81plus             positivo           281296           281371
P82plus             positivo           282740           282815
P83plus             positivo           284855           284930
P84plus             positivo           285633           285708
P85plus             positivo           286622           286697
P86plus             positivo           298839           298914
P87plus             positivo           307240           307315
P88plus             positivo           308578           308653
P89plus             positivo           310619           310694
P90plus             positivo           312702           312777
P91plus             positivo           317495           317570
P92plus             positivo           325072           325147
P93plus             positivo           325843           325918
P94plus             positivo           327778           327853
P95plus             positivo           331280           331355
P96plus             positivo           335072           335147
P97plus             positivo           336918           336993
