Region           Strand              Start               End

P1plus             positivo           78           153
P2plus             positivo           200           275
P3plus             positivo           339           414
P4plus             positivo           415           490
P5plus             positivo           491           566
P6plus             positivo           5373           5448
P7plus             positivo           5461           5536
P8plus             positivo           6812           6887
P9plus             positivo           8389           8464
P10plus             positivo           8512           8587
P11plus             positivo           10889           10964
P12plus             positivo           11125           11200
P13plus             positivo           11244           11319
P14plus             positivo           11814           11889
P15plus             positivo           12033           12108
P16plus             positivo           12126           12201
P17plus             positivo           18749           18824
P18plus             positivo           18844           18919
P19plus             positivo           19112           19187
P20plus             positivo           21727           21802
P21plus             positivo           23426           23501
P22plus             positivo           23524           23599
P23plus             positivo           23802           23877
P24plus             positivo           24188           24263
P25plus             positivo           24458           24533
P26plus             positivo           26087           26162
P27plus             positivo           26256           26331
P28plus             positivo           26506           26581
P29plus             positivo           28783           28858
P30plus             positivo           31548           31623
P31plus             positivo           33489           33564
P32plus             positivo           34118           34193
P33plus             positivo           34483           34558
P34plus             positivo           35151           35226
P35plus             positivo           35986           36061
P36plus             positivo           43775           43850
P37plus             positivo           44587           44662
P38plus             positivo           45191           45266
P39plus             positivo           46021           46096
P40plus             positivo           47089           47164
P41plus             positivo           47239           47314
P42plus             positivo           47936           48011
P43plus             positivo           49196           49271
P44plus             positivo           51889           51964
P45plus             positivo           53058           53133
P46plus             positivo           53372           53447
P47plus             positivo           57930           58005
P48plus             positivo           60386           60461
P49plus             positivo           61506           61581
P50plus             positivo           62377           62452
P51plus             positivo           63597           63672
P52plus             positivo           71633           71708
P53plus             positivo           72588           72663
P54plus             positivo           72730           72805
P55plus             positivo           77754           77829
P56plus             positivo           78011           78086
P57plus             positivo           79709           79784
P58plus             positivo           84256           84331
P59plus             positivo           84984           85059
P60plus             positivo           87298           87373
P61plus             positivo           87508           87583
P62plus             positivo           87793           87868
P63plus             positivo           92103           92178
P64plus             positivo           92506           92581
P65plus             positivo           94737           94812
P66plus             positivo           95845           95920
P67plus             positivo           96845           96920
P68plus             positivo           100322           100397
P69plus             positivo           102114           102189
P70plus             positivo           102651           102726
P71plus             positivo           103324           103399
P72plus             positivo           104016           104091
P73plus             positivo           104442           104517
P74plus             positivo           106309           106384
P75plus             positivo           107209           107284
P76plus             positivo           107444           107519
P77plus             positivo           108231           108306
P78plus             positivo           110128           110203
P79plus             positivo           110353           110428
P80plus             positivo           111749           111824
P81plus             positivo           116064           116139
P82plus             positivo           116143           116218
P83plus             positivo           117109           117184
P84plus             positivo           117699           117774
P85plus             positivo           119915           119990
P86plus             positivo           120397           120472
P87plus             positivo           120876           120951
P88plus             positivo           122219           122294
P89plus             positivo           123223           123298
P90plus             positivo           124479           124554
P91plus             positivo           126115           126190
P92plus             positivo           128077           128152
P93plus             positivo           128288           128363
P94plus             positivo           128511           128586
P95plus             positivo           140476           140551
P96plus             positivo           140704           140779
P97plus             positivo           143497           143572
P98plus             positivo           144100           144175
P99plus             positivo           146364           146439
P100plus             positivo           147899           147974
P101plus             positivo           149887           149962
P102plus             positivo           150070           150145
P103plus             positivo           151278           151353
P104plus             positivo           151904           151979
P105plus             positivo           152651           152726
P106plus             positivo           152811           152886
P107plus             positivo           153113           153188
P108plus             positivo           154292           154367
P109plus             positivo           154832           154907
P110plus             positivo           156469           156544
P111plus             positivo           157547           157622
P112plus             positivo           158625           158700
P113plus             positivo           161481           161556
P114plus             positivo           164446           164521
P115plus             positivo           166216           166291
P116plus             positivo           166450           166525
P117plus             positivo           169562           169637
P118plus             positivo           174274           174349
P119plus             positivo           174771           174846
P120plus             positivo           174939           175014
P121plus             positivo           175109           175184
P122plus             positivo           175791           175866
P123plus             positivo           178087           178162
P124plus             positivo           178694           178769
P125plus             positivo           178819           178894
P126plus             positivo           178971           179046
P127plus             positivo           179297           179372
P128plus             positivo           180030           180105
P129plus             positivo           183355           183430
P130plus             positivo           183486           183561
P131plus             positivo           184132           184207
P132plus             positivo           185594           185669
P133plus             positivo           186760           186835
P134plus             positivo           188024           188099
P135plus             positivo           188440           188515
P136plus             positivo           190714           190789
P137plus             positivo           190789           190864
P138plus             positivo           191102           191177
P139plus             positivo           191564           191639
P140plus             positivo           194212           194287
P141plus             positivo           194398           194473
P142plus             positivo           195139           195214
P143plus             positivo           195216           195291
P144plus             positivo           195744           195819
P145plus             positivo           196198           196273
P146plus             positivo           197222           197297
P147plus             positivo           197346           197421
P148plus             positivo           198251           198326
P149plus             positivo           198720           198795
P150plus             positivo           199548           199623
P151plus             positivo           199738           199813
P152plus             positivo           200610           200685
P153plus             positivo           200685           200760
P154plus             positivo           200941           201016
P155plus             positivo           201031           201106
P156plus             positivo           201118           201193
P157plus             positivo           204541           204616
P158plus             positivo           205258           205333
P159plus             positivo           211569           211644
P160plus             positivo           211682           211757
P161plus             positivo           214673           214748
P162plus             positivo           216633           216708
P163plus             positivo           223079           223154
P164plus             positivo           224129           224204
P165plus             positivo           224218           224293
P166plus             positivo           224350           224425
P167plus             positivo           227436           227511
P168plus             positivo           228966           229041
P169plus             positivo           229165           229240
P170plus             positivo           230353           230428
P171plus             positivo           232477           232552
P172plus             positivo           233488           233563
P173plus             positivo           233563           233638
P174plus             positivo           233908           233983
P175plus             positivo           233983           234058
P176plus             positivo           234156           234231
P177plus             positivo           235779           235854
P178plus             positivo           236557           236632
P179plus             positivo           238330           238405
P180plus             positivo           238531           238606
P181plus             positivo           239022           239097
P182plus             positivo           239434           239509
P183plus             positivo           242039           242114
P184plus             positivo           242420           242495
P185plus             positivo           243102           243177
P186plus             positivo           243606           243681
P187plus             positivo           244003           244078
P188plus             positivo           244935           245010
P189plus             positivo           245412           245487
P190plus             positivo           247124           247199
P191plus             positivo           248457           248532
P192plus             positivo           249211           249286
P193plus             positivo           251266           251341
P194plus             positivo           251441           251516
P195plus             positivo           251574           251649
P196plus             positivo           253879           253954
P197plus             positivo           254590           254665
P198plus             positivo           254840           254915
P199plus             positivo           258505           258580
P200plus             positivo           261098           261173
P201plus             positivo           264510           264585
P202plus             positivo           265206           265281
P203plus             positivo           266419           266494
P204plus             positivo           266810           266885
P205plus             positivo           267163           267238
P206plus             positivo           267834           267909
P207plus             positivo           270229           270304
P208plus             positivo           270595           270670
P209plus             positivo           272980           273055
P210plus             positivo           273958           274033
P211plus             positivo           275792           275867
P212plus             positivo           277482           277557
P213plus             positivo           278947           279022
P214plus             positivo           281213           281288
P215plus             positivo           282122           282197
P216plus             positivo           282468           282543
P217plus             positivo           282696           282771
P218plus             positivo           283248           283323
P219plus             positivo           283591           283666
P220plus             positivo           289783           289858
P221plus             positivo           289953           290028
P222plus             positivo           293998           294073
P223plus             positivo           294184           294259
P224plus             positivo           295063           295138
P225plus             positivo           295559           295634
P226plus             positivo           295880           295955
P227plus             positivo           296251           296326
P228plus             positivo           299905           299980
P229plus             positivo           300322           300397
P230plus             positivo           300409           300484
P231plus             positivo           301785           301860
P232plus             positivo           304770           304845
P233plus             positivo           305576           305651
P234plus             positivo           307288           307363
P235plus             positivo           308189           308264
P236plus             positivo           308735           308810
P237plus             positivo           309398           309473
P238plus             positivo           310586           310661
P239plus             positivo           311155           311230
P240plus             positivo           312422           312497
P241plus             positivo           316197           316272
P242plus             positivo           318241           318316
P243plus             positivo           318635           318710
P244plus             positivo           319925           320000
P245plus             positivo           320008           320083
P246plus             positivo           323298           323373
P247plus             positivo           324027           324102
P248plus             positivo           326125           326200
P249plus             positivo           326312           326387
P250plus             positivo           328934           329009
P251plus             positivo           329190           329265
P252plus             positivo           331406           331481
P253plus             positivo           333906           333981
P254plus             positivo           334573           334648
P255plus             positivo           334974           335049
P256plus             positivo           336101           336176
P257plus             positivo           336479           336554
P258plus             positivo           338487           338562
P259plus             positivo           339703           339778
P260plus             positivo           341939           342014
P261plus             positivo           343356           343431
P262plus             positivo           344666           344741
P263plus             positivo           346413           346488
