Region           Strand              Start               End

P1plus             positivo           3318           3393
P2plus             positivo           5024           5099
P3plus             positivo           5722           5797
P4plus             positivo           5858           5933
P5plus             positivo           9071           9146
P6plus             positivo           12624           12699
P7plus             positivo           13900           13975
P8plus             positivo           22059           22134
P9plus             positivo           26842           26917
P10plus             positivo           32477           32552
P11plus             positivo           35783           35858
P12plus             positivo           41412           41487
P13plus             positivo           42402           42477
P14plus             positivo           42477           42552
P15plus             positivo           45526           45601
P16plus             positivo           46177           46252
P17plus             positivo           53226           53301
P18plus             positivo           55908           55983
P19plus             positivo           61286           61361
P20plus             positivo           62647           62722
P21plus             positivo           63181           63256
P22plus             positivo           64372           64447
P23plus             positivo           67503           67578
P24plus             positivo           68797           68872
P25plus             positivo           68883           68958
P26plus             positivo           72844           72919
P27plus             positivo           77726           77801
P28plus             positivo           80356           80431
P29plus             positivo           84350           84425
P30plus             positivo           85396           85471
P31plus             positivo           91942           92017
P32plus             positivo           95021           95096
P33plus             positivo           97039           97114
P34plus             positivo           100385           100460
P35plus             positivo           105199           105274
P36plus             positivo           105431           105506
P37plus             positivo           110795           110870
P38plus             positivo           111334           111409
P39plus             positivo           125037           125112
P40plus             positivo           128683           128758
P41plus             positivo           131265           131340
P42plus             positivo           142496           142571
P43plus             positivo           144405           144480
P44plus             positivo           150638           150713
P45plus             positivo           153415           153490
P46plus             positivo           154145           154220
P47plus             positivo           158128           158203
P48plus             positivo           160040           160115
P49plus             positivo           160249           160324
P50plus             positivo           164232           164307
P51plus             positivo           169301           169376
P52plus             positivo           172665           172740
P53plus             positivo           175237           175312
P54plus             positivo           176412           176487
P55plus             positivo           178509           178584
P56plus             positivo           178748           178823
P57plus             positivo           181379           181454
P58plus             positivo           189260           189335
P59plus             positivo           193414           193489
P60plus             positivo           195800           195875
P61plus             positivo           201131           201206
P62plus             positivo           203878           203953
P63plus             positivo           209896           209971
P64plus             positivo           212926           213001
P65plus             positivo           218209           218284
P66plus             positivo           218985           219060
P67plus             positivo           220052           220127
P68plus             positivo           224760           224835
P69plus             positivo           224971           225046
P70plus             positivo           226654           226729
P71plus             positivo           229296           229371
P72plus             positivo           231305           231380
P73plus             positivo           231676           231751
P74plus             positivo           234921           234996
P75plus             positivo           236246           236321
P76plus             positivo           243098           243173
P77plus             positivo           247394           247469
P78plus             positivo           249049           249124
P79plus             positivo           253046           253121
P80plus             positivo           254876           254951
P81plus             positivo           272192           272267
P82plus             positivo           272574           272649
P83plus             positivo           280266           280341
P84plus             positivo           280959           281034
P85plus             positivo           286335           286410
P86plus             positivo           289008           289083
P87plus             positivo           292192           292267
P88plus             positivo           292530           292605
P89plus             positivo           296125           296200
P90plus             positivo           296228           296303
P91plus             positivo           297396           297471
P92plus             positivo           301553           301628
P93plus             positivo           304255           304330
P94plus             positivo           309365           309440
P95plus             positivo           309440           309515
P96plus             positivo           312773           312848
P97plus             positivo           316519           316594
P98plus             positivo           318720           318795
P99plus             positivo           319210           319285
P100plus             positivo           323093           323168
P101plus             positivo           328189           328264
P102plus             positivo           329040           329115
P103plus             positivo           330659           330734
P104plus             positivo           332773           332848
P105plus             positivo           335462           335537
P106plus             positivo           337688           337763
P107plus             positivo           340539           340614
P108plus             positivo           344603           344678
P109plus             positivo           346110           346185
P110plus             positivo           347359           347434
P111plus             positivo           350007           350082
P112plus             positivo           353078           353153
P113plus             positivo           354806           354881
P114plus             positivo           354901           354976
P115plus             positivo           368034           368109
P116plus             positivo           372543           372618
P117plus             positivo           372995           373070
P118plus             positivo           374941           375016
P119plus             positivo           375553           375628
P120plus             positivo           376522           376597
P121plus             positivo           385209           385284
P122plus             positivo           386799           386874
P123plus             positivo           392297           392372
P124plus             positivo           397032           397107
P125plus             positivo           397762           397837
P126plus             positivo           403652           403727
P127plus             positivo           404287           404362
P128plus             positivo           407816           407891
P129plus             positivo           407918           407993
P130plus             positivo           411170           411245
P131plus             positivo           414866           414941
P1minus             negativo           3277           3352
P2minus             negativo           5036           5111
P3minus             negativo           5714           5789
P4minus             negativo           5816           5891
P5minus             negativo           9051           9126
P6minus             negativo           12592           12667
P7minus             negativo           13915           13990
P8minus             negativo           22040           22115
P9minus             negativo           26820           26895
P10minus             negativo           32449           32524
P11minus             negativo           35787           35862
P12minus             negativo           41393           41468
P13minus             negativo           42386           42461
P14minus             negativo           42493           42568
P15minus             negativo           45497           45572
P16minus             negativo           46141           46216
P17minus             negativo           53202           53277
P18minus             negativo           55898           55973
P19minus             negativo           61284           61359
P20minus             negativo           62631           62706
P21minus             negativo           63155           63230
P22minus             negativo           64365           64440
P23minus             negativo           67466           67541
P24minus             negativo           68798           68873
P25minus             negativo           68873           68948
P26minus             negativo           72804           72879
P27minus             negativo           77701           77776
P28minus             negativo           80338           80413
P29minus             negativo           84321           84396
P30minus             negativo           85396           85471
P31minus             negativo           91936           92011
P32minus             negativo           95012           95087
P33minus             negativo           97016           97091
P34minus             negativo           100360           100435
P35minus             negativo           105172           105247
P36minus             negativo           105399           105474
P37minus             negativo           110772           110847
P38minus             negativo           111341           111416
P39minus             negativo           124993           125068
P40minus             negativo           128676           128751
P41minus             negativo           131275           131350
P42minus             negativo           142464           142539
P43minus             negativo           144378           144453
P44minus             negativo           150626           150701
P45minus             negativo           153399           153474
P46minus             negativo           154138           154213
P47minus             negativo           158096           158171
P48minus             negativo           160016           160091
P49minus             negativo           160213           160288
P50minus             negativo           164204           164279
P51minus             negativo           169315           169390
P52minus             negativo           172643           172718
P53minus             negativo           175212           175287
P54minus             negativo           176418           176493
P55minus             negativo           178471           178546
P56minus             negativo           178741           178816
P57minus             negativo           181370           181445
P58minus             negativo           189215           189290
P59minus             negativo           193403           193478
P60minus             negativo           195773           195848
P61minus             negativo           201108           201183
P62minus             negativo           203872           203947
P63minus             negativo           209886           209961
P64minus             negativo           212900           212975
P65minus             negativo           218180           218255
P66minus             negativo           218981           219056
P67minus             negativo           220041           220116
P68minus             negativo           224734           224809
P69minus             negativo           224978           225053
P70minus             negativo           226605           226680
P71minus             negativo           229314           229389
P72minus             negativo           231276           231351
P73minus             negativo           231653           231728
P74minus             negativo           234918           234993
P75minus             negativo           236214           236289
P76minus             negativo           243072           243147
P77minus             negativo           247370           247445
P78minus             negativo           249044           249119
P79minus             negativo           253023           253098
P80minus             negativo           254846           254921
P81minus             negativo           272150           272225
P82minus             negativo           272553           272628
P83minus             negativo           280244           280319
P84minus             negativo           280960           281035
P85minus             negativo           286310           286385
P86minus             negativo           286385           286460
P87minus             negativo           288985           289060
P88minus             negativo           292162           292237
P89minus             negativo           292518           292593
P90minus             negativo           296096           296171
P91minus             negativo           296225           296300
P92minus             negativo           297383           297458
P93minus             negativo           301533           301608
P94minus             negativo           304257           304332
P95minus             negativo           309397           309472
P96minus             negativo           312753           312828
P97minus             negativo           316484           316559
P98minus             negativo           318696           318771
P99minus             negativo           319176           319251
P100minus             negativo           323094           323169
P101minus             negativo           328192           328267
P102minus             negativo           329004           329079
P103minus             negativo           330612           330687
P104minus             negativo           332751           332826
P105minus             negativo           335432           335507
P106minus             negativo           337680           337755
P107minus             negativo           340514           340589
P108minus             negativo           344617           344692
P109minus             negativo           346068           346143
P110minus             negativo           347366           347441
