Region           Strand              Start               End

P1plus             positivo           12887           12962
P2plus             positivo           13303           13378
P3plus             positivo           14603           14678
P4plus             positivo           17273           17348
P5plus             positivo           18224           18299
P6plus             positivo           18652           18727
P7plus             positivo           19919           19994
P8plus             positivo           29245           29320
P9plus             positivo           31363           31438
P10plus             positivo           33883           33958
P11plus             positivo           37532           37607
P12plus             positivo           39770           39845
P13plus             positivo           40116           40191
P14plus             positivo           44308           44383
P15plus             positivo           49954           50029
P16plus             positivo           50403           50478
P17plus             positivo           51330           51405
P18plus             positivo           55667           55742
P19plus             positivo           56174           56249
P20plus             positivo           58657           58732
P21plus             positivo           59294           59369
P22plus             positivo           61954           62029
P23plus             positivo           68048           68123
P24plus             positivo           68376           68451
P25plus             positivo           68764           68839
P26plus             positivo           70062           70137
P27plus             positivo           76396           76471
P28plus             positivo           77018           77093
P29plus             positivo           77921           77996
P30plus             positivo           82911           82986
P31plus             positivo           87713           87788
P32plus             positivo           95839           95914
P33plus             positivo           98227           98302
P34plus             positivo           99244           99319
P35plus             positivo           104349           104424
P36plus             positivo           106710           106785
P37plus             positivo           108435           108510
P38plus             positivo           109690           109765
P39plus             positivo           110427           110502
P40plus             positivo           114058           114133
P41plus             positivo           118711           118786
P42plus             positivo           120238           120313
P43plus             positivo           121836           121911
P44plus             positivo           122088           122163
P45plus             positivo           126413           126488
P46plus             positivo           127081           127156
P47plus             positivo           133613           133688
P48plus             positivo           134712           134787
P49plus             positivo           134918           134993
P50plus             positivo           136132           136207
P51plus             positivo           137176           137251
P52plus             positivo           140322           140397
P53plus             positivo           144819           144894
P54plus             positivo           145207           145282
P55plus             positivo           146822           146897
P56plus             positivo           148858           148933
P57plus             positivo           151354           151429
P58plus             positivo           152479           152554
P59plus             positivo           153743           153818
P60plus             positivo           155463           155538
P61plus             positivo           157777           157852
P62plus             positivo           158471           158546
P63plus             positivo           160196           160271
P64plus             positivo           160605           160680
P65plus             positivo           162042           162117
P66plus             positivo           163162           163237
P67plus             positivo           166437           166512
P68plus             positivo           166907           166982
P69plus             positivo           176363           176438
P70plus             positivo           179634           179709
P71plus             positivo           181808           181883
P72plus             positivo           182447           182522
P73plus             positivo           185325           185400
P74plus             positivo           191371           191446
P75plus             positivo           191636           191711
P76plus             positivo           195862           195937
P77plus             positivo           195944           196019
P78plus             positivo           199287           199362
P79plus             positivo           199578           199653
P80plus             positivo           203156           203231
P81plus             positivo           210637           210712
P82plus             positivo           213477           213552
P83plus             positivo           215154           215229
P84plus             positivo           219215           219290
P85plus             positivo           220071           220146
P86plus             positivo           223980           224055
P87plus             positivo           224220           224295
P88plus             positivo           227211           227286
P89plus             positivo           228591           228666
P90plus             positivo           229640           229715
P91plus             positivo           230117           230192
P92plus             positivo           230280           230355
P93plus             positivo           231077           231152
P94plus             positivo           244460           244535
P95plus             positivo           249567           249642
P96plus             positivo           250006           250081
P97plus             positivo           250175           250250
P98plus             positivo           253869           253944
P99plus             positivo           257117           257192
P100plus             positivo           261036           261111
P101plus             positivo           261176           261251
P102plus             positivo           263640           263715
P103plus             positivo           266634           266709
P104plus             positivo           267220           267295
P105plus             positivo           269505           269580
P106plus             positivo           271860           271935
P107plus             positivo           273378           273453
P108plus             positivo           278908           278983
P109plus             positivo           279332           279407
P110plus             positivo           279458           279533
P111plus             positivo           283892           283967
P112plus             positivo           284004           284079
P113plus             positivo           285123           285198
P114plus             positivo           285198           285273
P115plus             positivo           287447           287522
P116plus             positivo           289530           289605
P117plus             positivo           292101           292176
P118plus             positivo           292340           292415
P119plus             positivo           292509           292584
P120plus             positivo           295994           296069
P121plus             positivo           296405           296480
P122plus             positivo           298950           299025
P123plus             positivo           300936           301011
P124plus             positivo           304302           304377
P125plus             positivo           305513           305588
P126plus             positivo           306765           306840
P127plus             positivo           314731           314806
P128plus             positivo           316039           316114
P129plus             positivo           317120           317195
P130plus             positivo           321965           322040
P131plus             positivo           324181           324256
P132plus             positivo           328325           328400
P133plus             positivo           332120           332195
P134plus             positivo           332497           332572
P135plus             positivo           343838           343913
P136plus             positivo           344841           344916
P137plus             positivo           346905           346980
P138plus             positivo           356297           356372
P139plus             positivo           356373           356448
P140plus             positivo           359269           359344
P141plus             positivo           367048           367123
P142plus             positivo           368871           368946
P143plus             positivo           374261           374336
P144plus             positivo           375170           375245
P145plus             positivo           376672           376747
P146plus             positivo           387939           388014
P147plus             positivo           391417           391492
P148plus             positivo           395693           395768
P149plus             positivo           406587           406662
P150plus             positivo           407435           407510
P151plus             positivo           415947           416022
P152plus             positivo           417282           417357
P153plus             positivo           420538           420613
P154plus             positivo           420760           420835
P155plus             positivo           421191           421266
P156plus             positivo           422593           422668
P157plus             positivo           423952           424027
P158plus             positivo           428629           428704
P159plus             positivo           428887           428962
P160plus             positivo           429769           429844
P161plus             positivo           439974           440049
P162plus             positivo           440847           440922
P163plus             positivo           444667           444742
P164plus             positivo           446942           447017
P165plus             positivo           448233           448308
P166plus             positivo           448726           448801
P167plus             positivo           455118           455193
P168plus             positivo           458004           458079
P169plus             positivo           459552           459627
P170plus             positivo           465174           465249
P171plus             positivo           469403           469478
P172plus             positivo           470477           470552
P173plus             positivo           472607           472682
P174plus             positivo           478200           478275
P175plus             positivo           479913           479988
P176plus             positivo           480115           480190
P177plus             positivo           480301           480376
P178plus             positivo           481588           481663
P179plus             positivo           482635           482710
P180plus             positivo           485656           485731
P181plus             positivo           486364           486439
P182plus             positivo           492903           492978
P183plus             positivo           494226           494301
P184plus             positivo           494374           494449
P185plus             positivo           499888           499963
P186plus             positivo           500604           500679
P187plus             positivo           505086           505161
P188plus             positivo           509558           509633
P189plus             positivo           518363           518438
P190plus             positivo           519569           519644
P191plus             positivo           522725           522800
P192plus             positivo           522817           522892
P193plus             positivo           524782           524857
P194plus             positivo           527890           527965
P195plus             positivo           528545           528620
P196plus             positivo           529025           529100
P197plus             positivo           531078           531153
P198plus             positivo           532725           532800
P199plus             positivo           534604           534679
P200plus             positivo           535851           535926
P201plus             positivo           536899           536974
P202plus             positivo           540442           540517
P203plus             positivo           542078           542153
P204plus             positivo           544602           544677
P205plus             positivo           548040           548115
P206plus             positivo           551583           551658
P207plus             positivo           551658           551733
P208plus             positivo           553166           553241
P209plus             positivo           555644           555719
P210plus             positivo           565133           565208
P211plus             positivo           566778           566853
P212plus             positivo           567353           567428
P213plus             positivo           567903           567978
P214plus             positivo           572941           573016
P215plus             positivo           574237           574312
P216plus             positivo           574938           575013
P217plus             positivo           582584           582659
P218plus             positivo           582775           582850
P219plus             positivo           585590           585665
P220plus             positivo           588287           588362
P221plus             positivo           596422           596497
P222plus             positivo           602899           602974
P223plus             positivo           603648           603723
P224plus             positivo           603880           603955
P225plus             positivo           607850           607925
P226plus             positivo           611735           611810
P227plus             positivo           619697           619772
P228plus             positivo           620924           620999
P229plus             positivo           624379           624454
P230plus             positivo           626637           626712
P231plus             positivo           626928           627003
P232plus             positivo           627331           627406
P233plus             positivo           629898           629973
P234plus             positivo           630984           631059
P235plus             positivo           631571           631646
P236plus             positivo           636180           636255
P237plus             positivo           636701           636776
P238plus             positivo           638855           638930
P239plus             positivo           640329           640404
P240plus             positivo           641400           641475
P241plus             positivo           644863           644938
P242plus             positivo           645708           645783
P243plus             positivo           646329           646404
P244plus             positivo           655880           655955
P245plus             positivo           657392           657467
P246plus             positivo           658985           659060
P247plus             positivo           660418           660493
P248plus             positivo           662215           662290
P249plus             positivo           678029           678104
P250plus             positivo           678621           678696
P251plus             positivo           680428           680503
P252plus             positivo           681947           682022
P253plus             positivo           687108           687183
P254plus             positivo           690141           690216
P255plus             positivo           690384           690459
P256plus             positivo           692455           692530
P257plus             positivo           699620           699695
P258plus             positivo           700644           700719
P259plus             positivo           702399           702474
P260plus             positivo           715430           715505
P261plus             positivo           718184           718259
P262plus             positivo           718881           718956
P263plus             positivo           726945           727020
P264plus             positivo           727695           727770
P265plus             positivo           735991           736066
P266plus             positivo           742509           742584
P267plus             positivo           744975           745050
P268plus             positivo           749938           750013
P269plus             positivo           750092           750167
P270plus             positivo           750668           750743
P271plus             positivo           766394           766469
P272plus             positivo           771747           771822
P273plus             positivo           773161           773236
P274plus             positivo           773906           773981
P275plus             positivo           775620           775695
P276plus             positivo           783152           783227
P277plus             positivo           784292           784367
P278plus             positivo           795840           795915
P279plus             positivo           796548           796623
P280plus             positivo           800317           800392
P281plus             positivo           801054           801129
P282plus             positivo           803658           803733
P283plus             positivo           810078           810153
P284plus             positivo           815624           815699
P285plus             positivo           821982           822057
P286plus             positivo           822129           822204
P287plus             positivo           826581           826656
P288plus             positivo           829183           829258
P289plus             positivo           831625           831700
P290plus             positivo           837709           837784
P291plus             positivo           839493           839568
P292plus             positivo           839849           839924
P293plus             positivo           843184           843259
P294plus             positivo           844494           844569
P295plus             positivo           849093           849168
P296plus             positivo           853114           853189
P297plus             positivo           863144           863219
P298plus             positivo           866439           866514
P299plus             positivo           866973           867048
P300plus             positivo           869589           869664
P301plus             positivo           871222           871297
P302plus             positivo           871481           871556
P303plus             positivo           877416           877491
P304plus             positivo           878899           878974
P305plus             positivo           879664           879739
P306plus             positivo           880338           880413
P307plus             positivo           880674           880749
P308plus             positivo           884346           884421
P309plus             positivo           889961           890036
P310plus             positivo           895654           895729
P311plus             positivo           896431           896506
P312plus             positivo           903114           903189
P313plus             positivo           908347           908422
P314plus             positivo           910451           910526
P315plus             positivo           916742           916817
P316plus             positivo           918869           918944
P317plus             positivo           925212           925287
P318plus             positivo           934925           935000
P319plus             positivo           940053           940128
P320plus             positivo           941718           941793
P321plus             positivo           944591           944666
P322plus             positivo           946405           946480
P323plus             positivo           947818           947893
P324plus             positivo           950371           950446
P325plus             positivo           951414           951489
P326plus             positivo           956688           956763
P327plus             positivo           956865           956940
P328plus             positivo           957874           957949
P329plus             positivo           957993           958068
P330plus             positivo           958507           958582
P331plus             positivo           960589           960664
P332plus             positivo           961299           961374
P333plus             positivo           961909           961984
P334plus             positivo           966632           966707
P335plus             positivo           985335           985410
P336plus             positivo           990140           990215
P337plus             positivo           998783           998858
P338plus             positivo           1000827           1000902
P339plus             positivo           1001995           1002070
P340plus             positivo           1003519           1003594
P341plus             positivo           1007151           1007226
P342plus             positivo           1008730           1008805
P343plus             positivo           1010262           1010337
P344plus             positivo           1012256           1012331
P345plus             positivo           1013107           1013182
P346plus             positivo           1016436           1016511
P347plus             positivo           1017236           1017311
P348plus             positivo           1022023           1022098
P349plus             positivo           1024007           1024082
P350plus             positivo           1026972           1027047
P351plus             positivo           1029634           1029709
P352plus             positivo           1029866           1029941
P353plus             positivo           1030250           1030325
P354plus             positivo           1033912           1033987
P355plus             positivo           1033989           1034064
P356plus             positivo           1034855           1034930
P357plus             positivo           1041584           1041659
P358plus             positivo           1044272           1044347
P359plus             positivo           1044498           1044573
P360plus             positivo           1048529           1048604
P361plus             positivo           1048945           1049020
P362plus             positivo           1055348           1055423
P363plus             positivo           1064797           1064872
P364plus             positivo           1069986           1070061
P365plus             positivo           1070541           1070616
P366plus             positivo           1071625           1071700
P367plus             positivo           1075357           1075432
P368plus             positivo           1081674           1081749
P369plus             positivo           1086086           1086161
P370plus             positivo           1088904           1088979
P371plus             positivo           1091269           1091344
P372plus             positivo           1091846           1091921
P373plus             positivo           1095748           1095823
P374plus             positivo           1098123           1098198
P375plus             positivo           1117778           1117853
P376plus             positivo           1118976           1119051
P377plus             positivo           1120173           1120248
P378plus             positivo           1126338           1126413
P379plus             positivo           1135337           1135412
P380plus             positivo           1135937           1136012
P381plus             positivo           1148774           1148849
P382plus             positivo           1152298           1152373
P383plus             positivo           1161876           1161951
P384plus             positivo           1162928           1163003
P385plus             positivo           1167279           1167354
P386plus             positivo           1176912           1176987
P387plus             positivo           1179415           1179490
P388plus             positivo           1184641           1184716
P389plus             positivo           1186185           1186260
P390plus             positivo           1192274           1192349
P391plus             positivo           1195549           1195624
P392plus             positivo           1195707           1195782
P393plus             positivo           1197033           1197108
P394plus             positivo           1197761           1197836
P395plus             positivo           1203750           1203825
P396plus             positivo           1204455           1204530
P397plus             positivo           1204532           1204607
P398plus             positivo           1204618           1204693
P399plus             positivo           1205982           1206057
P400plus             positivo           1212851           1212926
P401plus             positivo           1213220           1213295
P402plus             positivo           1215595           1215670
P403plus             positivo           1219549           1219624
