Region           Strand              Start               End

P1plus             positivo           2391           2466
P2plus             positivo           2732           2807
P3plus             positivo           3479           3554
P4plus             positivo           4597           4672
P5plus             positivo           7285           7360
P6plus             positivo           8872           8947
P7plus             positivo           10564           10639
P8plus             positivo           12049           12124
P9plus             positivo           16342           16417
P10plus             positivo           17180           17255
P11plus             positivo           21690           21765
P12plus             positivo           23205           23280
P13plus             positivo           24434           24509
P14plus             positivo           24583           24658
P15plus             positivo           25556           25631
P16plus             positivo           27417           27492
P17plus             positivo           27732           27807
P18plus             positivo           28616           28691
P19plus             positivo           29421           29496
P20plus             positivo           32644           32719
P21plus             positivo           33028           33103
P22plus             positivo           36574           36649
P23plus             positivo           37327           37402
P24plus             positivo           38580           38655
P25plus             positivo           39515           39590
P26plus             positivo           44901           44976
P27plus             positivo           46800           46875
P28plus             positivo           47268           47343
P29plus             positivo           47822           47897
P30plus             positivo           48419           48494
P31plus             positivo           48596           48671
P32plus             positivo           49416           49491
P33plus             positivo           49494           49569
P34plus             positivo           49569           49644
P35plus             positivo           49764           49839
P36plus             positivo           49839           49914
P37plus             positivo           50327           50402
P38plus             positivo           52924           52999
P39plus             positivo           54334           54409
P40plus             positivo           54529           54604
P41plus             positivo           58366           58441
P42plus             positivo           62454           62529
P43plus             positivo           62601           62676
P44plus             positivo           65734           65809
P45plus             positivo           73092           73167
P46plus             positivo           73167           73242
P47plus             positivo           73441           73516
P48plus             positivo           73912           73987
P49plus             positivo           74132           74207
P50plus             positivo           74863           74938
P51plus             positivo           76873           76948
P52plus             positivo           77870           77945
P53plus             positivo           80938           81013
P54plus             positivo           81484           81559
P55plus             positivo           81603           81678
P56plus             positivo           82806           82881
P57plus             positivo           83714           83789
P58plus             positivo           86001           86076
P59plus             positivo           87082           87157
P60plus             positivo           87850           87925
P61plus             positivo           87964           88039
P62plus             positivo           89279           89354
P63plus             positivo           89378           89453
P64plus             positivo           90362           90437
P65plus             positivo           90493           90568
P66plus             positivo           91445           91520
P67plus             positivo           95628           95703
P68plus             positivo           102007           102082
P69plus             positivo           103681           103756
P70plus             positivo           104614           104689
P71plus             positivo           105710           105785
P72plus             positivo           107469           107544
P73plus             positivo           107799           107874
P74plus             positivo           107894           107969
P75plus             positivo           108287           108362
