Region           Strand              Start               End

P1plus             positivo           12           87
P2plus             positivo           870           945
P3plus             positivo           1888           1963
P4plus             positivo           2358           2433
P5plus             positivo           3025           3100
P6plus             positivo           3975           4050
P7plus             positivo           4972           5047
P8plus             positivo           5351           5426
P9plus             positivo           6149           6224
P10plus             positivo           10710           10785
P11plus             positivo           12027           12102
P12plus             positivo           12653           12728
P13plus             positivo           13005           13080
P14plus             positivo           13489           13564
P15plus             positivo           14767           14842
P16plus             positivo           20228           20303
P17plus             positivo           22797           22872
P18plus             positivo           23669           23744
P19plus             positivo           24288           24363
P20plus             positivo           24544           24619
P21plus             positivo           24863           24938
P22plus             positivo           25097           25172
P23plus             positivo           26373           26448
P24plus             positivo           30364           30439
P25plus             positivo           34158           34233
P26plus             positivo           34571           34646
P27plus             positivo           35192           35267
P28plus             positivo           36044           36119
P29plus             positivo           36722           36797
P30plus             positivo           39416           39491
P31plus             positivo           44672           44747
P32plus             positivo           45667           45742
P33plus             positivo           47736           47811
P34plus             positivo           48633           48708
P35plus             positivo           49349           49424
P36plus             positivo           49567           49642
P37plus             positivo           50685           50760
P38plus             positivo           51232           51307
P39plus             positivo           51773           51848
P40plus             positivo           51865           51940
P41plus             positivo           56196           56271
P42plus             positivo           56975           57050
P43plus             positivo           59996           60071
P44plus             positivo           60085           60160
P45plus             positivo           61194           61269
P46plus             positivo           61281           61356
P47plus             positivo           62045           62120
P48plus             positivo           66806           66881
P49plus             positivo           68907           68982
P50plus             positivo           69290           69365
P51plus             positivo           69374           69449
P52plus             positivo           71200           71275
P53plus             positivo           72025           72100
P54plus             positivo           72882           72957
P55plus             positivo           72957           73032
P56plus             positivo           74316           74391
P57plus             positivo           78043           78118
P58plus             positivo           78753           78828
P59plus             positivo           80593           80668
P60plus             positivo           80999           81074
P61plus             positivo           82485           82560
P62plus             positivo           83071           83146
P63plus             positivo           83545           83620
P64plus             positivo           83815           83890
P65plus             positivo           85138           85213
P66plus             positivo           85228           85303
P67plus             positivo           85406           85481
P68plus             positivo           86886           86961
P69plus             positivo           86975           87050
P70plus             positivo           88651           88726
P71plus             positivo           90038           90113
P72plus             positivo           90267           90342
P73plus             positivo           90384           90459
P74plus             positivo           91419           91494
P75plus             positivo           93502           93577
P76plus             positivo           95354           95429
P77plus             positivo           99490           99565
P78plus             positivo           100334           100409
P79plus             positivo           101529           101604
P80plus             positivo           102928           103003
P81plus             positivo           103595           103670
P82plus             positivo           105152           105227
P83plus             positivo           105236           105311
P84plus             positivo           106314           106389
P85plus             positivo           106658           106733
P86plus             positivo           112849           112924
P87plus             positivo           113022           113097
P88plus             positivo           115034           115109
P89plus             positivo           117015           117090
P90plus             positivo           118729           118804
P91plus             positivo           119084           119159
P92plus             positivo           121054           121129
P93plus             positivo           121378           121453
P94plus             positivo           123196           123271
P95plus             positivo           123673           123748
P96plus             positivo           124372           124447
P97plus             positivo           124680           124755
P98plus             positivo           125325           125400
P99plus             positivo           127977           128052
P100plus             positivo           129097           129172
P101plus             positivo           129652           129727
P102plus             positivo           130588           130663
P103plus             positivo           130814           130889
P104plus             positivo           130889           130964
P105plus             positivo           131643           131718
P106plus             positivo           131770           131845
P107plus             positivo           132901           132976
P108plus             positivo           133088           133163
P109plus             positivo           133986           134061
P110plus             positivo           134501           134576
P111plus             positivo           138218           138293
P112plus             positivo           141387           141462
P113plus             positivo           141672           141747
P114plus             positivo           142706           142781
P115plus             positivo           144332           144407
P116plus             positivo           146827           146902
P117plus             positivo           147946           148021
P118plus             positivo           149130           149205
P119plus             positivo           149721           149796
P120plus             positivo           152049           152124
P121plus             positivo           154757           154832
P122plus             positivo           155431           155506
P123plus             positivo           155545           155620
P124plus             positivo           161233           161308
P125plus             positivo           162253           162328
P126plus             positivo           163683           163758
P127plus             positivo           167054           167129
P128plus             positivo           167579           167654
P129plus             positivo           167993           168068
P130plus             positivo           168790           168865
P131plus             positivo           170719           170794
P132plus             positivo           170855           170930
P133plus             positivo           174094           174169
P134plus             positivo           175239           175314
P135plus             positivo           176628           176703
P136plus             positivo           178260           178335
