Region           Strand              Start               End

P1plus             positivo           3602           3677
P2plus             positivo           5951           6026
P3plus             positivo           16860           16935
P4plus             positivo           35744           35819
P5plus             positivo           37960           38035
P6plus             positivo           46929           47004
P7plus             positivo           48133           48208
P8plus             positivo           48365           48440
P9plus             positivo           53580           53655
P10plus             positivo           61625           61700
P11plus             positivo           62092           62167
P12plus             positivo           63217           63292
P13plus             positivo           76193           76268
P14plus             positivo           81128           81203
P15plus             positivo           81852           81927
P16plus             positivo           82008           82083
P17plus             positivo           85023           85098
P18plus             positivo           85977           86052
P19plus             positivo           90662           90737
P20plus             positivo           100754           100829
P21plus             positivo           105863           105938
P22plus             positivo           107618           107693
P23plus             positivo           110704           110779
P24plus             positivo           110847           110922
P25plus             positivo           113763           113838
P26plus             positivo           114381           114456
P27plus             positivo           116938           117013
P28plus             positivo           117426           117501
P29plus             positivo           126703           126778
P30plus             positivo           132238           132313
P31plus             positivo           142679           142754
P32plus             positivo           143625           143700
P33plus             positivo           148249           148324
P34plus             positivo           151521           151596
P35plus             positivo           157511           157586
P36plus             positivo           162585           162660
P37plus             positivo           164168           164243
P38plus             positivo           174193           174268
P39plus             positivo           175996           176071
P40plus             positivo           176735           176810
P41plus             positivo           191656           191731
P42plus             positivo           195518           195593
P43plus             positivo           196603           196678
P44plus             positivo           203962           204037
P45plus             positivo           207810           207885
P46plus             positivo           213070           213145
P47plus             positivo           214032           214107
P48plus             positivo           220166           220241
P49plus             positivo           221642           221717
P50plus             positivo           225286           225361
P51plus             positivo           225714           225789
P52plus             positivo           227418           227493
P53plus             positivo           228471           228546
P54plus             positivo           228547           228622
P55plus             positivo           233766           233841
P56plus             positivo           235054           235129
P57plus             positivo           239184           239259
P58plus             positivo           245758           245833
P59plus             positivo           251030           251105
P60plus             positivo           256929           257004
P61plus             positivo           257945           258020
P62plus             positivo           263005           263080
P63plus             positivo           270366           270441
P64plus             positivo           270844           270919
P65plus             positivo           271222           271297
P66plus             positivo           295249           295324
P67plus             positivo           295393           295468
P68plus             positivo           296302           296377
P69plus             positivo           308425           308500
P70plus             positivo           310341           310416
P71plus             positivo           311898           311973
P72plus             positivo           319148           319223
P73plus             positivo           319816           319891
P74plus             positivo           321886           321961
P75plus             positivo           324907           324982
P76plus             positivo           328631           328706
P77plus             positivo           333114           333189
P78plus             positivo           335264           335339
P79plus             positivo           338185           338260
P80plus             positivo           341741           341816
P81plus             positivo           346610           346685
P82plus             positivo           347522           347597
P83plus             positivo           354018           354093
P84plus             positivo           355886           355961
P85plus             positivo           357591           357666
P86plus             positivo           362493           362568
P87plus             positivo           365310           365385
P88plus             positivo           365835           365910
P89plus             positivo           371033           371108
P90plus             positivo           371243           371318
P91plus             positivo           372333           372408
P92plus             positivo           374529           374604
P93plus             positivo           380031           380106
P94plus             positivo           382174           382249
P95plus             positivo           390520           390595
P96plus             positivo           392277           392352
P97plus             positivo           393103           393178
P98plus             positivo           393535           393610
P99plus             positivo           395300           395375
P100plus             positivo           397522           397597
P101plus             positivo           399500           399575
P102plus             positivo           402904           402979
P103plus             positivo           405350           405425
P104plus             positivo           408473           408548
P105plus             positivo           409172           409247
P106plus             positivo           414766           414841
P107plus             positivo           425599           425674
P108plus             positivo           425769           425844
P109plus             positivo           433252           433327
P110plus             positivo           434846           434921
P111plus             positivo           439436           439511
P112plus             positivo           452980           453055
P113plus             positivo           454721           454796
P114plus             positivo           460104           460179
