Region           Strand              Start               End

P1plus             positivo           1868           1943
P2plus             positivo           4783           4858
P3plus             positivo           21629           21704
P4plus             positivo           22536           22611
P5plus             positivo           26808           26883
P6plus             positivo           31145           31220
P7plus             positivo           32544           32619
P8plus             positivo           39568           39643
P9plus             positivo           44348           44423
P10plus             positivo           46445           46520
P11plus             positivo           52828           52903
P12plus             positivo           56357           56432
P13plus             positivo           60485           60560
P14plus             positivo           69507           69582
P15plus             positivo           70243           70318
P16plus             positivo           78460           78535
P17plus             positivo           79794           79869
P18plus             positivo           80145           80220
P19plus             positivo           88802           88877
P20plus             positivo           99459           99534
P21plus             positivo           103099           103174
P22plus             positivo           107362           107437
P23plus             positivo           107711           107786
P24plus             positivo           108070           108145
P25plus             positivo           112996           113071
P26plus             positivo           113543           113618
P27plus             positivo           120339           120414
P28plus             positivo           123223           123298
P29plus             positivo           129083           129158
P30plus             positivo           131596           131671
P31plus             positivo           142981           143056
P32plus             positivo           147127           147202
P33plus             positivo           155029           155104
P34plus             positivo           156076           156151
P35plus             positivo           168959           169034
P36plus             positivo           170688           170763
P37plus             positivo           177753           177828
P38plus             positivo           178396           178471
P39plus             positivo           180537           180612
P40plus             positivo           182674           182749
P41plus             positivo           193632           193707
P42plus             positivo           197707           197782
P43plus             positivo           198004           198079
P44plus             positivo           200089           200164
P45plus             positivo           205988           206063
P46plus             positivo           208091           208166
P47plus             positivo           208442           208517
P48plus             positivo           212023           212098
P49plus             positivo           217275           217350
P50plus             positivo           218797           218872
P51plus             positivo           219686           219761
P52plus             positivo           222122           222197
P53plus             positivo           225195           225270
P54plus             positivo           232175           232250
P55plus             positivo           274530           274605
P56plus             positivo           276818           276893
P57plus             positivo           286731           286806
P58plus             positivo           287249           287324
P59plus             positivo           290346           290421
P60plus             positivo           290876           290951
P61plus             positivo           291643           291718
P62plus             positivo           300818           300893
P63plus             positivo           305072           305147
P64plus             positivo           306545           306620
P65plus             positivo           319229           319304
P66plus             positivo           320374           320449
P67plus             positivo           323106           323181
P68plus             positivo           326174           326249
P69plus             positivo           327404           327479
P70plus             positivo           328455           328530
P71plus             positivo           337808           337883
P72plus             positivo           337883           337958
P73plus             positivo           340964           341039
P74plus             positivo           346176           346251
P75plus             positivo           351628           351703
P76plus             positivo           362403           362478
P77plus             positivo           367016           367091
P78plus             positivo           367175           367250
P79plus             positivo           368737           368812
P80plus             positivo           376488           376563
P81plus             positivo           378774           378849
P82plus             positivo           380465           380540
P83plus             positivo           394825           394900
P84plus             positivo           395042           395117
P85plus             positivo           396205           396280
P86plus             positivo           398310           398385
P87plus             positivo           402738           402813
P88plus             positivo           405226           405301
P89plus             positivo           416522           416597
P90plus             positivo           427982           428057
P91plus             positivo           438567           438642
P92plus             positivo           445918           445993
P93plus             positivo           454820           454895
P94plus             positivo           456344           456419
P95plus             positivo           461874           461949
P96plus             positivo           462700           462775
P97plus             positivo           467863           467938
P98plus             positivo           477142           477217
P99plus             positivo           477872           477947
P100plus             positivo           479120           479195
P101plus             positivo           488677           488752
P102plus             positivo           494114           494189
P103plus             positivo           500200           500275
P104plus             positivo           506437           506512
P105plus             positivo           515679           515754
P106plus             positivo           521139           521214
P107plus             positivo           526138           526213
P108plus             positivo           539104           539179
P109plus             positivo           542351           542426
P110plus             positivo           542896           542971
P111plus             positivo           548026           548101
P112plus             positivo           551694           551769
P113plus             positivo           552095           552170
P114plus             positivo           553489           553564
P115plus             positivo           558513           558588
P116plus             positivo           562429           562504
