Region           Strand              Start               End

P1plus             positivo           2865           2940
P2plus             positivo           2946           3021
P3plus             positivo           3057           3132
P4plus             positivo           3168           3243
P5plus             positivo           3270           3345
P6plus             positivo           3665           3740
P7plus             positivo           4787           4862
P8plus             positivo           9121           9196
P9plus             positivo           9780           9855
P10plus             positivo           10451           10526
P11plus             positivo           12267           12342
P12plus             positivo           13081           13156
P13plus             positivo           16507           16582
P14plus             positivo           16971           17046
P15plus             positivo           17288           17363
P16plus             positivo           21596           21671
P17plus             positivo           23798           23873
P18plus             positivo           25945           26020
P19plus             positivo           26353           26428
P20plus             positivo           26766           26841
P21plus             positivo           29042           29117
P22plus             positivo           29166           29241
P23plus             positivo           29443           29518
P24plus             positivo           29526           29601
P25plus             positivo           29767           29842
P26plus             positivo           32934           33009
P27plus             positivo           34831           34906
P28plus             positivo           35143           35218
P29plus             positivo           35222           35297
P30plus             positivo           36397           36472
P31plus             positivo           36472           36547
P32plus             positivo           36843           36918
P33plus             positivo           37534           37609
P34plus             positivo           38455           38530
P35plus             positivo           44042           44117
P36plus             positivo           44297           44372
P37plus             positivo           46337           46412
P38plus             positivo           47282           47357
P39plus             positivo           49570           49645
P40plus             positivo           50798           50873
P41plus             positivo           51730           51805
P42plus             positivo           54381           54456
P43plus             positivo           54670           54745
P44plus             positivo           54754           54829
P45plus             positivo           54891           54966
P46plus             positivo           55375           55450
P47plus             positivo           56207           56282
P48plus             positivo           56587           56662
P49plus             positivo           57619           57694
P50plus             positivo           59109           59184
P51plus             positivo           61480           61555
P52plus             positivo           62288           62363
P53plus             positivo           62586           62661
P54plus             positivo           63222           63297
P55plus             positivo           63624           63699
P56plus             positivo           64048           64123
P57plus             positivo           64771           64846
P58plus             positivo           67742           67817
P59plus             positivo           67898           67973
P60plus             positivo           68247           68322
P61plus             positivo           69300           69375
P62plus             positivo           71501           71576
P63plus             positivo           71648           71723
P64plus             positivo           71785           71860
P65plus             positivo           72639           72714
P66plus             positivo           73108           73183
P67plus             positivo           75888           75963
P68plus             positivo           79416           79491
P69plus             positivo           83360           83435
P70plus             positivo           84776           84851
P71plus             positivo           87006           87081
P72plus             positivo           88518           88593
P73plus             positivo           88949           89024
P74plus             positivo           89809           89884
P75plus             positivo           90368           90443
P76plus             positivo           90922           90997
P77plus             positivo           91060           91135
P78plus             positivo           94398           94473
P79plus             positivo           99413           99488
P80plus             positivo           100221           100296
P81plus             positivo           101556           101631
P82plus             positivo           101833           101908
P83plus             positivo           101908           101983
P84plus             positivo           102897           102972
P85plus             positivo           104748           104823
P86plus             positivo           104995           105070
P87plus             positivo           105836           105911
P88plus             positivo           107356           107431
P89plus             positivo           114710           114785
P90plus             positivo           114799           114874
P91plus             positivo           115335           115410
P92plus             positivo           118462           118537
P93plus             positivo           118907           118982
P94plus             positivo           122290           122365
P95plus             positivo           122365           122440
P96plus             positivo           125614           125689
P97plus             positivo           125709           125784
P98plus             positivo           125784           125859
P99plus             positivo           126285           126360
P100plus             positivo           126887           126962
P101plus             positivo           127740           127815
P102plus             positivo           129510           129585
P103plus             positivo           129701           129776
P104plus             positivo           129869           129944
P105plus             positivo           132018           132093
P106plus             positivo           135543           135618
P107plus             positivo           143561           143636
P108plus             positivo           144380           144455
P109plus             positivo           144634           144709
P110plus             positivo           144998           145073
P111plus             positivo           145117           145192
P112plus             positivo           145565           145640
P113plus             positivo           145722           145797
P114plus             positivo           149759           149834
P115plus             positivo           152427           152502
P116plus             positivo           152591           152666
P117plus             positivo           159179           159254
