Region           Strand              Start               End

P1plus             positivo           1152           1227
P2plus             positivo           2553           2628
P3plus             positivo           2750           2825
P4plus             positivo           6791           6866
P5plus             positivo           10038           10113
P6plus             positivo           10593           10668
P7plus             positivo           12654           12729
P8plus             positivo           13246           13321
P9plus             positivo           16417           16492
P10plus             positivo           16717           16792
P11plus             positivo           18462           18537
P12plus             positivo           18742           18817
P13plus             positivo           20143           20218
P14plus             positivo           20712           20787
P15plus             positivo           21327           21402
P16plus             positivo           21451           21526
P17plus             positivo           21608           21683
P18plus             positivo           23201           23276
P19plus             positivo           23572           23647
P20plus             positivo           24407           24482
P21plus             positivo           24514           24589
P22plus             positivo           24711           24786
P23plus             positivo           25840           25915
P24plus             positivo           27797           27872
P25plus             positivo           27889           27964
P26plus             positivo           28104           28179
P27plus             positivo           30132           30207
P28plus             positivo           30420           30495
P29plus             positivo           33780           33855
P30plus             positivo           34015           34090
P31plus             positivo           34609           34684
P32plus             positivo           35870           35945
P33plus             positivo           39537           39612
P34plus             positivo           40457           40532
P35plus             positivo           40710           40785
P36plus             positivo           41040           41115
P37plus             positivo           41552           41627
P38plus             positivo           41825           41900
P39plus             positivo           42142           42217
P40plus             positivo           42318           42393
P41plus             positivo           42432           42507
P42plus             positivo           42659           42734
P43plus             positivo           43085           43160
P44plus             positivo           43168           43243
P45plus             positivo           43477           43552
P46plus             positivo           43647           43722
P47plus             positivo           44784           44859
P48plus             positivo           45067           45142
P49plus             positivo           45514           45589
P50plus             positivo           45660           45735
P51plus             positivo           45796           45871
P52plus             positivo           46558           46633
P53plus             positivo           46974           47049
P54plus             positivo           47335           47410
P55plus             positivo           48064           48139
P56plus             positivo           48710           48785
P57plus             positivo           49441           49516
P58plus             positivo           50951           51026
P59plus             positivo           51242           51317
P60plus             positivo           51365           51440
P61plus             positivo           51508           51583
P62plus             positivo           52469           52544
P63plus             positivo           52575           52650
P64plus             positivo           52735           52810
P65plus             positivo           54328           54403
P66plus             positivo           57459           57534
P67plus             positivo           58965           59040
P68plus             positivo           59418           59493
P69plus             positivo           60436           60511
P70plus             positivo           60746           60821
P71plus             positivo           60822           60897
P72plus             positivo           62230           62305
P73plus             positivo           62350           62425
P74plus             positivo           64328           64403
P75plus             positivo           65279           65354
P76plus             positivo           65519           65594
P77plus             positivo           65595           65670
P78plus             positivo           66403           66478
P79plus             positivo           66865           66940
P80plus             positivo           67928           68003
P81plus             positivo           68295           68370
P82plus             positivo           71282           71357
P83plus             positivo           71668           71743
P84plus             positivo           72180           72255
P85plus             positivo           72471           72546
P86plus             positivo           73714           73789
P87plus             positivo           74520           74595
P88plus             positivo           74821           74896
P89plus             positivo           75831           75906
P90plus             positivo           77888           77963
P91plus             positivo           78716           78791
P92plus             positivo           80981           81056
P93plus             positivo           81157           81232
P94plus             positivo           81763           81838
P95plus             positivo           82425           82500
P96plus             positivo           84640           84715
P97plus             positivo           86565           86640
P98plus             positivo           86907           86982
P99plus             positivo           87889           87964
P100plus             positivo           88791           88866
P101plus             positivo           89313           89388
P102plus             positivo           90134           90209
P103plus             positivo           90214           90289
P104plus             positivo           90590           90665
P105plus             positivo           91363           91438
P106plus             positivo           93050           93125
P107plus             positivo           93791           93866
P108plus             positivo           94048           94123
P109plus             positivo           94742           94817
P110plus             positivo           95847           95922
P111plus             positivo           97787           97862
P112plus             positivo           100055           100130
P113plus             positivo           103522           103597
P114plus             positivo           104968           105043
P115plus             positivo           106607           106682
P116plus             positivo           108750           108825
P117plus             positivo           109876           109951
P118plus             positivo           110809           110884
P119plus             positivo           110898           110973
P120plus             positivo           111019           111094
P121plus             positivo           111337           111412
P122plus             positivo           111943           112018
P123plus             positivo           114627           114702
P124plus             positivo           114832           114907
P125plus             positivo           115717           115792
P126plus             positivo           116314           116389
P127plus             positivo           116577           116652
P128plus             positivo           118878           118953
P129plus             positivo           119261           119336
P130plus             positivo           119364           119439
P131plus             positivo           120552           120627
P132plus             positivo           120674           120749
P133plus             positivo           120982           121057
P134plus             positivo           121676           121751
P135plus             positivo           122843           122918
P136plus             positivo           127533           127608
P137plus             positivo           127608           127683
P138plus             positivo           127843           127918
P139plus             positivo           128010           128085
P140plus             positivo           128661           128736
P141plus             positivo           129230           129305
P142plus             positivo           130848           130923
P143plus             positivo           132091           132166
P144plus             positivo           132882           132957
P145plus             positivo           133010           133085
P146plus             positivo           133265           133340
P147plus             positivo           133748           133823
P148plus             positivo           135434           135509
P149plus             positivo           136060           136135
P150plus             positivo           136843           136918
P151plus             positivo           138947           139022
P152plus             positivo           144308           144383
P153plus             positivo           144796           144871
P154plus             positivo           145197           145272
P155plus             positivo           145539           145614
P156plus             positivo           147504           147579
P157plus             positivo           148731           148806
P158plus             positivo           150888           150963
P159plus             positivo           150963           151038
P160plus             positivo           151322           151397
P161plus             positivo           152117           152192
P162plus             positivo           152284           152359
P163plus             positivo           153678           153753
P164plus             positivo           153994           154069
P165plus             positivo           154567           154642
P166plus             positivo           154646           154721
P167plus             positivo           155389           155464
P168plus             positivo           155713           155788
P169plus             positivo           159542           159617
P170plus             positivo           159767           159842
P171plus             positivo           159876           159951
P172plus             positivo           160300           160375
P173plus             positivo           160678           160753
P174plus             positivo           161157           161232
P175plus             positivo           161940           162015
P176plus             positivo           163022           163097
P177plus             positivo           163120           163195
P178plus             positivo           163720           163795
P179plus             positivo           164311           164386
P180plus             positivo           164650           164725
P181plus             positivo           164838           164913
P182plus             positivo           165231           165306
P183plus             positivo           167201           167276
P184plus             positivo           168501           168576
P185plus             positivo           168761           168836
P186plus             positivo           168854           168929
P187plus             positivo           169149           169224
P188plus             positivo           169594           169669
P189plus             positivo           169799           169874
P190plus             positivo           169879           169954
P191plus             positivo           171334           171409
P192plus             positivo           171460           171535
P193plus             positivo           172321           172396
P194plus             positivo           172759           172834
P195plus             positivo           173533           173608
P196plus             positivo           174259           174334
P197plus             positivo           175793           175868
P198plus             positivo           176298           176373
P199plus             positivo           177244           177319
P200plus             positivo           178803           178878
P201plus             positivo           179631           179706
P202plus             positivo           180309           180384
P203plus             positivo           180630           180705
P204plus             positivo           180762           180837
P205plus             positivo           181665           181740
P206plus             positivo           181981           182056
P207plus             positivo           182090           182165
P208plus             positivo           182603           182678
P209plus             positivo           182816           182891
P210plus             positivo           183622           183697
P211plus             positivo           184020           184095
P212plus             positivo           184545           184620
P213plus             positivo           186141           186216
P214plus             positivo           186264           186339
P215plus             positivo           186381           186456
P216plus             positivo           188339           188414
P217plus             positivo           189228           189303
P218plus             positivo           189696           189771
P219plus             positivo           190959           191034
P220plus             positivo           192346           192421
P221plus             positivo           193152           193227
P222plus             positivo           193666           193741
P223plus             positivo           193998           194073
P224plus             positivo           194108           194183
P225plus             positivo           194602           194677
P226plus             positivo           194873           194948
P227plus             positivo           195001           195076
P228plus             positivo           195151           195226
P229plus             positivo           195316           195391
P230plus             positivo           196091           196166
P231plus             positivo           197077           197152
P232plus             positivo           197336           197411
P233plus             positivo           197475           197550
P234plus             positivo           198170           198245
P235plus             positivo           198539           198614
P236plus             positivo           199386           199461
P237plus             positivo           200640           200715
P238plus             positivo           200724           200799
P239plus             positivo           201114           201189
P240plus             positivo           201196           201271
P241plus             positivo           201405           201480
P242plus             positivo           201481           201556
P243plus             positivo           201558           201633
P244plus             positivo           201774           201849
P245plus             positivo           202509           202584
P246plus             positivo           202950           203025
P247plus             positivo           203826           203901
P248plus             positivo           204259           204334
P249plus             positivo           204657           204732
P250plus             positivo           205216           205291
P251plus             positivo           205571           205646
P252plus             positivo           205706           205781
P253plus             positivo           205791           205866
P254plus             positivo           206957           207032
P255plus             positivo           207292           207367
P256plus             positivo           208626           208701
P257plus             positivo           210254           210329
P258plus             positivo           212483           212558
P259plus             positivo           213634           213709
P260plus             positivo           215119           215194
P261plus             positivo           216151           216226
P262plus             positivo           216482           216557
P263plus             positivo           217062           217137
P264plus             positivo           217507           217582
P265plus             positivo           218132           218207
P266plus             positivo           218387           218462
P267plus             positivo           218548           218623
P268plus             positivo           218781           218856
P269plus             positivo           219266           219341
P270plus             positivo           219844           219919
P271plus             positivo           221084           221159
P272plus             positivo           223036           223111
P273plus             positivo           223599           223674
P274plus             positivo           224519           224594
P275plus             positivo           225692           225767
P276plus             positivo           225836           225911
P277plus             positivo           225975           226050
P278plus             positivo           226352           226427
P279plus             positivo           226788           226863
P280plus             positivo           226994           227069
P281plus             positivo           227447           227522
P282plus             positivo           227710           227785
P283plus             positivo           227802           227877
P284plus             positivo           227926           228001
P285plus             positivo           228648           228723
P286plus             positivo           228777           228852
P287plus             positivo           229522           229597
P288plus             positivo           229926           230001
P289plus             positivo           230041           230116
P290plus             positivo           231830           231905
P291plus             positivo           232572           232647
P292plus             positivo           232885           232960
P293plus             positivo           233757           233832
P294plus             positivo           236227           236302
P295plus             positivo           236593           236668
P296plus             positivo           237248           237323
P297plus             positivo           237710           237785
P298plus             positivo           238005           238080
P299plus             positivo           238361           238436
P300plus             positivo           240128           240203
P301plus             positivo           240389           240464
P302plus             positivo           240700           240775
P303plus             positivo           240947           241022
P304plus             positivo           241087           241162
P305plus             positivo           241438           241513
P306plus             positivo           241873           241948
P307plus             positivo           242749           242824
P308plus             positivo           243187           243262
P309plus             positivo           243327           243402
P310plus             positivo           246689           246764
P311plus             positivo           248590           248665
P312plus             positivo           248782           248857
P313plus             positivo           249286           249361
P314plus             positivo           249398           249473
P315plus             positivo           250045           250120
P316plus             positivo           251104           251179
P317plus             positivo           251296           251371
P318plus             positivo           253809           253884
P319plus             positivo           253885           253960
P320plus             positivo           254624           254699
P321plus             positivo           254845           254920
P322plus             positivo           256221           256296
P323plus             positivo           256719           256794
P324plus             positivo           258292           258367
P325plus             positivo           259233           259308
P326plus             positivo           259320           259395
P327plus             positivo           259458           259533
P328plus             positivo           261790           261865
P329plus             positivo           261981           262056
P330plus             positivo           262173           262248
P331plus             positivo           262430           262505
P332plus             positivo           262620           262695
P333plus             positivo           262726           262801
P334plus             positivo           264744           264819
P335plus             positivo           265573           265648
P336plus             positivo           265918           265993
P337plus             positivo           266280           266355
P338plus             positivo           266626           266701
P339plus             positivo           266707           266782
P340plus             positivo           266784           266859
P341plus             positivo           267155           267230
P342plus             positivo           267415           267490
P343plus             positivo           267850           267925
P344plus             positivo           268317           268392
P345plus             positivo           268410           268485
P346plus             positivo           268669           268744
P347plus             positivo           269413           269488
P348plus             positivo           269489           269564
P349plus             positivo           269926           270001
P350plus             positivo           271319           271394
P351plus             positivo           271397           271472
P352plus             positivo           271566           271641
P353plus             positivo           273349           273424
P354plus             positivo           273730           273805
P355plus             positivo           275940           276015
P356plus             positivo           277570           277645
P357plus             positivo           278292           278367
P358plus             positivo           278513           278588
P359plus             positivo           278932           279007
P360plus             positivo           279203           279278
P361plus             positivo           281047           281122
P362plus             positivo           281158           281233
P363plus             positivo           281666           281741
P364plus             positivo           282180           282255
P365plus             positivo           284205           284280
P366plus             positivo           285832           285907
P367plus             positivo           286373           286448
P368plus             positivo           287287           287362
P369plus             positivo           287607           287682
P370plus             positivo           288331           288406
P371plus             positivo           290534           290609
P372plus             positivo           290657           290732
P373plus             positivo           291289           291364
P374plus             positivo           292448           292523
P375plus             positivo           292664           292739
P376plus             positivo           292763           292838
P377plus             positivo           292922           292997
P378plus             positivo           293489           293564
P379plus             positivo           294053           294128
P380plus             positivo           294165           294240
P381plus             positivo           294482           294557
P382plus             positivo           295145           295220
P383plus             positivo           295877           295952
P384plus             positivo           297891           297966
P385plus             positivo           298014           298089
P386plus             positivo           298406           298481
P387plus             positivo           298481           298556
P388plus             positivo           299824           299899
P389plus             positivo           300724           300799
P390plus             positivo           301280           301355
P391plus             positivo           302138           302213
P392plus             positivo           302843           302918
P393plus             positivo           302960           303035
P394plus             positivo           303060           303135
P395plus             positivo           304153           304228
P396plus             positivo           304587           304662
P397plus             positivo           304848           304923
P398plus             positivo           307627           307702
P399plus             positivo           308795           308870
P400plus             positivo           309491           309566
P401plus             positivo           309936           310011
P402plus             positivo           310172           310247
P403plus             positivo           310963           311038
P404plus             positivo           314210           314285
P405plus             positivo           314338           314413
P406plus             positivo           314552           314627
P407plus             positivo           315401           315476
P408plus             positivo           319671           319746
P409plus             positivo           320297           320372
P410plus             positivo           321178           321253
P411plus             positivo           322188           322263
P412plus             positivo           322443           322518
P413plus             positivo           323766           323841
P414plus             positivo           324298           324373
P415plus             positivo           324695           324770
P416plus             positivo           324817           324892
P417plus             positivo           326576           326651
P418plus             positivo           328723           328798
P419plus             positivo           329032           329107
P420plus             positivo           329309           329384
P421plus             positivo           330735           330810
P422plus             positivo           332790           332865
P423plus             positivo           332912           332987
P424plus             positivo           334376           334451
P425plus             positivo           335137           335212
P426plus             positivo           335571           335646
P427plus             positivo           335808           335883
P428plus             positivo           335988           336063
P429plus             positivo           336756           336831
P430plus             positivo           337116           337191
P431plus             positivo           337413           337488
P432plus             positivo           337580           337655
P433plus             positivo           339483           339558
P434plus             positivo           341244           341319
P435plus             positivo           342792           342867
P436plus             positivo           342933           343008
P437plus             positivo           345738           345813
P438plus             positivo           346060           346135
P439plus             positivo           346403           346478
P440plus             positivo           346626           346701
P441plus             positivo           347138           347213
P442plus             positivo           348709           348784
P443plus             positivo           348927           349002
P444plus             positivo           349127           349202
P445plus             positivo           349818           349893
P446plus             positivo           349893           349968
P447plus             positivo           351464           351539
P448plus             positivo           352182           352257
P449plus             positivo           353286           353361
P450plus             positivo           355244           355319
P451plus             positivo           355940           356015
P452plus             positivo           356785           356860
P453plus             positivo           356905           356980
P454plus             positivo           357089           357164
P455plus             positivo           358681           358756
P456plus             positivo           359206           359281
P457plus             positivo           360222           360297
P458plus             positivo           361708           361783
P459plus             positivo           361844           361919
P460plus             positivo           362117           362192
P461plus             positivo           363487           363562
P462plus             positivo           364227           364302
P463plus             positivo           364508           364583
P464plus             positivo           364590           364665
P465plus             positivo           364704           364779
P466plus             positivo           365873           365948
P467plus             positivo           367267           367342
P468plus             positivo           368920           368995
P469plus             positivo           371029           371104
P470plus             positivo           371471           371546
P471plus             positivo           371578           371653
P472plus             positivo           372132           372207
P473plus             positivo           375009           375084
P474plus             positivo           375463           375538
P475plus             positivo           375826           375901
P476plus             positivo           376011           376086
P477plus             positivo           376261           376336
P478plus             positivo           376577           376652
P479plus             positivo           376901           376976
P480plus             positivo           377578           377653
P481plus             positivo           377653           377728
P482plus             positivo           378420           378495
P483plus             positivo           379124           379199
P484plus             positivo           381403           381478
P485plus             positivo           382164           382239
P486plus             positivo           382872           382947
P487plus             positivo           383022           383097
P488plus             positivo           383140           383215
P489plus             positivo           387277           387352
P490plus             positivo           387709           387784
P491plus             positivo           388004           388079
P492plus             positivo           388468           388543
P493plus             positivo           393324           393399
P494plus             positivo           393538           393613
P495plus             positivo           393970           394045
P496plus             positivo           395976           396051
P497plus             positivo           396819           396894
P498plus             positivo           397944           398019
P499plus             positivo           398039           398114
P500plus             positivo           398709           398784
P501plus             positivo           399240           399315
P502plus             positivo           399933           400008
P503plus             positivo           401939           402014
P504plus             positivo           403236           403311
P505plus             positivo           403780           403855
P506plus             positivo           404062           404137
P507plus             positivo           404169           404244
P508plus             positivo           404244           404319
P509plus             positivo           404534           404609
P510plus             positivo           406018           406093
P511plus             positivo           406494           406569
P512plus             positivo           406569           406644
P513plus             positivo           410027           410102
P514plus             positivo           415654           415729
P515plus             positivo           419133           419208
P516plus             positivo           419976           420051
P517plus             positivo           420427           420502
P518plus             positivo           421509           421584
P519plus             positivo           421981           422056
P520plus             positivo           423281           423356
P521plus             positivo           424064           424139
P522plus             positivo           424651           424726
P523plus             positivo           425269           425344
P524plus             positivo           426362           426437
P525plus             positivo           426473           426548
P526plus             positivo           428622           428697
P527plus             positivo           429653           429728
P528plus             positivo           431837           431912
P529plus             positivo           433352           433427
P530plus             positivo           433431           433506
P531plus             positivo           434365           434440
P532plus             positivo           434714           434789
P533plus             positivo           435621           435696
P534plus             positivo           438640           438715
P535plus             positivo           442191           442266
P536plus             positivo           444567           444642
P537plus             positivo           445144           445219
P538plus             positivo           446804           446879
P539plus             positivo           449989           450064
P540plus             positivo           451421           451496
P541plus             positivo           453229           453304
P542plus             positivo           456736           456811
P543plus             positivo           457221           457296
P544plus             positivo           460646           460721
P545plus             positivo           460730           460805
P546plus             positivo           462314           462389
P547plus             positivo           462814           462889
P548plus             positivo           462959           463034
P549plus             positivo           463382           463457
P550plus             positivo           463502           463577
P551plus             positivo           463795           463870
P552plus             positivo           464414           464489
P553plus             positivo           464537           464612
P554plus             positivo           465602           465677
P555plus             positivo           467830           467905
P556plus             positivo           469498           469573
P557plus             positivo           470624           470699
P558plus             positivo           471041           471116
P559plus             positivo           471337           471412
P560plus             positivo           471887           471962
P561plus             positivo           477087           477162
P562plus             positivo           479256           479331
P563plus             positivo           481254           481329
P564plus             positivo           481565           481640
P565plus             positivo           481871           481946
P566plus             positivo           482161           482236
P567plus             positivo           485667           485742
P568plus             positivo           486067           486142
P569plus             positivo           486574           486649
P570plus             positivo           487075           487150
P571plus             positivo           488399           488474
P572plus             positivo           489914           489989
P573plus             positivo           490157           490232
P574plus             positivo           490641           490716
P575plus             positivo           491738           491813
P576plus             positivo           493246           493321
P577plus             positivo           494171           494246
P578plus             positivo           496233           496308
P579plus             positivo           499802           499877
P580plus             positivo           500043           500118
P581plus             positivo           502221           502296
P582plus             positivo           502392           502467
P583plus             positivo           502494           502569
P584plus             positivo           503059           503134
P585plus             positivo           503374           503449
P586plus             positivo           503637           503712
P587plus             positivo           504394           504469
P588plus             positivo           505572           505647
P589plus             positivo           507771           507846
P590plus             positivo           507921           507996
P591plus             positivo           508157           508232
P592plus             positivo           509090           509165
P593plus             positivo           511808           511883
P594plus             positivo           512266           512341
P595plus             positivo           513561           513636
P596plus             positivo           514763           514838
P597plus             positivo           515330           515405
P598plus             positivo           515545           515620
P599plus             positivo           515724           515799
P600plus             positivo           516933           517008
P601plus             positivo           517145           517220
P602plus             positivo           517267           517342
P603plus             positivo           519343           519418
P604plus             positivo           519461           519536
P605plus             positivo           519873           519948
P606plus             positivo           520225           520300
P607plus             positivo           521196           521271
P608plus             positivo           521332           521407
P609plus             positivo           521758           521833
P610plus             positivo           522295           522370
P611plus             positivo           522862           522937
P612plus             positivo           523143           523218
P613plus             positivo           523857           523932
P614plus             positivo           524053           524128
P615plus             positivo           524790           524865
P616plus             positivo           525030           525105
P617plus             positivo           525551           525626
P618plus             positivo           526646           526721
P619plus             positivo           527132           527207
P620plus             positivo           527209           527284
P621plus             positivo           527342           527417
P622plus             positivo           527524           527599
P623plus             positivo           528039           528114
P624plus             positivo           528828           528903
P625plus             positivo           529314           529389
P626plus             positivo           529740           529815
P627plus             positivo           529815           529890
P628plus             positivo           529992           530067
P629plus             positivo           530269           530344
P630plus             positivo           530591           530666
P631plus             positivo           531032           531107
P632plus             positivo           531380           531455
P633plus             positivo           531899           531974
P634plus             positivo           532216           532291
P635plus             positivo           532949           533024
P636plus             positivo           533403           533478
P637plus             positivo           533958           534033
P638plus             positivo           534033           534108
P639plus             positivo           534401           534476
P640plus             positivo           535911           535986
P641plus             positivo           536575           536650
P642plus             positivo           536788           536863
P643plus             positivo           537300           537375
P644plus             positivo           537798           537873
P645plus             positivo           538867           538942
P646plus             positivo           539224           539299
P647plus             positivo           539713           539788
P648plus             positivo           541049           541124
P649plus             positivo           541143           541218
P650plus             positivo           541599           541674
P651plus             positivo           541680           541755
P652plus             positivo           541899           541974
P653plus             positivo           544444           544519
P654plus             positivo           544750           544825
P655plus             positivo           546352           546427
P656plus             positivo           549049           549124
P657plus             positivo           550720           550795
P658plus             positivo           550932           551007
P659plus             positivo           551737           551812
P660plus             positivo           553928           554003
P661plus             positivo           554184           554259
P662plus             positivo           555255           555330
P663plus             positivo           556449           556524
P664plus             positivo           557146           557221
P665plus             positivo           557490           557565
P666plus             positivo           558586           558661
P667plus             positivo           560790           560865
P668plus             positivo           560934           561009
P669plus             positivo           561951           562026
P670plus             positivo           562170           562245
P671plus             positivo           562245           562320
P672plus             positivo           562582           562657
P673plus             positivo           563435           563510
P674plus             positivo           564149           564224
P675plus             positivo           565018           565093
P676plus             positivo           565101           565176
P677plus             positivo           565573           565648
P678plus             positivo           567775           567850
P679plus             positivo           571132           571207
P680plus             positivo           573192           573267
P681plus             positivo           574031           574106
P682plus             positivo           574115           574190
P683plus             positivo           577080           577155
P684plus             positivo           577832           577907
P685plus             positivo           579879           579954
P686plus             positivo           579955           580030
P687plus             positivo           580751           580826
P688plus             positivo           581848           581923
P689plus             positivo           582109           582184
P690plus             positivo           583117           583192
P691plus             positivo           583435           583510
P692plus             positivo           585363           585438
