Region           Strand              Start               End

P1plus             positivo           223           298
P2plus             positivo           299           374
P3plus             positivo           607           682
P4plus             positivo           1351           1426
P5plus             positivo           3499           3574
P6plus             positivo           3899           3974
P7plus             positivo           13392           13467
P8plus             positivo           16882           16957
P9plus             positivo           17717           17792
P10plus             positivo           18809           18884
P11plus             positivo           25789           25864
P12plus             positivo           25878           25953
P13plus             positivo           30899           30974
P14plus             positivo           31580           31655
P15plus             positivo           33095           33170
P16plus             positivo           36183           36258
P17plus             positivo           37920           37995
P18plus             positivo           41148           41223
P19plus             positivo           42478           42553
P20plus             positivo           46323           46398
P21plus             positivo           46718           46793
P22plus             positivo           47894           47969
P23plus             positivo           49057           49132
P24plus             positivo           54497           54572
P25plus             positivo           56233           56308
P26plus             positivo           57358           57433
P27plus             positivo           59241           59316
P28plus             positivo           65207           65282
P29plus             positivo           67114           67189
P30plus             positivo           68244           68319
P31plus             positivo           83039           83114
P32plus             positivo           83962           84037
P33plus             positivo           91056           91131
P34plus             positivo           93744           93819
P35plus             positivo           109858           109933
P36plus             positivo           110259           110334
P37plus             positivo           110780           110855
P38plus             positivo           114563           114638
P39plus             positivo           114794           114869
P40plus             positivo           117772           117847
P41plus             positivo           123421           123496
P42plus             positivo           128074           128149
P43plus             positivo           131365           131440
P44plus             positivo           131938           132013
P45plus             positivo           133582           133657
P46plus             positivo           135503           135578
P47plus             positivo           150558           150633
P48plus             positivo           153173           153248
P49plus             positivo           158628           158703
P50plus             positivo           158808           158883
P51plus             positivo           159653           159728
P52plus             positivo           160400           160475
P53plus             positivo           164626           164701
P54plus             positivo           164788           164863
P55plus             positivo           169321           169396
P56plus             positivo           169397           169472
P57plus             positivo           174664           174739
P58plus             positivo           175321           175396
P59plus             positivo           175530           175605
P60plus             positivo           180050           180125
P61plus             positivo           180777           180852
P62plus             positivo           181832           181907
P63plus             positivo           184524           184599
P64plus             positivo           184759           184834
P65plus             positivo           191917           191992
P66plus             positivo           193539           193614
P67plus             positivo           197602           197677
P68plus             positivo           198582           198657
P69plus             positivo           199981           200056
P70plus             positivo           201036           201111
P71plus             positivo           209202           209277
P72plus             positivo           210743           210818
P73plus             positivo           211661           211736
P74plus             positivo           215286           215361
P75plus             positivo           226622           226697
P76plus             positivo           231464           231539
P77plus             positivo           233929           234004
P78plus             positivo           234914           234989
P79plus             positivo           238155           238230
P80plus             positivo           245471           245546
P81plus             positivo           246726           246801
P82plus             positivo           247343           247418
P83plus             positivo           249269           249344
P84plus             positivo           263666           263741
P85plus             positivo           265934           266009
P86plus             positivo           278187           278262
P87plus             positivo           285998           286073
P88plus             positivo           287398           287473
P89plus             positivo           297676           297751
P90plus             positivo           305140           305215
P91plus             positivo           306356           306431
P92plus             positivo           314095           314170
P93plus             positivo           319457           319532
P94plus             positivo           322611           322686
P95plus             positivo           327641           327716
P96plus             positivo           341911           341986
P97plus             positivo           352430           352505
P98plus             positivo           373035           373110
P99plus             positivo           373201           373276
P100plus             positivo           379124           379199
