Region           Strand              Start               End

P1plus             positivo           5452           5527
P2plus             positivo           6683           6758
P3plus             positivo           6825           6900
P4plus             positivo           8180           8255
P5plus             positivo           9119           9194
P6plus             positivo           13893           13968
P7plus             positivo           17485           17560
P8plus             positivo           20763           20838
P9plus             positivo           24045           24120
P10plus             positivo           27649           27724
P11plus             positivo           29124           29199
P12plus             positivo           29750           29825
P13plus             positivo           31885           31960
P14plus             positivo           34124           34199
P15plus             positivo           34574           34649
P16plus             positivo           38906           38981
P17plus             positivo           40910           40985
P18plus             positivo           41478           41553
P19plus             positivo           49103           49178
P20plus             positivo           50322           50397
P21plus             positivo           50637           50712
P22plus             positivo           53207           53282
P23plus             positivo           54848           54923
P24plus             positivo           55660           55735
P25plus             positivo           58448           58523
P26plus             positivo           61573           61648
P27plus             positivo           66956           67031
P28plus             positivo           69482           69557
P29plus             positivo           74729           74804
P30plus             positivo           76023           76098
P31plus             positivo           82201           82276
P32plus             positivo           84904           84979
P33plus             positivo           89843           89918
P34plus             positivo           90861           90936
P35plus             positivo           93098           93173
P36plus             positivo           96453           96528
P37plus             positivo           99138           99213
P38plus             positivo           102618           102693
P39plus             positivo           104687           104762
P40plus             positivo           107061           107136
P41plus             positivo           113318           113393
P42plus             positivo           115572           115647
P43plus             positivo           115656           115731
P44plus             positivo           117330           117405
P45plus             positivo           117830           117905
P46plus             positivo           118106           118181
P47plus             positivo           122430           122505
P48plus             positivo           126357           126432
P49plus             positivo           127019           127094
P50plus             positivo           129613           129688
P51plus             positivo           147214           147289
P52plus             positivo           154101           154176
P53plus             positivo           154537           154612
P54plus             positivo           167907           167982
P55plus             positivo           173613           173688
P56plus             positivo           175474           175549
P57plus             positivo           183249           183324
P58plus             positivo           185401           185476
P59plus             positivo           187039           187114
P60plus             positivo           187424           187499
P61plus             positivo           190094           190169
P62plus             positivo           193666           193741
P63plus             positivo           196944           197019
P64plus             positivo           201236           201311
P65plus             positivo           201733           201808
P66plus             positivo           208315           208390
P67plus             positivo           212385           212460
P68plus             positivo           213706           213781
P69plus             positivo           213785           213860
P70plus             positivo           213986           214061
P71plus             positivo           217289           217364
P72plus             positivo           220100           220175
P73plus             positivo           220350           220425
P74plus             positivo           221654           221729
P75plus             positivo           227055           227130
P76plus             positivo           228265           228340
P77plus             positivo           228508           228583
P78plus             positivo           228591           228666
P79plus             positivo           234492           234567
P80plus             positivo           235977           236052
P81plus             positivo           240077           240152
P82plus             positivo           243278           243353
P83plus             positivo           259263           259338
P84plus             positivo           260899           260974
P85plus             positivo           263044           263119
P86plus             positivo           267535           267610
P87plus             positivo           281959           282034
P88plus             positivo           289871           289946
P89plus             positivo           298622           298697
P90plus             positivo           299381           299456
P91plus             positivo           301711           301786
P92plus             positivo           304725           304800
P93plus             positivo           310493           310568
P94plus             positivo           323125           323200
P95plus             positivo           325708           325783
P96plus             positivo           336518           336593
P97plus             positivo           337899           337974
P98plus             positivo           342057           342132
P99plus             positivo           346994           347069
P100plus             positivo           347586           347661
P101plus             positivo           349205           349280
P102plus             positivo           351591           351666
P103plus             positivo           359482           359557
P104plus             positivo           361181           361256
P105plus             positivo           366185           366260
P106plus             positivo           367264           367339
P107plus             positivo           368473           368548
P108plus             positivo           371267           371342
P109plus             positivo           374196           374271
P110plus             positivo           382433           382508
P111plus             positivo           384819           384894
P112plus             positivo           386123           386198
P113plus             positivo           386975           387050
P114plus             positivo           391028           391103
P115plus             positivo           395084           395159
P116plus             positivo           396327           396402
P117plus             positivo           409212           409287
P118plus             positivo           411295           411370
P119plus             positivo           415627           415702
P120plus             positivo           418241           418316
P121plus             positivo           418322           418397
P122plus             positivo           419464           419539
P123plus             positivo           427133           427208
P124plus             positivo           430973           431048
P125plus             positivo           433032           433107
P126plus             positivo           436753           436828
P127plus             positivo           437055           437130
P128plus             positivo           438644           438719
P129plus             positivo           441113           441188
P130plus             positivo           442264           442339
P131plus             positivo           450947           451022
P132plus             positivo           458092           458167
P133plus             positivo           461333           461408
P134plus             positivo           465225           465300
P135plus             positivo           467880           467955
P136plus             positivo           475974           476049
P137plus             positivo           484201           484276
P138plus             positivo           485177           485252
P139plus             positivo           493426           493501
P140plus             positivo           495290           495365
P141plus             positivo           498277           498352
P142plus             positivo           499000           499075
P143plus             positivo           500399           500474
P144plus             positivo           503123           503198
P145plus             positivo           513738           513813
P146plus             positivo           513814           513889
P147plus             positivo           514761           514836
P148plus             positivo           519539           519614
P149plus             positivo           524264           524339
P150plus             positivo           525754           525829
P151plus             positivo           527808           527883
P152plus             positivo           532884           532959
P153plus             positivo           533061           533136
P154plus             positivo           534943           535018
P155plus             positivo           535079           535154
P156plus             positivo           535287           535362
P157plus             positivo           543027           543102
P158plus             positivo           544914           544989
P159plus             positivo           549575           549650
P160plus             positivo           552600           552675
P161plus             positivo           554609           554684
P162plus             positivo           557137           557212
P163plus             positivo           567399           567474
P164plus             positivo           571358           571433
P165plus             positivo           573095           573170
P166plus             positivo           576836           576911
P167plus             positivo           577444           577519
P168plus             positivo           585434           585509
P169plus             positivo           588112           588187
P170plus             positivo           591547           591622
P171plus             positivo           597363           597438
P172plus             positivo           612736           612811
P173plus             positivo           617168           617243
P174plus             positivo           622084           622159
P175plus             positivo           625581           625656
P176plus             positivo           627420           627495
P177plus             positivo           628240           628315
P178plus             positivo           641987           642062
P179plus             positivo           646762           646837
P180plus             positivo           647942           648017
P181plus             positivo           653570           653645
P182plus             positivo           661193           661268
P183plus             positivo           664646           664721
P184plus             positivo           664973           665048
P185plus             positivo           671240           671315
P186plus             positivo           678024           678099
P187plus             positivo           680286           680361
P188plus             positivo           682254           682329
P189plus             positivo           686267           686342
P190plus             positivo           686915           686990
P191plus             positivo           690823           690898
P192plus             positivo           691009           691084
P193plus             positivo           692543           692618
P194plus             positivo           693057           693132
P195plus             positivo           695366           695441
P196plus             positivo           699480           699555
P197plus             positivo           700272           700347
P198plus             positivo           702672           702747
P199plus             positivo           704180           704255
P200plus             positivo           710783           710858
P201plus             positivo           716892           716967
P202plus             positivo           717387           717462
P203plus             positivo           720483           720558
P204plus             positivo           721341           721416
P205plus             positivo           722883           722958
P206plus             positivo           730307           730382
P207plus             positivo           731304           731379
P208plus             positivo           743937           744012
P209plus             positivo           749458           749533
P210plus             positivo           762096           762171
P211plus             positivo           766780           766855
P212plus             positivo           771085           771160
P213plus             positivo           771399           771474
P214plus             positivo           774474           774549
P215plus             positivo           780219           780294
P216plus             positivo           780429           780504
P217plus             positivo           780534           780609
P218plus             positivo           782148           782223
P219plus             positivo           786701           786776
P220plus             positivo           794525           794600
P221plus             positivo           799620           799695
P222plus             positivo           800175           800250
P223plus             positivo           808397           808472
P224plus             positivo           820044           820119
P225plus             positivo           821528           821603
P226plus             positivo           823069           823144
P227plus             positivo           833260           833335
P228plus             positivo           838190           838265
P229plus             positivo           840223           840298
P230plus             positivo           840809           840884
P231plus             positivo           843249           843324
P232plus             positivo           851501           851576
P233plus             positivo           858331           858406
P234plus             positivo           869474           869549
P235plus             positivo           869800           869875
P236plus             positivo           875627           875702
P237plus             positivo           876062           876137
P238plus             positivo           876992           877067
P239plus             positivo           879231           879306
P240plus             positivo           880211           880286
P241plus             positivo           884770           884845
P242plus             positivo           885321           885396
P243plus             positivo           900271           900346
P244plus             positivo           900715           900790
P245plus             positivo           903617           903692
P246plus             positivo           907181           907256
P247plus             positivo           914406           914481
P248plus             positivo           915578           915653
P249plus             positivo           915662           915737
P250plus             positivo           919897           919972
P251plus             positivo           920339           920414
P1minus             negativo           5452           5527
P2minus             negativo           6635           6710
P3minus             negativo           6802           6877
P4minus             negativo           8161           8236
P5minus             negativo           9102           9177
P6minus             negativo           13867           13942
P7minus             negativo           17490           17565
P8minus             negativo           20720           20795
P9minus             negativo           24010           24085
P10minus             negativo           27628           27703
P11minus             negativo           29099           29174
P12minus             negativo           29742           29817
P13minus             negativo           31869           31944
P14minus             negativo           34139           34214
P15minus             negativo           34559           34634
P16minus             negativo           38912           38987
P17minus             negativo           40907           40982
P18minus             negativo           41473           41548
P19minus             negativo           49054           49129
P20minus             negativo           50308           50383
P21minus             negativo           50592           50667
P22minus             negativo           53198           53273
P23minus             negativo           54807           54882
P24minus             negativo           55649           55724
P25minus             negativo           58440           58515
P26minus             negativo           61565           61640
P27minus             negativo           66936           67011
P28minus             negativo           69488           69563
P29minus             negativo           74707           74782
P30minus             negativo           76045           76120
P31minus             negativo           82185           82260
P32minus             negativo           84920           84995
P33minus             negativo           89834           89909
P34minus             negativo           90847           90922
P35minus             negativo           93097           93172
P36minus             negativo           96425           96500
P37minus             negativo           99133           99208
P38minus             negativo           102582           102657
P39minus             negativo           104680           104755
P40minus             negativo           107038           107113
P41minus             negativo           113302           113377
P42minus             negativo           115534           115609
P43minus             negativo           115622           115697
P44minus             negativo           117329           117404
P45minus             negativo           117822           117897
P46minus             negativo           118061           118136
P47minus             negativo           122429           122504
P48minus             negativo           126326           126401
P49minus             negativo           127005           127080
P50minus             negativo           129590           129665
P51minus             negativo           147169           147244
P52minus             negativo           154066           154141
P53minus             negativo           154507           154582
P54minus             negativo           167914           167989
P55minus             negativo           173600           173675
P56minus             negativo           175459           175534
P57minus             negativo           183280           183355
P58minus             negativo           185382           185457
P59minus             negativo           187006           187081
P60minus             negativo           187412           187487
P61minus             negativo           190070           190145
P62minus             negativo           193653           193728
P63minus             negativo           196941           197016
P64minus             negativo           201225           201300
P65minus             negativo           201713           201788
P66minus             negativo           208298           208373
P67minus             negativo           212372           212447
P68minus             negativo           213671           213746
P69minus             negativo           213756           213831
P70minus             negativo           213984           214059
P71minus             negativo           217284           217359
P72minus             negativo           220089           220164
P73minus             negativo           220328           220403
P74minus             negativo           221627           221702
P75minus             negativo           227048           227123
P76minus             negativo           228266           228341
P77minus             negativo           228493           228568
P78minus             negativo           228581           228656
P79minus             negativo           234477           234552
P80minus             negativo           235969           236044
P81minus             negativo           240059           240134
P82minus             negativo           243253           243328
P83minus             negativo           259230           259305
P84minus             negativo           260875           260950
P85minus             negativo           263010           263085
P86minus             negativo           267510           267585
P87minus             negativo           281925           282000
P88minus             negativo           289893           289968
P89minus             negativo           298615           298690
P90minus             negativo           299370           299445
P91minus             negativo           301666           301741
P92minus             negativo           304716           304791
P93minus             negativo           310476           310551
P94minus             negativo           323096           323171
P95minus             negativo           325703           325778
P96minus             negativo           336491           336566
P97minus             negativo           337873           337948
P98minus             negativo           342067           342142
P99minus             negativo           346990           347065
P100minus             negativo           347561           347636
P101minus             negativo           349180           349255
P102minus             negativo           351574           351649
P103minus             negativo           359446           359521
P104minus             negativo           361150           361225
P105minus             negativo           366158           366233
P106minus             negativo           367238           367313
P107minus             negativo           368451           368526
P108minus             negativo           371257           371332
P109minus             negativo           374176           374251
P110minus             negativo           382445           382520
P111minus             negativo           384796           384871
P112minus             negativo           386095           386170
P113minus             negativo           386933           387008
P114minus             negativo           391021           391096
P115minus             negativo           395060           395135
P116minus             negativo           396302           396377
P117minus             negativo           409199           409274
P118minus             negativo           411296           411371
P119minus             negativo           415606           415681
P120minus             negativo           418220           418295
P121minus             negativo           418328           418403
P122minus             negativo           419453           419528
P123minus             negativo           427130           427205
P124minus             negativo           430937           431012
P125minus             negativo           433009           433084
P126minus             negativo           436718           436793
P127minus             negativo           437053           437128
P128minus             negativo           438625           438700
P129minus             negativo           441103           441178
P130minus             negativo           442239           442314
P131minus             negativo           450914           450989
P132minus             negativo           458084           458159
P133minus             negativo           461298           461373
P134minus             negativo           465193           465268
P135minus             negativo           467855           467930
P136minus             negativo           475952           476027
P137minus             negativo           484161           484236
P138minus             negativo           485150           485225
P139minus             negativo           493408           493483
P140minus             negativo           495252           495327
P141minus             negativo           498236           498311
P142minus             negativo           498973           499048
P143minus             negativo           500389           500464
P144minus             negativo           503091           503166
P145minus             negativo           513718           513793
P146minus             negativo           513793           513868
P147minus             negativo           514714           514789
P148minus             negativo           519528           519603
P149minus             negativo           524242           524317
P150minus             negativo           525714           525789
P151minus             negativo           527801           527876
P152minus             negativo           532866           532941
P153minus             negativo           533042           533117
P154minus             negativo           534952           535027
P155minus             negativo           535096           535171
