Region           Strand              Start               End

P1plus             positivo           2904           2979
P2plus             positivo           4151           4226
P3plus             positivo           7544           7619
P4plus             positivo           10357           10432
P5plus             positivo           12934           13009
P6plus             positivo           15184           15259
P7plus             positivo           16961           17036
P8plus             positivo           19095           19170
P9plus             positivo           23364           23439
P10plus             positivo           27863           27938
P11plus             positivo           27983           28058
P12plus             positivo           29534           29609
P13plus             positivo           36593           36668
P14plus             positivo           38287           38362
P15plus             positivo           39161           39236
P16plus             positivo           41880           41955
P17plus             positivo           47142           47217
P18plus             positivo           62683           62758
P19plus             positivo           65114           65189
P20plus             positivo           70872           70947
P21plus             positivo           71466           71541
P22plus             positivo           71722           71797
P23plus             positivo           73283           73358
P24plus             positivo           74742           74817
P25plus             positivo           75433           75508
P26plus             positivo           77230           77305
P27plus             positivo           78314           78389
P28plus             positivo           78417           78492
P29plus             positivo           81920           81995
P30plus             positivo           86673           86748
P31plus             positivo           88075           88150
P32plus             positivo           89406           89481
P33plus             positivo           98019           98094
P34plus             positivo           101323           101398
P35plus             positivo           102912           102987
P36plus             positivo           104493           104568
P37plus             positivo           108422           108497
P38plus             positivo           117495           117570
P39plus             positivo           119678           119753
P40plus             positivo           126330           126405
P41plus             positivo           131514           131589
P42plus             positivo           133088           133163
P43plus             positivo           134592           134667
P44plus             positivo           141218           141293
P45plus             positivo           146149           146224
P46plus             positivo           150672           150747
P47plus             positivo           158357           158432
P48plus             positivo           163421           163496
P49plus             positivo           165879           165954
P50plus             positivo           168855           168930
P51plus             positivo           169682           169757
P52plus             positivo           173669           173744
P53plus             positivo           175078           175153
P54plus             positivo           177920           177995
P55plus             positivo           179795           179870
P56plus             positivo           180495           180570
P57plus             positivo           181487           181562
P58plus             positivo           181579           181654
P59plus             positivo           184990           185065
P60plus             positivo           190578           190653
P61plus             positivo           192781           192856
P62plus             positivo           199160           199235
P63plus             positivo           215484           215559
P64plus             positivo           216677           216752
P65plus             positivo           221469           221544
P66plus             positivo           223246           223321
P67plus             positivo           225384           225459
P68plus             positivo           226954           227029
P69plus             positivo           227752           227827
P70plus             positivo           230876           230951
P71plus             positivo           232608           232683
P72plus             positivo           234492           234567
P73plus             positivo           238370           238445
P74plus             positivo           241001           241076
P75plus             positivo           245044           245119
P76plus             positivo           249654           249729
P77plus             positivo           252164           252239
P78plus             positivo           255262           255337
P79plus             positivo           258644           258719
P80plus             positivo           258894           258969
P81plus             positivo           260930           261005
P82plus             positivo           265051           265126
P83plus             positivo           269201           269276
P84plus             positivo           274917           274992
P85plus             positivo           280637           280712
P86plus             positivo           284149           284224
P87plus             positivo           285258           285333
P88plus             positivo           300446           300521
P89plus             positivo           300681           300756
P90plus             positivo           302740           302815
P91plus             positivo           304705           304780
P92plus             positivo           309605           309680
P93plus             positivo           310266           310341
P94plus             positivo           311405           311480
P95plus             positivo           325088           325163
P96plus             positivo           326239           326314
P97plus             positivo           326764           326839
P98plus             positivo           328769           328844
P99plus             positivo           330390           330465
P100plus             positivo           331632           331707
P101plus             positivo           332609           332684
P102plus             positivo           336058           336133
P103plus             positivo           337702           337777
P104plus             positivo           338022           338097
P105plus             positivo           341523           341598
P106plus             positivo           342615           342690
P107plus             positivo           343204           343279
P108plus             positivo           345246           345321
P109plus             positivo           347700           347775
P110plus             positivo           349325           349400
P111plus             positivo           352103           352178
P112plus             positivo           353955           354030
P113plus             positivo           357941           358016
P114plus             positivo           358583           358658
P115plus             positivo           364529           364604
P116plus             positivo           367563           367638
P117plus             positivo           376573           376648
P118plus             positivo           381120           381195
P119plus             positivo           385656           385731
P120plus             positivo           389494           389569
P121plus             positivo           391600           391675
P122plus             positivo           398850           398925
P123plus             positivo           399239           399314
P124plus             positivo           399569           399644
P125plus             positivo           401903           401978
P126plus             positivo           404244           404319
P127plus             positivo           410333           410408
P128plus             positivo           412127           412202
P129plus             positivo           417072           417147
P130plus             positivo           427186           427261
P131plus             positivo           434375           434450
P132plus             positivo           436770           436845
P133plus             positivo           440974           441049
P134plus             positivo           447214           447289
P135plus             positivo           449359           449434
P136plus             positivo           461903           461978
P137plus             positivo           464651           464726
P138plus             positivo           465882           465957
P139plus             positivo           472260           472335
P140plus             positivo           474058           474133
P141plus             positivo           475509           475584
P142plus             positivo           475723           475798
P143plus             positivo           477046           477121
P144plus             positivo           478269           478344
P145plus             positivo           478633           478708
P146plus             positivo           484231           484306
P147plus             positivo           485943           486018
P148plus             positivo           489590           489665
P149plus             positivo           496103           496178
P150plus             positivo           498470           498545
P151plus             positivo           499290           499365
P152plus             positivo           503899           503974
P153plus             positivo           505055           505130
P154plus             positivo           505917           505992
P155plus             positivo           506856           506931
P156plus             positivo           514508           514583
P157plus             positivo           518267           518342
P158plus             positivo           523249           523324
P159plus             positivo           526769           526844
P160plus             positivo           527667           527742
P161plus             positivo           531964           532039
P162plus             positivo           532053           532128
P163plus             positivo           535470           535545
P164plus             positivo           536230           536305
P165plus             positivo           536312           536387
P166plus             positivo           538589           538664
P167plus             positivo           543247           543322
P168plus             positivo           544838           544913
P169plus             positivo           549986           550061
P170plus             positivo           550737           550812
P171plus             positivo           553977           554052
P172plus             positivo           554932           555007
P173plus             positivo           555359           555434
P174plus             positivo           561207           561282
P175plus             positivo           561891           561966
P176plus             positivo           562831           562906
P177plus             positivo           564757           564832
P178plus             positivo           574375           574450
P179plus             positivo           575380           575455
P180plus             positivo           589299           589374
P181plus             positivo           589382           589457
P182plus             positivo           589607           589682
P183plus             positivo           589981           590056
P184plus             positivo           591108           591183
P185plus             positivo           592869           592944
P186plus             positivo           594332           594407
P187plus             positivo           604047           604122
P188plus             positivo           613681           613756
P189plus             positivo           615932           616007
P190plus             positivo           616143           616218
P191plus             positivo           616230           616305
P192plus             positivo           617620           617695
P193plus             positivo           623761           623836
P194plus             positivo           627916           627991
P195plus             positivo           628156           628231
P196plus             positivo           633027           633102
P197plus             positivo           636672           636747
P198plus             positivo           637770           637845
P199plus             positivo           641618           641693
P1minus             negativo           2879           2954
P2minus             negativo           4105           4180
P3minus             negativo           7549           7624
P4minus             negativo           10314           10389
P5minus             negativo           12906           12981
P6minus             negativo           15190           15265
P7minus             negativo           16934           17009
P8minus             negativo           19058           19133
P9minus             negativo           23331           23406
P10minus             negativo           27839           27914
P11minus             negativo           27952           28027
P12minus             negativo           29505           29580
P13minus             negativo           36581           36656
P14minus             negativo           38262           38337
P15minus             negativo           39141           39216
P16minus             negativo           41880           41955
P17minus             negativo           47119           47194
P18minus             negativo           62674           62749
P19minus             negativo           65097           65172
P20minus             negativo           70865           70940
P21minus             negativo           71458           71533
P22minus             negativo           71691           71766
P23minus             negativo           73250           73325
P24minus             negativo           74726           74801
P25minus             negativo           75415           75490
P26minus             negativo           77206           77281
P27minus             negativo           78302           78377
P28minus             negativo           78381           78456
P29minus             negativo           81887           81962
P30minus             negativo           86625           86700
P31minus             negativo           88051           88126
P32minus             negativo           89395           89470
P33minus             negativo           98032           98107
P34minus             negativo           101281           101356
P35minus             negativo           102910           102985
P36minus             negativo           104446           104521
P37minus             negativo           108395           108470
P38minus             negativo           117478           117553
P39minus             negativo           119672           119747
P40minus             negativo           126308           126383
P41minus             negativo           131507           131582
P42minus             negativo           133086           133161
P43minus             negativo           134590           134665
P44minus             negativo           141169           141244
P45minus             negativo           146130           146205
P46minus             negativo           150669           150744
P47minus             negativo           158352           158427
P48minus             negativo           163386           163461
P49minus             negativo           165839           165914
P50minus             negativo           168835           168910
P51minus             negativo           169684           169759
P52minus             negativo           173655           173730
P53minus             negativo           175040           175115
P54minus             negativo           177897           177972
P55minus             negativo           179775           179850
P56minus             negativo           180451           180526
P57minus             negativo           181484           181559
P58minus             negativo           181573           181648
P59minus             negativo           185005           185080
P60minus             negativo           190573           190648
P61minus             negativo           192759           192834
P62minus             negativo           199160           199235
P63minus             negativo           215435           215510
P64minus             negativo           216645           216720
P65minus             negativo           221437           221512
P66minus             negativo           223224           223299
P67minus             negativo           225367           225442
P68minus             negativo           226933           227008
P69minus             negativo           227734           227809
P70minus             negativo           230877           230952
P71minus             negativo           232606           232681
P72minus             negativo           234469           234544
P73minus             negativo           238329           238404
P74minus             negativo           240958           241033
