Region           Strand              Start               End

P1plus             positivo           7100           7175
P2plus             positivo           14104           14179
P3plus             positivo           22237           22312
P4plus             positivo           23145           23220
P5plus             positivo           26784           26859
P6plus             positivo           28123           28198
P7plus             positivo           32890           32965
P8plus             positivo           34965           35040
P9plus             positivo           39433           39508
P10plus             positivo           44405           44480
P11plus             positivo           53836           53911
P12plus             positivo           55525           55600
P13plus             positivo           56630           56705
P14plus             positivo           57027           57102
P15plus             positivo           57616           57691
P16plus             positivo           57729           57804
P17plus             positivo           59654           59729
P18plus             positivo           75103           75178
P19plus             positivo           76664           76739
P20plus             positivo           92244           92319
P21plus             positivo           98372           98447
P22plus             positivo           99221           99296
P23plus             positivo           99381           99456
P24plus             positivo           102040           102115
P25plus             positivo           104676           104751
P26plus             positivo           106739           106814
P27plus             positivo           118145           118220
P28plus             positivo           121561           121636
P29plus             positivo           126951           127026
P30plus             positivo           127639           127714
P31plus             positivo           133495           133570
P32plus             positivo           134579           134654
P33plus             positivo           136823           136898
P34plus             positivo           137677           137752
P35plus             positivo           138961           139036
P36plus             positivo           139773           139848
P37plus             positivo           147396           147471
P38plus             positivo           148773           148848
P39plus             positivo           152470           152545
P40plus             positivo           153399           153474
P41plus             positivo           154792           154867
P42plus             positivo           156207           156282
P43plus             positivo           160464           160539
P44plus             positivo           176781           176856
P45plus             positivo           179558           179633
P46plus             positivo           185863           185938
P47plus             positivo           195100           195175
P48plus             positivo           198391           198466
P49plus             positivo           203520           203595
P50plus             positivo           204913           204988
P51plus             positivo           208332           208407
P52plus             positivo           218907           218982
P53plus             positivo           227735           227810
P54plus             positivo           228540           228615
P55plus             positivo           228990           229065
P56plus             positivo           231743           231818
P57plus             positivo           243408           243483
P58plus             positivo           243872           243947
P59plus             positivo           252240           252315
P60plus             positivo           256709           256784
P61plus             positivo           257593           257668
P62plus             positivo           258124           258199
P63plus             positivo           260256           260331
P64plus             positivo           268834           268909
P65plus             positivo           269334           269409
P66plus             positivo           272127           272202
P67plus             positivo           280432           280507
