Region           Strand              Start               End

P1plus             positivo           2392           2467
P2plus             positivo           3849           3924
P3plus             positivo           17794           17869
P4plus             positivo           18770           18845
P5plus             positivo           20577           20652
P6plus             positivo           25970           26045
P7plus             positivo           29539           29614
P8plus             positivo           30826           30901
P9plus             positivo           33733           33808
P10plus             positivo           43216           43291
P11plus             positivo           46595           46670
P12plus             positivo           49893           49968
P13plus             positivo           55751           55826
P14plus             positivo           64616           64691
P15plus             positivo           65213           65288
P16plus             positivo           66482           66557
P17plus             positivo           89173           89248
P18plus             positivo           91548           91623
P19plus             positivo           95021           95096
P20plus             positivo           97147           97222
P21plus             positivo           97890           97965
P22plus             positivo           99255           99330
P23plus             positivo           107923           107998
P24plus             positivo           117720           117795
P25plus             positivo           117979           118054
P26plus             positivo           118361           118436
P27plus             positivo           119758           119833
P28plus             positivo           122465           122540
P29plus             positivo           126556           126631
P30plus             positivo           139239           139314
P31plus             positivo           160167           160242
P32plus             positivo           174308           174383
P33plus             positivo           179103           179178
P34plus             positivo           180608           180683
P35plus             positivo           185924           185999
P36plus             positivo           189849           189924
P37plus             positivo           193215           193290
P38plus             positivo           195843           195918
P39plus             positivo           196393           196468
P40plus             positivo           202926           203001
P41plus             positivo           213849           213924
P42plus             positivo           217455           217530
P43plus             positivo           222704           222779
P44plus             positivo           226564           226639
P45plus             positivo           229720           229795
P46plus             positivo           229958           230033
P47plus             positivo           231338           231413
P48plus             positivo           232236           232311
P49plus             positivo           239325           239400
P50plus             positivo           240947           241022
P51plus             positivo           241842           241917
P52plus             positivo           254084           254159
P53plus             positivo           260888           260963
P54plus             positivo           261030           261105
P55plus             positivo           276907           276982
P56plus             positivo           279530           279605
P57plus             positivo           279733           279808
P58plus             positivo           280126           280201
P59plus             positivo           290046           290121
P60plus             positivo           290245           290320
P61plus             positivo           295571           295646
P62plus             positivo           295734           295809
P63plus             positivo           304912           304987
P64plus             positivo           305313           305388
P65plus             positivo           306556           306631
P66plus             positivo           315496           315571
P67plus             positivo           318159           318234
P68plus             positivo           318493           318568
P69plus             positivo           322423           322498
P70plus             positivo           331079           331154
P71plus             positivo           335601           335676
P72plus             positivo           340799           340874
P73plus             positivo           349677           349752
P74plus             positivo           353588           353663
P75plus             positivo           357696           357771
P76plus             positivo           358693           358768
P77plus             positivo           363436           363511
P78plus             positivo           366173           366248
P79plus             positivo           367944           368019
P80plus             positivo           375201           375276
P81plus             positivo           384367           384442
P82plus             positivo           394662           394737
P83plus             positivo           394762           394837
P84plus             positivo           395829           395904
P85plus             positivo           397122           397197
P86plus             positivo           398442           398517
P87plus             positivo           399261           399336
P88plus             positivo           402467           402542
P89plus             positivo           403496           403571
P90plus             positivo           404895           404970
P91plus             positivo           414731           414806
P92plus             positivo           418232           418307
P93plus             positivo           418333           418408
P94plus             positivo           424512           424587
