Region           Strand              Start               End

P1plus             positivo           2588           2663
P2plus             positivo           6052           6127
P3plus             positivo           6336           6411
P4plus             positivo           7030           7105
P5plus             positivo           7240           7315
P6plus             positivo           10264           10339
P7plus             positivo           11432           11507
P8plus             positivo           11901           11976
P9plus             positivo           12090           12165
P10plus             positivo           12190           12265
P11plus             positivo           12413           12488
P12plus             positivo           12488           12563
P13plus             positivo           12735           12810
P14plus             positivo           19865           19940
P15plus             positivo           20853           20928
P16plus             positivo           20928           21003
P17plus             positivo           22461           22536
P18plus             positivo           24332           24407
P19plus             positivo           27167           27242
P20plus             positivo           29300           29375
P21plus             positivo           31336           31411
P22plus             positivo           31469           31544
P23plus             positivo           37038           37113
P24plus             positivo           38127           38202
P25plus             positivo           38967           39042
P26plus             positivo           40230           40305
P27plus             positivo           45588           45663
P28plus             positivo           45828           45903
P29plus             positivo           46467           46542
P30plus             positivo           46862           46937
P31plus             positivo           47436           47511
P32plus             positivo           48099           48174
P33plus             positivo           49058           49133
P34plus             positivo           49176           49251
P35plus             positivo           51392           51467
P36plus             positivo           52312           52387
P37plus             positivo           53619           53694
P38plus             positivo           55372           55447
P39plus             positivo           55551           55626
P40plus             positivo           55658           55733
P41plus             positivo           56361           56436
P42plus             positivo           59757           59832
P43plus             positivo           60299           60374
P44plus             positivo           60743           60818
P45plus             positivo           64113           64188
P46plus             positivo           71916           71991
P47plus             positivo           72388           72463
P48plus             positivo           72970           73045
P49plus             positivo           74096           74171
P50plus             positivo           74279           74354
P51plus             positivo           76010           76085
P52plus             positivo           76572           76647
P53plus             positivo           77480           77555
P54plus             positivo           78057           78132
P55plus             positivo           81772           81847
P56plus             positivo           81852           81927
P57plus             positivo           89682           89757
P58plus             positivo           94672           94747
P59plus             positivo           95517           95592
P60plus             positivo           95641           95716
P61plus             positivo           96133           96208
P62plus             positivo           96430           96505
P63plus             positivo           100393           100468
P64plus             positivo           100760           100835
P65plus             positivo           101750           101825
P66plus             positivo           102540           102615
P67plus             positivo           102720           102795
P68plus             positivo           108984           109059
P69plus             positivo           109240           109315
P70plus             positivo           110305           110380
P71plus             positivo           111556           111631
P72plus             positivo           112731           112806
P73plus             positivo           112814           112889
P74plus             positivo           113057           113132
P75plus             positivo           113324           113399
P76plus             positivo           113624           113699
P77plus             positivo           113890           113965
P78plus             positivo           114440           114515
P79plus             positivo           115473           115548
P80plus             positivo           116153           116228
P81plus             positivo           116527           116602
P82plus             positivo           117348           117423
P83plus             positivo           119396           119471
P84plus             positivo           120003           120078
P85plus             positivo           120321           120396
P86plus             positivo           120454           120529
P87plus             positivo           120658           120733
P88plus             positivo           122205           122280
P89plus             positivo           122413           122488
