Region           Strand              Start               End

P1plus             positivo           1856           1931
P2plus             positivo           2991           3066
P3plus             positivo           3635           3710
P4plus             positivo           3923           3998
P5plus             positivo           5656           5731
P6plus             positivo           6741           6816
P7plus             positivo           7118           7193
P8plus             positivo           8131           8206
P9plus             positivo           17533           17608
P10plus             positivo           18286           18361
P11plus             positivo           22431           22506
P12plus             positivo           23200           23275
P13plus             positivo           25443           25518
P14plus             positivo           26089           26164
P15plus             positivo           26770           26845
P16plus             positivo           26891           26966
P17plus             positivo           27064           27139
P18plus             positivo           27662           27737
P19plus             positivo           28595           28670
P20plus             positivo           29565           29640
P21plus             positivo           30769           30844
P22plus             positivo           34131           34206
P23plus             positivo           34440           34515
P24plus             positivo           35910           35985
P25plus             positivo           36680           36755
P26plus             positivo           37346           37421
P27plus             positivo           38380           38455
P28plus             positivo           41349           41424
P29plus             positivo           47964           48039
P30plus             positivo           48200           48275
P31plus             positivo           49234           49309
P32plus             positivo           49314           49389
P33plus             positivo           49394           49469
P34plus             positivo           52446           52521
P35plus             positivo           52569           52644
P36plus             positivo           53522           53597
P37plus             positivo           55132           55207
P38plus             positivo           56116           56191
P39plus             positivo           58667           58742
P40plus             positivo           59164           59239
P41plus             positivo           65278           65353
P42plus             positivo           65454           65529
P43plus             positivo           65849           65924
P44plus             positivo           66428           66503
P45plus             positivo           67240           67315
P46plus             positivo           67759           67834
P47plus             positivo           68110           68185
P48plus             positivo           68294           68369
P49plus             positivo           68680           68755
P50plus             positivo           68755           68830
P51plus             positivo           68873           68948
P52plus             positivo           69002           69077
P53plus             positivo           72267           72342
P54plus             positivo           72814           72889
P55plus             positivo           72895           72970
P56plus             positivo           73075           73150
P57plus             positivo           73528           73603
P58plus             positivo           74974           75049
P59plus             positivo           79560           79635
P60plus             positivo           82701           82776
P61plus             positivo           87237           87312
P62plus             positivo           88018           88093
P63plus             positivo           89706           89781
P64plus             positivo           91589           91664
P65plus             positivo           91923           91998
P66plus             positivo           92832           92907
P67plus             positivo           93000           93075
P68plus             positivo           93962           94037
P69plus             positivo           95831           95906
P70plus             positivo           98308           98383
P71plus             positivo           99524           99599
P72plus             positivo           100296           100371
P73plus             positivo           102507           102582
P74plus             positivo           105510           105585
P75plus             positivo           107329           107404
P76plus             positivo           107444           107519
P77plus             positivo           107733           107808
P78plus             positivo           109032           109107
P79plus             positivo           109326           109401
P80plus             positivo           110364           110439
P81plus             positivo           113413           113488
P82plus             positivo           115008           115083
P83plus             positivo           115141           115216
P84plus             positivo           115512           115587
P85plus             positivo           120001           120076
P86plus             positivo           120076           120151
P87plus             positivo           121091           121166
P88plus             positivo           123300           123375
P89plus             positivo           129134           129209
P90plus             positivo           129302           129377
P91plus             positivo           129893           129968
P92plus             positivo           133968           134043
P93plus             positivo           138714           138789
P94plus             positivo           140396           140471
P95plus             positivo           140853           140928
P96plus             positivo           141132           141207
P97plus             positivo           142995           143070
P98plus             positivo           143472           143547
P99plus             positivo           144216           144291
P100plus             positivo           145168           145243
P101plus             positivo           146015           146090
P102plus             positivo           146649           146724
P103plus             positivo           147309           147384
P104plus             positivo           147669           147744
P105plus             positivo           148668           148743
P106plus             positivo           149228           149303
P107plus             positivo           149593           149668
P108plus             positivo           149931           150006
P109plus             positivo           152444           152519
P110plus             positivo           156189           156264
P111plus             positivo           156264           156339
P112plus             positivo           157364           157439
P113plus             positivo           160633           160708
P114plus             positivo           161062           161137
P115plus             positivo           162764           162839
P116plus             positivo           162863           162938
P117plus             positivo           163442           163517
P118plus             positivo           164582           164657
P119plus             positivo           165417           165492
P120plus             positivo           168117           168192
P121plus             positivo           168954           169029
P122plus             positivo           170344           170419
P123plus             positivo           170421           170496
P124plus             positivo           171514           171589
P125plus             positivo           171966           172041
P126plus             positivo           172069           172144
P127plus             positivo           175762           175837
P128plus             positivo           176794           176869
P129plus             positivo           177470           177545
P130plus             positivo           179203           179278
P131plus             positivo           179634           179709
P132plus             positivo           182640           182715
P133plus             positivo           187260           187335
P134plus             positivo           190123           190198
P135plus             positivo           190820           190895
P136plus             positivo           192518           192593
P137plus             positivo           192593           192668
P138plus             positivo           193881           193956
P139plus             positivo           202519           202594
P140plus             positivo           204687           204762
P141plus             positivo           212927           213002
P142plus             positivo           213212           213287
P143plus             positivo           213342           213417
P144plus             positivo           218085           218160
P145plus             positivo           218251           218326
P146plus             positivo           218507           218582
P147plus             positivo           218887           218962
P148plus             positivo           219547           219622
P149plus             positivo           223147           223222
P150plus             positivo           223339           223414
P151plus             positivo           223741           223816
P152plus             positivo           224381           224456
P153plus             positivo           224768           224843
P154plus             positivo           225655           225730
P155plus             positivo           226862           226937
P156plus             positivo           227504           227579
P157plus             positivo           229206           229281
P158plus             positivo           229284           229359
P159plus             positivo           229359           229434
P160plus             positivo           229487           229562
P161plus             positivo           229767           229842
P162plus             positivo           230013           230088
P163plus             positivo           232157           232232
P164plus             positivo           232232           232307
P165plus             positivo           232699           232774
P166plus             positivo           232798           232873
P167plus             positivo           233505           233580
P168plus             positivo           233719           233794
P169plus             positivo           238493           238568
P170plus             positivo           238798           238873
P171plus             positivo           239485           239560
P172plus             positivo           240687           240762
P173plus             positivo           243437           243512
P174plus             positivo           247671           247746
P175plus             positivo           248758           248833
P176plus             positivo           253368           253443
P177plus             positivo           255179           255254
P178plus             positivo           258023           258098
P179plus             positivo           259940           260015
P180plus             positivo           260807           260882
P181plus             positivo           262160           262235
P182plus             positivo           265344           265419
P183plus             positivo           265533           265608
P184plus             positivo           279941           280016
P185plus             positivo           280385           280460
P186plus             positivo           280460           280535
P187plus             positivo           280674           280749
P188plus             positivo           283612           283687
P189plus             positivo           284669           284744
P190plus             positivo           285113           285188
P191plus             positivo           289288           289363
P192plus             positivo           292111           292186
P193plus             positivo           292333           292408
P194plus             positivo           293247           293322
P195plus             positivo           294837           294912
P196plus             positivo           295068           295143
P197plus             positivo           295179           295254
P198plus             positivo           296118           296193
P199plus             positivo           297657           297732
P200plus             positivo           299202           299277
P201plus             positivo           302602           302677
P202plus             positivo           302871           302946
P203plus             positivo           302987           303062
P204plus             positivo           305797           305872
P205plus             positivo           306289           306364
P206plus             positivo           311923           311998
P207plus             positivo           313626           313701
P208plus             positivo           317522           317597
P209plus             positivo           318736           318811
P210plus             positivo           318902           318977
P211plus             positivo           319210           319285
P212plus             positivo           320415           320490
P213plus             positivo           322166           322241
P214plus             positivo           326374           326449
P215plus             positivo           326535           326610
P216plus             positivo           329461           329536
P217plus             positivo           331258           331333
P218plus             positivo           335104           335179
P219plus             positivo           337868           337943
P220plus             positivo           343755           343830
P221plus             positivo           344629           344704
P222plus             positivo           345328           345403
P223plus             positivo           345453           345528
P224plus             positivo           346868           346943
P225plus             positivo           347378           347453
P226plus             positivo           348342           348417
P227plus             positivo           351728           351803
P228plus             positivo           352051           352126
P229plus             positivo           356545           356620
P230plus             positivo           357091           357166
P231plus             positivo           358585           358660
P232plus             positivo           358943           359018
P233plus             positivo           359182           359257
P234plus             positivo           360468           360543
P235plus             positivo           360697           360772
P236plus             positivo           361638           361713
P237plus             positivo           362172           362247
P238plus             positivo           363945           364020
P239plus             positivo           367470           367545
P240plus             positivo           370193           370268
P241plus             positivo           370268           370343
P242plus             positivo           372813           372888
P243plus             positivo           373641           373716
P244plus             positivo           374323           374398
P245plus             positivo           374560           374635
P246plus             positivo           377237           377312
P247plus             positivo           378964           379039
P248plus             positivo           379088           379163
P249plus             positivo           379540           379615
P250plus             positivo           380088           380163
P251plus             positivo           380201           380276
P252plus             positivo           381491           381566
P253plus             positivo           382082           382157
P254plus             positivo           382580           382655
P255plus             positivo           389152           389227
P256plus             positivo           390493           390568
P257plus             positivo           391637           391712
P258plus             positivo           397976           398051
P259plus             positivo           399193           399268
P260plus             positivo           402348           402423
P261plus             positivo           403158           403233
P262plus             positivo           403296           403371
P263plus             positivo           404505           404580
P264plus             positivo           405626           405701
P265plus             positivo           406636           406711
P266plus             positivo           406724           406799
P267plus             positivo           410752           410827
P268plus             positivo           416381           416456
P269plus             positivo           417651           417726
P270plus             positivo           422211           422286
P271plus             positivo           429371           429446
P272plus             positivo           432713           432788
P273plus             positivo           434836           434911
P274plus             positivo           435205           435280
P275plus             positivo           436431           436506
P276plus             positivo           436730           436805
P277plus             positivo           438325           438400
P278plus             positivo           440003           440078
P279plus             positivo           440096           440171
P280plus             positivo           440558           440633
P281plus             positivo           440633           440708
P282plus             positivo           441577           441652
P283plus             positivo           441833           441908
P284plus             positivo           441977           442052
P285plus             positivo           442409           442484
P286plus             positivo           442655           442730
P287plus             positivo           443243           443318
P288plus             positivo           443456           443531
P289plus             positivo           443531           443606
P290plus             positivo           462675           462750
P291plus             positivo           466501           466576
P292plus             positivo           467539           467614
P293plus             positivo           468743           468818
P294plus             positivo           469779           469854
P295plus             positivo           471569           471644
P296plus             positivo           471883           471958
P297plus             positivo           472752           472827
P298plus             positivo           473403           473478
P299plus             positivo           473531           473606
P300plus             positivo           473923           473998
P301plus             positivo           474042           474117
P302plus             positivo           474939           475014
P303plus             positivo           475142           475217
P304plus             positivo           476790           476865
P305plus             positivo           484219           484294
P306plus             positivo           487678           487753
P307plus             positivo           491446           491521
P308plus             positivo           491785           491860
P309plus             positivo           498426           498501
P310plus             positivo           498874           498949
P311plus             positivo           498955           499030
P312plus             positivo           499255           499330
P313plus             positivo           499397           499472
P314plus             positivo           499641           499716
P315plus             positivo           508022           508097
P316plus             positivo           509579           509654
P317plus             positivo           512482           512557
P318plus             positivo           512601           512676
P319plus             positivo           513181           513256
P320plus             positivo           516354           516429
P321plus             positivo           516831           516906
P322plus             positivo           517758           517833
P323plus             positivo           523292           523367
P324plus             positivo           523683           523758
P325plus             positivo           525201           525276
P326plus             positivo           525849           525924
P327plus             positivo           528540           528615
P328plus             positivo           538178           538253
P329plus             positivo           538602           538677
P330plus             positivo           540756           540831
P331plus             positivo           541262           541337
P332plus             positivo           541367           541442
P333plus             positivo           542424           542499
P334plus             positivo           543287           543362
P335plus             positivo           546844           546919
P336plus             positivo           550565           550640
P337plus             positivo           554969           555044
P338plus             positivo           559786           559861
P339plus             positivo           567356           567431
P340plus             positivo           569951           570026
P341plus             positivo           573827           573902
P342plus             positivo           573902           573977
P343plus             positivo           577485           577560
P344plus             positivo           579181           579256
P345plus             positivo           584057           584132
P346plus             positivo           584695           584770
P347plus             positivo           584909           584984
P348plus             positivo           587568           587643
P349plus             positivo           588485           588560
P350plus             positivo           590847           590922
P351plus             positivo           591550           591625
P352plus             positivo           591894           591969
P353plus             positivo           592611           592686
P354plus             positivo           594996           595071
P355plus             positivo           596105           596180
P356plus             positivo           599603           599678
P357plus             positivo           599887           599962
P358plus             positivo           601736           601811
P359plus             positivo           603580           603655
P360plus             positivo           603655           603730
P361plus             positivo           604623           604698
P362plus             positivo           605134           605209
P363plus             positivo           605235           605310
P364plus             positivo           606729           606804
P365plus             positivo           607671           607746
P366plus             positivo           607774           607849
P367plus             positivo           607956           608031
P368plus             positivo           608949           609024
P369plus             positivo           609431           609506
P370plus             positivo           609859           609934
P371plus             positivo           610078           610153
P372plus             positivo           610216           610291
P373plus             positivo           610347           610422
P374plus             positivo           610676           610751
P375plus             positivo           611258           611333
P376plus             positivo           611664           611739
P377plus             positivo           611817           611892
P378plus             positivo           611941           612016
P379plus             positivo           612089           612164
P380plus             positivo           613628           613703
P381plus             positivo           614213           614288
P382plus             positivo           615163           615238
P383plus             positivo           615563           615638
P384plus             positivo           615680           615755
P385plus             positivo           620013           620088
P386plus             positivo           621776           621851
P387plus             positivo           624375           624450
P388plus             positivo           625706           625781
P389plus             positivo           625957           626032
P390plus             positivo           627972           628047
P391plus             positivo           628235           628310
P392plus             positivo           628322           628397
P393plus             positivo           630867           630942
P394plus             positivo           630969           631044
P395plus             positivo           631052           631127
P396plus             positivo           633017           633092
P397plus             positivo           633186           633261
P398plus             positivo           635220           635295
P399plus             positivo           635377           635452
P400plus             positivo           636189           636264
P401plus             positivo           636611           636686
P402plus             positivo           637137           637212
P403plus             positivo           640900           640975
P404plus             positivo           642914           642989
P405plus             positivo           644917           644992
P406plus             positivo           646022           646097
P407plus             positivo           649204           649279
P408plus             positivo           651961           652036
P409plus             positivo           655497           655572
