Region           Strand              Start               End

P1plus             positivo           4711           4786
P2plus             positivo           6704           6779
P3plus             positivo           7828           7903
P4plus             positivo           8348           8423
P5plus             positivo           15383           15458
P6plus             positivo           22420           22495
P7plus             positivo           24027           24102
P8plus             positivo           28424           28499
P9plus             positivo           28766           28841
P10plus             positivo           30808           30883
P11plus             positivo           32383           32458
P12plus             positivo           36039           36114
P13plus             positivo           39315           39390
P14plus             positivo           40746           40821
P15plus             positivo           48131           48206
P16plus             positivo           52446           52521
P17plus             positivo           56672           56747
P18plus             positivo           60785           60860
P19plus             positivo           64937           65012
P20plus             positivo           69044           69119
P21plus             positivo           72255           72330
P22plus             positivo           78255           78330
P23plus             positivo           79280           79355
P24plus             positivo           81888           81963
P25plus             positivo           97701           97776
P26plus             positivo           102725           102800
P27plus             positivo           104623           104698
P28plus             positivo           108931           109006
P29plus             positivo           118592           118667
P30plus             positivo           119949           120024
P31plus             positivo           126211           126286
P32plus             positivo           133270           133345
P33plus             positivo           134568           134643
P34plus             positivo           138845           138920
P35plus             positivo           138920           138995
P36plus             positivo           146920           146995
P37plus             positivo           148065           148140
P38plus             positivo           156148           156223
P39plus             positivo           167909           167984
P40plus             positivo           171630           171705
P41plus             positivo           176320           176395
P42plus             positivo           179806           179881
P43plus             positivo           183769           183844
P44plus             positivo           189241           189316
P45plus             positivo           197558           197633
P46plus             positivo           210314           210389
P47plus             positivo           214157           214232
P48plus             positivo           216599           216674
P49plus             positivo           225269           225344
P50plus             positivo           226821           226896
P51plus             positivo           229144           229219
P52plus             positivo           231713           231788
P53plus             positivo           236526           236601
P54plus             positivo           237822           237897
P55plus             positivo           240103           240178
P56plus             positivo           246751           246826
P57plus             positivo           247083           247158
P58plus             positivo           247457           247532
P59plus             positivo           266390           266465
P60plus             positivo           278670           278745
P61plus             positivo           279963           280038
P62plus             positivo           297810           297885
P63plus             positivo           302369           302444
P64plus             positivo           308285           308360
P65plus             positivo           310022           310097
P66plus             positivo           314989           315064
P67plus             positivo           318793           318868
P68plus             positivo           319539           319614
P69plus             positivo           320085           320160
P70plus             positivo           324368           324443
P71plus             positivo           324907           324982
P72plus             positivo           327060           327135
P73plus             positivo           328104           328179
P74plus             positivo           329092           329167
P75plus             positivo           329781           329856
P76plus             positivo           330080           330155
P77plus             positivo           340691           340766
P78plus             positivo           341667           341742
P79plus             positivo           344242           344317
P80plus             positivo           350906           350981
P81plus             positivo           354834           354909
P82plus             positivo           357254           357329
P83plus             positivo           361205           361280
P84plus             positivo           363088           363163
P85plus             positivo           364179           364254
P86plus             positivo           364467           364542
P87plus             positivo           366234           366309
P88plus             positivo           371340           371415
P89plus             positivo           372517           372592
P90plus             positivo           373726           373801
P91plus             positivo           374060           374135
P92plus             positivo           385331           385406
P93plus             positivo           391526           391601
P94plus             positivo           400371           400446
P95plus             positivo           400672           400747
P96plus             positivo           405549           405624
P97plus             positivo           408993           409068
P98plus             positivo           410223           410298
P99plus             positivo           416309           416384
P100plus             positivo           417567           417642
P101plus             positivo           420580           420655
P102plus             positivo           425207           425282
P103plus             positivo           435378           435453
P104plus             positivo           435488           435563
P105plus             positivo           437675           437750
P106plus             positivo           438339           438414
P107plus             positivo           439295           439370
P108plus             positivo           452191           452266
P109plus             positivo           452653           452728
P110plus             positivo           453109           453184
P111plus             positivo           462665           462740
P112plus             positivo           464503           464578
P113plus             positivo           468509           468584
P114plus             positivo           476361           476436
P115plus             positivo           491051           491126
P116plus             positivo           502764           502839
P117plus             positivo           506713           506788
P118plus             positivo           511605           511680
P119plus             positivo           518963           519038
P120plus             positivo           525313           525388
P121plus             positivo           527353           527428
P122plus             positivo           530485           530560
P123plus             positivo           531750           531825
P124plus             positivo           536208           536283
P125plus             positivo           538827           538902
P126plus             positivo           542040           542115
P127plus             positivo           543755           543830
P128plus             positivo           544850           544925
P129plus             positivo           546658           546733
P130plus             positivo           552744           552819
P131plus             positivo           555952           556027
P132plus             positivo           560630           560705
P133plus             positivo           562658           562733
P134plus             positivo           563582           563657
P135plus             positivo           572112           572187
P136plus             positivo           572352           572427
P137plus             positivo           601656           601731
P138plus             positivo           602448           602523
P139plus             positivo           603613           603688
P140plus             positivo           604587           604662
P141plus             positivo           611599           611674
P142plus             positivo           615647           615722
P143plus             positivo           618135           618210
P144plus             positivo           618668           618743
P145plus             positivo           621496           621571
P146plus             positivo           621677           621752
P147plus             positivo           624341           624416
P148plus             positivo           632984           633059
P149plus             positivo           636617           636692
P150plus             positivo           637987           638062
P151plus             positivo           642768           642843
P152plus             positivo           644148           644223
P153plus             positivo           644268           644343
P154plus             positivo           644455           644530
P155plus             positivo           656202           656277
P156plus             positivo           657029           657104
P157plus             positivo           658347           658422
P158plus             positivo           660546           660621
P159plus             positivo           667523           667598
P160plus             positivo           668172           668247
P161plus             positivo           674858           674933
P162plus             positivo           677464           677539
P163plus             positivo           680447           680522
P164plus             positivo           684695           684770
P165plus             positivo           686290           686365
P166plus             positivo           687209           687284
P167plus             positivo           690034           690109
P168plus             positivo           696910           696985
P169plus             positivo           698910           698985
P170plus             positivo           703261           703336
P171plus             positivo           711096           711171
P172plus             positivo           719060           719135
P173plus             positivo           732542           732617
P174plus             positivo           734718           734793
