Region           Strand              Start               End

P1plus             positivo           773           848
P2plus             positivo           21839           21914
P3plus             positivo           23196           23271
P4plus             positivo           25022           25097
P5plus             positivo           27783           27858
P6plus             positivo           28220           28295
P7plus             positivo           30713           30788
P8plus             positivo           33329           33404
P9plus             positivo           36454           36529
P10plus             positivo           36977           37052
P11plus             positivo           44961           45036
P12plus             positivo           49146           49221
P13plus             positivo           49749           49824
P14plus             positivo           56530           56605
P15plus             positivo           63722           63797
P16plus             positivo           66771           66846
P17plus             positivo           72098           72173
P18plus             positivo           72339           72414
P19plus             positivo           82382           82457
P20plus             positivo           86831           86906
P21plus             positivo           88382           88457
P22plus             positivo           93992           94067
P23plus             positivo           95473           95548
P24plus             positivo           96256           96331
P25plus             positivo           100207           100282
P26plus             positivo           106511           106586
P27plus             positivo           109990           110065
P28plus             positivo           111906           111981
P29plus             positivo           113369           113444
P30plus             positivo           115153           115228
P31plus             positivo           118537           118612
P32plus             positivo           119482           119557
P33plus             positivo           121637           121712
P34plus             positivo           123179           123254
P35plus             positivo           127763           127838
P36plus             positivo           132597           132672
P37plus             positivo           133830           133905
P38plus             positivo           133973           134048
P39plus             positivo           137018           137093
P40plus             positivo           137397           137472
P41plus             positivo           140232           140307
P42plus             positivo           141400           141475
P43plus             positivo           142088           142163
P44plus             positivo           142823           142898
P45plus             positivo           143402           143477
P46plus             positivo           145741           145816
P47plus             positivo           146289           146364
P48plus             positivo           147226           147301
P49plus             positivo           147894           147969
P50plus             positivo           149612           149687
P51plus             positivo           151067           151142
P52plus             positivo           151846           151921
P53plus             positivo           157651           157726
P54plus             positivo           159112           159187
P55plus             positivo           159209           159284
P56plus             positivo           161188           161263
P57plus             positivo           161444           161519
P58plus             positivo           163450           163525
P59plus             positivo           170030           170105
P60plus             positivo           173214           173289
P61plus             positivo           174829           174904
P62plus             positivo           178445           178520
P63plus             positivo           181855           181930
P64plus             positivo           186006           186081
P65plus             positivo           186331           186406
P66plus             positivo           188012           188087
P67plus             positivo           188266           188341
P68plus             positivo           188341           188416
P69plus             positivo           196000           196075
P70plus             positivo           198594           198669
P71plus             positivo           199647           199722
P72plus             positivo           201486           201561
P73plus             positivo           206002           206077
P74plus             positivo           209965           210040
P75plus             positivo           212982           213057
P76plus             positivo           213551           213626
P77plus             positivo           216395           216470
P78plus             positivo           221417           221492
P79plus             positivo           222234           222309
P80plus             positivo           223492           223567
P81plus             positivo           236275           236350
P82plus             positivo           240378           240453
P83plus             positivo           241745           241820
P84plus             positivo           243632           243707
P85plus             positivo           243775           243850
P86plus             positivo           245905           245980
P87plus             positivo           254551           254626
P88plus             positivo           255336           255411
P89plus             positivo           257746           257821
P90plus             positivo           257824           257899
P91plus             positivo           262925           263000
P92plus             positivo           266690           266765
P93plus             positivo           266983           267058
P94plus             positivo           273709           273784
P95plus             positivo           275778           275853
P96plus             positivo           277373           277448
P97plus             positivo           279990           280065
P98plus             positivo           283551           283626
P99plus             positivo           287515           287590
P100plus             positivo           288278           288353
P101plus             positivo           291002           291077
P102plus             positivo           293998           294073
P103plus             positivo           297268           297343
P104plus             positivo           297412           297487
P105plus             positivo           303209           303284
P106plus             positivo           303412           303487
P107plus             positivo           306753           306828
P108plus             positivo           308626           308701
P109plus             positivo           314377           314452
P110plus             positivo           321519           321594
P111plus             positivo           323372           323447
P112plus             positivo           324649           324724
P113plus             positivo           325812           325887
P114plus             positivo           328117           328192
P115plus             positivo           343010           343085
P116plus             positivo           345485           345560
P117plus             positivo           346788           346863
P118plus             positivo           348257           348332
P119plus             positivo           353383           353458
P120plus             positivo           354180           354255
P121plus             positivo           361066           361141
P122plus             positivo           366015           366090
P123plus             positivo           367408           367483
P124plus             positivo           369961           370036
P125plus             positivo           374526           374601
P126plus             positivo           375125           375200
P127plus             positivo           376720           376795
P128plus             positivo           377278           377353
P129plus             positivo           377991           378066
P130plus             positivo           380206           380281
P131plus             positivo           380800           380875
P132plus             positivo           394073           394148
P133plus             positivo           394445           394520
P134plus             positivo           395547           395622
P135plus             positivo           397640           397715
P136plus             positivo           398645           398720
P137plus             positivo           399005           399080
P138plus             positivo           400384           400459
P139plus             positivo           403511           403586
P140plus             positivo           415229           415304
P141plus             positivo           427236           427311
P142plus             positivo           429520           429595
P143plus             positivo           431522           431597
P144plus             positivo           433110           433185
P145plus             positivo           442443           442518
P146plus             positivo           443727           443802
P147plus             positivo           444705           444780
P148plus             positivo           445165           445240
P149plus             positivo           446690           446765
P150plus             positivo           448525           448600
P151plus             positivo           455427           455502
P152plus             positivo           457595           457670
P153plus             positivo           463476           463551
P154plus             positivo           466389           466464
P155plus             positivo           468966           469041
P156plus             positivo           470328           470403
P157plus             positivo           472940           473015
P158plus             positivo           474878           474953
P159plus             positivo           476199           476274
P160plus             positivo           477872           477947
P161plus             positivo           478475           478550
P162plus             positivo           481031           481106
P163plus             positivo           488327           488402
P164plus             positivo           488817           488892
P165plus             positivo           492890           492965
P166plus             positivo           494496           494571
P167plus             positivo           496145           496220
P168plus             positivo           509197           509272
P169plus             positivo           513119           513194
P170plus             positivo           515840           515915
P171plus             positivo           515943           516018
P172plus             positivo           520221           520296
P173plus             positivo           532016           532091
P174plus             positivo           535934           536009
P175plus             positivo           540176           540251
P176plus             positivo           541032           541107
P177plus             positivo           543689           543764
P178plus             positivo           546778           546853
P179plus             positivo           547188           547263
P180plus             positivo           553695           553770
P181plus             positivo           555983           556058
P182plus             positivo           557474           557549
P183plus             positivo           560595           560670
P184plus             positivo           562363           562438
P185plus             positivo           565054           565129
P186plus             positivo           565346           565421
P187plus             positivo           571320           571395
P188plus             positivo           572313           572388
P189plus             positivo           573817           573892
P190plus             positivo           578564           578639
P191plus             positivo           581545           581620
P192plus             positivo           582085           582160
P193plus             positivo           583160           583235
P194plus             positivo           589427           589502
P195plus             positivo           596980           597055
P196plus             positivo           601757           601832
P197plus             positivo           605657           605732
P198plus             positivo           606429           606504
P199plus             positivo           606511           606586
P200plus             positivo           609691           609766
P201plus             positivo           610726           610801
P202plus             positivo           613041           613116
P203plus             positivo           616653           616728
P204plus             positivo           641754           641829
P205plus             positivo           644329           644404
P206plus             positivo           644973           645048
P207plus             positivo           646300           646375
P208plus             positivo           649428           649503
P209plus             positivo           650690           650765
P210plus             positivo           652564           652639
P211plus             positivo           653394           653469
P212plus             positivo           654775           654850
P213plus             positivo           655073           655148
P214plus             positivo           656387           656462
P215plus             positivo           656504           656579
P216plus             positivo           659599           659674
P217plus             positivo           660067           660142
P218plus             positivo           664497           664572
P219plus             positivo           668817           668892
P220plus             positivo           668977           669052
P221plus             positivo           669264           669339
P222plus             positivo           676366           676441
P223plus             positivo           680557           680632
P224plus             positivo           683615           683690
P225plus             positivo           685740           685815
P226plus             positivo           690327           690402
P227plus             positivo           693076           693151
P228plus             positivo           704579           704654
P229plus             positivo           709729           709804
P230plus             positivo           710794           710869
P231plus             positivo           712107           712182
P232plus             positivo           714017           714092
P233plus             positivo           714930           715005
P234plus             positivo           716656           716731
P235plus             positivo           723228           723303
P236plus             positivo           723651           723726
P237plus             positivo           726419           726494
P238plus             positivo           726768           726843
P239plus             positivo           728396           728471
P240plus             positivo           731886           731961
P241plus             positivo           737975           738050
P242plus             positivo           742222           742297
P243plus             positivo           742470           742545
P244plus             positivo           746734           746809
P245plus             positivo           747708           747783
P246plus             positivo           747822           747897
P247plus             positivo           749347           749422
P248plus             positivo           753783           753858
P249plus             positivo           755571           755646
P250plus             positivo           757749           757824
P251plus             positivo           760587           760662
P252plus             positivo           761851           761926
P253plus             positivo           773126           773201
P254plus             positivo           777127           777202
P255plus             positivo           777268           777343
P256plus             positivo           778036           778111
P257plus             positivo           778591           778666
P258plus             positivo           780672           780747
P259plus             positivo           786327           786402
P260plus             positivo           795560           795635
P261plus             positivo           797336           797411
P262plus             positivo           802481           802556
P263plus             positivo           803443           803518
P264plus             positivo           808883           808958
P265plus             positivo           815425           815500
P266plus             positivo           817748           817823
P267plus             positivo           830726           830801
P268plus             positivo           831672           831747
P269plus             positivo           833465           833540
P270plus             positivo           838984           839059
P271plus             positivo           839727           839802
P272plus             positivo           840117           840192
P273plus             positivo           840503           840578
P274plus             positivo           842688           842763
P275plus             positivo           842991           843066
P276plus             positivo           848401           848476
P277plus             positivo           849286           849361
P278plus             positivo           850771           850846
P279plus             positivo           854781           854856
P280plus             positivo           860584           860659
P281plus             positivo           860950           861025
P282plus             positivo           865636           865711
P283plus             positivo           872791           872866
P284plus             positivo           874408           874483
P285plus             positivo           882347           882422
P286plus             positivo           883248           883323
P287plus             positivo           888858           888933
P288plus             positivo           889749           889824
P289plus             positivo           897631           897706
P290plus             positivo           901958           902033
P291plus             positivo           913426           913501
P292plus             positivo           922116           922191
P293plus             positivo           923294           923369
P294plus             positivo           925179           925254
P295plus             positivo           929817           929892
P296plus             positivo           931782           931857
P297plus             positivo           939130           939205
P298plus             positivo           943064           943139
P299plus             positivo           945730           945805
P300plus             positivo           956618           956693
P301plus             positivo           964454           964529
P302plus             positivo           973119           973194
P303plus             positivo           973335           973410
P304plus             positivo           977821           977896
P305plus             positivo           978688           978763
P306plus             positivo           979837           979912
P307plus             positivo           981465           981540
P308plus             positivo           984880           984955
P309plus             positivo           986686           986761
P310plus             positivo           988802           988877
P311plus             positivo           996775           996850
P312plus             positivo           1003639           1003714
P313plus             positivo           1005790           1005865
P314plus             positivo           1011970           1012045
P315plus             positivo           1021364           1021439
P316plus             positivo           1023208           1023283
P317plus             positivo           1023410           1023485
P318plus             positivo           1023644           1023719
P319plus             positivo           1026367           1026442
P320plus             positivo           1027508           1027583
P321plus             positivo           1029938           1030013
P322plus             positivo           1034673           1034748
P323plus             positivo           1045736           1045811
P324plus             positivo           1051658           1051733
P325plus             positivo           1060918           1060993
P326plus             positivo           1065873           1065948
P327plus             positivo           1076215           1076290
P328plus             positivo           1080415           1080490
P329plus             positivo           1083940           1084015
P330plus             positivo           1087275           1087350
P331plus             positivo           1091013           1091088
P332plus             positivo           1092408           1092483
P333plus             positivo           1095201           1095276
P334plus             positivo           1099073           1099148
P335plus             positivo           1105475           1105550
P336plus             positivo           1107522           1107597
P337plus             positivo           1108222           1108297
P338plus             positivo           1109637           1109712
P339plus             positivo           1109963           1110038
P340plus             positivo           1114815           1114890
P341plus             positivo           1119559           1119634
P342plus             positivo           1124605           1124680
P343plus             positivo           1127708           1127783
P344plus             positivo           1137520           1137595
P345plus             positivo           1138168           1138243
P346plus             positivo           1141275           1141350
P347plus             positivo           1145452           1145527
P348plus             positivo           1146667           1146742
P349plus             positivo           1147495           1147570
P350plus             positivo           1148277           1148352
P351plus             positivo           1148572           1148647
P352plus             positivo           1152140           1152215
P353plus             positivo           1154439           1154514
P354plus             positivo           1157006           1157081
P355plus             positivo           1157487           1157562
P356plus             positivo           1158737           1158812
P357plus             positivo           1160666           1160741
P358plus             positivo           1161228           1161303
P359plus             positivo           1163804           1163879
P360plus             positivo           1164567           1164642
P361plus             positivo           1164986           1165061
P362plus             positivo           1168448           1168523
P363plus             positivo           1170458           1170533
P364plus             positivo           1172925           1173000
P365plus             positivo           1173896           1173971
P366plus             positivo           1174320           1174395
P367plus             positivo           1178213           1178288
P368plus             positivo           1178578           1178653
P369plus             positivo           1186269           1186344
P370plus             positivo           1191246           1191321
P371plus             positivo           1191329           1191404
P372plus             positivo           1192553           1192628
P373plus             positivo           1193545           1193620
P374plus             positivo           1199481           1199556
P375plus             positivo           1202782           1202857
P376plus             positivo           1204201           1204276
P377plus             positivo           1215236           1215311
P378plus             positivo           1221630           1221705
P379plus             positivo           1229419           1229494
P380plus             positivo           1231784           1231859
P381plus             positivo           1232442           1232517
P382plus             positivo           1235575           1235650
P383plus             positivo           1235987           1236062
P384plus             positivo           1241166           1241241
P385plus             positivo           1242634           1242709
P386plus             positivo           1243483           1243558
P387plus             positivo           1246368           1246443
P388plus             positivo           1251004           1251079
P389plus             positivo           1257654           1257729
P390plus             positivo           1258850           1258925
P391plus             positivo           1263772           1263847
P392plus             positivo           1263857           1263932
P393plus             positivo           1266298           1266373
P394plus             positivo           1270674           1270749
P395plus             positivo           1271953           1272028
P396plus             positivo           1275520           1275595
P397plus             positivo           1275971           1276046
P398plus             positivo           1276147           1276222
P399plus             positivo           1280556           1280631
P400plus             positivo           1285091           1285166
P401plus             positivo           1286143           1286218
P402plus             positivo           1287555           1287630
P403plus             positivo           1292087           1292162
P404plus             positivo           1292221           1292296
P405plus             positivo           1295249           1295324
P406plus             positivo           1305118           1305193
P407plus             positivo           1310053           1310128
P408plus             positivo           1325360           1325435
P409plus             positivo           1325934           1326009
P410plus             positivo           1326447           1326522
P411plus             positivo           1327874           1327949
P412plus             positivo           1328414           1328489
P413plus             positivo           1344238           1344313
P414plus             positivo           1347741           1347816
P415plus             positivo           1348261           1348336
P416plus             positivo           1352329           1352404
P417plus             positivo           1353505           1353580
P418plus             positivo           1354098           1354173
P419plus             positivo           1354410           1354485
P420plus             positivo           1356967           1357042
P421plus             positivo           1358440           1358515
P422plus             positivo           1359558           1359633
P423plus             positivo           1360001           1360076
P424plus             positivo           1383672           1383747
P425plus             positivo           1383800           1383875
P426plus             positivo           1396000           1396075
P427plus             positivo           1396344           1396419
P428plus             positivo           1397686           1397761
P429plus             positivo           1397948           1398023
P430plus             positivo           1401689           1401764
P431plus             positivo           1401821           1401896
P432plus             positivo           1406033           1406108
P433plus             positivo           1407157           1407232
P434plus             positivo           1408662           1408737
P435plus             positivo           1410042           1410117
P436plus             positivo           1414555           1414630
P437plus             positivo           1417313           1417388
P438plus             positivo           1424630           1424705
P439plus             positivo           1427367           1427442
P440plus             positivo           1432407           1432482
P441plus             positivo           1449087           1449162
P442plus             positivo           1452459           1452534
P443plus             positivo           1455075           1455150
P444plus             positivo           1458481           1458556
P445plus             positivo           1463079           1463154
P446plus             positivo           1468976           1469051
P447plus             positivo           1472173           1472248
P448plus             positivo           1472558           1472633
P449plus             positivo           1472638           1472713
P450plus             positivo           1473522           1473597
P451plus             positivo           1475165           1475240
P452plus             positivo           1475934           1476009
P453plus             positivo           1480503           1480578
P454plus             positivo           1485566           1485641
P455plus             positivo           1486590           1486665
P456plus             positivo           1495656           1495731
P457plus             positivo           1500648           1500723
P458plus             positivo           1512247           1512322
P459plus             positivo           1514249           1514324
P460plus             positivo           1520720           1520795
P461plus             positivo           1522296           1522371
P462plus             positivo           1523465           1523540
P463plus             positivo           1527534           1527609
P464plus             positivo           1528063           1528138
P465plus             positivo           1530003           1530078
P466plus             positivo           1530394           1530469
P467plus             positivo           1531567           1531642
P468plus             positivo           1537056           1537131
P469plus             positivo           1538461           1538536
P470plus             positivo           1543339           1543414
