Region           Strand              Start               End

P1plus             positivo           3494           3569
P2plus             positivo           7730           7805
P3plus             positivo           8268           8343
P4plus             positivo           10484           10559
P5plus             positivo           12918           12993
P6plus             positivo           15138           15213
P7plus             positivo           17540           17615
P8plus             positivo           17835           17910
P9plus             positivo           23268           23343
P10plus             positivo           29077           29152
P11plus             positivo           29898           29973
P12plus             positivo           32374           32449
P13plus             positivo           33848           33923
P14plus             positivo           40968           41043
P15plus             positivo           43460           43535
P16plus             positivo           46696           46771
P17plus             positivo           47942           48017
P18plus             positivo           48769           48844
P19plus             positivo           49045           49120
P20plus             positivo           49796           49871
P21plus             positivo           50118           50193
P22plus             positivo           50595           50670
P23plus             positivo           50766           50841
P24plus             positivo           51401           51476
P25plus             positivo           52535           52610
P26plus             positivo           54770           54845
P27plus             positivo           61347           61422
P28plus             positivo           66509           66584
P29plus             positivo           72673           72748
P30plus             positivo           73184           73259
P31plus             positivo           74783           74858
P32plus             positivo           75427           75502
P33plus             positivo           75745           75820
P34plus             positivo           75963           76038
P35plus             positivo           87841           87916
P36plus             positivo           88324           88399
P37plus             positivo           90637           90712
P38plus             positivo           90780           90855
P39plus             positivo           92744           92819
P40plus             positivo           98477           98552
P41plus             positivo           98912           98987
P42plus             positivo           101302           101377
P43plus             positivo           103465           103540
P44plus             positivo           106261           106336
P45plus             positivo           109834           109909
P46plus             positivo           112656           112731
P47plus             positivo           112935           113010
P48plus             positivo           113269           113344
P49plus             positivo           120384           120459
P50plus             positivo           122961           123036
P51plus             positivo           127180           127255
P52plus             positivo           127741           127816
P53plus             positivo           128011           128086
P54plus             positivo           129127           129202
P55plus             positivo           130086           130161
P56plus             positivo           130464           130539
P57plus             positivo           132412           132487
P58plus             positivo           132856           132931
P59plus             positivo           136012           136087
P60plus             positivo           136141           136216
P61plus             positivo           139697           139772
P62plus             positivo           139907           139982
P63plus             positivo           142677           142752
P64plus             positivo           143193           143268
P65plus             positivo           146753           146828
P66plus             positivo           148302           148377
P67plus             positivo           158430           158505
P68plus             positivo           160356           160431
P69plus             positivo           160557           160632
P70plus             positivo           162617           162692
P71plus             positivo           166922           166997
P72plus             positivo           171294           171369
P73plus             positivo           177140           177215
P74plus             positivo           180544           180619
P75plus             positivo           184197           184272
P76plus             positivo           184274           184349
P77plus             positivo           185733           185808
P78plus             positivo           187938           188013
P79plus             positivo           188966           189041
P80plus             positivo           191219           191294
P81plus             positivo           192435           192510
P82plus             positivo           194447           194522
P83plus             positivo           195418           195493
P84plus             positivo           197193           197268
P85plus             positivo           198069           198144
P86plus             positivo           207164           207239
P87plus             positivo           213592           213667
P88plus             positivo           214798           214873
P89plus             positivo           215835           215910
P90plus             positivo           218215           218290
P91plus             positivo           219009           219084
P92plus             positivo           219758           219833
P93plus             positivo           220759           220834
P94plus             positivo           225006           225081
P95plus             positivo           230111           230186
P96plus             positivo           235591           235666
P97plus             positivo           249596           249671
P98plus             positivo           250958           251033
P99plus             positivo           255946           256021
P100plus             positivo           256110           256185
P101plus             positivo           264167           264242
P102plus             positivo           264323           264398
P103plus             positivo           266129           266204
P104plus             positivo           271120           271195
P105plus             positivo           275193           275268
P106plus             positivo           277534           277609
P107plus             positivo           285125           285200
P108plus             positivo           287697           287772
P109plus             positivo           294812           294887
P110plus             positivo           294992           295067
P111plus             positivo           295518           295593
P112plus             positivo           296090           296165
P113plus             positivo           296713           296788
P114plus             positivo           297886           297961
P115plus             positivo           299446           299521
P116plus             positivo           303235           303310
P117plus             positivo           307347           307422
P118plus             positivo           309388           309463
P119plus             positivo           322939           323014
P120plus             positivo           324878           324953
P121plus             positivo           332360           332435
P122plus             positivo           332566           332641
P123plus             positivo           337264           337339
P124plus             positivo           339233           339308
P125plus             positivo           347193           347268
P126plus             positivo           356167           356242
P127plus             positivo           357365           357440
P128plus             positivo           358601           358676
P129plus             positivo           358689           358764
P130plus             positivo           360341           360416
P131plus             positivo           361870           361945
P132plus             positivo           361957           362032
P133plus             positivo           362101           362176
P134plus             positivo           363125           363200
P135plus             positivo           363563           363638
P136plus             positivo           367872           367947
P137plus             positivo           371517           371592
P138plus             positivo           372676           372751
P139plus             positivo           374090           374165
P140plus             positivo           374166           374241
P141plus             positivo           374308           374383
P142plus             positivo           396884           396959
P143plus             positivo           402111           402186
P144plus             positivo           404027           404102
P145plus             positivo           405167           405242
P146plus             positivo           408490           408565
P147plus             positivo           412235           412310
P148plus             positivo           417239           417314
P149plus             positivo           427218           427293
P150plus             positivo           430464           430539
P151plus             positivo           437358           437433
P152plus             positivo           439493           439568
P153plus             positivo           446549           446624
P154plus             positivo           447424           447499
P155plus             positivo           447982           448057
P156plus             positivo           450737           450812
P157plus             positivo           452704           452779
P158plus             positivo           454258           454333
P159plus             positivo           455020           455095
P160plus             positivo           476458           476533
P161plus             positivo           476833           476908
P162plus             positivo           478497           478572
P163plus             positivo           479672           479747
P164plus             positivo           479764           479839
P165plus             positivo           480593           480668
P166plus             positivo           482578           482653
P167plus             positivo           484519           484594
P168plus             positivo           485041           485116
P169plus             positivo           485584           485659
P170plus             positivo           486024           486099
P171plus             positivo           493177           493252
P172plus             positivo           493386           493461
P173plus             positivo           494247           494322
P174plus             positivo           494712           494787
P175plus             positivo           498457           498532
P176plus             positivo           499386           499461
P177plus             positivo           499535           499610
P178plus             positivo           499792           499867
P179plus             positivo           500568           500643
P180plus             positivo           502026           502101
P181plus             positivo           502367           502442
P182plus             positivo           502616           502691
P183plus             positivo           505595           505670
P184plus             positivo           510118           510193
P185plus             positivo           510557           510632
P186plus             positivo           511163           511238
P187plus             positivo           514082           514157
P188plus             positivo           516924           516999
P189plus             positivo           522660           522735
P190plus             positivo           529044           529119
P191plus             positivo           534293           534368
P192plus             positivo           538488           538563
P193plus             positivo           539378           539453
P194plus             positivo           545847           545922
P195plus             positivo           547113           547188
P196plus             positivo           548385           548460
P197plus             positivo           550396           550471
P198plus             positivo           552063           552138
P199plus             positivo           554582           554657
P200plus             positivo           560593           560668
P201plus             positivo           563600           563675
P202plus             positivo           564084           564159
