Region           Strand              Start               End

P1plus             positivo           3744           3819
P2plus             positivo           20378           20453
P3plus             positivo           23761           23836
P4plus             positivo           24583           24658
P5plus             positivo           28301           28376
P6plus             positivo           28583           28658
P7plus             positivo           43401           43476
P8plus             positivo           53931           54006
P9plus             positivo           56141           56216
P10plus             positivo           57396           57471
P11plus             positivo           58710           58785
P12plus             positivo           63359           63434
P13plus             positivo           68562           68637
P14plus             positivo           79491           79566
P15plus             positivo           84936           85011
P16plus             positivo           86569           86644
P17plus             positivo           86688           86763
P18plus             positivo           92665           92740
P19plus             positivo           94765           94840
P20plus             positivo           98033           98108
P21plus             positivo           101840           101915
P22plus             positivo           107897           107972
P23plus             positivo           111359           111434
P24plus             positivo           112447           112522
P25plus             positivo           116036           116111
P26plus             positivo           116929           117004
P27plus             positivo           126017           126092
P28plus             positivo           129207           129282
P29plus             positivo           129647           129722
P30plus             positivo           131344           131419
P31plus             positivo           132843           132918
P32plus             positivo           135078           135153
P33plus             positivo           135263           135338
P34plus             positivo           136057           136132
P35plus             positivo           136259           136334
P36plus             positivo           145608           145683
P37plus             positivo           145932           146007
P38plus             positivo           148194           148269
P39plus             positivo           149086           149161
P40plus             positivo           151580           151655
P41plus             positivo           151864           151939
P42plus             positivo           160003           160078
P43plus             positivo           171444           171519
P44plus             positivo           171532           171607
P45plus             positivo           173592           173667
P46plus             positivo           175976           176051
P47plus             positivo           179297           179372
P48plus             positivo           186303           186378
P49plus             positivo           188862           188937
P50plus             positivo           188960           189035
P51plus             positivo           190190           190265
P52plus             positivo           201159           201234
P53plus             positivo           204480           204555
P54plus             positivo           209883           209958
P55plus             positivo           212802           212877
P56plus             positivo           214471           214546
P57plus             positivo           222308           222383
P58plus             positivo           227562           227637
P59plus             positivo           234731           234806
P60plus             positivo           236212           236287
P61plus             positivo           237029           237104
P62plus             positivo           240030           240105
P63plus             positivo           240358           240433
P64plus             positivo           243518           243593
P65plus             positivo           245891           245966
P66plus             positivo           248661           248736
P67plus             positivo           251772           251847
P68plus             positivo           253677           253752
P69plus             positivo           253967           254042
P70plus             positivo           254351           254426
P71plus             positivo           255748           255823
P72plus             positivo           262162           262237
P73plus             positivo           275218           275293
P74plus             positivo           281663           281738
P75plus             positivo           283032           283107
P76plus             positivo           285264           285339
P77plus             positivo           293474           293549
P78plus             positivo           295839           295914
P79plus             positivo           296624           296699
P80plus             positivo           297181           297256
P81plus             positivo           300029           300104
P82plus             positivo           301736           301811
P83plus             positivo           301812           301887
P84plus             positivo           307896           307971
P85plus             positivo           313073           313148
P86plus             positivo           313435           313510
P87plus             positivo           317580           317655
P88plus             positivo           322165           322240
P89plus             positivo           330606           330681
P90plus             positivo           332241           332316
P91plus             positivo           333757           333832
P92plus             positivo           335085           335160
P93plus             positivo           335914           335989
P94plus             positivo           342832           342907
P95plus             positivo           343310           343385
P96plus             positivo           345419           345494
P97plus             positivo           345994           346069
P98plus             positivo           347090           347165
P99plus             positivo           349431           349506
P100plus             positivo           349928           350003
P101plus             positivo           350587           350662
P102plus             positivo           353559           353634
P103plus             positivo           354229           354304
P104plus             positivo           355028           355103
P105plus             positivo           355251           355326
P106plus             positivo           355657           355732
P107plus             positivo           355811           355886
P108plus             positivo           361545           361620
P109plus             positivo           363331           363406
P110plus             positivo           364724           364799
P111plus             positivo           367277           367352
P112plus             positivo           368772           368847
P113plus             positivo           369613           369688
P114plus             positivo           373997           374072
P115plus             positivo           384696           384771
P116plus             positivo           392736           392811
P117plus             positivo           395315           395390
P118plus             positivo           397604           397679
P119plus             positivo           401880           401955
P120plus             positivo           405669           405744
P121plus             positivo           416934           417009
P122plus             positivo           425589           425664
P123plus             positivo           428366           428441
P124plus             positivo           435569           435644
P125plus             positivo           436562           436637
P126plus             positivo           439158           439233
P127plus             positivo           445048           445123
P128plus             positivo           448059           448134
P129plus             positivo           455584           455659
P130plus             positivo           456428           456503
P131plus             positivo           460709           460784
P132plus             positivo           466483           466558
P133plus             positivo           474514           474589
P134plus             positivo           475467           475542
P135plus             positivo           486305           486380
P136plus             positivo           488168           488243
P137plus             positivo           488246           488321
P138plus             positivo           499770           499845
P139plus             positivo           503179           503254
P140plus             positivo           504921           504996
P141plus             positivo           506895           506970
P142plus             positivo           509194           509269
P143plus             positivo           514608           514683
P144plus             positivo           517690           517765
P145plus             positivo           517765           517840
P146plus             positivo           521184           521259
P147plus             positivo           529073           529148
P148plus             positivo           544946           545021
P149plus             positivo           548098           548173
P150plus             positivo           554077           554152
P151plus             positivo           556641           556716
P152plus             positivo           558669           558744
P153plus             positivo           568039           568114
P154plus             positivo           572751           572826
P155plus             positivo           575338           575413
P156plus             positivo           577236           577311
P157plus             positivo           577420           577495
P158plus             positivo           579625           579700
P159plus             positivo           584573           584648
P160plus             positivo           594632           594707
P161plus             positivo           595849           595924
P162plus             positivo           596014           596089
P163plus             positivo           603242           603317
P164plus             positivo           606114           606189
P165plus             positivo           615335           615410
P166plus             positivo           629535           629610
P167plus             positivo           633036           633111
P168plus             positivo           634594           634669
P169plus             positivo           636968           637043
P170plus             positivo           638123           638198
P171plus             positivo           649593           649668
P172plus             positivo           655471           655546
P173plus             positivo           658549           658624
P174plus             positivo           666044           666119
P175plus             positivo           682526           682601
P176plus             positivo           688331           688406
P177plus             positivo           688797           688872
P178plus             positivo           694983           695058
P179plus             positivo           702554           702629
P180plus             positivo           703443           703518
P181plus             positivo           716853           716928
P182plus             positivo           716998           717073
P183plus             positivo           720357           720432
P184plus             positivo           721062           721137
P185plus             positivo           722070           722145
P186plus             positivo           724157           724232
P187plus             positivo           736075           736150
P188plus             positivo           741618           741693
P189plus             positivo           743291           743366
P190plus             positivo           745877           745952
P191plus             positivo           746905           746980
P192plus             positivo           751436           751511
P193plus             positivo           754465           754540
P194plus             positivo           759371           759446
P195plus             positivo           759587           759662
P196plus             positivo           762834           762909
P197plus             positivo           764748           764823
P198plus             positivo           766338           766413
P199plus             positivo           768731           768806
P200plus             positivo           769280           769355
P201plus             positivo           769631           769706
P202plus             positivo           769990           770065
P203plus             positivo           774714           774789
P204plus             positivo           782975           783050
P205plus             positivo           783050           783125
P206plus             positivo           786399           786474
P207plus             positivo           790874           790949
P208plus             positivo           791093           791168
P209plus             positivo           791643           791718
P210plus             positivo           794209           794284
P211plus             positivo           795413           795488
P212plus             positivo           797868           797943
P213plus             positivo           804601           804676
P214plus             positivo           807200           807275
P215plus             positivo           808294           808369
P216plus             positivo           808758           808833
P217plus             positivo           809984           810059
P218plus             positivo           810647           810722
P219plus             positivo           820605           820680
P220plus             positivo           824979           825054
P221plus             positivo           825833           825908
P222plus             positivo           828882           828957
P223plus             positivo           829428           829503
P224plus             positivo           831097           831172
P225plus             positivo           832598           832673
P226plus             positivo           843792           843867
P227plus             positivo           847322           847397
P228plus             positivo           849419           849494
P229plus             positivo           850432           850507
P230plus             positivo           856715           856790
P231plus             positivo           860787           860862
P232plus             positivo           862607           862682
P233plus             positivo           864859           864934
P234plus             positivo           873375           873450
P235plus             positivo           879554           879629
P236plus             positivo           881761           881836
P237plus             positivo           884775           884850
P238plus             positivo           889776           889851
P239plus             positivo           896620           896695
P240plus             positivo           896790           896865
P241plus             positivo           897364           897439
P242plus             positivo           900170           900245
P243plus             positivo           916370           916445
P244plus             positivo           916676           916751
P245plus             positivo           928056           928131
P246plus             positivo           936290           936365
P247plus             positivo           936931           937006
P248plus             positivo           944184           944259
P249plus             positivo           945728           945803
P250plus             positivo           947460           947535
P251plus             positivo           950849           950924
P252plus             positivo           952103           952178
P253plus             positivo           962054           962129
P254plus             positivo           965399           965474
P255plus             positivo           966995           967070
P256plus             positivo           968482           968557
P257plus             positivo           972429           972504
P258plus             positivo           976819           976894
P259plus             positivo           977166           977241
P260plus             positivo           981894           981969
P261plus             positivo           983166           983241
P262plus             positivo           988394           988469
P263plus             positivo           992698           992773
P264plus             positivo           994830           994905
P265plus             positivo           996002           996077
P266plus             positivo           998260           998335
P267plus             positivo           1007372           1007447
P268plus             positivo           1012798           1012873
P269plus             positivo           1014506           1014581
P270plus             positivo           1016121           1016196
P271plus             positivo           1016846           1016921
P272plus             positivo           1021497           1021572
P273plus             positivo           1021778           1021853
P274plus             positivo           1024453           1024528
P275plus             positivo           1024793           1024868
P276plus             positivo           1028574           1028649
P277plus             positivo           1030088           1030163
P278plus             positivo           1030870           1030945
P279plus             positivo           1031785           1031860
P280plus             positivo           1032188           1032263
P281plus             positivo           1039419           1039494
P282plus             positivo           1041540           1041615
P283plus             positivo           1042075           1042150
P284plus             positivo           1043277           1043352
P285plus             positivo           1049213           1049288
P286plus             positivo           1050576           1050651
P287plus             positivo           1052316           1052391
P288plus             positivo           1058766           1058841
P289plus             positivo           1061218           1061293
P290plus             positivo           1062052           1062127
P291plus             positivo           1076525           1076600
P292plus             positivo           1076610           1076685
P293plus             positivo           1078624           1078699
P294plus             positivo           1082559           1082634
P295plus             positivo           1091533           1091608
P296plus             positivo           1100454           1100529
P297plus             positivo           1104576           1104651
P298plus             positivo           1108504           1108579
P299plus             positivo           1111241           1111316
P300plus             positivo           1112037           1112112
P301plus             positivo           1112995           1113070
P302plus             positivo           1116483           1116558
P303plus             positivo           1123602           1123677
P304plus             positivo           1124748           1124823
P305plus             positivo           1125506           1125581
P306plus             positivo           1130013           1130088
P307plus             positivo           1130378           1130453
P308plus             positivo           1130780           1130855
P309plus             positivo           1130977           1131052
P310plus             positivo           1133358           1133433
P311plus             positivo           1134021           1134096
P312plus             positivo           1136741           1136816
P313plus             positivo           1147782           1147857
P314plus             positivo           1150774           1150849
P315plus             positivo           1151266           1151341
P316plus             positivo           1151407           1151482
P317plus             positivo           1151966           1152041
P318plus             positivo           1152867           1152942
P319plus             positivo           1160228           1160303
P320plus             positivo           1176943           1177018
P321plus             positivo           1182174           1182249
P322plus             positivo           1182272           1182347
P323plus             positivo           1184410           1184485
P324plus             positivo           1185700           1185775
P325plus             positivo           1188877           1188952
P326plus             positivo           1189067           1189142
P327plus             positivo           1189899           1189974
P328plus             positivo           1192106           1192181
P329plus             positivo           1194233           1194308
P330plus             positivo           1199417           1199492
P331plus             positivo           1202249           1202324
P332plus             positivo           1204027           1204102
