Region           Strand              Start               End

P1plus             positivo           3773           3848
P2plus             positivo           4357           4432
P3plus             positivo           5781           5856
P4plus             positivo           8522           8597
P5plus             positivo           8598           8673
P6plus             positivo           9076           9151
P7plus             positivo           9956           10031
P8plus             positivo           10042           10117
P9plus             positivo           10118           10193
P10plus             positivo           10229           10304
P11plus             positivo           14249           14324
P12plus             positivo           15135           15210
P13plus             positivo           15436           15511
P14plus             positivo           15817           15892
P15plus             positivo           20998           21073
P16plus             positivo           26306           26381
P17plus             positivo           26700           26775
P18plus             positivo           27203           27278
P19plus             positivo           27365           27440
P20plus             positivo           27701           27776
P21plus             positivo           28603           28678
P22plus             positivo           34656           34731
P23plus             positivo           35435           35510
P24plus             positivo           36285           36360
P25plus             positivo           36976           37051
P26plus             positivo           44945           45020
P27plus             positivo           45058           45133
P28plus             positivo           45347           45422
P29plus             positivo           50005           50080
P30plus             positivo           50965           51040
P31plus             positivo           52228           52303
P32plus             positivo           56006           56081
P33plus             positivo           57511           57586
P34plus             positivo           58905           58980
P35plus             positivo           58993           59068
P36plus             positivo           62158           62233
P37plus             positivo           62614           62689
P38plus             positivo           64252           64327
P39plus             positivo           64327           64402
P40plus             positivo           64602           64677
P41plus             positivo           65574           65649
P42plus             positivo           66372           66447
P43plus             positivo           67427           67502
P44plus             positivo           68189           68264
P45plus             positivo           73738           73813
P46plus             positivo           74193           74268
P47plus             positivo           74681           74756
P48plus             positivo           75915           75990
P49plus             positivo           76016           76091
P50plus             positivo           76983           77058
P51plus             positivo           77591           77666
P52plus             positivo           81740           81815
P53plus             positivo           83363           83438
P54plus             positivo           83731           83806
P55plus             positivo           84086           84161
P56plus             positivo           84381           84456
P57plus             positivo           84904           84979
P58plus             positivo           85023           85098
P59plus             positivo           86287           86362
P60plus             positivo           86581           86656
P61plus             positivo           87221           87296
P62plus             positivo           87322           87397
P63plus             positivo           88445           88520
P64plus             positivo           89141           89216
P65plus             positivo           89663           89738
P66plus             positivo           89739           89814
P67plus             positivo           90578           90653
P68plus             positivo           91604           91679
P69plus             positivo           93240           93315
P70plus             positivo           93340           93415
P71plus             positivo           93887           93962
P72plus             positivo           94990           95065
P73plus             positivo           95714           95789
P74plus             positivo           96162           96237
P75plus             positivo           96269           96344
P76plus             positivo           97286           97361
P77plus             positivo           97645           97720
P78plus             positivo           99660           99735
P79plus             positivo           99941           100016
P80plus             positivo           100557           100632
P81plus             positivo           101594           101669
P82plus             positivo           102389           102464
P83plus             positivo           102682           102757
P84plus             positivo           103026           103101
P85plus             positivo           103127           103202
P86plus             positivo           103226           103301
P87plus             positivo           108880           108955
P88plus             positivo           109791           109866
P89plus             positivo           113729           113804
P90plus             positivo           117118           117193
P91plus             positivo           117250           117325
P92plus             positivo           118054           118129
P93plus             positivo           118260           118335
P94plus             positivo           118904           118979
P95plus             positivo           119049           119124
P96plus             positivo           119266           119341
P97plus             positivo           120924           120999
P98plus             positivo           121548           121623
P99plus             positivo           121911           121986
P100plus             positivo           123192           123267
P101plus             positivo           123362           123437
P102plus             positivo           125947           126022
P103plus             positivo           126690           126765
P104plus             positivo           127388           127463
P105plus             positivo           128056           128131
P106plus             positivo           128140           128215
P107plus             positivo           130647           130722
P108plus             positivo           130973           131048
P109plus             positivo           140347           140422
P110plus             positivo           140558           140633
P111plus             positivo           140754           140829
P112plus             positivo           141162           141237
P113plus             positivo           142122           142197
P114plus             positivo           142905           142980
P115plus             positivo           143073           143148
P116plus             positivo           143357           143432
P117plus             positivo           143591           143666
P118plus             positivo           144531           144606
P119plus             positivo           145034           145109
P120plus             positivo           146598           146673
P121plus             positivo           146739           146814
P122plus             positivo           147382           147457
P123plus             positivo           147468           147543
P124plus             positivo           147776           147851
P125plus             positivo           148108           148183
P126plus             positivo           149122           149197
P127plus             positivo           149208           149283
P128plus             positivo           150333           150408
P129plus             positivo           150726           150801
P130plus             positivo           153031           153106
P131plus             positivo           153992           154067
P132plus             positivo           154912           154987
P133plus             positivo           159793           159868
P134plus             positivo           160347           160422
P135plus             positivo           164928           165003
P136plus             positivo           165525           165600
P137plus             positivo           168451           168526
P138plus             positivo           169113           169188
P139plus             positivo           170093           170168
P140plus             positivo           171838           171913
P141plus             positivo           173233           173308
P142plus             positivo           174337           174412
P143plus             positivo           182732           182807
P144plus             positivo           183942           184017
P145plus             positivo           188646           188721
P146plus             positivo           189690           189765
P147plus             positivo           189815           189890
P148plus             positivo           190187           190262
P149plus             positivo           193753           193828
P150plus             positivo           193828           193903
P151plus             positivo           196510           196585
P152plus             positivo           199142           199217
P153plus             positivo           199414           199489
P154plus             positivo           199495           199570
P155plus             positivo           199581           199656
P156plus             positivo           199952           200027
P157plus             positivo           201522           201597
P158plus             positivo           201963           202038
P159plus             positivo           202043           202118
P160plus             positivo           203912           203987
P161plus             positivo           205485           205560
P162plus             positivo           206172           206247
P163plus             positivo           207012           207087
P164plus             positivo           208154           208229
P165plus             positivo           209209           209284
P166plus             positivo           209814           209889
P167plus             positivo           211526           211601
P168plus             positivo           211724           211799
P169plus             positivo           212633           212708
P170plus             positivo           212864           212939
P171plus             positivo           212940           213015
P172plus             positivo           214760           214835
P173plus             positivo           216343           216418
P174plus             positivo           217882           217957
P175plus             positivo           219617           219692
P176plus             positivo           220634           220709
P177plus             positivo           220964           221039
P178plus             positivo           221760           221835
P179plus             positivo           222712           222787
P180plus             positivo           223728           223803
P181plus             positivo           224901           224976
P182plus             positivo           234327           234402
P183plus             positivo           235107           235182
P184plus             positivo           236827           236902
P185plus             positivo           237188           237263
P186plus             positivo           238126           238201
P187plus             positivo           241291           241366
P188plus             positivo           243703           243778
P189plus             positivo           243814           243889
P190plus             positivo           243996           244071
P191plus             positivo           244901           244976
P192plus             positivo           244991           245066
P193plus             positivo           245573           245648
P194plus             positivo           245972           246047
P195plus             positivo           246191           246266
P196plus             positivo           246329           246404
P197plus             positivo           246460           246535
P198plus             positivo           246794           246869
P199plus             positivo           247379           247454
P200plus             positivo           247784           247859
P201plus             positivo           247937           248012
P202plus             positivo           248061           248136
P203plus             positivo           248615           248690
P204plus             positivo           249935           250010
P205plus             positivo           250046           250121
P206plus             positivo           250228           250303
P207plus             positivo           251133           251208
P208plus             positivo           251223           251298
P209plus             positivo           251804           251879
P210plus             positivo           252203           252278
P211plus             positivo           252422           252497
P212plus             positivo           252560           252635
P213plus             positivo           252691           252766
P214plus             positivo           253025           253100
P215plus             positivo           253610           253685
P216plus             positivo           254015           254090
P217plus             positivo           254168           254243
P218plus             positivo           254292           254367
P219plus             positivo           254846           254921
