Region           Strand              Start               End

P1plus             positivo           2520           2595
P2plus             positivo           3944           4019
P3plus             positivo           5710           5785
P4plus             positivo           13205           13280
P5plus             positivo           19977           20052
P6plus             positivo           26793           26868
P7plus             positivo           30797           30872
P8plus             positivo           31469           31544
P9plus             positivo           34348           34423
P10plus             positivo           34833           34908
P11plus             positivo           35335           35410
P12plus             positivo           37079           37154
P13plus             positivo           38370           38445
P14plus             positivo           38714           38789
P15plus             positivo           47481           47556
P16plus             positivo           50881           50956
P17plus             positivo           51844           51919
P18plus             positivo           53036           53111
P19plus             positivo           55400           55475
P20plus             positivo           63331           63406
P21plus             positivo           65826           65901
P22plus             positivo           66932           67007
P23plus             positivo           67574           67649
P24plus             positivo           70455           70530
P25plus             positivo           79374           79449
P26plus             positivo           88702           88777
P27plus             positivo           91259           91334
P28plus             positivo           91688           91763
P29plus             positivo           94928           95003
P30plus             positivo           96210           96285
P31plus             positivo           97477           97552
P32plus             positivo           102785           102860
P33plus             positivo           103833           103908
P34plus             positivo           105845           105920
P35plus             positivo           106902           106977
P36plus             positivo           111408           111483
P37plus             positivo           118332           118407
P38plus             positivo           120382           120457
P39plus             positivo           120626           120701
P40plus             positivo           133881           133956
P41plus             positivo           134879           134954
P42plus             positivo           135409           135484
P43plus             positivo           136892           136967
P44plus             positivo           148084           148159
P45plus             positivo           152281           152356
P46plus             positivo           152648           152723
P47plus             positivo           164595           164670
P48plus             positivo           167034           167109
P49plus             positivo           167430           167505
P50plus             positivo           169873           169948
P51plus             positivo           175464           175539
P52plus             positivo           182559           182634
P53plus             positivo           185961           186036
P54plus             positivo           186706           186781
P55plus             positivo           193173           193248
P56plus             positivo           200686           200761
P57plus             positivo           208587           208662
P58plus             positivo           209524           209599
P59plus             positivo           212372           212447
P60plus             positivo           212744           212819
P61plus             positivo           215364           215439
P62plus             positivo           218118           218193
P63plus             positivo           218918           218993
P64plus             positivo           219261           219336
P65plus             positivo           221249           221324
P66plus             positivo           228642           228717
P67plus             positivo           231529           231604
P68plus             positivo           232863           232938
P69plus             positivo           240504           240579
P70plus             positivo           243350           243425
P71plus             positivo           246111           246186
P72plus             positivo           254928           255003
P73plus             positivo           260517           260592
P74plus             positivo           266815           266890
P75plus             positivo           268561           268636
P76plus             positivo           269860           269935
P77plus             positivo           270960           271035
P78plus             positivo           271080           271155
P79plus             positivo           272156           272231
P80plus             positivo           272719           272794
P81plus             positivo           278533           278608
P82plus             positivo           278792           278867
P83plus             positivo           279238           279313
P84plus             positivo           282162           282237
P85plus             positivo           289854           289929
P86plus             positivo           290421           290496
P87plus             positivo           291562           291637
P88plus             positivo           293434           293509
P89plus             positivo           293527           293602
P90plus             positivo           298528           298603
P91plus             positivo           299452           299527
P92plus             positivo           300903           300978
P93plus             positivo           305561           305636
P94plus             positivo           306260           306335
P95plus             positivo           323407           323482
P96plus             positivo           324007           324082
P97plus             positivo           332781           332856
P98plus             positivo           333549           333624
P99plus             positivo           334787           334862
P100plus             positivo           344061           344136
P101plus             positivo           344883           344958
P102plus             positivo           356699           356774
P103plus             positivo           358862           358937
P104plus             positivo           362963           363038
P105plus             positivo           364230           364305
P106plus             positivo           365156           365231
P107plus             positivo           366627           366702
P108plus             positivo           369401           369476
P109plus             positivo           371238           371313
P110plus             positivo           371895           371970
P111plus             positivo           373500           373575
P112plus             positivo           377468           377543
P113plus             positivo           385233           385308
P114plus             positivo           392676           392751
P115plus             positivo           392848           392923
P116plus             positivo           393182           393257
P117plus             positivo           395923           395998
P118plus             positivo           397185           397260
P119plus             positivo           397397           397472
P120plus             positivo           398261           398336
P121plus             positivo           398719           398794
P122plus             positivo           407121           407196
P123plus             positivo           407527           407602
P124plus             positivo           428958           429033
P125plus             positivo           431469           431544
P126plus             positivo           432708           432783
P127plus             positivo           435089           435164
P128plus             positivo           447991           448066
P129plus             positivo           449901           449976
P130plus             positivo           461885           461960
P131plus             positivo           467086           467161
P132plus             positivo           471354           471429
P133plus             positivo           484672           484747
P134plus             positivo           484770           484845
P135plus             positivo           492741           492816
P136plus             positivo           495414           495489
P137plus             positivo           500595           500670
P138plus             positivo           512898           512973
P139plus             positivo           513976           514051
P140plus             positivo           516066           516141
P141plus             positivo           517507           517582
P142plus             positivo           518927           519002
P143plus             positivo           521162           521237
P144plus             positivo           524823           524898
P145plus             positivo           525074           525149
P146plus             positivo           532013           532088
P147plus             positivo           534575           534650
P148plus             positivo           540144           540219
P149plus             positivo           550227           550302
P150plus             positivo           552634           552709
P151plus             positivo           556704           556779
P152plus             positivo           563200           563275
P153plus             positivo           564614           564689
P154plus             positivo           565733           565808
P155plus             positivo           567609           567684
P156plus             positivo           569339           569414
P157plus             positivo           570476           570551
P158plus             positivo           576191           576266
P159plus             positivo           576976           577051
P160plus             positivo           589542           589617
P1minus             negativo           2497           2572
P2minus             negativo           3919           3994
P3minus             negativo           5679           5754
P4minus             negativo           13208           13283
P5minus             negativo           19968           20043
P6minus             negativo           26792           26867
P7minus             negativo           30785           30860
P8minus             negativo           31433           31508
P9minus             negativo           34317           34392
P10minus             negativo           34785           34860
P11minus             negativo           35308           35383
P12minus             negativo           37054           37129
P13minus             negativo           38346           38421
P14minus             negativo           38695           38770
P15minus             negativo           47461           47536
P16minus             negativo           50857           50932
P17minus             negativo           51819           51894
P18minus             negativo           53025           53100
P19minus             negativo           55394           55469
P20minus             negativo           63306           63381
P21minus             negativo           65802           65877
P22minus             negativo           66907           66982
P23minus             negativo           67581           67656
P24minus             negativo           70425           70500
P25minus             negativo           79368           79443
P26minus             negativo           88680           88755
P27minus             negativo           91263           91338
