Region           Strand              Start               End

P1plus             positivo           667           742
P2plus             positivo           920           995
P3plus             positivo           5799           5874
P4plus             positivo           7077           7152
P5plus             positivo           7885           7960
P6plus             positivo           12837           12912
P7plus             positivo           14238           14313
P8plus             positivo           14589           14664
P9plus             positivo           24704           24779
P10plus             positivo           26081           26156
P11plus             positivo           27488           27563
P12plus             positivo           32010           32085
P13plus             positivo           44428           44503
P14plus             positivo           45644           45719
P15plus             positivo           47092           47167
P16plus             positivo           48871           48946
P17plus             positivo           49074           49149
P18plus             positivo           51943           52018
P19plus             positivo           53482           53557
P20plus             positivo           61170           61245
P21plus             positivo           62799           62874
P22plus             positivo           64443           64518
P23plus             positivo           75097           75172
P24plus             positivo           75691           75766
P25plus             positivo           76091           76166
P26plus             positivo           80297           80372
P27plus             positivo           81212           81287
P28plus             positivo           91025           91100
P29plus             positivo           94543           94618
P30plus             positivo           95107           95182
P31plus             positivo           100061           100136
P32plus             positivo           102505           102580
P33plus             positivo           107762           107837
P34plus             positivo           111688           111763
P35plus             positivo           116455           116530
P36plus             positivo           119770           119845
P37plus             positivo           121542           121617
P38plus             positivo           124982           125057
P39plus             positivo           126741           126816
P40plus             positivo           130724           130799
P41plus             positivo           135279           135354
P42plus             positivo           141888           141963
P43plus             positivo           147636           147711
P44plus             positivo           149252           149327
P45plus             positivo           153623           153698
P46plus             positivo           153720           153795
P47plus             positivo           154071           154146
P48plus             positivo           156932           157007
P49plus             positivo           162166           162241
P50plus             positivo           162815           162890
P51plus             positivo           167456           167531
P52plus             positivo           167649           167724
P53plus             positivo           167954           168029
P54plus             positivo           170719           170794
P55plus             positivo           171954           172029
P56plus             positivo           172869           172944
P57plus             positivo           174488           174563
P58plus             positivo           176073           176148
P59plus             positivo           176158           176233
P60plus             positivo           179822           179897
P61plus             positivo           181668           181743
P62plus             positivo           184446           184521
P63plus             positivo           184924           184999
P64plus             positivo           185007           185082
P65plus             positivo           186059           186134
P66plus             positivo           187611           187686
P67plus             positivo           189668           189743
P68plus             positivo           190922           190997
P69plus             positivo           191487           191562
P70plus             positivo           192629           192704
P71plus             positivo           194154           194229
P72plus             positivo           194278           194353
P73plus             positivo           195054           195129
P74plus             positivo           203954           204029
P75plus             positivo           204579           204654
P76plus             positivo           206267           206342
P77plus             positivo           207760           207835
P78plus             positivo           208372           208447
P79plus             positivo           216098           216173
P80plus             positivo           217033           217108
P81plus             positivo           218602           218677
P82plus             positivo           220303           220378
P83plus             positivo           231763           231838
P84plus             positivo           232276           232351
P85plus             positivo           246067           246142
P86plus             positivo           250304           250379
P87plus             positivo           252783           252858
P88plus             positivo           252922           252997
P89plus             positivo           257171           257246
P90plus             positivo           260055           260130
P91plus             positivo           273365           273440
P92plus             positivo           275282           275357
P93plus             positivo           275873           275948
P94plus             positivo           279094           279169
P95plus             positivo           281068           281143
P96plus             positivo           282289           282364
P97plus             positivo           284383           284458
P98plus             positivo           290560           290635
P99plus             positivo           291978           292053
P100plus             positivo           298395           298470
P101plus             positivo           300457           300532
P102plus             positivo           301123           301198
P103plus             positivo           302492           302567
P104plus             positivo           305016           305091
P105plus             positivo           307706           307781
P106plus             positivo           320518           320593
P107plus             positivo           322099           322174
P108plus             positivo           323503           323578
P109plus             positivo           333675           333750
P110plus             positivo           337099           337174
