Region           Strand              Start               End

P1plus             positivo           8210           8285
P2plus             positivo           8461           8536
P3plus             positivo           13759           13834
P4plus             positivo           14174           14249
P5plus             positivo           17605           17680
P6plus             positivo           22076           22151
P7plus             positivo           22963           23038
P8plus             positivo           28843           28918
P9plus             positivo           39536           39611
P10plus             positivo           42448           42523
P11plus             positivo           44449           44524
P12plus             positivo           44728           44803
P13plus             positivo           45040           45115
P14plus             positivo           46319           46394
P15plus             positivo           56136           56211
P16plus             positivo           64481           64556
P17plus             positivo           79477           79552
P18plus             positivo           80344           80419
P19plus             positivo           81682           81757
P20plus             positivo           88369           88444
P21plus             positivo           93029           93104
P22plus             positivo           94095           94170
P23plus             positivo           96943           97018
P24plus             positivo           101837           101912
P25plus             positivo           107792           107867
P26plus             positivo           109253           109328
P27plus             positivo           116337           116412
P28plus             positivo           121387           121462
P29plus             positivo           124960           125035
P30plus             positivo           125370           125445
P31plus             positivo           131131           131206
P32plus             positivo           136793           136868
P33plus             positivo           137209           137284
P34plus             positivo           144282           144357
P35plus             positivo           147674           147749
P36plus             positivo           147925           148000
P37plus             positivo           148670           148745
P38plus             positivo           149518           149593
P39plus             positivo           151958           152033
P40plus             positivo           153563           153638
P41plus             positivo           165579           165654
P42plus             positivo           166429           166504
P43plus             positivo           166962           167037
P44plus             positivo           183510           183585
P45plus             positivo           188344           188419
P46plus             positivo           195146           195221
P47plus             positivo           199885           199960
P48plus             positivo           202562           202637
P49plus             positivo           203999           204074
P50plus             positivo           205109           205184
P51plus             positivo           207721           207796
P52plus             positivo           209286           209361
P53plus             positivo           218257           218332
P54plus             positivo           220278           220353
P55plus             positivo           222926           223001
P56plus             positivo           225949           226024
P57plus             positivo           234091           234166
P58plus             positivo           238213           238288
P59plus             positivo           240302           240377
P60plus             positivo           241044           241119
P61plus             positivo           247164           247239
P62plus             positivo           250756           250831
P63plus             positivo           254966           255041
P64plus             positivo           255596           255671
P65plus             positivo           263590           263665
P66plus             positivo           264310           264385
P67plus             positivo           270322           270397
P68plus             positivo           271461           271536
P69plus             positivo           272036           272111
P70plus             positivo           273323           273398
P71plus             positivo           274007           274082
P72plus             positivo           274546           274621
P73plus             positivo           277788           277863
P74plus             positivo           280038           280113
P75plus             positivo           280896           280971
P76plus             positivo           282422           282497
P77plus             positivo           283234           283309
P78plus             positivo           285079           285154
P79plus             positivo           285958           286033
P80plus             positivo           287369           287444
P81plus             positivo           291287           291362
P82plus             positivo           294287           294362
P83plus             positivo           300300           300375
P84plus             positivo           304199           304274
P85plus             positivo           305584           305659
P86plus             positivo           312645           312720
P87plus             positivo           317971           318046
P88plus             positivo           325153           325228
P89plus             positivo           330758           330833
P90plus             positivo           331246           331321
P91plus             positivo           334379           334454
P92plus             positivo           334517           334592
P93plus             positivo           335926           336001
P94plus             positivo           336001           336076
P95plus             positivo           340310           340385
P96plus             positivo           345443           345518
P97plus             positivo           346515           346590
P98plus             positivo           351467           351542
P99plus             positivo           355949           356024
P100plus             positivo           357235           357310
P101plus             positivo           358172           358247
P102plus             positivo           364990           365065
P103plus             positivo           374357           374432
P104plus             positivo           380090           380165
P105plus             positivo           389447           389522
P106plus             positivo           394762           394837
P107plus             positivo           395698           395773
P108plus             positivo           396880           396955
P109plus             positivo           401575           401650
P110plus             positivo           408166           408241
P111plus             positivo           409571           409646
P112plus             positivo           412962           413037
P113plus             positivo           413689           413764
P114plus             positivo           422147           422222
P115plus             positivo           425908           425983
P116plus             positivo           429157           429232
P117plus             positivo           430967           431042
P118plus             positivo           439846           439921
P119plus             positivo           440880           440955
P120plus             positivo           444861           444936
P121plus             positivo           447276           447351
P122plus             positivo           450811           450886
P123plus             positivo           458423           458498
P124plus             positivo           460986           461061
P125plus             positivo           467920           467995
P126plus             positivo           471802           471877
P127plus             positivo           472617           472692
P128plus             positivo           473042           473117
P129plus             positivo           473991           474066
P130plus             positivo           477713           477788
P131plus             positivo           479125           479200
P132plus             positivo           490537           490612
P133plus             positivo           495466           495541
P134plus             positivo           510108           510183
P135plus             positivo           510501           510576
P136plus             positivo           510576           510651
P137plus             positivo           514525           514600
P138plus             positivo           520005           520080
P139plus             positivo           520080           520155
P140plus             positivo           521497           521572
P141plus             positivo           531897           531972
P142plus             positivo           532134           532209
P143plus             positivo           535899           535974
P144plus             positivo           543183           543258
P145plus             positivo           544144           544219
P146plus             positivo           548786           548861
P147plus             positivo           549458           549533
P148plus             positivo           551108           551183
P149plus             positivo           554664           554739
P150plus             positivo           564801           564876
P151plus             positivo           573616           573691
P152plus             positivo           575752           575827
P153plus             positivo           581982           582057
P154plus             positivo           582057           582132
P155plus             positivo           582845           582920
P156plus             positivo           583107           583182
P157plus             positivo           583933           584008
P158plus             positivo           585898           585973
P159plus             positivo           589470           589545
P160plus             positivo           590562           590637
P161plus             positivo           590821           590896
P162plus             positivo           592864           592939
P163plus             positivo           594149           594224
P164plus             positivo           597521           597596
P165plus             positivo           601246           601321
P166plus             positivo           604452           604527
P167plus             positivo           609706           609781
P168plus             positivo           612078           612153
P169plus             positivo           614126           614201
P170plus             positivo           617125           617200
P171plus             positivo           617816           617891
P172plus             positivo           618133           618208
P173plus             positivo           624768           624843
P174plus             positivo           626539           626614
P175plus             positivo           632818           632893
P176plus             positivo           637241           637316
P177plus             positivo           638760           638835
P178plus             positivo           641973           642048
P179plus             positivo           647608           647683
P180plus             positivo           647702           647777
P181plus             positivo           651089           651164
P182plus             positivo           652120           652195
P183plus             positivo           654725           654800
P184plus             positivo           657449           657524
P185plus             positivo           662383           662458
P186plus             positivo           678827           678902
P187plus             positivo           680713           680788
P188plus             positivo           692587           692662
P189plus             positivo           692716           692791
P190plus             positivo           695043           695118
P191plus             positivo           697498           697573
P192plus             positivo           698066           698141
P193plus             positivo           698655           698730
P194plus             positivo           700579           700654
P195plus             positivo           706200           706275
P196plus             positivo           707658           707733
P197plus             positivo           708588           708663
P198plus             positivo           708795           708870
P199plus             positivo           708940           709015
P200plus             positivo           710148           710223
P201plus             positivo           711405           711480
P202plus             positivo           720219           720294
P203plus             positivo           720638           720713
P204plus             positivo           720743           720818
