Region           Strand              Start               End

P1plus             positivo           2509           2584
P2plus             positivo           4332           4407
P3plus             positivo           7880           7955
P4plus             positivo           10110           10185
P5plus             positivo           11437           11512
P6plus             positivo           11889           11964
P7plus             positivo           13378           13453
P8plus             positivo           14209           14284
P9plus             positivo           21408           21483
P10plus             positivo           23613           23688
P11plus             positivo           27969           28044
P12plus             positivo           30234           30309
P13plus             positivo           39811           39886
P14plus             positivo           44724           44799
P15plus             positivo           45907           45982
P16plus             positivo           48483           48558
P17plus             positivo           49767           49842
P18plus             positivo           51128           51203
P19plus             positivo           52872           52947
P20plus             positivo           53275           53350
P21plus             positivo           59226           59301
P22plus             positivo           62408           62483
P23plus             positivo           62859           62934
P24plus             positivo           65840           65915
P25plus             positivo           67003           67078
P26plus             positivo           69614           69689
P27plus             positivo           71469           71544
P28plus             positivo           71763           71838
P29plus             positivo           72658           72733
P30plus             positivo           74331           74406
P31plus             positivo           79325           79400
P32plus             positivo           79719           79794
P33plus             positivo           80545           80620
P34plus             positivo           81291           81366
P35plus             positivo           91246           91321
P36plus             positivo           91621           91696
P37plus             positivo           92435           92510
P38plus             positivo           95957           96032
P39plus             positivo           105013           105088
P40plus             positivo           110422           110497
P41plus             positivo           110587           110662
P42plus             positivo           119536           119611
P43plus             positivo           120606           120681
P44plus             positivo           122484           122559
P45plus             positivo           123298           123373
P46plus             positivo           123896           123971
P47plus             positivo           126552           126627
P48plus             positivo           127141           127216
P49plus             positivo           130932           131007
P50plus             positivo           131198           131273
P51plus             positivo           133866           133941
P52plus             positivo           134344           134419
P53plus             positivo           136026           136101
P54plus             positivo           137138           137213
P55plus             positivo           140157           140232
P56plus             positivo           140856           140931
P57plus             positivo           142221           142296
P58plus             positivo           147034           147109
P59plus             positivo           148021           148096
P60plus             positivo           153274           153349
P61plus             positivo           153942           154017
P62plus             positivo           154214           154289
P63plus             positivo           155037           155112
P64plus             positivo           162313           162388
P65plus             positivo           162895           162970
P66plus             positivo           170565           170640
P67plus             positivo           172888           172963
P68plus             positivo           176989           177064
P69plus             positivo           178052           178127
P70plus             positivo           178557           178632
P71plus             positivo           178645           178720
P72plus             positivo           186028           186103
P73plus             positivo           188873           188948
P74plus             positivo           189583           189658
P75plus             positivo           191205           191280
P76plus             positivo           191680           191755
P77plus             positivo           194258           194333
P78plus             positivo           196031           196106
P79plus             positivo           196206           196281
P80plus             positivo           196568           196643
P81plus             positivo           198257           198332
P82plus             positivo           202045           202120
P83plus             positivo           202338           202413
P84plus             positivo           208153           208228
P85plus             positivo           217855           217930
P86plus             positivo           222193           222268
P87plus             positivo           230927           231002
P88plus             positivo           237940           238015
P89plus             positivo           239660           239735
P90plus             positivo           240811           240886
P91plus             positivo           241800           241875
P92plus             positivo           242242           242317
P93plus             positivo           248616           248691
P94plus             positivo           249131           249206
P95plus             positivo           250827           250902
P96plus             positivo           254599           254674
P97plus             positivo           255157           255232
P98plus             positivo           258661           258736
P99plus             positivo           265428           265503
P100plus             positivo           266741           266816
P101plus             positivo           267854           267929
P102plus             positivo           269320           269395
P103plus             positivo           274264           274339
P104plus             positivo           287107           287182
P105plus             positivo           295109           295184
P106plus             positivo           299940           300015
P107plus             positivo           301676           301751
P108plus             positivo           309648           309723
P109plus             positivo           310381           310456
P110plus             positivo           310505           310580
P111plus             positivo           310873           310948
P112plus             positivo           312783           312858
P113plus             positivo           316804           316879
P114plus             positivo           317712           317787
P115plus             positivo           320166           320241
P116plus             positivo           323039           323114
P117plus             positivo           323648           323723
P118plus             positivo           324096           324171
P119plus             positivo           324555           324630
P120plus             positivo           326006           326081
P121plus             positivo           326619           326694
P122plus             positivo           326745           326820
P123plus             positivo           327303           327378
P124plus             positivo           328302           328377
P125plus             positivo           328377           328452
P126plus             positivo           329278           329353
P127plus             positivo           335165           335240
P128plus             positivo           336757           336832
P129plus             positivo           337708           337783
P130plus             positivo           343307           343382
P131plus             positivo           347051           347126
P132plus             positivo           347169           347244
P133plus             positivo           352682           352757
P134plus             positivo           353638           353713
P135plus             positivo           353754           353829
P136plus             positivo           354604           354679
P1minus             negativo           2503           2578
P2minus             negativo           4347           4422
P3minus             negativo           7844           7919
P4minus             negativo           10104           10179
P5minus             negativo           11403           11478
P6minus             negativo           11877           11952
P7minus             negativo           13345           13420
P8minus             negativo           14184           14259
P9minus             negativo           21370           21445
P10minus             negativo           23591           23666
P11minus             negativo           27939           28014
P12minus             negativo           30193           30268
P13minus             negativo           39770           39845
P14minus             negativo           44721           44796
P15minus             negativo           45903           45978
P16minus             negativo           48495           48570
P17minus             negativo           49745           49820
P18minus             negativo           51125           51200
P19minus             negativo           52878           52953
P20minus             negativo           53278           53353
P21minus             negativo           59244           59319
P22minus             negativo           62405           62480
P23minus             negativo           62833           62908
P24minus             negativo           65833           65908
P25minus             negativo           66973           67048
P26minus             negativo           69599           69674
P27minus             negativo           71469           71544
P28minus             negativo           71737           71812
P29minus             negativo           72623           72698
P30minus             negativo           74339           74414
P31minus             negativo           79313           79388
P32minus             negativo           79686           79761
P33minus             negativo           80533           80608
P34minus             negativo           81280           81355
P35minus             negativo           91211           91286
P36minus             negativo           91581           91656
P37minus             negativo           92454           92529
P38minus             negativo           95930           96005
P39minus             negativo           104994           105069
P40minus             negativo           110395           110470
P41minus             negativo           110570           110645
P42minus             negativo           119531           119606
P43minus             negativo           120609           120684
P44minus             negativo           122461           122536
P45minus             negativo           123254           123329
P46minus             negativo           123886           123961
P47minus             negativo           126517           126592
P48minus             negativo           127109           127184
P49minus             negativo           130911           130986
P50minus             negativo           131167           131242
P51minus             negativo           133845           133920
P52minus             negativo           134336           134411
P53minus             negativo           136021           136096
P54minus             negativo           137115           137190
P55minus             negativo           140139           140214
P56minus             negativo           140848           140923
P57minus             negativo           142187           142262
P58minus             negativo           147028           147103
P59minus             negativo           148015           148090
P60minus             negativo           153243           153318
P61minus             negativo           153922           153997
P62minus             negativo           154201           154276
P63minus             negativo           155012           155087
P64minus             negativo           162299           162374
P65minus             negativo           162859           162934
P66minus             negativo           170559           170634
P67minus             negativo           172855           172930
P68minus             negativo           176944           177019
P69minus             negativo           178064           178139
P70minus             negativo           178512           178587
P71minus             negativo           178607           178682
P72minus             negativo           186003           186078
P73minus             negativo           188826           188901
P74minus             negativo           189573           189648
P75minus             negativo           191156           191231
P76minus             negativo           191674           191749
P77minus             negativo           194256           194331
P78minus             negativo           195993           196068
P79minus             negativo           196194           196269
P80minus             negativo           196608           196683
P81minus             negativo           198240           198315
P82minus             negativo           202018           202093
P83minus             negativo           202334           202409
P84minus             negativo           208107           208182
P85minus             negativo           217818           217893
P86minus             negativo           222194           222269
P87minus             negativo           230924           230999
P88minus             negativo           237904           237979
P89minus             negativo           239668           239743
P90minus             negativo           240807           240882
P91minus             negativo           241758           241833
P92minus             negativo           242216           242291
P93minus             negativo           248611           248686
P94minus             negativo           249128           249203
P95minus             negativo           250784           250859
P96minus             negativo           250877           250952
P97minus             negativo           254572           254647
P98minus             negativo           255130           255205
P99minus             negativo           258627           258702
P100minus             negativo           265407           265482
P101minus             negativo           266727           266802
P102minus             negativo           267831           267906
P103minus             negativo           269290           269365
P104minus             negativo           274265           274340
P105minus             negativo           287066           287141
P106minus             negativo           295085           295160
P107minus             negativo           299909           299984
P108minus             negativo           301683           301758
P109minus             negativo           309612           309687
P110minus             negativo           310360           310435
P111minus             negativo           310480           310555
P112minus             negativo           310867           310942
P113minus             negativo           312771           312846
P114minus             negativo           316769           316844
P115minus             negativo           317688           317763
P116minus             negativo           320147           320222
P117minus             negativo           323035           323110
P118minus             negativo           323646           323721
P119minus             negativo           324088           324163
P120minus             negativo           324522           324597
P121minus             negativo           325990           326065
P122minus             negativo           326600           326675
P123minus             negativo           326719           326794
P124minus             negativo           327289           327364
P125minus             negativo           328284           328359
P126minus             negativo           328360           328435
P127minus             negativo           329234           329309
P128minus             negativo           335153           335228
P129minus             negativo           336750           336825
P130minus             negativo           337692           337767
P131minus             negativo           343261           343336
P132minus             negativo           347048           347123
P133minus             negativo           347143           347218
P134minus             negativo           352680           352755
P135minus             negativo           353606           353681
P136minus             negativo           353755           353830
P137minus             negativo           354598           354673
